# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1454, mean track length: 5.1
0 0.6409346427491609 -0.6162931823879365 0.4104669149545018 111 106 97 3.29
1 0.6468518451935394 -0.589964651577397 0.3998232657699972 145 142 134 3.13
2 0.774733328315594 -0.5573039739737076 0.4690441379771521 145 141 129 5.01
3 0.8766441674204611 -0.5831920853794035 0.4382814938754842 87 96 100 7.08
4 0.5499541466052469 -0.2744435351390007 0.8220361272906891 90 82 70 4.2
5 0.737867278537226 -0.4912025994689426 0.4362710788721222 100 97 92 2.85
6 0.6137401526186683 -0.4084421230711836 0.4482995808582925 124 114 101 3.4
7 0.6531174647868419 -0.4264667871908508 0.4672253156148373 122 117 111 1.4
8 0.6424597094627222 -0.4281376610638186 0.4075045528170166 68 65 57 4.36
9 0.6355275393490419 -0.4075308017546114 0.4694449790982076 109 105 96 1.04
10 0.667682494097652 -0.4584970921116636 0.3204909033426288 88 85 78 5.75
11 0.7540044627811406 -0.457130898455536 0.4586630001651748 140 138 130 5.38
12 0.7786255964076497 -0.4686748777595857 0.452787684481723 112 110 101 3.62
13 0.6732808890094871 -0.447916961321394 0.2910036080654235 160 172 183 4.12
14 0.7836562842375939 -0.4368421879435267 0.4372702481488379 124 128 119 4.85
15 0.7181418711638774 -0.3962949993874983 0.4506938740952106 154 155 145 5.47
16 0.7251299990369237 -0.3370536395760125 0.5114786008864807 52 59 63 2.86
17 0.7498032892021369 -0.3942977312397036 0.2016666124574198 64 72 74 3.14
18 0.811451588634682 -0.4491506706075157 0.006681500136995977 75 75 72 5.17
19 0.6798542068550703 -0.1665358356092524 0.2861122371718841 75 73 67 6.77
20 0.6173783379420718 -0.1316751999406273 0.2896028485923777 79 78 75 4.2
21 0.7471957569179728 -0.1525611307665167 0.1983181067702661 67 67 62 5.34
22 0.695919757876536 -0.09319450055633176 0.110540375412678 79 80 72 3.78
