# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 71
143 RADIAL 760 1004 881.044028001898 380.0 502.1428571428571 -0.010660620988406663 -0.0012585735805212225
173 RADIAL 760 1004 1054.1798686265179 380.0 502.1428571428571 0.03294730444588929 -0.0019544772734819776
94 RADIAL 760 1004 1254.0265491451564 380.0 502.1428571428571 -0.002730051171421881 0.004285855794551625
47 RADIAL 760 1070 1350.2770378913792 380.0 534.8148148148148 -0.07109404923142693 -0.0032295778824848465
216 RADIAL 1029 779 1029.0547283650549 514.5 389.35135135135135 -0.02430128059045178 0.004481230472053284
5 RADIAL 1028 685 566.4795590882999 514.0 342.66666666666663 -0.029318078990633104 0.02353989218586845
149 RADIAL 719 1078 1010.5938843079405 359.5 539.25 0.0021889153709216203 0.02753947518399598
116 RADIAL 760 1004 1056.9689368457061 380.0 502.1428571428571 0.006504290483159227 0.000835901423027195
205 RADIAL 760 1004 1031.1799244200208 380.0 502.1428571428571 -0.010886025817017307 -0.008941842982083325
55 RADIAL 1046 697 854.4925632335015 523.0 348.6666666666667 0.0007917457107601181 0.004438648165928562
34 RADIAL 607 802 827.2194868952598 303.5 401.0535714285714 0.00831628485110461 0.011834868764410908
166 RADIAL 756 999 1063.5046797261791 378.0 499.5 0.026641338517484285 -0.011285431607057318
7 RADIAL 1030 752 1021.9178166576155 515.0 375.81081081081084 -0.01755441662348247 0.017157498076648955
183 RADIAL 760 1004 1125.941419065496 380.0 502.1428571428571 -0.0008412700722345344 -0.0024898837242151046
193 RADIAL 1047 698 1347.3231299962938 523.5 349.0 -0.0186667118471113 0.023974908333344657
125 RADIAL 1014 767 1070.3720697957347 507.00000000000006 383.6756756756757 -0.006174602567274969 -0.02582528556541239
139 RADIAL 1015 768 886.9059233274143 507.5 384.05405405405406 0.03018672348640782 -0.03344689215392442
177 RADIAL 1030 752 1064.1537716372845 515.0 375.81081081081084 -0.0008568695565988957 0.0043523961147421365
218 RADIAL 760 1041 1066.4427951137068 380.0 520.7407407407408 -0.0054835927476320784 0.02036651356444858
46 RADIAL 760 1004 1000.6005893783204 380.0 502.1428571428571 0.0034195355253086074 0.01107212175086803
212 RADIAL 696 1071 841.7338717463456 348.0 535.3846153846154 0.007087824659069756 0.0005972076664777639
154 RADIAL 1030 752 1090.6865407634625 515.0 375.81081081081084 0.019191392544940476 -0.014771177422156796
226 RADIAL 689 1034 1114.49550345597 344.5 516.75 -0.00666962935461385 0.0029200899651407627
137 RADIAL 692 1065 793.8765018460275 346.0 532.3076923076924 -0.0073446484960658955 0.0007025715540286555
145 RADIAL 1022 773 1168.6784198171035 511.0 386.7027027027027 0.016194206454386028 0.002848523021715286
86 RADIAL 1023 774 1066.8257044635498 511.5 387.0810810810811 -0.014962872945787898 0.05713248465643733
23 RADIAL 1027 777 1121.8301404932913 513.5 388.5945945945946 -0.024476299647738405 0.027987109779301297
59 RADIAL 695 1069 802.1769288361057 347.5 534.6153846153846 0.01756280961768806 -0.0005071675206478199
131 RADIAL 606 801 852.2891684805704 303.0 400.3928571428571 0.002870224345054661 0.0014678295689149485
72 RADIAL 1049 699 1127.375935522995 524.5 349.6666666666667 -0.017645196811093354 0.009531526978091854
119 RADIAL 760 1004 779.6903542301303 380.0 502.1428571428571 0.024164761557220034 -0.0015739466061807142
215 RADIAL 644 1082 934.1384024982596 322.0 540.96 -0.02475457910526176 -0.02079611560127221
58 RADIAL 1013 767 1083.7457046607065 506.5 383.2972972972973 0.011500020546770054 0.0027452219729747268
180 RADIAL 1025 776 1124.3411414136335 512.5 387.8378378378378 -0.013154562531560719 0.006091395104358778
161 RADIAL 1025 776 1046.4968038112336 512.5 387.8378378378378 0.0128566472695034 0.02138548063421184
225 RADIAL 760 760 695.1132884691041 380.0 380.0 -0.08904751594545612 -0.02266824088784189
140 RADIAL 1047 698 1353.6386995783348 523.5 349.0 0.0058008976629153955 0.007465390108196459
8 RADIAL 1015 768 817.118858187398 507.5 384.05405405405406 0.026518975321538914 -0.023595127472717373
106 RADIAL 1022 773 1107.7466879555332 511.0 386.7027027027027 0.0014681326632112574 -0.00122554575512203
57 RADIAL 1016 769 820.7758609892043 508.0 384.43243243243245 0.005296414472590092 0.004616444414522798
191 RADIAL 1065 692 802.3653438276586 532.5 346.125 -0.0357961350773931 0.06306404576793112
30 RADIAL 1018 770 1013.1975467736527 509.0 385.18918918918916 0.008803275476173742 -0.06107753166766699
115 RADIAL 857 756 636.2061772195486 428.5 378.0882352941177 -0.05703956921894587 -0.016102197348916155
117 RADIAL 760 1004 1105.2566198428035 380.0 502.1428571428571 -0.0021880885371038505 0.0021703579077004915
150 RADIAL 1034 755 1074.644899933363 517.0 377.2702702702703 -0.007239468132824795 -0.012113530243105
228 RADIAL 1028 778 1131.746773109427 514.0 388.97297297297297 -0.015813688014997097 0.007894327627947126
31 RADIAL 814 616 834.565224245642 407.0 308.0 -0.015591287572585924 0.05121358151946813
24 RADIAL 1027 685 795.0673094734583 513.5 342.3333333333333 -0.029566295494594507 -0.006556655451104521
90 RADIAL 760 1041 1031.2217655239917 380.0 520.7407407407408 -0.031326317163579274 -0.0075841716129931664
211 RADIAL 756 999 973.0357559125438 378.0 499.5 0.030238296831937107 -0.004550296777478304
153 RADIAL 1025 776 1146.057807771862 512.5 387.8378378378378 -0.01745259720193367 0.0018837910918657764
210 RADIAL 760 1004 835.2129875061042 380.0 502.1428571428571 -0.012065204879892615 0.006569007203505734
233 RADIAL 1026 776 1074.0774936228715 513.0 388.2162162162162 -0.03489106771651686 0.02467295683176928
68 RADIAL 521 380 623.9941135771757 260.5 190.09459459459458 -0.008498410225195051 0.0018606860830186784
102 RADIAL 1013 675 767.2209433622822 506.5 337.6666666666667 -0.011923603312399653 0.018288364528734856
99 RADIAL 1013 565 1108.695718655543 506.5 282.69767441860466 0.00021552878925125104 -0.019307107661381884
122 RADIAL 760 1004 777.185034418179 380.0 502.1428571428571 -0.034382845030533925 -0.01604962156696169
132 RADIAL 760 861 889.0979612308595 380.0 430.66666666666663 -0.09616013897592009 -0.004792530644467523
168 RADIAL 513 388 555.6263247916546 256.5 194.1081081081081 -0.011369525336963159 6.296991164159719e-05
151 RADIAL 760 1004 1011.0350501256239 380.0 502.1428571428571 -0.006718612409500437 0.017935506151517774
37 RADIAL 760 1004 1047.6697299042257 380.0 502.1428571428571 0.0021864538409872873 0.007067966168612807
45 RADIAL 696 1071 851.9341240815004 348.0 535.3846153846154 -0.007047777981620285 -0.0016670748785193113
144 RADIAL 760 1041 800.6365850077997 380.0 520.7407407407408 0.009804020150019244 0.01581355503808963
171 RADIAL 1075 699 800.6543171810134 537.5 349.375 0.003641933264271164 0.0038014818157377154
174 RADIAL 760 1004 1006.2272733532283 380.0 502.1428571428571 0.020017052323590346 0.02630368076215679
178 RADIAL 610 806 697.3857499276359 305.0 403.0357142857143 -0.003442346306318062 0.002870590594139396
133 RADIAL 374 494 422.51631775709956 187.0 247.10714285714286 0.015995753555920814 0.0018105334830108095
167 RADIAL 1023 774 1039.3806893307187 511.5 387.0810810810811 0.008102721463344915 0.006108466632391225
