# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1361, mean track length: 6.66
0 0.719101203311995 -0.6511882215618933 0.4517593684269099 74 73 70 1.28
1 0.6893863981583541 -0.6775753250703699 0.3903214710192692 118 115 106 0.34
2 0.6628421359055774 -0.66727283736634 0.3850803403509528 115 120 124 0.39
3 0.7003502224517415 -0.6853202174217222 0.345232179627699 193 202 210 0.42
4 0.6675442858477751 -0.6409140068041987 0.3828071657209394 142 142 137 0.49
5 0.7266757769419425 -0.6068834873011952 0.4490960293761563 131 130 119 1.02
6 0.6883868090237109 -0.6796614819706726 0.3267996268410378 116 122 127 0.39
7 0.7321549849686158 -0.6050255551108108 0.4373100855007395 98 94 87 0.94
8 0.7290950873485704 -0.5965052927739977 0.4263034840081175 93 88 75 0.97
9 0.6817322601515947 -0.6087256665163659 0.3895663847515998 92 89 84 0.38
10 0.691585547321548 -0.6494106895272032 0.3348902992717236 153 159 168 0.44
11 0.7636074796898473 -0.5850234102248962 0.4576423306815744 189 194 201 0.65
12 0.7184015991414061 -0.5735669019453001 0.4494193291565222 120 118 105 0.68
13 0.6507151938653015 -0.5559629310889121 0.444599711769414 148 143 131 0.23
14 0.6582215702883292 -0.5991221363630319 0.3787224776474064 109 107 99 0.27
15 0.7689142073929056 -0.5566670296829616 0.4815527605582647 185 202 210 0.26
16 0.7539271543183552 -0.5557136169592103 0.4631833962486956 194 206 216 0.53
17 0.7486213549711638 -0.5855044329996026 0.4157460218762172 120 114 108 0.55
18 0.6611298569669002 -0.5748068724974362 0.3799149084383164 125 124 115 0.38
19 0.7526581132082544 -0.5407343150008944 0.4701725605280422 124 125 113 0.24
20 0.7524616805830524 -0.5491721006135351 0.4590634536422748 133 140 146 0.46
21 0.7632147566413328 -0.5513784802266192 0.4574127324569416 149 154 160 0.46
22 0.7752395825343132 -0.525967333098083 0.4716264927494613 90 91 98 0.78
23 0.675698781922107 -0.5863279784152817 0.3261665162691392 135 135 129 0.19
24 0.6933632623846573 -0.5783608017272379 0.3266102809777793 150 156 164 0.39
25 0.7177014545166578 -0.4722900495934246 0.461542649218307 100 106 111 0.16
26 0.6989723672294996 -0.5480036939324968 0.3214585717024809 177 183 195 0.24
27 0.6405264462519522 -0.4566060864815248 0.4416421339460677 134 134 124 0.2
28 0.7066240220863322 -0.4601921424712647 0.4585873735225718 112 111 99 0.07
