# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 63
143 RADIAL 760 1004 875.9994384220668 380.0 502.1428571428571 0.0 0.0
173 RADIAL 760 1004 1048.8081114632741 380.0 502.1428571428571 0.0 0.0
94 RADIAL 760 1004 1254.5309829711914 380.0 502.1428571428571 0.0 0.0
47 RADIAL 760 1070 1348.660668267144 380.0 534.8148148148148 0.0 0.0
216 RADIAL 1029 779 1048.127942214141 514.5 389.35135135135135 0.0 0.0
5 RADIAL 1028 685 563.2111394833296 514.0 342.66666666666663 0.0 0.0
149 RADIAL 719 1078 1021.3855624565712 359.5 539.25 0.0 0.0
116 RADIAL 760 1004 1052.326875414167 380.0 502.1428571428571 0.0 0.0
205 RADIAL 760 1004 1025.7327897208077 380.0 502.1428571428571 0.0 0.0
55 RADIAL 1046 697 855.3712847293951 523.0 348.6666666666667 0.0 0.0
34 RADIAL 607 802 822.1014206750052 303.5 401.0535714285714 0.0 0.0
166 RADIAL 756 999 1064.277946472168 378.0 499.5 0.0 0.0
7 RADIAL 1030 752 1010.888724971462 515.0 375.81081081081084 0.0 0.0
183 RADIAL 760 1004 1125.2213260105677 380.0 502.1428571428571 0.0 0.0
193 RADIAL 1047 698 1353.9222607245813 523.5 349.0 0.0 0.0
125 RADIAL 1014 767 1071.9191974949192 507.00000000000006 383.6756756756757 0.0 0.0
139 RADIAL 1015 768 901.4503618188807 507.5 384.05405405405406 0.0 0.0
177 RADIAL 1030 752 1053.594899564176 515.0 375.81081081081084 0.0 0.0
218 RADIAL 760 1041 1071.2210591634114 380.0 520.7407407407408 0.0 0.0
46 RADIAL 760 1004 1002.9539598737445 380.0 502.1428571428571 0.0 0.0
212 RADIAL 696 1071 837.7584219712478 348.0 535.3846153846154 0.0 0.0
154 RADIAL 1030 752 1085.867035324509 515.0 375.81081081081084 0.0 0.0
226 RADIAL 689 1034 1112.2884311676025 344.5 516.75 0.0 0.0
137 RADIAL 692 1065 796.8425215207614 346.0 532.3076923076924 0.0 0.0
145 RADIAL 1022 773 1166.9181553608662 511.0 386.7027027027027 0.0 0.0
86 RADIAL 1023 774 1073.4303276474411 511.5 387.0810810810811 0.0 0.0
23 RADIAL 1027 777 1123.4212810928757 513.5 388.5945945945946 0.0 0.0
59 RADIAL 695 1069 801.3306834147527 347.5 534.6153846153846 0.0 0.0
131 RADIAL 606 801 846.0358837672642 303.0 400.3928571428571 0.0 0.0
72 RADIAL 1049 699 1139.7596589112893 524.5 349.6666666666667 0.0 0.0
119 RADIAL 760 1004 772.9458808898926 380.0 502.1428571428571 0.0 0.0
117 RADIAL 760 1004 1104.080786023821 380.0 502.1428571428571 0.0 0.0
215 RADIAL 644 1082 918.2801168823243 322.0 540.96 0.0 0.0
58 RADIAL 1013 767 1084.2411841315193 506.5 383.2972972972973 0.0 0.0
180 RADIAL 1025 776 1129.6533043320114 512.5 387.8378378378378 0.0 0.0
161 RADIAL 1025 776 1053.5958882924672 512.5 387.8378378378378 0.0 0.0
225 RADIAL 760 760 702.6908850669861 380.0 380.0 0.0 0.0
140 RADIAL 1047 698 1358.598401436439 523.5 349.0 0.0 0.0
153 RADIAL 1025 776 1146.5075325321507 512.5 387.8378378378378 0.0 0.0
8 RADIAL 1015 768 818.6518604690964 507.5 384.05405405405406 0.0 0.0
106 RADIAL 1022 773 1111.0167301281078 511.0 386.7027027027027 0.0 0.0
57 RADIAL 1016 769 819.9874253144135 508.0 384.43243243243245 0.0 0.0
191 RADIAL 1065 692 797.6879210472107 532.5 346.125 0.0 0.0
30 RADIAL 1018 770 1012.5372119594264 509.0 385.18918918918916 0.0 0.0
115 RADIAL 857 756 625.7253035657546 428.5 378.0882352941177 0.0 0.0
150 RADIAL 1034 755 1073.4442895425334 517.0 377.2702702702703 0.0 0.0
228 RADIAL 1028 778 1140.559384732633 514.0 388.97297297297297 0.0 0.0
31 RADIAL 814 616 832.6799087524414 407.0 308.0 0.0 0.0
24 RADIAL 1027 685 794.5679057439168 513.5 342.3333333333333 0.0 0.0
90 RADIAL 760 1041 1033.2122972276477 380.0 520.7407407407408 0.0 0.0
211 RADIAL 756 999 967.3981018066406 378.0 499.5 0.0 0.0
210 RADIAL 760 1004 834.2568016052246 380.0 502.1428571428571 0.0 0.0
233 RADIAL 1026 776 1081.4146614074707 513.0 388.2162162162162 0.0 0.0
68 RADIAL 521 380 621.032592154838 260.5 190.09459459459458 0.0 0.0
102 RADIAL 1013 675 762.4392474247859 506.5 337.6666666666667 0.0 0.0
151 RADIAL 760 1004 1011.9423702784946 380.0 502.1428571428571 0.0 0.0
99 RADIAL 1013 565 1107.5621909208076 506.5 282.69767441860466 0.0 0.0
122 RADIAL 760 1004 775.2162674495152 380.0 502.1428571428571 0.0 0.0
132 RADIAL 760 861 886.9060414632161 380.0 430.66666666666663 0.0 0.0
178 RADIAL 610 806 693.0304861068726 305.0 403.0357142857143 0.0 0.0
37 RADIAL 760 1004 1046.1256544930593 380.0 502.1428571428571 0.0 0.0
45 RADIAL 696 1071 851.5456827603854 348.0 535.3846153846154 0.0 0.0
133 RADIAL 374 494 416.78840698514665 187.0 247.10714285714286 0.0 0.0
