# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 6450, mean track length: 5.94
0 0.6917179988049833 -0.8461013940415301 0.4200496736446121 78 75 66 0.21
1 0.7109974665317536 -0.8362678645373858 0.4522582181216102 80 80 72 0.31
2 0.6886644172616305 -0.8459092694996611 0.4011631680283034 124 125 122 0.26
3 0.6736478736723612 -0.4553550422495491 0.3558468983889457 97 91 74 0.41
4 0.5794320865246194 -0.08890594822951706 0.7386216072870629 101 98 90 0.13
5 0.6114767134807582 -0.1157919894756634 0.6221255045284472 64 61 50 0.1
6 0.686179521059713 -0.210363364491308 0.2745309632427068 73 70 57 0.19
7 0.6006059215060726 -0.08965240666501892 0.6611783961571911 96 91 75 0.19
8 0.6867306349795268 -0.2047701161385111 0.2650737180555106 80 82 78 0.25
9 0.6868832164590364 -0.1184313860292088 0.2814726140281941 108 107 98 0.14
10 0.6659814115164711 -0.08674110354327452 0.3285529340665224 45 43 33 0.32
11 0.778941889181693 -0.1272583333286771 0.06408041975458501 92 91 80 0.29
12 0.6932458815566842 -0.862441320829282 0.442070405779881 76 74 64 0.29
13 0.6874717543239668 -0.8701393821565333 0.4080227909548301 72 68 58 0.37
14 0.7138910760504666 -0.6894045775704351 0.4393618837955139 81 80 68 0.12
15 0.5540622049906354 -0.3639836612581354 0.8170450404487117 103 100 83 0.35
16 0.5525228367300217 -0.2728294446478078 0.797422751614036 116 117 102 0.16
17 0.7474078217235414 -0.2757073856622907 0.8592223754527032 121 114 93 0.5
18 0.5391224471066536 -0.09829669171128336 0.7926458979891872 73 68 54 0.16
19 0.6324341043157331 -0.181976741876441 0.5535138777131838 104 104 97 0.16
20 0.6645918553390691 -0.03536509717606798 0.3492003138480685 80 78 64 0.31
21 0.6959292241215187 -0.8651513309499316 0.4461092232482257 118 116 109 0.38
22 0.5530819689859832 -0.3660401090472648 0.8188454409894333 82 77 61 0.48
23 0.6530663625585609 -0.4884646276415179 0.4289443618026633 108 104 90 0.86
24 0.7400482284486216 -0.296612287926191 0.8628072494637118 91 89 79 0.42
25 0.6760022234130028 -0.3969702361035281 0.3486027270264275 117 110 91 0.32
26 0.593690359995394 -0.2138541036286022 0.711388749026066 92 89 74 0.37
27 0.6611186620468488 -0.2640596394921554 0.4063449910888548 79 77 66 0.27
28 0.6420459153395637 -0.1674492148897383 0.5623006462327161 74 71 62 0.35
29 0.542844229916259 -0.07875366757202928 0.7871507223388849 124 123 115 0.17
30 0.5786173722296051 -0.06693871383287475 0.7405006712154814 116 116 104 0.36
31 0.5718856294142614 -0.007219087462049814 0.6544273047689193 53 53 42 0.18
32 0.7519280739780481 -0.0955593217384299 0.1657805206310116 73 73 56 0.28
33 0.6901341279330655 -0.8462672857822843 0.4113995798667045 114 112 99 0.54
34 0.6057495952122542 -0.1700533175711398 0.6633546056402527 109 109 95 0.22
35 0.6078024703128433 -0.03815731990346341 0.6581054907966597 65 65 52 0.26
36 0.7243939334432581 -0.9847974553335654 0.4711455037099205 60 56 44 0.38
37 0.6859968597715997 -0.8807100863186371 0.4506119260979251 142 139 131 0.38
38 0.6802538926033892 -0.09515708879741838 0.401486181536561 86 85 73 0.39
39 0.7051240187718069 -0.8457821840970546 0.4441902814259744 138 138 126 0.67
40 0.5908194152672781 -0.1260255049705843 0.7137840082512651 88 84 73 0.32
41 0.6821538833553076 -0.1920685562368624 0.4114953171627039 98 96 88 0.55
42 0.6681178869052466 -0.1168087476219153 0.4794247165004181 72 74 66 0.55
43 0.6181849680263012 -0.1485247046624888 0.6321394629255157 84 81 64 0.23
44 0.6614216578450665 -0.4519912539322866 0.4291545549457422 82 78 61 0.77
45 0.584638580532135 -0.1491475537787338 0.7360122136878521 87 82 67 0.48
46 0.6879966184324371 -0.8693529881587178 0.44744629700228 95 95 90 0.34
47 0.5512288707842818 -0.3683019142421543 0.8361012360269869 75 74 66 0.38
48 0.6861925309551111 -0.6146948239747754 0.3779564957101567 97 93 83 0.34
49 0.6938511407416834 -0.6338990802459529 0.3221341537597691 75 73 68 0.11
50 0.6564654489733381 -0.4602094722202277 0.4397595187563375 148 146 135 0.44
51 0.5529854643612582 -0.2613320358389885 0.7960145323644063 121 125 118 0.27
