# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 4747, mean track length: 5.24
0 0.7033302716895833 -0.8305387047390197 0.4354009939453045 78 75 66 4.48
1 0.7310443675077429 -0.8328401972661715 0.462057250721941 80 80 72 2.53
2 0.7040239923313587 -0.8349162274341049 0.4147048553065014 124 125 122 4.25
3 0.6894900365585261 -0.4508880111917656 0.362789792768116 97 91 74 3.91
4 0.5991945531080367 -0.09516656005678015 0.7416585059816785 101 98 90 1.41
5 0.5849431033239858 -0.09194166831250206 0.6405904115378824 64 61 50 3.41
6 0.6840820461688901 -0.1912103258141285 0.2901006193028585 73 70 57 2.48
7 0.5819108074792421 -0.07100647314415914 0.6748981879830629 96 91 75 4.79
8 0.6470610294795431 -0.2014443361130392 0.3060196249834266 80 82 78 4.2
9 0.6800424051795857 -0.1280033774301411 0.3014291712593343 114 115 112 2.21
10 0.653106835323007 -0.06649935327900275 0.3487352034275698 45 43 33 3.14
11 0.7634915448746267 -0.1070022472160259 0.09943382620972974 92 91 80 2.0
12 0.7105959201980545 -0.856471712025951 0.4523989223481677 62 60 52 2.53
13 0.6990613618401604 -0.8583771515109757 0.4251532277246859 72 68 58 2.21
14 0.6945304970407995 -0.8520610109268136 0.4273174722059152 64 60 49 2.1
15 0.7321362287374773 -0.6840977118703419 0.44720286771637 81 80 68 2.67
16 0.5697731400380939 -0.361961033192177 0.8220251119791964 103 100 83 1.31
17 0.5833924170857341 -0.2794309717386773 0.798963710868309 116 117 102 4.94
18 0.8073655780833808 -0.2882184238620948 0.8610309620588783 121 114 93 4.47
19 0.5205554966962831 -0.0946192737158188 0.8054506235814096 88 81 68 3.12
20 0.5939828092214714 -0.1762289077355146 0.5798191716008008 108 115 113 2.7
21 0.6705820479789248 -0.02747645255991105 0.3534805165437256 61 61 46 5.3
22 0.714356311370365 -0.8629192588237741 0.457707124351348 93 89 75 1.69
23 0.5685260278015796 -0.3638908788451563 0.8239342142070295 82 77 61 1.11
24 0.6549594184080205 -0.470037154639614 0.4428025174028329 108 104 90 1.07
25 0.7946568249932413 -0.3084284750783746 0.8656952021677671 91 89 79 4.37
26 0.6588750123823126 -0.3678265084193134 0.3781346421239226 117 110 91 3.5
27 0.6226738282386106 -0.2144016647276364 0.7087268854628167 92 89 74 2.52
28 0.6697250117176057 -0.2535471540133601 0.4121588132948073 91 89 77 5.41
29 0.6436798068774749 -0.1538528048824281 0.5714228853115392 75 71 60 5.41
30 0.5460770558570223 -0.07908702410003762 0.7936434276845921 124 123 115 3.96
31 0.5857385619499986 -0.06868109391670379 0.7453540605286195 116 116 104 5.02
32 0.5622384719717202 0.007356572446536133 0.6631348308551539 53 53 42 5.57
33 0.762829158519637 -0.08833943380896975 0.1695946653593525 73 73 56 5.0
34 0.6920561488053405 -0.8205495568637211 0.431877357701909 114 112 99 4.31
35 0.5910318367671115 -0.1478886668864065 0.674909871539124 106 106 91 4.05
36 0.5104664171559041 -0.005818851790538343 0.7989233896248965 99 97 91 5.62
37 0.6002562835039331 -0.02227848592501561 0.6664487334534062 66 65 52 4.39
38 0.7252328800162893 -0.9555751480602629 0.4951588517702795 60 56 44 2.34
39 0.6967059278830143 -0.8678542429563137 0.4675076629855138 142 139 131 2.59
40 0.6677263353318073 -0.07728725856061852 0.4203383469484204 86 85 73 4.02
41 0.7015590647545822 -0.82070918344684 0.468535819658912 138 138 126 4.16
42 0.691274806003358 -0.8079685323641921 0.4765723227631624 140 135 119 3.18
43 0.5376190652785082 -0.09520504795068319 0.7389035340342441 88 84 73 2.14
44 0.6780966559927879 -0.1710196734223094 0.4233300599505802 88 85 71 4.47
45 0.6773383619894568 -0.120072696994313 0.4856859297245724 72 74 66 6.72
46 0.5612776783746398 0.01658868538011413 0.6719070220405547 74 72 58 5.41
47 0.6507885809704022 -0.1475412361537182 0.6249718423284064 84 81 64 3.02
48 0.640490628789457 -0.4141732184618344 0.4578646444106027 82 78 61 4.91
49 0.5741771017915196 -0.1315446708488331 0.7447946796351437 87 82 67 5.23
50 0.5741771017915196 -0.1315446708488331 0.7447946796351437 87 82 67 5.23
51 0.7179142269094589 -0.8719493171480838 0.4549828481094286 114 115 108 4.59
52 0.5443339503901692 -0.3523589638443467 0.8468020746044307 75 74 66 2.55
53 0.6747596409622481 -0.5912066411204162 0.4042433247292239 81 78 67 2.67
54 0.661732934432659 -0.5882655914456795 0.3653130456842447 75 73 68 3.79
55 0.6358955512505846 -0.4358691243565133 0.4671119473796608 148 146 135 3.14
56 0.5814013634556165 -0.2673997328321615 0.7998988755585561 121 125 118 4.67
57 0.6645797183158213 -0.3869401324005148 0.4250063012373307 87 84 73 4.19
58 0.7077452632712722 -0.4301553526556574 0.3598535994043882 104 97 79 5.07
59 0.6863365442530349 -0.3679185909668049 0.455987068568873 184 177 150 3.31
60 0.666919912742115 -0.373944234951334 0.4308406124077309 99 100 92 4.11
61 0.666919912742115 -0.373944234951334 0.4308406124077309 99 100 92 4.11
62 0.6646773779698059 -0.3701621423939931 0.4277560985641738 161 162 155 4.05
63 0.6632760901194308 -0.3563239178086285 0.4267594753514097 142 140 133 4.45
64 0.6628510972215669 -0.3298177703069914 0.4196297061858314 83 81 69 4.46
65 0.7561634304790517 -0.353096429765997 0.4727925212995337 63 68 68 4.82
66 0.6178039530925548 -0.3036257026451281 0.4139027297719021 55 49 38 3.74
67 0.6189029372310952 -0.2914516645195729 0.4082265903704237 61 55 43 3.9
68 0.5621139122235024 -0.1643995623544984 0.7786592757574193 50 47 38 7.06
69 0.6254045873899932 -0.2035673917037606 0.7053104981776936 94 91 79 4.97
70 0.7268405423055602 -0.3037269801992915 0.4155689367887626 120 129 131 5.61
71 0.9032339322345921 -0.3331781712654258 0.4405938403818892 125 124 119 3.5
72 0.5440200768309973 -0.1426272275961838 0.7186255360847684 66 66 57 4.53
73 0.5852674311774724 -0.1523487221188996 0.7041125794558043 61 60 55 7.1
74 0.5747597091061352 -0.1560960230677915 0.7168122899825203 58 54 45 4.83
75 0.6593084981017292 -0.2171563816578679 0.5372260083098084 114 112 101 5.35
76 0.8077999672695471 -0.34025464396772 0.09535776511429284 61 66 68 4.22
77 0.6597110121481167 -0.1850372560959806 0.5857655376183188 79 81 75 5.87
78 0.6712621429982117 -0.2236276785906906 0.4268767963923031 77 77 68 5.1
79 0.5522952015742637 -0.1157821130621909 0.7487243740115344 98 96 90 5.68
80 0.6104571074215457 -0.1455804676319447 0.5977420875195782 21 21 15 7.26
81 0.5571950167067823 -0.1036310105339014 0.7266512471282218 69 68 64 5.17
82 0.8485618811255382 -0.3235324789813221 -0.03873859205046815 84 84 75 3.6
83 0.7063707448380885 -0.1938076712976286 0.4481100648260091 60 56 47 3.03
84 0.7629970409137843 -0.2400456080631238 0.150490877233125 50 48 40 3.78
85 0.5826132707379592 -0.09506895793281675 0.7669836393510439 70 71 65 5.59
86 0.5965605118004875 -0.1048780565303713 0.6974258356682266 124 125 120 4.46
87 0.6760384634967329 -0.1714184683918332 0.3358117431131254 78 76 64 6.07
88 0.5722927613576647 -0.07423498033333994 0.7343225152140352 107 103 88 5.77
89 0.4785986802348324 -0.0345655446830872 0.8157204543788664 96 92 83 6.64
90 0.5933619127700187 -0.07274572416746364 0.652325600843354 65 62 50 5.65
91 0.6121020465494542 -0.08135275422762794 0.594034783251946 96 94 80 4.44
92 0.5483396472901139 -0.01970138931282482 0.7402897509251732 76 74 66 6.64
93 0.6246381958596556 -0.01668723941154858 0.6497129283732762 73 71 64 5.92
94 0.822241804703397 -0.1264438976796299 -0.1489451395606375 44 43 39 6.81
95 0.6718316010140049 -0.04738806788631565 0.3746565198992271 112 113 108 6.5
96 0.6718316010140049 -0.04738806788631565 0.3746565198992271 112 113 108 6.5
97 0.5746317479520775 0.02384046286150307 0.8097261729962755 50 45 31 6.14
98 0.4331569000985095 0.03502428366709392 0.8141558747269684 70 68 60 1.89
99 0.7029614536070188 -0.9092014438829396 0.44469606340635 65 66 60 4.04
100 0.6926048712347439 -0.8604282688597142 0.4875141406304158 80 78 69 1.79
101 0.7099715663005992 -0.8867574635157568 0.4589125785530671 131 129 122 3.22
102 0.5372984025974921 -0.3514738871989601 0.830733124024572 95 94 86 2.53
103 0.6899743785465497 -0.4556620388443108 0.4519503498884296 110 105 93 4.85
104 0.6763479230501592 -0.3958965714104403 0.4322494958788213 165 165 152 4.32
105 0.6669308360063377 -0.3613815008790139 0.4277226726901641 65 63 55 4.34
106 0.5734424587250173 -0.1296177765890656 0.7113917766238516 79 76 62 5.37
107 0.6272272207027609 -0.2030221631052175 0.3905905808766618 88 83 72 3.68
108 0.5146009378301288 -0.1036188641622434 0.7950883081483677 109 108 102 5.49
109 0.644856434052967 -0.1624215283344592 0.5848861294937828 24 23 19 6.88
110 0.5074161392537173 -0.08980471212870225 0.7914223744280314 56 54 47 2.31
111 0.6724851641200436 -0.1725714144966374 0.5012225788958515 19 18 11 6.84
112 0.5904661180679873 -0.110017314863448 0.6382929499104608 82 80 70 4.38
113 0.73625933239224 -0.2338494095412723 0.1008216032400421 53 50 44 3.37
114 0.6421288846806827 -0.1425868159418407 0.4254974534306777 74 74 66 4.57
115 0.6025616029791141 -0.09245989887119227 0.5546460813242254 77 77 74 4.92
116 0.6277571045992956 -0.09786717065685072 0.5365122397120041 91 88 77 4.25
117 0.6922799338210925 -0.1521977187365424 0.2813822298550162 78 78 67 6.24
118 0.6923966426954733 -0.1519720723474755 0.2816471849761115 82 81 72 5.85
