# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 82
34 RADIAL 607 802 841.1780879449838 303.5 401.0535714285714 -0.027683503742005462 0.07931642829158034
37 RADIAL 760 1004 1065.5041947642862 380.0 502.1428571428571 -0.008728375790481602 0.01154058699295463
122 RADIAL 760 1004 792.9722705793932 380.0 502.1428571428571 -0.06941381761312812 0.09283065721153708
7 RADIAL 1030 752 1030.5434196390904 515.0 375.81081081081084 -0.05255666974154394 0.14823810064824777
166 RADIAL 756 999 1067.4720943366033 378.0 499.5 0.04571801288518967 -0.19771643808848652
186 RADIAL 689 1034 921.1096537052185 344.5 516.75 -0.00874938644906652 -0.02093824494450745
202 RADIAL 760 1004 853.2649885896094 380.0 502.1428571428571 0.004029141757743035 -0.06303512436605523
45 RADIAL 696 1071 846.3544314441455 348.0 535.3846153846154 -0.016802696572922167 0.022696233905308477
46 RADIAL 760 1004 1017.2137840073035 380.0 502.1428571428571 -0.014744372078539094 0.033185794669845003
212 RADIAL 696 1071 854.5681696798287 348.0 535.3846153846154 -0.01826715359103778 0.0492612678560431
117 RADIAL 760 1004 1110.8483303759042 380.0 502.1428571428571 0.024648132933051032 -0.08606286935972361
86 RADIAL 1023 774 1041.8028702170502 511.5 387.0810810810811 -0.043862050831945505 0.14463468106803998
90 RADIAL 760 1041 1026.5122838648392 380.0 520.7407407407408 -0.02768731738659754 0.035659856703303246
94 RADIAL 760 1004 1259.7414547882813 380.0 502.1428571428571 -0.028513405888628298 0.08079647045445704
8 RADIAL 1015 768 813.2803028713824 507.5 384.05405405405406 0.025237720952115256 -0.08127525308882294
139 RADIAL 1015 768 874.3490355578672 507.5 384.05405405405406 0.1009590795768361 -0.326078840381637
161 RADIAL 1025 776 1034.8110127939626 512.5 387.8378378378378 -0.0059477519238641105 -0.002924476352550372
47 RADIAL 760 1070 1405.1900617688898 380.0 534.8148148148148 0.6771624974388063 0.056563370110338615
178 RADIAL 610 806 715.1805087111495 305.0 403.0357142857143 -0.024747738046619217 0.021582947949913778
