# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 82
47 RADIAL 760 1070 1391.1261316446733 380.0 534.8148148148148 0.3024929126177297 0.011959423332801186
149 RADIAL 719 1078 998.2525202468422 359.5 539.25 -0.037783943074868175 0.12501070351364135
7 RADIAL 1030 752 1031.9843489872435 515.0 375.81081081081084 -0.06830173788860824 0.20681222635713245
212 RADIAL 696 1071 856.8339414739526 348.0 535.3846153846154 -0.020824160948644168 0.06036941179558517
186 RADIAL 689 1034 923.0404432399528 344.5 516.75 -0.010748308550951038 -0.016421842079703933
94 RADIAL 760 1004 1261.9892546232538 380.0 502.1428571428571 -0.03200652617089521 0.09150807186321162
117 RADIAL 760 1004 1112.1018205560204 380.0 502.1428571428571 0.03973520815109228 -0.13498541511236967
55 RADIAL 1046 697 848.975123565817 523.0 348.6666666666667 -0.018023227296298214 0.028839532644408677
151 RADIAL 760 1004 1036.9995740523204 380.0 502.1428571428571 -0.027581339280905382 0.047619362253097465
189 RADIAL 1032 688 739.5873869981765 516.0 344.0 -0.030133196224758872 0.04909222841741512
161 RADIAL 1025 776 1035.4445887178747 512.5 387.8378378378378 -0.002760050248091487 -0.008146867092801047
125 RADIAL 1014 767 1054.476322019109 507.00000000000006 383.6756756756757 0.020598754753730755 -0.10063842094064243
216 RADIAL 1029 779 1022.848412247879 514.5 389.35135135135135 -0.016493092517095666 0.05119146237468079
218 RADIAL 760 1041 1061.6491304412332 380.0 520.7407407407408 -0.017434017020794206 0.060972830158657766
116 RADIAL 760 1004 1066.4788526692516 380.0 502.1428571428571 -0.02390867592291181 0.059499960823789576
122 RADIAL 760 1004 794.9094829963364 380.0 502.1428571428571 -0.08086050292576646 0.11251544262591368
86 RADIAL 1023 774 1042.7948226517444 511.5 387.0810810810811 -0.03875193772452383 0.11901920405994734
58 RADIAL 1013 767 1072.0975809870492 506.5 383.2972972972973 0.001873369752406446 0.02082466298917401
