# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 61
47 RADIAL 760 1070 1380.5254448784722 380.0 534.8148148148148 0.0 0.0
149 RADIAL 719 1078 1020.9206106479351 359.5 539.25 0.0 0.0
7 RADIAL 1030 752 1003.6992516388765 515.0 375.81081081081084 0.0 0.0
189 RADIAL 1032 688 742.0833382239708 516.0 344.0 0.0 0.0
55 RADIAL 1046 697 859.3381309020214 523.0 348.6666666666667 0.0 0.0
161 RADIAL 1025 776 1056.4870112651104 512.5 387.8378378378378 0.0 0.0
125 RADIAL 1014 767 1069.7115560995567 507.00000000000006 383.6756756756757 0.0 0.0
216 RADIAL 1029 779 1052.6398363371154 514.5 389.35135135135135 0.0 0.0
218 RADIAL 760 1041 1072.561710498951 380.0 520.7407407407408 0.0 0.0
116 RADIAL 760 1004 1052.5354603358678 380.0 502.1428571428571 0.0 0.0
122 RADIAL 760 1004 775.0364930289132 380.0 502.1428571428571 0.0 0.0
86 RADIAL 1023 774 1074.787953247895 511.5 387.0810810810811 0.0 0.0
193 RADIAL 1047 698 1357.0692160679744 523.5 349.0 0.0 0.0
46 RADIAL 760 1004 1002.7216121128627 380.0 502.1428571428571 0.0 0.0
151 RADIAL 760 1004 1010.8507292611258 380.0 502.1428571428571 0.0 0.0
90 RADIAL 760 1041 1030.5143511736835 380.0 520.7407407407408 0.0 0.0
37 RADIAL 760 1004 1042.400117601667 380.0 502.1428571428571 0.0 0.0
183 RADIAL 760 1004 1124.3354742867605 380.0 502.1428571428571 0.0 0.0
94 RADIAL 760 1004 1256.8253135681152 380.0 502.1428571428571 0.0 0.0
166 RADIAL 756 999 1065.5479488372803 378.0 499.5 0.0 0.0
154 RADIAL 1030 752 1086.4881046398266 515.0 375.81081081081084 0.0 0.0
34 RADIAL 607 802 820.9085550989423 303.5 401.0535714285714 0.0 0.0
205 RADIAL 760 1004 1028.7516021728516 380.0 502.1428571428571 0.0 0.0
212 RADIAL 696 1071 841.7170451237605 348.0 535.3846153846154 0.0 0.0
191 RADIAL 1065 692 796.7600619792938 532.5 346.125 0.0 0.0
226 RADIAL 689 1034 1115.9661674499512 344.5 516.75 0.0 0.0
24 RADIAL 1027 685 794.440681139628 513.5 342.3333333333333 0.0 0.0
132 RADIAL 760 861 882.7839050292969 380.0 430.66666666666663 0.0 0.0
153 RADIAL 1025 776 1138.496549709423 512.5 387.8378378378378 0.0 0.0
22 RADIAL 1066 693 795.6290027141571 533.0 346.45 0.0 0.0
140 RADIAL 1047 698 1368.7025255056528 523.5 349.0 0.0 0.0
150 RADIAL 1034 755 1077.4116599624222 517.0 377.2702702702703 0.0 0.0
30 RADIAL 1018 770 1011.6259863569929 509.0 385.18918918918916 0.0 0.0
70 RADIAL 1026 776 1073.9231789047653 513.0 388.2162162162162 0.0 0.0
228 RADIAL 1028 778 1148.2679051579655 514.0 388.97297297297297 0.0 0.0
58 RADIAL 1013 767 1080.0096839698585 506.5 383.2972972972973 0.0 0.0
23 RADIAL 1027 777 1129.0608546798294 513.5 388.5945945945946 0.0 0.0
31 RADIAL 814 616 833.3914947509766 407.0 308.0 0.0 0.0
145 RADIAL 1022 773 1171.7577660019333 511.0 386.7027027027027 0.0 0.0
233 RADIAL 1026 776 1085.7443111522778 513.0 388.2162162162162 0.0 0.0
45 RADIAL 696 1071 845.7248373765212 348.0 535.3846153846154 0.0 0.0
167 RADIAL 1023 774 1056.6528090399665 511.5 387.0810810810811 0.0 0.0
177 RADIAL 1030 752 1051.9850148381413 515.0 375.81081081081084 0.0 0.0
106 RADIAL 1022 773 1105.5225200137577 511.0 386.7027027027027 0.0 0.0
99 RADIAL 1013 565 1111.1627640391505 506.5 282.69767441860466 0.0 0.0
72 RADIAL 1049 699 1142.8457780984731 524.5 349.6666666666667 0.0 0.0
74 RADIAL 1057 590 1055.1894307247428 528.5 294.9767441860465 0.0 0.0
144 RADIAL 760 1041 799.1236001473886 380.0 520.7407407407408 0.0 0.0
139 RADIAL 1015 768 900.2731418609619 507.5 384.05405405405406 0.0 0.0
211 RADIAL 756 999 967.8516483306885 378.0 499.5 0.0 0.0
57 RADIAL 1016 769 820.2569458420212 508.0 384.43243243243245 0.0 0.0
59 RADIAL 695 1069 804.1206024243281 347.5 534.6153846153846 0.0 0.0
143 RADIAL 760 1004 875.7585484640939 380.0 502.1428571428571 0.0 0.0
215 RADIAL 644 1082 924.8316494750977 322.0 540.96 0.0 0.0
8 RADIAL 1015 768 819.9064402966885 507.5 384.05405405405406 0.0 0.0
137 RADIAL 692 1065 796.3608395503118 346.0 532.3076923076924 0.0 0.0
68 RADIAL 521 380 621.8858559067185 260.5 190.09459459459458 0.0 0.0
119 RADIAL 760 1004 772.5477627345493 380.0 502.1428571428571 0.0 0.0
48 RADIAL 818 619 861.8831322128708 409.0 309.51351351351354 0.0 0.0
51 RADIAL 815 617 900.5418145978773 407.5 308.3783783783784 0.0 0.0
115 RADIAL 857 756 633.3925286741818 428.5 378.0882352941177 0.0 0.0
