# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 5191, mean track length: 6.17
0 0.7057519676143917 -0.7382803940206412 0.4684505087306056 110 102 90 4.14
1 0.6747325182069602 -0.7383041277761934 0.3871120154919424 148 141 129 2.38
2 0.7122977830909463 -0.7433936885552458 0.3828137581791851 201 208 215 0.77
3 0.6787147206053095 -0.7014294431300261 0.3966518529811838 195 194 191 2.64
4 0.6741098112359033 -0.6735466758217199 0.3926003247876169 129 121 110 1.38
5 0.6972184126763318 -0.668347279879251 0.4616162309859262 155 148 135 4.41
6 0.6778585829753127 -0.6702915828229915 0.3995613634421866 135 132 128 1.4
7 0.6625230491668314 -0.628229829970421 0.4689052075030447 135 130 130 3.68
8 0.658286374320889 -0.6559739561276501 0.3766589132344027 122 119 113 2.89
9 0.7024746350842509 -0.6482557410702264 0.4647775738070636 132 124 112 4.67
10 0.6918331409530188 -0.6381806658494473 0.4669699493602807 94 92 91 3.92
11 0.6569057286265431 -0.6380521317328609 0.3870140220882132 102 100 93 4.32
12 0.6230207301371405 -0.5773461368189291 0.4713310855512484 81 74 67 4.76
13 0.6683319790853091 -0.6191506294284053 0.4537086871348857 65 60 63 3.61
14 0.6307954727291329 -0.5860793616663078 0.4359055404732834 129 124 118 3.91
15 0.6769514270332135 -0.6365233463268605 0.3943815796623243 121 116 107 3.01
16 0.6159598610711607 -0.5986439228900069 0.3577664003791862 146 146 147 4.9
17 0.6627469850405355 -0.6225672507550606 0.3961866255560584 140 134 122 3.49
18 0.6351815325970076 -0.5836090391725235 0.4450535773980789 108 102 88 4.1
19 0.6757096625825617 -0.6319365710310749 0.3945675216295993 88 84 74 2.94
20 0.6608173775650692 -0.5893521185134861 0.4519455765516699 107 98 81 4.05
21 0.6754630302248569 -0.6102684432173607 0.394989185625412 67 63 56 3.98
22 0.7700187484622089 -0.6487328682246762 0.4613460382860565 191 198 203 1.12
23 0.76285346831296 -0.6413129470468921 0.4642501854012553 173 177 186 2.36
24 0.6672451047973561 -0.622197070912839 0.3238410581421073 141 136 127 3.91
25 0.6913483089882861 -0.5906812890367525 0.4508335519313036 117 114 108 4.59
26 0.6667005208851391 -0.6176547864296414 0.3269792657279106 114 108 97 3.82
27 0.621557235888277 -0.5362429941766877 0.4457598944925493 135 135 134 5.1
28 0.6517999629416392 -0.5782962697925423 0.3767025809119078 143 139 128 3.68
29 0.6802004823264752 -0.6142562869181667 0.3088791602865866 118 113 105 4.26
30 0.699172420547872 -0.5752767755854844 0.4610015810414002 180 176 166 5.14
31 0.678867273261204 -0.5863118959806266 0.32609900005273 105 104 106 5.22
32 0.681841370628674 -0.5912128379150231 0.3254891844272773 130 126 120 3.83
33 0.632820405655748 -0.5193735688265736 0.4276566107299893 102 99 93 4.62
34 0.6987146728389023 -0.5959097701060473 0.3130127163201028 110 113 120 3.75
35 0.6472661360447198 -0.5445154780986392 0.3447620660144547 206 212 228 3.94
36 0.6472661360447198 -0.5445154780986392 0.3447620660144547 206 212 228 3.94
37 0.7493115225951437 -0.5832694007950023 0.4644606489288604 115 108 107 3.42
38 0.6783092417800755 -0.5680376944415755 0.3219219345447425 127 133 145 6.33
39 0.67352290722385 -0.5356538290566961 0.3601146150248002 148 144 132 1.34
40 0.616632972230638 -0.4982632687410216 0.3480838436769069 75 73 73 4.38
41 0.6722129641342849 -0.521224825187161 0.3609979660919293 103 100 101 4.6
42 0.6787760912944357 -0.5351061438184147 0.3107769479803681 126 122 110 3.79
43 0.6764801504438468 -0.5319610431773245 0.3135574267907607 94 87 74 4.43
44 0.6629047174134461 -0.4789964857300133 0.4418391943782968 110 108 100 5.06
45 0.8207202875547053 -0.6003923762004013 0.2154546203503495 126 120 114 6.15
46 0.7613811700582378 -0.5180136023698427 0.4607338518368474 139 138 141 3.86
47 0.620141502212211 -0.4384371559320495 0.4206873093581544 107 103 95 4.1
48 0.6239303258982269 -0.4395129179890796 0.4194869064579247 102 97 89 4.84
49 0.6188840183351945 -0.4291322015520325 0.4277237537564685 79 78 81 2.29
50 0.6421687576997696 -0.4693115054007284 0.3540948369686562 179 175 166 4.77
51 0.6207609791734859 -0.4329949214317936 0.4154841706283096 88 83 76 3.19
52 0.5381030873345238 -0.2769709881378774 0.796068850624216 94 92 92 4.64
53 0.643495539082823 -0.4625382996640147 0.3561679196654645 115 113 103 3.53
54 0.6902967746301321 -0.4954933605979662 0.3010248496008516 129 126 114 1.43
55 0.659189180488798 -0.4344592326386454 0.447372076956227 103 103 106 2.39
56 0.6468055480313946 -0.4428675862999218 0.3970859486089712 113 105 91 3.11
57 0.7004577540590594 -0.4938411402185044 0.3091933227438266 189 188 188 1.99
58 0.5951133952519024 -0.4188777061213678 0.3558428518374229 133 133 136 1.72
59 0.6751344745302634 -0.4297132048500488 0.4495672301216673 109 106 101 4.26
60 0.6353007022757446 -0.405973579391035 0.4652554008201242 121 116 107 2.52
61 0.6566613465734742 -0.447593411378617 0.3601118493963651 98 89 75 2.87
62 0.6491780757862889 -0.4495590528827345 0.3516971271271735 115 104 93 5.65
63 0.6659389129231925 -0.4394810997333707 0.4086828135761776 131 123 115 4.5
64 0.6380377850332504 -0.4204646436610994 0.3579262130207079 117 113 106 3.31
65 0.6488700620941402 -0.4196418125588829 0.3650466786006167 117 110 102 5.92
66 0.6793290391390129 -0.4455179548560702 0.3077011815775939 129 120 109 3.57
67 0.6641720811975663 -0.4058450498299748 0.3435456710197803 156 147 130 4.56
68 0.6795326853046172 -0.3827115347556333 0.4263968681930465 124 124 123 2.36
69 0.5282301764607871 -0.2203419828813782 0.7970259934778988 125 132 136 4.76
70 0.6520522903275553 -0.3924318798127066 0.3455687303356018 147 134 113 5.46
71 0.5609048656907121 -0.3187186328666079 0.4732591828465834 168 163 152 5.09
72 0.6765364878919399 -0.3799748541582422 0.4164376537446481 135 131 120 6.13
73 0.6485423948398776 -0.365178767371056 0.3987728548625779 134 128 120 4.49
74 0.6832498485886974 -0.407688945104779 0.2902882823912952 164 161 150 5.53
75 0.6294076361564005 -0.338929049161599 0.4167390277502875 145 141 131 3.61
76 0.661264083395384 -0.3768283294065336 0.3046758202354503 128 121 110 3.92
77 0.6599208843237623 -0.3754734194791569 0.3054742999728829 120 118 116 3.49
78 0.6503211581621464 -0.3505654514369297 0.4268724575973229 105 100 91 6.06
79 0.5707249793054823 -0.2454382917959627 0.6877219347333908 51 54 51 7.37
80 0.6714147633042979 -0.3572419499433431 0.3773552957241326 120 115 109 4.63
81 0.6504666793521433 -0.3371268113077986 0.40378522635429 150 145 135 5.65
82 0.8263369289818248 -0.5093968501964801 -0.01519939012510896 196 193 192 5.72
83 0.8523163639154763 -0.5213018661167185 -0.04543366238012891 112 110 102 6.06
84 0.6697840071413401 -0.3386663887245404 0.3974464165672102 159 151 139 6.11
85 0.7806832209482808 -0.464352734165294 -0.0010690785314863 171 169 160 3.53
86 0.7174279908172158 -0.3713603946139403 0.2985102204760689 119 116 110 2.93
87 0.6671897483546116 -0.3281227025407636 0.3603033792504035 79 76 71 4.98
88 0.8629743292986899 -0.5063720082151186 -0.07375871463311612 174 172 171 6.64
89 0.6637296822127499 -0.3101618521257412 0.3946517805710807 134 126 119 5.1
90 0.703300920870224 -0.3345405363268689 0.3305554509050907 92 81 65 6.71
91 0.7693249230833656 -0.4147897426275541 0.02187213525172149 127 125 120 5.76
92 0.7569657246370501 -0.4105696541422267 0.01432906407923695 140 139 139 2.67
93 0.7897110609878703 -0.4167671741986444 0.008227522774207907 94 99 99 3.13
94 0.8875581091302925 -0.4807801968413133 -0.05477620924120008 187 189 188 6.13
95 0.6137212134845164 -0.222814803268368 0.6291575249403001 111 106 101 5.63
96 0.9148137674069792 -0.4408986609261595 -0.003608808737047831 61 65 72 3.79
97 0.5923499721944011 -0.2078857201345555 0.6283245603215066 122 124 125 1.63
98 0.742314598701164 -0.2998839265508643 0.366052964555668 147 152 157 3.12
99 0.6083106875454053 -0.2236067244815472 0.5538962580510687 114 123 120 1.69
100 0.6239951862007845 -0.2341431904513494 0.4059585923650108 101 100 95 3.9
101 0.5993438600246702 -0.1891161467513215 0.5937161578108149 70 68 63 5.83
102 0.6823557435444255 -0.2616013776764124 0.3826924957352613 160 154 136 2.63
103 0.6274016545572642 -0.2306028149580054 0.4075247885958806 100 94 83 3.48
104 0.6152765870879722 -0.2178931441345649 0.5362595231566508 68 67 68 0.77
105 0.6289454488840005 -0.2237981022380438 0.4084327664526273 89 83 72 3.29
106 0.670702595392361 -0.232678913241078 0.4687939503766908 99 100 99 4.1
107 0.627446305462409 -0.2227060826028008 0.4069768862129524 88 81 69 3.13
108 0.6123646824212434 -0.2341047565856442 0.400793139865492 143 139 129 4.85
109 0.7225983410524861 -0.2953136281012554 0.2549047754520541 120 114 102 6.26
110 0.7576291272730541 -0.3011472114083419 0.2177081059710039 99 96 94 4.32
111 0.7366340153421806 -0.281795667835628 0.2681374038848482 80 73 60 1.91
112 0.6074966168704546 -0.1936299660672253 0.490822243010393 91 92 90 4.63
113 0.5991491829707384 -0.1622679714991704 0.6587281088076461 86 89 83 3.44
114 0.5773010950053808 -0.1451611880311362 0.7276006281852798 98 93 85 7.19
115 0.6599219442664492 -0.2297667420404594 0.3659889674206813 109 101 83 5.67
116 0.641274127722452 -0.2246740621149515 0.3997772134296002 106 104 97 2.4
117 0.6775523191248014 -0.2482652818937458 0.2707381425846316 115 115 112 5.34
118 0.6444111420690013 -0.2122036223847804 0.3590604541610759 47 42 30 3.37
119 0.6630874984198838 -0.2452073620182567 0.3117641954231066 95 93 90 3.37
120 0.6172271237154702 -0.1763008632711957 0.585705459942407 78 69 57 3.68
121 0.6697747888316613 -0.2482561495219662 0.2800700693535454 118 115 110 4.36
122 0.6391360726140327 -0.2034329225009212 0.3926854533330514 102 98 89 2.9
123 0.739938774537284 -0.2725509317670585 0.1887899150287252 100 99 94 4.58
124 0.8441716049013065 -0.3411588169932302 -0.05821167366392832 140 136 126 2.54
125 0.8441716049013065 -0.3411588169932302 -0.05821167366392832 140 136 126 2.54
126 0.6064896625039219 -0.1596617603834233 0.5550440633197362 101 93 81 4.31
127 0.5365503045029839 -0.161502198402078 0.4368053966176571 58 57 49 1.84
128 0.6100183096831134 -0.1552008532025443 0.6116449236207608 130 126 111 6.93
129 0.6929752603871367 -0.2292176162810529 0.2874621090436862 102 92 79 5.49
130 0.6252453361851635 -0.1724622329992989 0.5418197422619011 76 74 64 3.44
131 0.6303408762290016 -0.2202962060868763 0.3018315190083379 96 90 77 2.84
132 0.7345689380168321 -0.2459725386278162 0.2666708689288766 118 114 112 5.42
133 0.6897228050705781 -0.2195138666881898 0.2859869783254236 115 108 98 4.56
134 0.6356949302585553 -0.2005370941804153 0.3628591183752247 85 77 61 3.88
135 0.6473002804989437 -0.1832383770650503 0.4686958693315708 106 101 92 3.32
136 0.7559563530809249 -0.2540507116003131 0.08581160998394077 81 77 69 3.8
137 0.6255140542440941 -0.1614761303075411 0.5423225034661712 133 126 114 3.82
138 0.7738047860941664 -0.2682873834852367 0.01449162205494547 53 52 45 4.06
139 0.580876641449952 -0.111270430218993 0.6923529118769022 77 78 80 5.54
140 0.6845494203230125 -0.2096229670819904 0.2821714293574688 85 80 72 6.54
141 0.6449841675238611 -0.210632058015847 0.2992487407560496 91 84 71 2.42
142 0.7237475550430912 -0.2259222022788334 0.2019549415705242 49 49 45 4.35
143 0.5974745352809504 -0.1805618632653141 0.2803101430086039 35 37 34 2.74
144 0.6532671877654114 -0.2005307088317647 0.3362899879689887 80 78 69 3.24
145 0.6422476077056363 -0.1864330844202976 0.401432260091285 93 89 76 3.8
146 0.4077790269267437 -0.115333148717123 0.4585196189523105 73 66 52 4.03
147 0.6608806753574165 -0.2066657201302017 0.2786645729437887 111 107 94 4.14
148 0.7676499989623941 -0.2581953868604606 0.01879639723271176 43 42 38 5.63
149 0.6405077827628527 -0.1938828392085907 0.3263317614588822 95 90 81 2.12
150 0.6444238591967448 -0.170280231415436 0.340704580809633 66 63 56 2.61
151 0.8751207364121416 -0.2840638740897148 0.01066840297524829 73 72 65 4.59
152 0.9443163219069712 -0.3459507504086668 -0.1353050178809476 73 69 60 4.31
153 0.6704533403776736 -0.1959077939538802 0.2187543369740252 53 50 43 4.01
154 0.9374224043311166 -0.3009933542651456 -0.0483792219050726 78 75 69 1.66
155 0.6732666178149312 -0.1692373059394907 0.4312969625170335 84 83 80 6.48
156 0.6774327621830346 -0.2058734500709598 0.1244744211814059 65 61 50 6.3
157 0.5771103936520172 -0.1206251921284826 0.620482304216634 81 73 56 2.36
158 0.6937451292083222 -0.2134329372518276 0.2295841641303717 95 92 82 3.39
159 0.6326245217718192 -0.134978352912496 0.5453821811496439 108 109 104 4.83
160 0.6326245217718192 -0.134978352912496 0.5453821811496439 108 109 104 4.83
161 0.6346129326972312 -0.1592456220417149 0.3447914827693866 52 50 48 3.76
162 0.6610516679471643 -0.1914384657423811 0.2829714044921955 100 95 76 4.16
163 0.6201209203974304 -0.1311116533502721 0.5819858468929467 96 91 81 4.01
164 0.7874381651091595 -0.2459428037798612 -0.0007895021794525059 71 68 64 4.36
165 0.6480138779765751 -0.1608774853294545 0.3816207529797357 103 96 85 6.17
166 0.5664683922230181 -0.09676700168865206 0.7003534828085991 72 65 55 3.52
167 0.723282980776219 -0.2048138736154697 0.1863308671400011 104 102 98 4.33
168 0.5625996398323054 -0.08111820552587866 0.6865843631535045 90 84 73 4.89
169 0.6224458711256721 -0.1384551335888832 0.3973947264770928 94 89 82 3.02
170 0.5693225014134253 -0.09561555771060619 0.6981022676886461 84 79 69 3.08
171 0.6613267833256281 -0.1489817037289264 0.4350277023961026 84 82 76 5.83
172 0.6634671988132337 -0.1635604502818418 0.2727988398482081 83 76 67 3.29
173 0.6634671988132337 -0.1635604502818418 0.2727988398482081 83 76 67 3.29
174 0.6613817084363032 -0.1743552354118222 0.2949191961338493 119 117 112 5.54
175 0.7381555498671747 -0.239111475117864 0.01880267659617851 67 68 56 4.72
176 0.7194828642512847 -0.2005807244847333 0.1874120798582599 99 96 89 4.91
177 0.9703948685427479 -0.2760287965428554 -0.1140822916077396 98 92 81 1.16
178 0.8658709129584243 -0.2484274618156053 -0.03070992651392968 92 86 75 2.9
179 0.6750163741315397 -0.1569699156261607 0.2732356286741665 63 59 50 4.3
180 0.6279874593048338 -0.1434790330342363 0.3914821453702413 108 102 92 5.85
181 0.6352887839357738 -0.1479028223065315 0.3867684172188681 98 92 81 3.89
182 0.6450168737113308 -0.13777975484833 0.3114455824158218 82 82 78 4.36
183 0.6494636756182001 -0.1555528050033682 0.3278721228605501 106 102 94 3.25
184 0.6494636756182001 -0.1555528050033682 0.3278721228605501 106 102 94 3.25
185 0.6296507424354161 -0.1176424049370495 0.549597460086321 76 71 59 4.37
186 0.6283816326001573 -0.112984021534608 0.5500515408845809 101 93 80 5.05
187 0.7564497147717378 -0.1893882033869823 0.0804574381084161 73 71 68 3.09
188 0.7069667066208848 -0.1618350974793651 0.2519603260525093 98 91 79 5.26
189 0.5810067947548995 -0.09028423449637633 0.6431011452837901 103 97 81 2.96
190 0.5990727921487929 -0.08475426640197871 0.5810174174803981 73 69 62 3.18
191 0.5843279884613434 -0.07224944316193639 0.6592157259950557 46 44 43 2.01
