# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 81
226 RADIAL 689 1034 1125.9775903703623 344.5 516.75 -0.020758970502174977 0.03760790705569291
34 RADIAL 607 802 844.3730520963719 303.5 401.0535714285714 -0.051919807497737044 0.17551713449952838
37 RADIAL 760 1004 1074.4042581586266 380.0 502.1428571428571 -0.04263842642421478 0.11697478497184595
166 RADIAL 756 999 1069.4257650348359 378.0 499.5 0.04767935442862922 -0.21332156821845044
8 RADIAL 1015 768 813.7689798760974 507.5 384.05405405405406 0.026843836123897166 -0.08539597991761591
205 RADIAL 760 1004 1043.5422129005558 380.0 502.1428571428571 -0.026875541494674707 0.03755280591231123
46 RADIAL 760 1004 1019.118701689814 380.0 502.1428571428571 -0.018407534005529354 0.04122595788402678
211 RADIAL 756 999 988.0810391120347 378.0 499.5 0.04486297318973972 -0.17974221629318368
116 RADIAL 760 1004 1066.395021552106 380.0 502.1428571428571 -0.02432243870145902 0.060743514596264946
212 RADIAL 696 1071 855.8291220338523 348.0 535.3846153846154 -0.022096298277267723 0.06547865813206588
86 RADIAL 1023 774 1041.5026801473152 511.5 387.0810810810811 -0.04282918593397093 0.13006716312299638
151 RADIAL 760 1004 1036.6707961734346 380.0 502.1428571428571 -0.033139738816766684 0.06290925094403706
117 RADIAL 760 1004 1112.7248552890048 380.0 502.1428571428571 0.04884718197493432 -0.16415678118168275
57 RADIAL 1016 769 816.5623650345083 508.0 384.43243243243245 0.0014099594209477067 -0.02362230324518753
218 RADIAL 760 1041 1060.785998719386 380.0 520.7407407407408 -0.019912038088497893 0.07209181568203696
94 RADIAL 760 1004 1261.4417541639539 380.0 502.1428571428571 -0.03334091132338176 0.09463116500762762
144 RADIAL 760 1041 805.3474531875339 380.0 520.7407407407408 -0.03829805064407936 0.13732536777740137
18 RADIAL 760 1004 981.4517552875955 380.0 502.1428571428571 0.08845597062346784 -0.2985019638369632
149 RADIAL 719 1078 998.1628556384608 359.5 539.25 -0.03170109279838059 0.1086154282061478
173 RADIAL 760 1004 1078.0156337261114 380.0 502.1428571428571 0.0016848756180307583 0.08076333504651692
178 RADIAL 610 806 717.3251815903288 305.0 403.0357142857143 -0.03843628880374655 0.06609819619142274
186 RADIAL 689 1034 923.0580052839887 344.5 516.75 -0.011246345850993785 -0.018297564324232508
59 RADIAL 695 1069 804.5928607916933 347.5 534.6153846153846 -0.002829299530711907 -0.021462099638677873
90 RADIAL 760 1041 1021.2018445837671 380.0 520.7407407407408 -0.029272370228267335 0.06539106006988134
183 RADIAL 760 1004 1143.5855492324147 380.0 502.1428571428571 -0.0036531633255470187 -0.04488310605939717
189 RADIAL 1032 688 739.1891621430791 516.0 344.0 -0.03015065415041111 0.04793361035093362
191 RADIAL 1065 692 811.4677687217586 532.5 346.125 -0.07405280150300157 0.1250142715141437
202 RADIAL 760 1004 854.7158423305568 380.0 502.1428571428571 0.01670886279362258 -0.1139730530495823
225 RADIAL 760 760 724.7184279892573 380.0 380.0 0.14445798363676343 -0.5184623986626125
132 RADIAL 760 861 871.8120791725597 380.0 430.66666666666663 0.020978305436849733 -0.028481686722203997
139 RADIAL 1015 768 873.8218343569068 507.5 384.05405405405406 0.11702814756266176 -0.3726668646771672
45 RADIAL 696 1071 849.1859643663889 348.0 535.3846153846154 -0.031869730469627496 0.0851252467937371
55 RADIAL 1046 697 848.0257317339299 523.0 348.6666666666667 -0.02109767681476956 0.0315123059882438
102 RADIAL 1013 675 768.4513276028212 506.5 337.6666666666667 -0.04336189497475475 0.07512271699964947
230 RADIAL 760 760 823.2590921526872 380.0 380.0 -0.019144615436865377 0.009267078832095753
119 RADIAL 760 1004 797.9225805698419 380.0 502.1428571428571 -0.0037804937039498513 -0.03548691436291592
122 RADIAL 760 1004 795.1885321091696 380.0 502.1428571428571 -0.073941609514018 0.10424877938774196
131 RADIAL 606 801 867.5704995608454 303.0 400.3928571428571 -0.02077190690009188 0.05390940170280146
47 RADIAL 760 1070 1406.702782377509 380.0 534.8148148148148 -0.3166355864336571 -0.006349867784183314
58 RADIAL 1013 767 1071.6830616858263 506.5 383.2972972972973 0.0018128670536731604 0.020457972910859667
125 RADIAL 1014 767 1052.8618417260298 507.00000000000006 383.6756756756757 0.02176989200640151 -0.11139221063694216
143 RADIAL 760 1004 898.81438761484 380.0 502.1428571428571 -0.007372337985198413 -0.03368063110618551
161 RADIAL 1025 776 1035.0592496896095 512.5 387.8378378378378 -0.003917145199644942 -0.0019917814563778593
167 RADIAL 1023 774 1051.2691058270327 511.5 387.0810810810811 -0.03889092034346061 0.11827081714026308
193 RADIAL 1047 698 1332.8492294353 523.5 349.0 -0.015062840522069834 0.07888581432021421
145 RADIAL 1022 773 1156.1312253049698 511.0 386.7027027027027 0.00927351151059048 -0.03985511586918172
7 RADIAL 1030 752 1035.102616486408 515.0 375.81081081081084 -0.08435909644610348 0.2621950822717663
171 RADIAL 1075 699 801.8585656104729 537.5 349.375 -0.07121501121878998 0.15157411843876606
177 RADIAL 1030 752 1066.632857811135 515.0 375.81081081081084 0.006225460610127602 0.008599816315322896
216 RADIAL 1029 779 1022.9296670747817 514.5 389.35135135135135 -0.016877674945515123 0.04502993580571734
24 RADIAL 1027 685 798.2121110677097 513.5 342.3333333333333 0.0020484723086594313 0.028644309866738448
72 RADIAL 1049 699 1119.5221127563298 524.5 349.6666666666667 -0.03241604617672848 0.09128979171925151
154 RADIAL 1030 752 1098.0021418579274 515.0 375.81081081081084 0.010563757961558144 -0.04745555575648577
140 RADIAL 1047 698 1342.014833413062 523.5 349.0 -0.017270555995550028 0.07868114267926156
23 RADIAL 1027 777 1116.905800915451 513.5 388.5945945945946 -0.05678512971300349 0.16079183393666455
153 RADIAL 1025 776 1127.9624532889468 512.5 387.8378378378378 -0.0389173625557092 0.07480014392521017
180 RADIAL 1025 776 1113.699367311522 512.5 387.8378378378378 -0.007697973360082525 0.02051484796935086
228 RADIAL 1028 778 1113.2883377476544 514.0 388.97297297297297 -0.017532305918886517 0.014188899105530717
31 RADIAL 814 616 833.9900758004588 407.0 308.0 -0.053270159039479445 0.12103509407520557
5 RADIAL 1028 685 566.8569215333564 514.0 342.66666666666663 -0.029834945603951665 0.026668565347315223
150 RADIAL 1034 755 1084.029466501989 517.0 377.2702702702703 0.009809022140837741 0.0012816276479208643
30 RADIAL 1018 770 1003.8329558088326 509.0 385.18918918918916 0.04101594786887922 -0.22356872785975054
215 RADIAL 644 1082 946.7720366141598 322.0 540.96 0.0027245504806413757 -0.07247012814094082
106 RADIAL 1022 773 1096.937385037287 511.0 386.7027027027027 -0.04301434661247113 0.093222620442256
210 RADIAL 760 1004 849.1858800502754 380.0 502.1428571428571 -0.034821118271620224 0.04633009634346313
99 RADIAL 1013 565 1101.0536143920613 506.5 282.69767441860466 0.03838781949409594 -0.2528483392402583
233 RADIAL 1026 776 1066.013838845776 513.0 388.2162162162162 -0.04563399612798222 0.09898944383311536
68 RADIAL 521 380 623.6318988718414 260.5 190.09459459459458 -0.017738192366907272 0.041482679089298875
137 RADIAL 692 1065 798.9562814451732 346.0 532.3076923076924 0.009963936994869327 -0.018508741381756465
174 RADIAL 760 1004 1022.7857821950606 380.0 502.1428571428571 0.006373549345435474 0.09454843641961379
48 RADIAL 818 619 860.0600989084927 409.0 309.51351351351354 0.014615832654929457 0.01970175706568367
51 RADIAL 815 617 897.3252377352694 407.5 308.3783783783784 -0.006480518486973943 0.035444904973586766
168 RADIAL 513 388 550.7028584480504 256.5 194.1081081081081 -0.004167498980186208 -0.019915680655726804
115 RADIAL 857 756 627.50592947877 428.5 378.0882352941177 -0.032611694783837956 0.02208748954941651
203 RADIAL 1021 534 1732.6281860163203 510.5 266.8522727272727 -0.012636185476945732 0.010911868635953302
70 RADIAL 1026 776 1079.4585258571688 513.0 388.2162162162162 -0.024120142596192773 -0.005676492896945643
133 RADIAL 374 494 429.90473716115014 187.0 247.10714285714286 -0.021832068641789475 0.05538659865611088
121 RADIAL 1020 680 815.2262352491847 510.0 340.0 -0.028981558791962927 0.045026869143543626
69 RADIAL 1056 686 784.7946859967507 528.0 343.2 -0.027323978781271158 -0.010550607318204067
22 RADIAL 1066 693 801.2435061796458 533.0 346.45 -0.005422767660129336 0.04313267178754939
192 RADIAL 698 1074 864.8709015711141 349.0 536.9230769230769 -0.12397149598590343 -0.041341017418708444
