# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 11522, mean track length: 7.68
0 0.7034467821954383 -0.9749235931673578 0.4638716216688893 88 88 83 0.38
1 0.6909122170335643 -0.9214018112285391 0.4144223984669848 129 129 121 0.38
2 0.7057579837332889 -0.9041636508602873 0.4468302448139965 91 86 77 0.3
3 0.7166171005054219 -0.899502188378156 0.4578989927485586 102 99 94 0.59
4 0.7069049739232242 -0.9256316231714655 0.36704856581552 130 142 152 0.48
5 0.7685303789878467 -0.9024833827470483 0.4701543049036961 213 216 214 0.46
6 0.7052042636584118 -0.9095017907367065 0.3664103177904819 129 137 144 0.47
7 0.6868611878171903 -0.8569666207673061 0.4262443105600241 80 78 73 0.4
8 0.7204939289887818 -0.8487364381161414 0.4623757209438197 86 87 82 0.27
9 0.7189871544375185 -0.7029991569827077 0.4459819863987402 108 108 102 0.4
10 0.5632334948084438 -0.4529888125769085 0.823211083698883 141 148 156 0.63
11 0.5615850764686834 -0.4469207010051114 0.8261924696995591 160 169 176 0.91
12 0.6816459822969018 -0.6707300839399793 0.4046664025718283 86 83 75 0.45
13 0.6945563066815562 -0.6797092440176948 0.3171158604452152 120 124 128 0.4
14 0.6476513615851531 -0.6127929467674407 0.4249822527919407 71 72 67 0.36
15 0.6490349610758365 -0.6026173764988388 0.4375764418680517 100 98 89 0.55
16 0.7877776118458674 -0.6295652364279104 0.477069556481752 143 144 145 0.37
17 0.6891180439854986 -0.5972813176633113 0.379181029086524 103 99 88 0.34
18 0.7199462730011353 -0.5008380108909243 0.4333127692051956 83 78 68 0.35
19 0.6428280463580955 -0.4741879156174176 0.4322674913473492 130 127 118 0.56
20 0.6890525378985936 -0.4708790366804036 0.4328250822988832 120 123 119 0.2
21 0.6467818401329223 -0.4546066830733821 0.4266926636363795 107 107 105 0.54
22 0.6884638711887169 -0.4644164610397575 0.4288976447390035 86 85 78 0.53
23 0.7575311725894004 -0.4282924475837179 0.4431071087241997 125 127 120 0.25
24 0.6492495789021835 -0.3630005930299555 0.4113849608258771 89 89 83 0.38
25 0.6656132729609708 -0.3414726618803908 0.3660320465021684 89 86 77 0.38
26 0.5812905969984689 -0.2206527374686274 0.7328833613712309 51 54 51 0.22
27 0.6551351503494566 -0.2606786437621536 0.4073948555185546 72 71 63 0.34
28 0.5445500388982997 -0.1478540174890619 0.812659183909818 77 75 71 0.31
29 0.6748854161020365 -0.2413708314793487 0.4343615486362153 76 78 76 0.64
30 0.6162578182115428 -0.17899784397937 0.6403582711101883 41 44 42 0.43
31 0.6830935366448251 -0.2567628573909078 0.3016492825131004 106 103 93 0.42
32 0.6795015178483178 -0.2396184047639887 0.3122289183076528 83 80 71 0.46
33 0.6444232036454796 -0.2054411060196737 0.3884743993035684 116 114 107 0.28
34 0.6460810923412167 -0.188703077809622 0.3960895253583804 86 84 76 0.23
35 0.6444702572297644 -0.1830909571509248 0.3906295148494737 93 90 82 0.37
36 0.5441331386777873 -0.07384844637297257 0.7953501425065564 95 89 78 0.59
37 0.586882620087537 -0.08124946956854402 0.6996862664509631 91 91 80 0.26
38 0.5767817225168652 -0.06735805828331597 0.7449240069805549 86 84 77 0.26
39 0.6725394814388096 -0.111635887553908 0.4190529602283447 64 62 53 0.33
40 0.6478210360268056 -0.1044721763011831 0.3891219012846602 74 73 63 0.31
41 0.6832497961149945 -0.1103587618465856 0.2797690352469219 84 82 73 0.22
42 0.6934721263672511 -0.09974556396355098 0.2900798574535053 21 22 17 0.36
43 0.7943459217123415 -0.125770240661008 -0.00643538449369685 52 50 45 0.44
44 0.7524645032535179 -0.1021476396579679 0.1487259662379872 36 35 30 0.35
45 0.7954906357141184 -0.1234591786352333 -0.001947150537285669 76 74 68 0.37
46 0.7962991581390121 -0.1181294542332209 -0.008544963740905631 47 46 41 0.27
47 0.6173842612202303 -0.0303263460647208 0.5994060689882217 42 47 48 0.47
48 0.785368193866561 -0.09225414392711904 0.03053400016429375 84 85 81 0.27
49 0.546122577325579 0.00124077028222587 0.7309550017365957 74 75 66 0.26
50 0.5476252853480343 0.002995745233661376 0.7271447163561624 72 70 61 0.32
51 0.5575044329450748 -3.861590895315459e-05 0.6975200398805654 89 87 78 0.37
52 0.6916162178092228 -0.018787462851175 0.2454093351582238 48 51 51 0.34
53 0.7078431217397966 -0.9910890363647354 0.4628436671257188 146 145 138 0.53
54 0.6909409387999864 -0.9523039122940861 0.4474859119284814 117 115 108 0.36
55 0.71504297453711 -0.9531268163743351 0.4581944242185907 43 43 42 0.39
56 0.6952599914655363 -0.9545599453484176 0.4329581681340393 39 41 42 0.45
57 0.6932822064043832 -0.9562344009250608 0.4218667421222007 44 46 44 0.45
58 0.7012592089437798 -0.9135846536407259 0.4496658242304435 94 91 86 0.32
59 0.7140447698569884 -0.9161546168656436 0.4543550639577129 75 72 68 0.45
60 0.7082624969237233 -0.910525072946508 0.4508512099914169 116 112 102 0.4
