# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 83
8 RADIAL 1015 768 814.1558481401975 507.5 384.05405405405406 0.02157397303414347 -0.06726462280182674
59 RADIAL 695 1069 803.4248389225744 347.5 534.6153846153846 0.0032458982581682247 -0.027627445239801356
144 RADIAL 760 1041 805.499855137557 380.0 520.7407407407408 -0.03816125810817303 0.14231921569125822
166 RADIAL 756 999 1069.1908838447916 378.0 499.5 0.05109425453291994 -0.2355638415639248
212 RADIAL 696 1071 855.4497115409671 348.0 535.3846153846154 -0.02477702874733984 0.0936339146454641
86 RADIAL 1023 774 1044.4036815900329 511.5 387.0810810810811 -0.05258345173475334 0.16464163943728516
151 RADIAL 760 1004 1036.7618333286412 380.0 502.1428571428571 -0.0371548617266548 0.07492791369956601
94 RADIAL 760 1004 1261.0109211239987 380.0 502.1428571428571 -0.03615864374994765 0.10272984354516014
131 RADIAL 606 801 867.2512692744508 303.0 400.3928571428571 -0.02400937162698246 0.06809757565811216
137 RADIAL 692 1065 797.9269610935341 346.0 532.3076923076924 0.005587251142329476 -0.05352944452577701
18 RADIAL 760 1004 981.0565160188283 380.0 502.1428571428571 0.08811269431972606 -0.2966906089258621
34 RADIAL 607 802 844.4662706237202 303.5 401.0535714285714 -0.05678182970321363 0.19610445431524742
37 RADIAL 760 1004 1074.7249929266773 380.0 502.1428571428571 -0.050091686262624883 0.1459702639954001
173 RADIAL 760 1004 1077.2998994756647 380.0 502.1428571428571 0.0002702325701490446 0.09180822992517919
46 RADIAL 760 1004 1019.5130747614186 380.0 502.1428571428571 -0.02250615227045633 0.05543088881072326
178 RADIAL 610 806 716.4476261220982 305.0 403.0357142857143 -0.043700228296058075 0.08804221910077119
57 RADIAL 1016 769 816.5299777043939 508.0 384.43243243243245 0.0019108496273009179 -0.0246697266042124
186 RADIAL 689 1034 922.9228001366911 344.5 516.75 -0.016098611041080426 -0.004170694428731643
189 RADIAL 1032 688 739.3106379475096 516.0 344.0 -0.02929429251922964 0.04713498688707828
191 RADIAL 1065 692 810.8682702097196 532.5 346.125 -0.0750107290792262 0.1291020888930948
202 RADIAL 760 1004 854.2058008893556 380.0 502.1428571428571 0.019191030980242343 -0.11873775324512985
205 RADIAL 760 1004 1043.8790451742616 380.0 502.1428571428571 -0.02758622780769483 0.03896382031680222
218 RADIAL 760 1041 1060.0966575479415 380.0 520.7407407407408 -0.019379968101888405 0.07533545457620523
90 RADIAL 760 1041 1021.6840609795796 380.0 520.7407407407408 -0.03252407913119943 0.06608199652397985
102 RADIAL 1013 675 768.2535480570818 506.5 337.6666666666667 -0.04409594794538594 0.0781251723238496
116 RADIAL 760 1004 1066.500928429338 380.0 502.1428571428571 -0.0259263377136527 0.07203713613364718
117 RADIAL 760 1004 1113.1090561982164 380.0 502.1428571428571 0.05259578899143456 -0.18076682628550614
139 RADIAL 1015 768 873.3672659423971 507.5 384.05405405405406 0.11922626266618006 -0.3816124370520335
149 RADIAL 719 1078 998.8515266875132 359.5 539.25 -0.03346090313305293 0.11583876205446
45 RADIAL 696 1071 851.3987315391934 348.0 535.3846153846154 -0.04358713086673783 0.12938715102322235
55 RADIAL 1046 697 848.082579448576 523.0 348.6666666666667 -0.02092978864142563 0.032629628012185684
225 RADIAL 760 760 723.4255614968513 380.0 380.0 0.1678472045636995 -0.5890702765035407
226 RADIAL 689 1034 1125.6303984811975 344.5 516.75 -0.021447112478237718 0.04053011884272554
211 RADIAL 756 999 987.7797130309492 378.0 499.5 0.04051839379590692 -0.15736437718220597
125 RADIAL 1014 767 1049.4007280824476 507.00000000000006 383.6756756756757 0.03034750442576102 -0.13279166067384815
145 RADIAL 1022 773 1154.2530091920041 511.0 386.7027027027027 0.01035017436589491 -0.0396752936761168
167 RADIAL 1023 774 1047.3574783837944 511.5 387.0810810810811 -0.04321401368579268 0.12740149016626384
58 RADIAL 1013 767 1069.0917528087055 506.5 383.2972972972973 0.002745617794248828 0.01926187512459615
7 RADIAL 1030 752 1036.2940451145812 515.0 375.81081081081084 -0.08851039770213341 0.2767465954340681
177 RADIAL 1030 752 1066.221509296647 515.0 375.81081081081084 0.005246281551938486 0.011864668646734067
193 RADIAL 1047 698 1330.8850470376433 523.5 349.0 -0.01390728763920102 0.07816231213927718
216 RADIAL 1029 779 1022.5896400042539 514.5 389.35135135135135 -0.020405016597280085 0.05677584210413855
153 RADIAL 1025 776 1122.6525769755237 512.5 387.8378378378378 -0.04142900802914833 0.08076121594790238
72 RADIAL 1049 699 1118.7606320315288 524.5 349.6666666666667 -0.03253786957913172 0.09375812818764336
154 RADIAL 1030 752 1097.5169588737701 515.0 375.81081081081084 0.011593433537116145 -0.058237368282285214
48 RADIAL 818 619 854.2408598745533 409.0 309.51351351351354 0.00843954422669253 0.03179668097176679
51 RADIAL 815 617 894.21276363876 407.5 308.3783783783784 -0.008719039342995026 0.03160947124672851
180 RADIAL 1025 776 1113.1903445565001 512.5 387.8378378378378 -0.006789640592831917 0.01766747275786546
5 RADIAL 1028 685 566.9015285734167 514.0 342.66666666666663 -0.02930271059678486 0.026294103506552022
143 RADIAL 760 1004 896.9038990747096 380.0 502.1428571428571 -0.013442206142822669 -0.027822886704088987
23 RADIAL 1027 777 1116.0554324631346 513.5 388.5945945945946 -0.05737816316517206 0.16111924872541164
161 RADIAL 1025 776 1035.024857493355 512.5 387.8378378378378 -0.003644134344691256 -0.0027328168332236206
47 RADIAL 760 1070 1415.2886434770608 380.0 534.8148148148148 -0.396476448696932 0.008614720680583693
140 RADIAL 1047 698 1340.4359231463377 523.5 349.0 -0.020659544106310698 0.08924087338151684
150 RADIAL 1034 755 1083.398361628543 517.0 377.2702702702703 0.011084881164911417 -0.004254674762822323
