# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 11720, mean track length: 8.03
0 0.7095185622063875 -1.129484361022741 0.4516893088486882 136 128 114 0.52
1 0.7145964718205211 -0.9909400832511425 0.462038931070605 90 85 75 0.38
2 0.6913622979588663 -0.9657103286331995 0.4269380366826531 65 65 63 0.43
3 0.7075033893633158 -0.9070943727997103 0.4431842802873518 86 81 72 0.29
4 0.7057674127219791 -0.9111245993371083 0.3631515452218157 128 135 140 0.46
5 0.6949570875511755 -0.7985976835661188 0.433720317847441 141 139 129 0.33
6 0.697794467778889 -0.7709645938004545 0.429467614299091 142 139 127 1.19
7 0.5616551351605119 -0.4477971821104817 0.8248474762071066 164 173 179 0.91
8 0.5614172850434023 -0.3968354342728332 0.7914210270891904 227 234 240 0.28
9 0.6896723720744153 -0.5982573935542542 0.3766538204540332 103 99 88 0.34
10 0.5561258244445431 -0.3619690678191858 0.8259919578630814 128 124 119 0.56
11 0.5457865184538047 -0.3616492573112078 0.8138423920516272 119 116 115 0.75
12 0.7174899196463074 -0.5216755466102809 0.4202141316580577 104 101 91 0.36
13 0.6374668648341637 -0.4541377719674803 0.4163188866308204 99 97 90 0.36
14 0.6451155426596578 -0.457233748324438 0.4008377295852705 93 92 84 0.41
15 0.7194440604505021 -0.4581592807985342 0.4469382565650829 110 108 102 0.44
16 0.5704897677482637 -0.2794070518924701 0.8259658209990537 111 105 93 0.37
17 0.4620169733813496 -0.1891554216172707 0.9745574308103734 96 99 98 0.64
18 0.65511430696202 -0.3140597138501338 0.6827348012988652 67 71 73 0.54
19 0.4600508478873155 -0.1621715924202862 0.9884874191334168 91 91 87 0.32
20 0.4698764154740323 -0.1677399103241791 0.9647824919690354 95 93 88 0.34
21 0.554597943728772 -0.2303996238963563 0.8182870713529 134 130 120 0.22
22 0.6223706263817086 -0.2515884299757021 0.6934556004309608 64 63 63 0.39
23 0.5781137954260966 -0.2188418627154634 0.751615078930899 47 46 48 0.19
24 0.5820824757735987 -0.2193467304374157 0.7378047862952208 67 66 62 0.44
25 0.576846281711842 -0.2126659019979616 0.7515072242409778 48 50 49 0.27
26 0.5801070143112761 -0.2138635306618217 0.7441261914455819 52 50 46 0.26
27 0.5459734328309707 -0.1843210140545044 0.8055812506704464 108 102 89 0.3
28 0.5808634022413917 -0.2100998268175716 0.732446599848645 69 71 71 0.36
29 0.5908732537231853 -0.2175399763864924 0.7093793066404415 62 64 61 0.35
30 0.6177646111659889 -0.2342376769213753 0.6193728462814334 62 60 57 0.56
31 0.6839165074817728 -0.3245182610317092 0.3058524790578715 100 93 83 0.33
32 0.6254096175040151 -0.2215810069111054 0.5893886864281799 96 90 82 0.19
33 0.6414864415754244 -0.2306375881213214 0.5352017705775016 98 96 89 0.26
34 0.5643994499964486 -0.1626824651995591 0.7614162363770873 77 73 63 0.3
35 0.6436594512862794 -0.2206738346961106 0.5387038997018627 78 75 69 0.42
36 0.6665352922464538 -0.2387633863498104 0.4609104109212286 90 87 78 0.16
37 0.6797825519101908 -0.2429734841478366 0.4306252993866563 96 93 86 0.32
38 0.6841529349727875 -0.2570493472926065 0.299237301028092 106 103 93 0.42
39 0.66894535382264 -0.2201779303828585 0.4519616823532453 107 104 97 0.27
40 0.6656227028969615 -0.234629864481083 0.3547931714349694 110 106 97 0.44
41 0.6531785102166192 -0.2096891647567394 0.3763998179592779 86 84 75 0.46
42 0.6736078185864403 -0.2034831483067787 0.3457884892592199 66 61 52 0.34
43 0.6277936853493291 -0.1482353601171845 0.5825105943271693 85 83 75 0.25
44 0.5496416245371893 -0.1026022781808775 0.7660242147427656 112 107 96 0.97
45 0.6828934542828959 -0.206974642486276 0.2866337259467407 96 93 86 0.23
46 0.6841039285672192 -0.1823653255623084 0.4170451048999916 35 36 33 0.81
47 0.6383674336281639 -0.1508998905488498 0.5368210292839682 64 63 59 0.49
48 0.6488450900940834 -0.1774773530788614 0.3881708260080267 90 85 73 0.45
49 0.6502025367368849 -0.1672202932492411 0.3923543668858925 94 92 84 0.29
50 0.87789119655174 -0.2852618066586668 -0.1581867247827591 102 102 100 0.37
51 0.6664967328399374 -0.173179116108362 0.3302831171737801 78 76 66 0.26
52 0.7795121373577676 -0.2572819368535267 -0.1789738318114895 97 95 90 0.64
53 0.6483339114144768 -0.1195512691259175 0.5062684436849363 92 92 86 0.26
54 0.6596055561677612 -0.1385793756949951 0.3522535537975562 90 87 77 0.45
55 0.6226462385845717 -0.09685388540633127 0.5843763221744482 106 104 96 0.46
56 0.6751831653279439 -0.1285129231468413 0.4161206006766704 84 82 73 0.23
57 0.6139320459456523 -0.0880632190637457 0.6258233478435243 96 88 69 0.27
58 0.6665052996935312 -0.1416272203326503 0.3133900794807063 81 78 71 0.39
59 0.6463038275272328 -0.1071849619531008 0.5072529898558722 83 81 72 0.33
60 0.6665157021398407 -0.1362020063246873 0.3363943312467078 89 84 73 0.29
61 0.6595731076713034 -0.1288602258454563 0.3593259441384872 94 90 79 0.34
62 0.6777959551086257 -0.1228156262239916 0.4176251568299312 88 86 76 0.47
63 0.6329591608878469 -0.08906787276291853 0.5604047019306887 91 88 77 0.37
64 0.6385653559985653 -0.07997916278539011 0.5292566129936891 53 51 45 0.39
65 0.6341894732787587 -0.06426918376619051 0.5646511422726281 27 27 23 0.43
66 0.6803986464356511 -0.1066026630181722 0.2844095102069892 111 105 91 0.33
67 0.6279356664222109 -0.05192142538164563 0.5727117002200262 88 85 76 0.27
68 0.7957408434919038 -0.1253761694488904 -0.009546033746276938 52 50 45 0.45
69 0.5807925060729848 -0.01751880079452375 0.719102314126457 90 88 79 0.51
70 0.6179496351552394 -0.03053380026505546 0.5982831647609406 41 45 47 0.47
71 0.5851505231472416 -0.0223458518071963 0.6168665044423098 88 88 80 0.25
72 0.6398621641886906 -0.04235848508604899 0.4574656117598236 63 62 58 0.42
73 0.5414742160242976 0.01670397920677422 0.7552971280341905 69 66 63 0.18
74 0.7076120138711357 -0.04391333441874672 0.2014246797686922 108 107 99 0.33
75 0.5633191679829903 0.02943258184340952 0.6665176128693298 94 92 89 0.29
76 0.6897023721983051 -0.9525624617690259 0.4452302927597259 122 119 110 0.42
77 0.7055075443964629 -0.9535206062958658 0.4485568314149249 44 44 40 0.45
78 0.7156313847812674 -0.9550408529951347 0.4551240262549869 44 45 42 0.45
79 0.6959324216623408 -0.9565343339739504 0.4297430264602912 39 41 42 0.52
80 0.6954766163131911 -0.9596875842895473 0.417819159795408 44 45 41 0.47
81 0.7020404458544727 -0.9156241451356526 0.4465420339645177 84 82 74 0.38
82 0.7143868956327082 -0.9177723918100649 0.45142760041987 73 71 67 0.45
83 0.6905667441020635 -0.8019403268671836 0.4302396590796047 117 117 110 0.32
84 0.6895672469819007 -0.7737970295872272 0.4030111804416583 65 64 59 0.32
85 0.7171332669427368 -0.6050666251462383 0.4422901109924334 93 90 85 0.4
86 0.7232389131018286 -0.6036070161166611 0.4336897060295187 104 100 88 0.47
87 0.6028138118674091 -0.3290856545634409 0.8249816440153273 122 119 109 0.71
88 0.6555942080629875 -0.4728482171891999 0.4374516786817493 111 107 98 0.52
89 0.5421064605150143 -0.3047739135578759 0.817758817875003 105 102 92 0.37
90 0.6452671388609716 -0.4685761134506052 0.4324274550078122 108 103 93 0.72
91 0.7143005525999733 -0.4946401837148151 0.4278217955636032 110 106 96 0.46
92 0.637138520437412 -0.4592408970470814 0.4173200733107362 115 113 105 0.48
93 0.6630222114322399 -0.4647854588379473 0.3761379279560541 116 113 104 0.34
94 0.7075734038903403 -0.4560594605978395 0.4469147665393715 108 109 103 0.4
95 0.6892861769434782 -0.452424458758829 0.4296039543824099 110 108 99 0.51
96 0.546340678591853 -0.277957594664805 0.8104798710765886 111 106 95 0.49
97 0.6822609293764985 -0.4559757710251811 0.3112865650335133 121 115 105 0.33
98 0.7546756605742952 -0.4344798580656333 0.439847613480541 163 163 155 0.46
99 0.7565725517678341 -0.4251031816538753 0.437254480569447 152 153 145 0.38
100 0.6640820822192388 -0.3182429974898691 0.6538422514092399 64 66 68 0.31
101 0.4650919681811328 -0.1604708664228633 0.9853894673150846 109 108 98 0.64
102 0.5450231270667205 -0.2131294027777816 0.8180911256809582 91 92 88 0.44
103 0.6292181207429832 -0.2704861202668358 0.6888537012184897 82 89 94 0.34
104 0.5358615256589658 -0.2181036713795101 0.7894647864123714 107 107 103 0.32
105 0.4708425139355988 -0.1487819282425444 0.9708116421639933 88 90 88 0.52
106 0.474486722148503 -0.1496840137080762 0.9599954968076773 82 76 68 0.64
107 0.5390307129179619 -0.2098203809611771 0.7813834742012646 87 88 84 0.54
108 0.53427699724536 -0.2038870487608759 0.7923998160058189 128 129 125 0.36
109 0.667404576204716 -0.3454449056040478 0.3680149361153127 105 101 93 0.46
110 0.4713506378792851 -0.1379098527170319 0.9674215627922765 110 112 118 0.61
111 0.5393811931737396 -0.1927850441478393 0.8038680692062242 82 80 73 0.65
112 0.5916225348874209 -0.2325742331840026 0.6946581952994175 71 69 74 0.31
113 0.6673737809083422 -0.283424962527152 0.5581848950399633 57 60 61 0.31
114 0.5591880910630058 -0.2011697975081486 0.7669921348439971 106 103 96 0.29
115 0.5869628211495097 -0.2122016180556912 0.71912182673084 105 104 99 0.23
116 0.5966073622304966 -0.2156488268278787 0.6878857436163175 114 115 107 0.31
117 0.6346488872544451 -0.1903444606037792 0.8244140051149251 78 76 66 0.37
118 0.5986901194738097 -0.2163321373969871 0.6811381946096777 102 103 101 0.42
119 0.4874247564494836 -0.1312905755688999 0.9162851459329096 105 104 98 0.42
120 0.6051285366080454 -0.218250216785172 0.6542438361016338 88 87 81 0.16
121 0.6007306181697492 -0.2031760433718379 0.6807595489590446 79 77 70 0.44
122 0.4729488982979351 -0.1095056213124978 0.9612897910615633 119 122 121 0.37
123 0.4876018898885199 -0.1093703698142556 0.9733836657041155 90 87 78 0.35
124 0.6596339310257142 -0.283513019970005 0.3755608045096125 111 106 95 0.33
125 0.631607092999066 -0.227309527317005 0.5730576518014487 90 89 84 0.34
126 0.4737885369421858 -0.107036045114662 0.9521740430423237 111 113 108 0.37
127 0.55732557376119 -0.1490243521690484 0.8134354605401131 86 79 72 0.2
128 0.6558701845912012 -0.2296964004129725 0.5219062052266189 98 95 88 1.12
129 0.6347447589583746 -0.2145769940603947 0.5724275040678313 70 68 60 0.27
130 0.4910245202017324 -0.1109556550587763 0.9049413135608935 114 113 105 0.41
131 0.6710966137906704 -0.2348811917853788 0.4564386374924539 102 100 91 0.8
132 0.4910692214849662 -0.1061644048178524 0.9047318642840849 108 104 99 0.42
133 0.5599784830127736 -0.1478090423554103 0.7628211555051552 66 62 51 0.52
134 0.667480497187005 -0.2536267162980381 0.3618829086537217 75 75 69 0.42
135 0.6271704133363611 -0.193844638140459 0.6050682089741307 69 65 57 0.29
136 0.6562541593687787 -0.2214047095390763 0.499893649132419 76 73 65 0.32
137 0.6718699729375641 -0.2294918931650837 0.4525237340185468 84 81 73 0.36
138 0.6352498137607692 -0.1948106930308003 0.5778795373078682 71 69 61 0.38
139 0.4763647279671219 -0.08895218150701525 0.9410914211279335 101 100 94 0.41
140 0.6574314534054437 -0.2268318413045392 0.3721836320086054 121 111 95 0.16
141 0.5627819168574901 -0.1085876267552613 0.8652404585262856 63 54 48 0.43
142 0.4646911705546923 -0.06389212302780264 0.9708156869235087 100 104 99 0.49
143 0.5930032236180891 -0.1336308432183281 0.7182015399554089 36 38 36 0.51
144 0.6238835528948903 -0.1633662420578966 0.5835183900574969 100 99 91 0.34
145 0.6833497941954205 -0.1973266842686006 0.4186881112803763 55 53 47 0.25
146 0.6576590845715184 -0.1989949567298385 0.3699777186744984 79 76 66 0.55
147 0.6627330540711784 -0.1756965947629803 0.4898477204761407 36 37 32 0.3
148 0.6781634025937542 -0.2121729090338665 0.3100490453539421 104 97 87 0.44
