# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 83
131 RADIAL 606 801 866.5196797676198 303.0 400.3928571428571 -0.026520256880383817 0.08124747378926327
166 RADIAL 756 999 1067.9625108680416 378.0 499.5 0.048710087401891394 -0.22790303483431035
8 RADIAL 1015 768 813.7565314559932 507.5 384.05405405405406 0.020932331868939464 -0.06559152649167414
173 RADIAL 760 1004 1076.0907201323885 380.0 502.1428571428571 -0.0013867737667345441 0.10067289886007223
212 RADIAL 696 1071 854.3670953793455 348.0 535.3846153846154 -0.02423639232935767 0.09406217337318226
117 RADIAL 760 1004 1112.6032882585487 380.0 502.1428571428571 0.05627259251128054 -0.19196097350305388
86 RADIAL 1023 774 1046.9691854668079 511.5 387.0810810810811 -0.06159221262141519 0.18081244378571296
218 RADIAL 760 1041 1059.0970660432351 380.0 520.7407407407408 -0.020556934553690714 0.08360078967433189
59 RADIAL 695 1069 802.3873045368059 347.5 534.6153846153846 0.004349183954716074 -0.02980976247957049
94 RADIAL 760 1004 1260.191514718462 380.0 502.1428571428571 -0.03733014992799668 0.10449782536129501
34 RADIAL 607 802 844.0759919039078 303.5 401.0535714285714 -0.058178842072176364 0.20183723902924597
37 RADIAL 760 1004 1074.191182837232 380.0 502.1428571428571 -0.053339494932902756 0.15871331765590155
46 RADIAL 760 1004 1018.996692144 380.0 502.1428571428571 -0.02312387998838503 0.056755861991047825
211 RADIAL 756 999 987.221037250037 378.0 499.5 0.05502593262923324 -0.2411930062771888
57 RADIAL 1016 769 816.0610567722943 508.0 384.43243243243245 0.0021030900511888125 -0.02540840554537176
132 RADIAL 760 861 867.7592012478694 380.0 430.66666666666663 0.024117495694752817 -0.03198214086392329
144 RADIAL 760 1041 804.8853491887762 380.0 520.7407407407408 -0.0379399446727078 0.1407143171673138
149 RADIAL 719 1078 998.833991468621 359.5 539.25 -0.03157617737869302 0.11123261025125404
178 RADIAL 610 806 715.4132002989028 305.0 403.0357142857143 -0.046693924338331784 0.1018639394553256
186 RADIAL 689 1034 922.6010035694294 344.5 516.75 -0.017887213399903772 0.0005554674743757647
191 RADIAL 1065 692 810.1123676416263 532.5 346.125 -0.07989090531653732 0.14742575539327268
202 RADIAL 760 1004 853.0783916976657 380.0 502.1428571428571 0.019924526431647566 -0.1180674041899697
205 RADIAL 760 1004 1043.4454658518428 380.0 502.1428571428571 -0.025517775797094994 0.03482668301236226
225 RADIAL 760 760 721.9076351129836 380.0 380.0 0.18317602222863058 -0.6383084631002067
116 RADIAL 760 1004 1065.943361309469 380.0 502.1428571428571 -0.025974513099910668 0.07190280826296062
226 RADIAL 689 1034 1124.844036486318 344.5 516.75 -0.022581381121001234 0.04399451915137357
151 RADIAL 760 1004 1035.5399520190513 380.0 502.1428571428571 -0.036601333076504816 0.06920480816239086
189 RADIAL 1032 688 738.9931895979613 516.0 344.0 -0.02951331416131042 0.04747042800470304
139 RADIAL 1015 768 872.3747254147095 507.5 384.05405405405406 0.1178982149270631 -0.3729540905694895
18 RADIAL 760 1004 980.63310787206 380.0 502.1428571428571 0.08794996180646195 -0.2954584052619744
90 RADIAL 760 1041 1021.9015265456396 380.0 520.7407407407408 -0.031643225461006716 0.06218322657262274
125 RADIAL 1014 767 1044.2684920058462 507.00000000000006 383.6756756756757 0.03883610394177071 -0.14597020197086039
102 RADIAL 1013 675 767.9433879462299 506.5 337.6666666666667 -0.045123218223925066 0.08023701703167826
55 RADIAL 1046 697 847.6974374085294 523.0 348.6666666666667 -0.02084247547875528 0.032531775399801954
143 RADIAL 760 1004 894.3997925155213 380.0 502.1428571428571 -0.017894093022883112 -0.02386807230961625
161 RADIAL 1025 776 1034.3394057375658 512.5 387.8378378378378 -0.0044018140249631466 -9.697380251338281e-05
167 RADIAL 1023 774 1044.4871263955338 511.5 387.0810810810811 -0.057134411986831356 0.15668719224885283
45 RADIAL 696 1071 852.0727383333431 348.0 535.3846153846154 -0.04809790830364888 0.14939796860991658
58 RADIAL 1013 767 1065.172095789727 506.5 383.2972972972973 0.00644674153744319 0.00603125667771543
193 RADIAL 1047 698 1329.1266760833546 523.5 349.0 -0.01329396040298085 0.07356012493481635
48 RADIAL 818 619 849.572724219043 409.0 309.51351351351354 0.0035042892954026145 0.03625590246449775
154 RADIAL 1030 752 1096.6636817078092 515.0 375.81081081081084 0.012425958453306737 -0.06167802527133843
153 RADIAL 1025 776 1117.8596363150866 512.5 387.8378378378378 -0.04411753645062419 0.08779452676668832
72 RADIAL 1049 699 1117.9190679740282 524.5 349.6666666666667 -0.03253296770333203 0.09451890372971535
51 RADIAL 815 617 892.0252755219052 407.5 308.3783783783784 -0.010977527092076899 0.03368695838517465
145 RADIAL 1022 773 1153.102314433512 511.0 386.7027027027027 0.009561278123074774 -0.04095280234457809
180 RADIAL 1025 776 1112.227002509212 512.5 387.8378378378378 -0.006203552806417494 0.01416419973036066
