# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 52
166 RADIAL 756 999 1063.1395225524902 378.0 499.5 0.0 0.0
8 RADIAL 1015 768 813.5457166465553 507.5 384.05405405405406 0.0 0.0
116 RADIAL 760 1004 1048.2058606828962 380.0 502.1428571428571 0.0 0.0
212 RADIAL 696 1071 834.8430721576398 348.0 535.3846153846154 0.0 0.0
86 RADIAL 1023 774 1067.5756199810955 511.5 387.0810810810811 0.0 0.0
151 RADIAL 760 1004 1005.0722694396973 380.0 502.1428571428571 0.0 0.0
218 RADIAL 760 1041 1064.9242768464264 380.0 520.7407407407408 0.0 0.0
94 RADIAL 760 1004 1252.2202927725655 380.0 502.1428571428571 0.0 0.0
226 RADIAL 689 1034 1108.9620819091797 344.5 516.75 0.0 0.0
205 RADIAL 760 1004 1024.7727503095355 380.0 502.1428571428571 0.0 0.0
144 RADIAL 760 1041 793.6044664736147 380.0 520.7407407407408 0.0 0.0
149 RADIAL 719 1078 1019.5177906476534 359.5 539.25 0.0 0.0
57 RADIAL 1016 769 816.9369882119669 508.0 384.43243243243245 0.0 0.0
191 RADIAL 1065 692 792.2622485160828 532.5 346.125 0.0 0.0
189 RADIAL 1032 688 737.9112983116736 516.0 344.0 0.0 0.0
161 RADIAL 1025 776 1046.5304013845082 512.5 387.8378378378378 0.0 0.0
193 RADIAL 1047 698 1343.3252375676082 523.5 349.0 0.0 0.0
143 RADIAL 760 1004 869.7647735050746 380.0 502.1428571428571 0.0 0.0
55 RADIAL 1046 697 853.0771396832589 523.0 348.6666666666667 0.0 0.0
90 RADIAL 760 1041 1024.1168495460793 380.0 520.7407407407408 0.0 0.0
154 RADIAL 1030 752 1083.2797509270745 515.0 375.81081081081084 0.0 0.0
167 RADIAL 1023 774 1048.8602785677524 511.5 387.0810810810811 0.0 0.0
125 RADIAL 1014 767 1061.405013934986 507.00000000000006 383.6756756756757 0.0 0.0
24 RADIAL 1027 685 792.9496720631917 513.5 342.3333333333333 0.0 0.0
153 RADIAL 1025 776 1127.5779582358696 512.5 387.8378378378378 0.0 0.0
216 RADIAL 1029 779 1045.0064082790066 514.5 389.35135135135135 0.0 0.0
215 RADIAL 644 1082 913.4483972167969 322.0 540.96 0.0 0.0
139 RADIAL 1015 768 895.4688768129091 507.5 384.05405405405406 0.0 0.0
150 RADIAL 1034 755 1077.80913791141 517.0 377.2702702702703 0.0 0.0
140 RADIAL 1047 698 1358.2491835080662 523.5 349.0 0.0 0.0
228 RADIAL 1028 778 1126.4634683969857 514.0 388.97297297297297 0.0 0.0
51 RADIAL 815 617 894.6768111151619 407.5 308.3783783783784 0.0 0.0
58 RADIAL 1013 767 1076.7108350186734 506.5 383.2972972972973 0.0 0.0
170 RADIAL 1030 752 1145.4541149654904 515.0 375.81081081081084 0.0 0.0
74 RADIAL 1057 590 1054.3874109401258 528.5 294.9767441860465 0.0 0.0
183 RADIAL 760 1004 1116.2973185947963 380.0 502.1428571428571 0.0 0.0
48 RADIAL 818 619 853.0287650855812 409.0 309.51351351351354 0.0 0.0
23 RADIAL 1027 777 1124.7363027624183 513.5 388.5945945945946 0.0 0.0
72 RADIAL 1049 699 1136.0349226242456 524.5 349.6666666666667 0.0 0.0
99 RADIAL 1013 565 1109.6850332215774 506.5 282.69767441860466 0.0 0.0
145 RADIAL 1022 773 1156.8587132015743 511.0 386.7027027027027 0.0 0.0
30 RADIAL 1018 770 1007.3560201284047 509.0 385.18918918918916 0.0 0.0
31 RADIAL 814 616 834.4159049987793 407.0 308.0 0.0 0.0
233 RADIAL 1026 776 1080.0114298640071 513.0 388.2162162162162 0.0 0.0
106 RADIAL 1022 773 1099.9565015225796 511.0 386.7027027027027 0.0 0.0
137 RADIAL 692 1065 792.0903254288894 346.0 532.3076923076924 0.0 0.0
122 RADIAL 760 1004 779.4093472617013 380.0 502.1428571428571 0.0 0.0
82 RADIAL 1026 684 1585.2381697434644 513.0 342.0 0.0 0.0
115 RADIAL 857 756 626.0410693954019 428.5 378.0882352941177 0.0 0.0
68 RADIAL 521 380 621.8304219632536 260.5 190.09459459459458 0.0 0.0
132 RADIAL 760 861 868.6734517415364 380.0 430.66666666666663 0.0 0.0
119 RADIAL 760 1004 765.5423586709159 380.0 502.1428571428571 0.0 0.0
