# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 5196, mean track length: 6.07
0 0.7496951825067431 -0.9961467453245161 0.4477255753355308 90 91 87 4.54
1 0.724577001372662 -0.9668244179398486 0.4520647593726906 73 74 70 4.65
2 0.6666479023827847 -0.9419538831303937 0.4049924353498587 108 113 112 4.77
3 0.6755632895895907 -0.906311420342123 0.4702023876309198 75 76 73 4.67
4 0.6716562365601548 -0.9210431918512494 0.4372169024035727 58 59 58 4.23
5 0.6628663897370308 -0.887248653289842 0.4766338714549612 76 77 76 3.69
6 0.7106454979165715 -0.91780549920498 0.4646820689541371 102 106 103 4.4
7 0.708469428925018 -0.9233333071332881 0.4060173803328943 100 101 99 5.89
8 0.6671665176624517 -0.8767734643095704 0.4244849754014044 112 113 107 5.11
9 0.7327408124814752 -0.8882440043525119 0.4493541096124101 74 75 74 6.35
10 0.7812407995576045 -0.9688927736620712 0.3254390586486469 138 148 156 4.85
11 0.7437088766051938 -0.8630463497732277 0.4575838186191181 89 90 87 5.36
12 0.6823906071562986 -0.8663344290195518 0.376256516366868 127 134 141 4.6
13 0.7060072055536577 -0.8399167282923037 0.4270469800302912 73 74 71 4.64
14 0.6797211305483704 -0.821951368713693 0.4412970185639118 71 73 72 4.05
15 0.6636098031319666 -0.8181724376896573 0.4103482443551906 80 80 77 3.58
16 0.6436121747487483 -0.7771168288348222 0.4406393511845902 75 76 73 5.9
17 0.7342107024885498 -0.8065754225521924 0.4157659135976348 106 111 110 4.88
18 0.639517200820482 -0.7064943637315946 0.4508492028454527 119 120 116 5.27
19 0.6359310067152243 -0.7129466835073752 0.4128975889646028 91 90 85 5.89
20 0.5545154322799135 -0.4369232160077524 0.8201891723383337 154 160 168 4.4
21 0.6304765130220877 -0.5700660946220828 0.4418135307590323 95 94 86 6.02
22 0.6893836677447864 -0.6114084588511444 0.4146679601944406 89 87 79 5.64
23 0.5645910615600543 -0.3859608528996488 0.7982102096052727 157 169 175 5.99
24 0.7664653202243412 -0.6060137367149272 0.4280490786573209 88 90 92 5.2
