# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 56
166 RADIAL 756 999 1069.1383666992188 378.0 499.5 0.0 0.0
8 RADIAL 1015 768 818.0071600063427 507.5 384.05405405405406 0.0 0.0
144 RADIAL 760 1041 798.2393801653827 380.0 520.7407407407408 0.0 0.0
211 RADIAL 756 999 966.8045310974121 378.0 499.5 0.0 0.0
212 RADIAL 696 1071 842.5311945401705 348.0 535.3846153846154 0.0 0.0
151 RADIAL 760 1004 1012.2003964015415 380.0 502.1428571428571 0.0 0.0
149 RADIAL 719 1078 1012.8647865148691 359.5 539.25 0.0 0.0
189 RADIAL 1032 688 740.9718575110802 516.0 344.0 0.0 0.0
226 RADIAL 689 1034 1113.275671005249 344.5 516.75 0.0 0.0
132 RADIAL 760 861 875.5036544799805 380.0 430.66666666666663 0.0 0.0
205 RADIAL 760 1004 1026.2150873456683 380.0 502.1428571428571 0.0 0.0
57 RADIAL 1016 769 820.4110062057907 508.0 384.43243243243245 0.0 0.0
218 RADIAL 760 1041 1070.8801382559318 380.0 520.7407407407408 0.0 0.0
137 RADIAL 692 1065 795.9342120243954 346.0 532.3076923076924 0.0 0.0
143 RADIAL 760 1004 875.9794289725168 380.0 502.1428571428571 0.0 0.0
119 RADIAL 760 1004 771.4505822317941 380.0 502.1428571428571 0.0 0.0
183 RADIAL 760 1004 1121.7887605939593 380.0 502.1428571428571 0.0 0.0
191 RADIAL 1065 692 796.168768286705 532.5 346.125 0.0 0.0
139 RADIAL 1015 768 899.162215413274 507.5 384.05405405405406 0.0 0.0
55 RADIAL 1046 697 855.5616876162015 523.0 348.6666666666667 0.0 0.0
125 RADIAL 1014 767 1066.7232374242835 507.00000000000006 383.6756756756757 0.0 0.0
58 RADIAL 1013 767 1082.5816289540885 506.5 383.2972972972973 0.0 0.0
161 RADIAL 1025 776 1050.365065239571 512.5 387.8378378378378 0.0 0.0
193 RADIAL 1047 698 1351.5066660367527 523.5 349.0 0.0 0.0
167 RADIAL 1023 774 1054.198071763322 511.5 387.0810810810811 0.0 0.0
216 RADIAL 1029 779 1047.4035078512657 514.5 389.35135135135135 0.0 0.0
177 RADIAL 1030 752 1053.2752588632945 515.0 375.81081081081084 0.0 0.0
72 RADIAL 1049 699 1139.5816895411565 524.5 349.6666666666667 0.0 0.0
145 RADIAL 1022 773 1161.452974164808 511.0 386.7027027027027 0.0 0.0
23 RADIAL 1027 777 1129.5883139532966 513.5 388.5945945945946 0.0 0.0
154 RADIAL 1030 752 1087.1732082882443 515.0 375.81081081081084 0.0 0.0
215 RADIAL 644 1082 920.1182427978516 322.0 540.96 0.0 0.0
48 RADIAL 818 619 862.351575078191 409.0 309.51351351351354 0.0 0.0
51 RADIAL 815 617 898.0690845283302 407.5 308.3783783783784 0.0 0.0
24 RADIAL 1027 685 796.4143702189127 513.5 342.3333333333333 0.0 0.0
153 RADIAL 1025 776 1135.3001774968327 512.5 387.8378378378378 0.0 0.0
140 RADIAL 1047 698 1361.823444366455 523.5 349.0 0.0 0.0
106 RADIAL 1022 773 1107.686728606353 511.0 386.7027027027027 0.0 0.0
30 RADIAL 1018 770 1008.5873606913798 509.0 385.18918918918916 0.0 0.0
150 RADIAL 1034 755 1081.763076060527 517.0 377.2702702702703 0.0 0.0
228 RADIAL 1028 778 1136.0002068184517 514.0 388.97297297297297 0.0 0.0
115 RADIAL 857 756 628.2307573486777 428.5 378.0882352941177 0.0 0.0
82 RADIAL 1026 684 1594.161363161527 513.0 342.0 0.0 0.0
74 RADIAL 1057 590 1064.9677332057508 528.5 294.9767441860465 0.0 0.0
31 RADIAL 814 616 836.6314811706543 407.0 308.0 0.0 0.0
233 RADIAL 1026 776 1078.447359033533 513.0 388.2162162162162 0.0 0.0
99 RADIAL 1013 565 1108.7638497907062 506.5 282.69767441860466 0.0 0.0
68 RADIAL 521 380 622.976755090662 260.5 190.09459459459458 0.0 0.0
22 RADIAL 1066 693 796.9593729019165 533.0 346.45 0.0 0.0
170 RADIAL 1030 752 1157.0640811404667 515.0 375.81081081081084 0.0 0.0
182 RADIAL 1007 762 976.3736067591487 503.5 381.02702702702703 0.0 0.0
69 RADIAL 1056 686 778.9897842407227 528.0 343.2 0.0 0.0
195 RADIAL 692 1065 967.7872825035682 346.0 532.3076923076924 0.0 0.0
83 RADIAL 760 1041 1033.033622459129 380.0 520.7407407407408 0.0 0.0
192 RADIAL 698 1074 865.1565153415387 349.0 536.9230769230769 0.0 0.0
75 RADIAL 760 1041 1132.8949398464626 380.0 520.7407407407408 0.0 0.0
