# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 92
128 RADIAL 1025 776 1028.1770213368063 512.5 387.8378378378378 -0.02513163015939879 0.06636554188926219
2 RADIAL 1024 572 1173.9868298361434 512.0 285.7674418604651 -0.006704676657118971 0.02589341467620295
40 RADIAL 1023 774 923.882064325771 511.5 387.0810810810811 0.004001824893300839 0.013973403240219506
17 RADIAL 1019 771 1141.4420377073243 509.5 385.56756756756755 -0.015399118624316402 0.009656692587826258
53 RADIAL 1023 774 1085.9350183839906 511.5 387.0810810810811 -0.0371026931294053 0.03586137418053554
61 RADIAL 1039 693 1186.6239298489083 519.5 346.33333333333337 0.011096953316330123 -0.09222562481313576
118 RADIAL 1032 753 1120.4551776811513 516.0 376.5405405405405 -0.06682735447821554 0.19705552610031374
33 RADIAL 1026 641 2321.6965000639343 513.0 320.625 0.0037362014889022253 -0.005466245418725053
109 RADIAL 1026 776 1053.4074460631582 513.0 388.2162162162162 -0.058783258525823924 0.23341291960994748
85 RADIAL 1068 694 859.6806575317439 534.0 347.09999999999997 -0.04165436013036243 0.10710114244612264
38 RADIAL 1018 770 1489.8996129516888 509.0 385.18918918918916 0.003759232955250762 0.07099225981046343
11 RADIAL 1014 767 1865.3935648601537 507.00000000000006 383.6756756756757 -0.004629214065916471 -0.04050627995256603
77 RADIAL 1066 693 814.4297765111492 533.0 346.45 -0.03756437315271332 0.09635600356905052
148 RADIAL 1015 768 1581.565076903904 507.5 384.05405405405406 -0.014414405642093928 0.036038644855477794
50 RADIAL 1015 768 1134.2976836884488 507.5 384.05405405405406 -0.0028664650355623845 0.005956167739550255
9 RADIAL 1028 685 829.6942881417081 514.0 342.66666666666663 0.001963558603225954 -0.013317235387679654
27 RADIAL 1018 770 1036.4311194849388 509.0 385.18918918918916 0.01290482498270887 0.030932658180356794
92 RADIAL 1031 752 795.80146570222 515.5 376.1756756756757 -0.026173749210124546 0.04992104260975841
29 RADIAL 1023 774 1095.525634496284 511.5 387.0810810810811 -0.05280663664273598 0.12299782274856985
127 RADIAL 1014 767 1981.7062992574752 507.00000000000006 383.6756756756757 -0.0025463381218588915 -0.00032634291568944313
110 RADIAL 1015 768 1768.4610958277888 507.5 384.05405405405406 0.006247824097856331 -0.00310177863653836
4 RADIAL 995 663 1733.974123810109 497.50000000000006 331.6666666666667 -0.002812695766473796 0.04517425203522391
105 RADIAL 1029 686 1383.2921228290645 514.5 343.0 -0.016991091813721108 0.033245896728921545
42 RADIAL 1057 687 777.6961858369975 528.5 343.52500000000003 -0.011915860094777745 0.037845394537756295
103 RADIAL 1026 776 1128.0132857752888 513.0 388.2162162162162 -0.002801624478015979 -0.014452724825391283
16 RADIAL 1032 688 1487.546659671424 516.0 344.0 -0.001121278262382579 0.02548172516114231
146 RADIAL 1031 752 1075.843960313393 515.5 376.1756756756757 -0.023637769485155568 0.07682781032239958
126 RADIAL 1037 757 1122.3357152981566 518.5 378.3648648648649 -0.01529679475556921 0.06425417733571862
32 RADIAL 988 748 808.556255447997 494.0 373.8378378378378 0.044512738698846574 -0.13358485651973842
35 RADIAL 986 657 1363.6842226027313 493.0 328.66666666666663 0.00034533850940913027 -0.003386012232336839
44 RADIAL 1035 578 759.8427881561331 517.5 288.83720930232556 -0.011571364574356688 0.02202723487144192
19 RADIAL 1050 700 1014.5689165127252 525.0 350.0 -0.01985315564097739 0.06499646906105913
93 RADIAL 1047 584 656.8783508030017 523.5 292.18604651162786 0.010358949163192946 -0.015551354052596278
62 RADIAL 1015 768 1417.1355533221736 507.5 384.05405405405406 -0.010543690388862487 0.02619287215070082
3 RADIAL 687 1030 1093.6576593154437 343.5 515.25 -0.0034119150796389362 -0.011958087403417965
15 RADIAL 1024 775 1110.0772377298701 512.0 387.4594594594595 -0.07560974398060318 -0.006357205291499751
111 RADIAL 1043 695 1187.2558692871198 521.5 347.6666666666667 -0.0027166597774537977 -0.0313459750840925
113 RADIAL 1014 767 1522.9004039808895 507.00000000000006 383.6756756756757 -0.053867272839042135 0.06879736755102464
21 RADIAL 1003 669 943.3413838792 501.5 334.33333333333337 -0.01161976337030114 0.009163795605693848
71 RADIAL 1033 754 1085.6455390845426 516.5 376.9054054054054 -0.03217531006210834 0.08270055041500257
