# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3968, mean track length: 7.11
0 0.1115355075922473 -0.2285728918911785 1.436748501148331 222 234 239 1.59
1 -0.3697746079447313 -0.2190902340199541 1.15876880832145 132 131 117 3.4
2 -0.4619936761266254 -0.2164190865552993 1.120700471911369 135 140 145 2.27
3 0.07742039585643823 -0.1932584720904483 1.300006876547967 77 83 86 4.57
4 -0.571834322151618 -0.2139707006089134 1.092262856465697 154 160 167 4.2
5 -0.571834322151618 -0.2139707006089134 1.092262856465697 154 160 167 4.2
6 -0.5639701037442677 -0.2068667897545524 1.109731954405887 233 234 237 1.75
7 -0.5499920300748862 -0.200255291570112 1.084541556019113 209 209 220 3.48
8 -0.5516365922473945 -0.2025432149598447 1.092820495758144 151 155 169 3.64
9 -0.1210299052535159 -0.1810422136293163 1.217262771026958 114 112 104 3.33
10 0.02247178730003557 -0.1684285210963791 1.272021534299631 92 102 110 2.56
11 0.05979718326170785 -0.1653706762653105 1.297322663988343 124 128 129 4.68
12 0.04222617149641611 -0.1656002785759139 1.288152449030323 102 108 114 2.85
13 0.1044685068120218 -0.1633077294490211 1.308233346670891 94 99 106 2.82
14 -0.4942008880470979 -0.1878131871389377 1.13955423556153 130 134 143 2.28
15 -0.5298116388547323 -0.181008770233859 1.082298886902587 138 150 164 3.09
16 -0.5872334671990234 -0.1860245800173384 1.077747189155191 146 152 162 3.15
17 -0.3054633151286528 -0.1682219375886914 1.140261181351696 112 107 104 3.12
18 -0.06835093289947536 -0.158717180795842 1.224089980035069 88 81 67 3.27
19 -0.07669518507197171 -0.1596021494141006 1.227624591663356 117 111 95 3.75
20 -0.5461092221694153 -0.1771225614672001 1.085244689849654 100 102 106 3.76
21 -0.07325021444554081 -0.1595914623854997 1.236592202898787 81 77 68 2.36
22 -0.5637642051933967 -0.1753438476093085 1.077486663594512 108 112 112 2.96
23 -0.285819811029618 -0.1653933992078722 1.154717823333423 93 90 83 2.07
24 -0.08168337129357162 -0.155639902079159 1.232008166569105 144 142 136 3.47
25 -0.497203807567494 -0.166735340747769 1.097994429182662 91 86 79 3.93
26 -0.1923229429812007 -0.1546335389583504 1.187631097496197 146 145 140 3.22
27 -0.3620972213403309 -0.1588379756925146 1.151886901617489 100 99 97 2.63
28 -0.1086994841246786 -0.1515428726152543 1.221298496369794 141 138 129 2.69
29 -0.5637761413077977 -0.166253226417096 1.078282107885399 113 113 116 2.68
30 -0.3210203614960044 -0.153530714182939 1.143972464070472 107 103 94 3.75
31 0.140516824340415 -0.1421277419417143 1.325319207898389 105 103 97 3.7
32 -0.3829219386191727 -0.1618318543855824 1.172791346161096 116 112 105 1.01
33 0.001719318877592246 -0.1447939440366103 1.262508192105595 113 109 96 4.23
34 -0.3423199372356272 -0.1543387259361707 1.134710354259492 114 105 94 3.85
35 -0.2572745142375816 -0.1520631768224452 1.165556470679774 161 157 147 2.02
36 0.01014308266961758 -0.1454321305115504 1.268849494165113 113 109 100 4.09
37 0.01988271261596103 -0.1448143244591264 1.270606258929298 114 112 103 4.76
38 0.05729952430706425 -0.1429116089840251 1.2847155821837 107 100 88 3.62
39 -0.3667706463518649 -0.1557960344969814 1.130949609853556 119 113 102 3.46
40 -0.3004088255419229 -0.1508780410629426 1.146229685024893 146 142 130 4.1
41 0.1243374840468351 -0.1413019751940459 1.306437612989171 93 90 83 4.8
42 -0.3911734696737031 -0.1560293716210619 1.123449637931113 117 110 99 3.66
43 -0.1967651593070494 -0.1487121670793969 1.186268568028945 122 119 110 3.67
44 -0.1517090914187723 -0.1489926613948056 1.20464900744634 143 133 113 2.3
45 -0.4111575748140829 -0.1560251919644399 1.119715760675399 124 120 109 4.23
46 -0.07094287418682765 -0.1441382801656573 1.229768369254577 114 110 101 3.8
47 0.1449934678367368 -0.1402650840096093 1.325416505557187 105 101 92 3.88
48 -0.3506407167684966 -0.1521876209115194 1.13696129689326 126 120 112 3.12
49 -0.459638417177582 -0.1580648974938688 1.120026689893414 126 127 120 2.76
50 -0.4325376783045706 -0.1552465880529421 1.10412324818931 148 145 135 4.21
51 -0.3637733565709165 -0.1528886428161635 1.131102678462155 131 126 115 3.92
52 -0.3574242180994394 -0.1528818486226934 1.132761976087351 146 142 129 3.91
53 -0.3533250434766003 -0.1538972626391167 1.133676632230558 136 128 102 2.17
54 0.0001069385918959498 -0.1412872218279996 1.253772626705359 114 110 105 3.83
55 -0.4529288946286974 -0.1561056975875025 1.104558020587034 130 122 108 3.61
56 -0.3760000133805312 -0.1532348744781475 1.129428677412256 118 112 104 3.93
57 -0.4777050173104305 -0.1568141526441666 1.100734478836234 121 112 96 3.35
58 -0.3907011767361214 -0.1530600259860649 1.123435335677715 125 119 108 3.43
59 -0.4065402550600326 -0.1517638893064621 1.11586528609297 120 116 106 4.12
60 0.1495880311997492 -0.1395760797631309 1.33297400782703 152 153 152 4.19
61 -0.4631889045252224 -0.15459069888592 1.104471546656119 127 120 105 3.89
62 -0.4515025612493033 -0.1537235111100858 1.106562464981586 131 124 109 4.18
63 -0.4564946563830494 -0.1545562499192874 1.105264649297693 123 112 90 2.1
64 -0.4788367496925439 -0.1544160546362572 1.099184887627788 129 122 110 3.94
65 -0.4773756330790001 -0.1531882430204706 1.103141059365123 120 114 101 4.41
66 -0.5438443906456982 -0.1559671658215115 1.08669749315613 111 110 103 3.53
67 -0.5477121911117622 -0.153263770272059 1.080721092346298 78 80 73 3.48
68 -0.4593501453170132 -0.1506695471255623 1.114225515170469 112 109 98 3.55
69 -0.5916368970598087 -0.1554536040844199 1.094396001969019 92 97 100 2.74
70 -0.492211736435405 -0.1494182418453347 1.0950361658631 111 105 92 4.07
71 -0.2259865063794613 -0.1360395476684527 1.169716856237753 69 73 82 3.84
72 -0.570036508728943 -0.151595670201436 1.080555439555607 37 44 47 3.67
73 -0.5653264285919599 -0.1512845949614879 1.088990832170287 77 78 86 3.41
74 -0.5569498220914724 -0.1522574425192814 1.090725092701761 102 100 95 2.42
75 -0.5620052476164437 -0.1475904073794398 1.084975284697916 67 70 72 2.87
76 -0.5506260164459054 -0.1405292047445765 1.07911380358713 117 117 109 2.98
77 -0.3433220207460089 -0.1324745472612379 1.178941785128626 148 139 127 1.18
78 -0.3606245687361061 -0.130387524585781 1.140650574710911 141 128 103 2.4
79 -0.4039343433917326 -0.1286621986551923 1.127877258722338 128 123 111 3.55
80 0.1201788655301197 -0.1124919169365509 1.307952327062984 153 150 143 3.97
81 -0.5133016363946206 -0.1306887744582858 1.088824407216222 145 135 117 3.67
82 -0.5351163271252493 -0.1292239180095879 1.092576480365686 42 46 52 3.54
83 -0.4305290957472271 -0.1260139712893826 1.118963890544258 115 114 102 4.2
84 -0.2682600598102591 -0.1189950452176714 1.152084315992044 168 161 148 2.64
85 -0.1414610809674668 -0.1081174145545989 1.20003768716381 146 142 132 3.39
86 -0.5002292539877722 -0.1168467681834664 1.128949712215815 146 144 142 2.19
87 -0.5062112349715071 -0.1099018551742746 1.097439050007234 133 132 126 3.7
88 -0.2175307123380618 -0.0944612122179735 1.171051704016195 112 112 123 2.74
89 -0.2887590022182863 -0.0936367123960313 1.149965867955941 128 111 73 3.99
90 -0.1576944930552638 -0.09315679839926053 1.1950829462025 145 125 74 3.29
91 -0.3074101412985249 -0.09306041100775599 1.151380240475276 120 101 65 3.34
92 -0.1179347430302206 -0.08788601906940464 1.212750691677336 74 70 67 3.12
93 -0.1184406020309095 -0.0874870965544691 1.206913613530508 63 63 73 2.96
94 -0.4195122700149163 -0.08665388940443762 1.112237981500283 100 92 69 3.26
95 -0.1651634751768908 -0.07703221386250179 1.182348036971766 114 109 103 4.28
96 -0.09735271275893026 -0.07523112679629812 1.208586434406015 83 82 83 4.53
97 0.09183079965437012 -0.07125811874125838 1.287901835129829 145 144 134 2.81
98 0.03758733135236428 -0.06758024552973303 1.274245987993065 61 65 70 5.06
99 -0.6262675491036438 -0.06828275266872201 1.157129551650654 33 34 32 0.84
100 -0.5498160605794731 -0.06439149518980039 1.073802763335695 51 52 52 3.39
101 -0.4718671925333233 -0.02807756490401489 1.124074113959014 77 76 68 3.37
102 -0.3195348969032317 -0.02204426863725938 1.158166287563215 35 38 42 3.03
103 -0.2670986293253661 -0.02123800277762914 1.15260230491583 80 82 86 3.56
104 -0.4793335661334877 -0.02561938537260392 1.087333677659878 38 41 47 3.6
105 -0.0760989139957215 -0.01295409008805463 1.219755686244375 85 87 92 3.37
106 -0.1762464038874503 -0.002560543372621186 1.198846358996938 63 64 66 3.78
107 -0.4754760633734712 -0.007680966919667395 1.088334388722928 97 97 97 2.72
108 -0.4494617122727343 -0.009161298708083857 1.091258847498109 86 84 74 3.43
109 -0.3079127657237394 -0.005280736371517283 1.125923303428666 104 104 98 2.74
110 -0.02117586751609965 0.001833987083449789 1.228417657044587 105 106 92 4.35
111 -0.5438097596614651 -0.008636125818467736 1.076323492729817 19 20 18 2.85
112 -0.2732993967410311 8.916556900533459e-05 1.134614232809671 106 106 97 3.99
113 -0.00432896532685853 0.004466976075781967 1.251587130195766 106 107 107 4.46
114 -0.1051556228153388 0.002508525213072507 1.203638926535536 113 113 110 4.92
115 -0.08016058484938421 0.002405410815059964 1.215619296607565 88 85 79 3.15
116 0.06404100542162958 0.006685449607950289 1.266775948505632 106 106 103 3.26
117 0.02508244104941607 0.006877375800453103 1.256430358257726 106 107 105 5.41
118 0.02711620224569161 0.008001325991239445 1.262226491323528 100 101 98 5.09
119 -0.1697481472787746 0.01578495143215667 1.171395103515569 152 149 128 3.57
120 -0.3963487503960674 0.01706297736078415 1.107442995091497 104 98 83 3.49
121 0.124126626145312 0.02863705633193089 1.297613275209824 121 116 103 2.8
122 -0.5201277621990312 0.02834804729059425 1.072571678018072 46 43 31 4.47
123 -0.3919624751887977 0.03045598368282076 1.109138916264838 75 77 76 4.77
124 -0.1668279044127021 0.03743208007087588 1.167380913389753 124 125 120 4.25
125 -0.1707300807017713 0.03673538924973611 1.174230789291056 131 130 117 4.57
126 0.1543204264421934 0.04081862271047892 1.308135000977007 94 91 83 4.2
127 -0.3254690721273215 0.03541608180213345 1.123847869793261 52 53 53 5.32
128 0.04802637921905717 0.04063515390192481 1.263531130076432 66 68 68 4.97
129 0.06199087803500175 0.0450680785429227 1.264091475307374 110 111 110 5.0
130 -0.003050875738114522 0.04442647220675754 1.239397584344533 88 90 91 5.21
131 -0.427347389143857 0.04072837990290832 1.096895322089071 70 68 63 3.9
132 -0.1432890181521246 0.04948193618785217 1.183252954816461 130 128 118 4.41
133 -0.1488455789815419 0.04934665484096701 1.188591114600409 142 142 138 3.94
134 -0.5441625502699297 0.04797085783754144 1.065047909189578 68 69 63 3.72
135 -0.2319154627035173 0.05973620084750773 1.138544402698814 134 130 122 3.99
136 -0.03928229117834078 0.06277675267671436 1.221075757102531 126 126 124 4.31
137 -0.0397375698411998 0.06419546777706206 1.231260584096794 125 125 121 3.46
138 0.1524759074510184 0.07374275549195225 1.306230791603614 92 89 83 4.9
139 -0.03738054520587755 0.07630831874456584 1.220800434873905 142 139 127 4.84
140 -0.02591974314540357 -0.2384801219561778 1.262689787150957 135 134 125 2.32
141 -0.0215786202478922 -0.2135342774316941 1.2580781348089 122 120 113 3.16
142 -0.3322287744800349 -0.2220313111067484 1.142832468664634 135 138 140 4.07
143 -0.4770621203154539 -0.1893258138847722 0.9217532872343674 155 152 154 3.33
144 0.1151273725284873 -0.2123806728321088 1.372228041199002 130 144 152 1.79
145 -0.348774525399203 -0.2138942647783154 1.148461323730147 154 156 153 4.01
146 -0.5094321524776899 -0.2221111161420488 1.122511187828486 120 132 138 5.36
147 -0.516964618223519 -0.2220850598317721 1.130660612659052 103 114 125 5.19
148 -0.508207281166654 -0.2172424596148806 1.117889969023197 173 187 194 4.13
149 0.06693871289035705 -0.1951974554808514 1.312598602546309 93 96 98 3.42
150 -0.03731409240224479 -0.1839117756197245 1.247434060911622 125 127 126 3.4
151 0.1556491891836963 -0.1800276470203968 1.325033784628687 206 213 208 3.39
152 0.1562060296368313 -0.178268181126842 1.321191884200367 174 183 185 3.35
153 0.06045906231745768 -0.1804601154120303 1.293337872162897 161 162 162 3.53
154 -0.08129855178908618 -0.1849569791503133 1.238926976436623 162 165 164 3.41
155 -0.5807762229293125 -0.2036937471984964 1.089301626425229 158 163 173 2.64
156 -0.1091050584026791 -0.184156844725089 1.240846543344528 89 86 80 2.02
157 -0.08212660239137048 -0.1717478759352302 1.199104666116964 89 90 84 3.71
158 -0.19467827014851 -0.1752823954415172 1.186943331986529 136 130 116 3.14
159 -0.09839813583645191 -0.1716481326256464 1.225671804142231 126 122 113 3.51
160 0.01276558180529314 -0.1674134063751252 1.265860382293725 83 85 82 3.9
161 0.1543940848928826 -0.1645858101508193 1.332204687601764 149 158 158 3.55
162 -0.409535968731283 -0.184636839446485 1.145950135381768 109 120 134 2.46
163 0.02389578849456855 -0.1644605769459571 1.266986160105027 114 121 129 3.92
164 0.03527401536288127 -0.1630991497291902 1.261401943048086 114 116 111 4.09
165 -0.3105062091134335 -0.1713713060265224 1.141247893346387 80 79 75 3.53
166 -0.09600783116789968 -0.1660677438309008 1.225387040503114 139 133 120 3.43
167 -0.02030498748976126 -0.1613830666000851 1.2416513274556 89 87 82 4.95
168 0.02914572792720202 -0.163547097304192 1.282699363081106 82 84 80 4.36
169 -0.3547559452348407 -0.1733643239859978 1.129706451336355 103 107 105 3.77
170 0.02236867305515861 -0.1626775646219958 1.272997641912498 96 99 97 4.84
171 -0.5292127189775946 -0.184255555010387 1.107122399697769 208 213 216 2.9
172 0.1597255227864403 -0.1587907831035455 1.328626350775568 166 176 179 4.26
173 -0.4907954010485453 -0.1764301071099062 1.10531259414877 66 72 78 4.23
174 -0.6059603177690778 -0.1873152743573724 1.101665090469858 222 228 238 4.02
175 0.1605051398260198 -0.1554613434234214 1.325089789469805 206 213 215 4.09
176 -0.2889838097731539 -0.1647306685255598 1.137356570669811 105 105 100 3.7
177 -0.2734577358525224 -0.1677830982003836 1.164798609186203 102 97 85 3.2
178 -0.05951787698732225 -0.1574547370999214 1.233029178094479 95 91 85 3.23
179 -0.04328279002479124 -0.1556850236251364 1.248236788661391 102 94 81 2.05
180 -0.5614638535451231 -0.1685974035743283 1.08121956027564 110 110 110 3.66
181 -0.5732504930398719 -0.1682233547984842 1.087410366204572 94 95 96 3.39
182 -0.3640302659619774 -0.157124475520744 1.133036104973111 113 109 99 4.06
183 -0.2116058483905811 -0.1517139303574919 1.178561736229235 124 120 109 3.81
184 -0.189029105853778 -0.1491565227722057 1.184090369741951 124 124 120 4.18
185 0.1358307644116573 -0.1445954979719445 1.322235628609489 120 116 106 4.19
186 -0.02568246800180526 -0.1447421237221281 1.250922827025768 136 132 124 3.59
187 -0.2999059332925288 -0.1532983837681255 1.154145837377092 137 132 116 3.61
188 -0.06704548236001368 -0.1452698165935269 1.235044495842188 109 107 97 3.74
189 -0.06616224976642743 -0.1450028945664283 1.233914134417278 107 105 96 3.95
190 -0.3338556108157064 -0.1530647311651475 1.139078630493693 130 123 108 3.63
191 -0.3347657760480118 -0.1524163073178314 1.140491106489329 134 127 108 3.31
192 -0.05964766380744763 -0.1446956034113152 1.241225913057283 119 114 102 4.21
193 -0.5642149511838099 -0.162423051720907 1.078394536858513 45 48 53 3.69
194 -0.4326411055698771 -0.1562467649255337 1.112478051830182 120 116 105 3.77
195 -0.4329607863472726 -0.1562598297055704 1.112628475456502 125 120 109 3.43
196 -0.3418345165606086 -0.1536852170240226 1.139129232849804 127 120 109 3.35
197 -0.3417026570960944 -0.1536508490614987 1.138245541219097 133 124 109 3.03
198 -0.004874632128345491 -0.142021916331956 1.253074358987781 125 121 116 5.49
199 -0.3810479257376138 -0.153316931321138 1.126291618869503 128 122 109 3.99
200 -0.3715967894051497 -0.1533338335019473 1.132457620021319 128 124 116 3.84
201 0.009354306769709692 -0.1431108817433623 1.26909169834275 109 108 99 2.91
202 0.02057719755780874 -0.1445158033994704 1.278138492206911 136 133 126 3.66
203 0.04259058282929004 -0.1403662168586753 1.2779209026712 121 115 106 4.01
204 0.05762875705502682 -0.1426820830820048 1.289310703247807 117 112 104 3.41
