# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 70
33 RADIAL 1026 641 2311.2166236877442 513.0 320.625 0.0 0.0
2 RADIAL 1024 572 1164.1515261627908 512.0 285.7674418604651 0.0 0.0
4 RADIAL 995 663 1697.236141302647 497.50000000000006 331.6666666666667 0.0 0.0
164 RADIAL 1033 754 1100.1648285840008 516.5 376.9054054054054 0.0 0.0
135 RADIAL 760 1004 722.2034440721784 380.0 502.1428571428571 0.0 0.0
107 RADIAL 1016 567 725.6452918828919 508.0 283.5348837209302 0.0 0.0
77 RADIAL 1066 693 802.6352208614348 533.0 346.45 0.0 0.0
16 RADIAL 1032 688 1466.9918717604417 516.0 344.0 0.0 0.0
176 RADIAL 1022 773 1188.3646780477989 511.0 386.7027027027027 0.0 0.0
50 RADIAL 1015 768 1135.2646946262669 507.5 384.05405405405406 0.0 0.0
146 RADIAL 1031 752 1065.4156230720314 515.5 376.1756756756757 0.0 0.0
118 RADIAL 1032 753 1128.122511167784 516.0 376.5405405405405 0.0 0.0
61 RADIAL 1039 693 1192.6844816941482 519.5 346.33333333333337 0.0 0.0
44 RADIAL 1035 578 781.5972099747768 517.5 288.83720930232556 0.0 0.0
124 RADIAL 1022 773 850.2019092456715 511.0 386.7027027027027 0.0 0.0
158 RADIAL 1013 767 991.4202473614667 506.5 383.2972972972973 0.0 0.0
13 RADIAL 1027 777 1064.009450190776 513.5 388.5945945945946 0.0 0.0
85 RADIAL 1068 694 856.1329934120178 534.0 347.09999999999997 0.0 0.0
36 RADIAL 1021 773 838.9713510564856 510.49999999999994 386.3243243243243 0.0 0.0
9 RADIAL 1028 685 843.9142971527882 514.0 342.66666666666663 0.0 0.0
109 RADIAL 1026 776 1086.7327772604453 513.0 388.2162162162162 0.0 0.0
92 RADIAL 1031 752 809.7781768231778 515.5 376.1756756756757 0.0 0.0
93 RADIAL 1047 584 661.74811090425 523.5 292.18604651162786 0.0 0.0
148 RADIAL 1015 768 1580.297371632344 507.5 384.05405405405406 0.0 0.0
157 RADIAL 1018 770 1569.8050903114113 509.0 385.18918918918916 0.0 0.0
159 RADIAL 1023 774 1053.136451154142 511.5 387.0810810810811 0.0 0.0
38 RADIAL 1018 770 1478.2025675386994 509.0 385.18918918918916 0.0 0.0
40 RADIAL 1023 774 944.7080773018502 511.5 387.0810810810811 0.0 0.0
175 RADIAL 760 760 984.4444036483765 380.0 380.0 0.0 0.0
113 RADIAL 1014 767 1524.49864691657 507.00000000000006 383.6756756756757 0.0 0.0
165 RADIAL 1028 778 1060.6920289735535 514.0 388.97297297297297 0.0 0.0
91 RADIAL 1024 775 1150.0017947635135 512.0 387.4594594594595 0.0 0.0
32 RADIAL 988 748 810.6857685398411 494.0 373.8378378378378 0.0 0.0
105 RADIAL 1029 686 1390.5099132244402 514.5 343.0 0.0 0.0
184 RADIAL 1021 773 1283.2303869402085 510.49999999999994 386.3243243243243 0.0 0.0
3 RADIAL 687 1030 1067.0228904577402 343.5 515.25 0.0 0.0
162 RADIAL 1033 754 1007.113995526288 516.5 376.9054054054054 0.0 0.0
111 RADIAL 1043 695 1191.282648233267 521.5 347.6666666666667 0.0 0.0
11 RADIAL 1014 767 1906.2843883617506 507.00000000000006 383.6756756756757 0.0 0.0
152 RADIAL 1021 681 1027.170221426548 510.5 340.3333333333333 0.0 0.0
27 RADIAL 1018 770 1027.1734452118744 509.0 385.18918918918916 0.0 0.0
96 RADIAL 1024 775 1052.961887668919 512.0 387.4594594594595 0.0 0.0
52 RADIAL 1028 778 977.7174604261244 514.0 388.97297297297297 0.0 0.0
53 RADIAL 1023 774 1088.7728575113658 511.5 387.0810810810811 0.0 0.0
42 RADIAL 1057 687 759.91534178257 528.5 343.52500000000003 0.0 0.0
63 RADIAL 1023 774 1031.2333474545865 511.5 387.0810810810811 0.0 0.0
71 RADIAL 1033 754 1079.8984139416668 516.5 376.9054054054054 0.0 0.0
127 RADIAL 1014 767 1965.4782826191672 507.00000000000006 383.6756756756757 0.0 0.0
170 RADIAL 1030 752 1146.1281214533626 515.0 375.81081081081084 0.0 0.0
136 RADIAL 1021 681 2248.872815547845 510.5 340.3333333333333 0.0 0.0
35 RADIAL 986 657 1361.6041126740283 493.0 328.66666666666663 0.0 0.0
163 RADIAL 1031 752 1021.8137381785624 515.5 376.1756756756757 0.0 0.0
12 RADIAL 1023 774 1212.1559435354698 511.5 387.0810810810811 0.0 0.0
43 RADIAL 1026 776 1032.7261604102882 513.0 388.2162162162162 0.0 0.0
182 RADIAL 1007 762 957.6244593955375 503.5 381.02702702702703 0.0 0.0
73 RADIAL 1067 694 804.4703481912613 533.5 346.77500000000003 0.0 0.0
14 RADIAL 1028 778 1042.5843561533334 514.0 388.97297297297297 0.0 0.0
82 RADIAL 1026 684 1546.2479025033804 513.0 342.0 0.0 0.0
17 RADIAL 1019 771 1144.3765185072616 509.5 385.56756756756755 0.0 0.0
120 RADIAL 1022 773 1072.1863635295147 511.0 386.7027027027027 0.0 0.0
88 RADIAL 1024 775 697.9754011824325 512.0 387.4594594594595 0.0 0.0
54 RADIAL 1030 752 1064.044973528063 515.0 375.81081081081084 0.0 0.0
129 RADIAL 1032 688 730.2316741943359 516.0 344.0 0.0 0.0
100 RADIAL 1028 778 710.9328720505173 514.0 388.97297297297297 0.0 0.0
81 RADIAL 1026 776 701.8050395346977 513.0 388.2162162162162 0.0 0.0
69 RADIAL 1056 686 797.7187797546386 528.0 343.2 0.0 0.0
104 RADIAL 1030 687 529.9417065351437 515.0 343.3333333333333 0.0 0.0
89 RADIAL 1032 753 802.4129018010319 516.0 376.5405405405405 0.0 0.0
123 RADIAL 1030 687 1474.200304960593 515.0 343.3333333333333 0.0 0.0
114 RADIAL 760 1004 757.279931477138 380.0 502.1428571428571 0.0 0.0
