# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 683, mean track length: 6.87
0 -0.2192734954516953 -0.1975043464925247 1.15709509676636 131 124 113 3.98
1 -0.1246254523332255 -0.1749026742449993 1.193104886865922 117 113 108 3.0
2 -0.04352429184325965 -0.1762832473191895 1.234025751368783 172 169 172 3.65
3 -0.08475085834360446 -0.1606781282257879 1.209159564297993 119 117 112 5.22
4 -0.08026106570969549 -0.1605092153007427 1.211187750879011 107 104 102 3.68
5 -0.3007309609111558 -0.1525908284903175 1.126560045077136 117 111 99 4.63
6 -0.1088820830328054 -0.1470478237432611 1.201784228082842 150 146 135 3.86
7 -0.3178136983975995 -0.1518622651794745 1.125078022781477 132 130 123 4.25
8 -0.09516477917982369 -0.1450614892232977 1.203827866463345 145 137 128 3.77
9 -0.07741499730938867 -0.1442168895468428 1.209588512865981 120 113 100 3.86
10 -0.3223340811041482 -0.1509300399700081 1.12224495783265 128 123 108 4.12
11 0.004129424890870009 -0.1426785537106013 1.248889934517493 133 128 117 4.47
12 0.01312886448472259 -0.1426505363332952 1.254163995305757 136 129 120 5.2
13 -0.3032414281708826 -0.147981085059952 1.126295994993259 136 131 118 4.36
14 -0.3931402235479868 -0.1530245183180236 1.104484022259404 129 123 111 4.58
15 -0.1990783958224573 -0.1464193248739015 1.163477635858427 126 122 108 4.35
16 -0.4116813797033035 -0.1533670414330463 1.098834629018894 134 128 114 4.46
17 -0.2346362757738015 -0.1338279702959343 1.163549014959225 47 46 51 2.9
18 -0.2346641178465375 -0.1334627969820197 1.163289881973558 48 47 49 2.64
19 -0.2909273683959994 -0.09458067779808324 1.129683462305938 119 106 81 3.73
20 -0.3048813497980479 -0.09351175364114486 1.123201666066233 124 113 88 4.64
21 -0.1256600158136149 -0.08785511909936894 1.201971340529415 55 61 72 4.44
22 -0.1383064845191548 -0.08388536409391409 1.181378167296419 74 69 74 3.91
23 -0.1369758406581346 -0.0828578996295187 1.176963876195998 73 67 72 4.09
24 -0.1225597142885255 -0.08239676471552831 1.18919547219803 69 66 62 5.1
25 -0.180645476820348 -0.001733448530097943 1.153511288638763 129 125 115 4.78
26 -0.2469531767575229 0.0009627622051424957 1.117922644055524 63 56 46 4.95
27 -0.1429296795353746 -0.1940738333580595 1.191590127689274 108 104 98 3.94
28 -0.1095152080828408 -0.1765382836941672 1.202582765910488 113 108 98 4.0
29 -0.1013848672589826 -0.1643773774659784 1.208395658398838 144 140 128 3.94
30 -0.08278102183627661 -0.1496674405853346 1.21238263108028 145 140 128 4.28
31 -0.03284505434032559 -0.1446646239930581 1.233931563043342 137 131 120 4.48
32 -0.2880408046992681 -0.1489784817774484 1.130899926918269 120 115 106 3.48
33 -0.2914873727455931 -0.1487723241171272 1.128317372873212 127 118 101 3.93
34 -0.09764599879251723 -0.1434266464472645 1.203490670750388 143 138 124 4.09
35 -0.09764633011370744 -0.1434751627171023 1.203457748072506 142 137 124 4.12
36 -0.4159514716339631 -0.1518925914312101 1.099549080951641 126 122 110 3.85
37 0.003491288441470175 -0.1356573306653995 1.249772165963269 109 107 97 4.26
38 -0.1976771508800022 -0.1113314739818716 1.175805247259536 76 82 89 3.66
39 -0.1952243661098614 -0.1103202769207837 1.170726261024195 82 76 88 3.8
40 -0.380746624876188 -0.08716674463120797 1.104269147126366 114 99 77 4.52
41 -0.3763937883186027 -0.08345529267731502 1.104745367954536 108 98 79 4.22
42 -0.1980340333691951 -0.07445769882033446 1.163749350273074 61 64 66 3.7
43 -0.2536414513795471 -0.01970737300684728 1.124541262521449 114 116 120 4.41
44 -0.2794267732322334 -0.005256920226950526 1.117514469138065 115 114 105 5.12
45 -0.1883751951672664 6.764692223375571e-05 1.153059049118699 68 67 59 5.12
46 -0.2467691202348737 -0.000131454828267704 1.110380400709489 78 72 65 5.27
47 -0.1895947945919502 -0.1981436868868685 1.173623327688533 157 151 136 3.61
48 -0.1464492879171129 -0.1909958167162801 1.190333563090988 145 141 134 3.71
49 -0.1290343792747251 -0.1743394642232793 1.197701408681894 155 152 144 3.71
50 -0.09713280171288718 -0.1674101822335197 1.208167107858708 109 104 93 4.18
51 -0.2756110025866904 -0.1548214581647241 1.132948725110839 137 129 115 3.43
