# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 55
2 RADIAL 1024 572 1150.3845839389535 512.0 285.7674418604651 0.0 0.0
164 RADIAL 1033 754 1068.0947192424053 516.5 376.9054054054054 0.0 0.0
9 RADIAL 1028 685 829.9403525132399 514.0 342.66666666666663 0.0 0.0
201 RADIAL 1022 773 1529.3504169567211 511.0 386.7027027027027 0.0 0.0
13 RADIAL 1027 777 1047.3659209689579 513.5 388.5945945945946 0.0 0.0
50 RADIAL 1015 768 1123.1285871041787 507.5 384.05405405405406 0.0 0.0
124 RADIAL 1022 773 842.7259881303116 511.0 386.7027027027027 0.0 0.0
197 RADIAL 1029 779 1073.8359996692554 514.5 389.35135135135135 0.0 0.0
44 RADIAL 1035 578 771.278581730155 517.5 288.83720930232556 0.0 0.0
148 RADIAL 1015 768 1546.1813290054733 507.5 384.05405405405406 0.0 0.0
157 RADIAL 1018 770 1551.4062468039021 509.0 385.18918918918916 0.0 0.0
92 RADIAL 1031 752 793.2607048137768 515.5 376.1756756756757 0.0 0.0
93 RADIAL 1047 584 658.600105263466 523.5 292.18604651162786 0.0 0.0
28 RADIAL 1049 699 812.7760067475148 524.5 349.6666666666667 0.0 0.0
194 RADIAL 1009 673 1377.9351070110615 504.5 336.3333333333333 0.0 0.0
110 RADIAL 1015 768 1712.976219331896 507.5 384.05405405405406 0.0 0.0
206 RADIAL 781 591 2087.6064178879196 390.5 295.51351351351354 0.0 0.0
16 RADIAL 1032 688 1437.3590651292066 516.0 344.0 0.0 0.0
176 RADIAL 1022 773 1161.7809324522275 511.0 386.7027027027027 0.0 0.0
158 RADIAL 1013 767 978.0151355846508 506.5 383.2972972972973 0.0 0.0
231 RADIAL 1019 771 1074.7181577940246 509.5 385.56756756756755 0.0 0.0
85 RADIAL 1068 694 835.0052372932433 534.0 347.09999999999997 0.0 0.0
53 RADIAL 1023 774 1063.1400276390282 511.5 387.0810810810811 0.0 0.0
112 RADIAL 1016 769 2338.1599211821685 508.0 384.43243243243245 0.0 0.0
146 RADIAL 1031 752 1051.3561668911495 515.5 376.1756756756757 0.0 0.0
213 RADIAL 1024 624 1924.8113567073171 512.0 312.1951219512195 0.0 0.0
118 RADIAL 1032 753 1102.0584498225032 516.0 376.5405405405405 0.0 0.0
165 RADIAL 1028 778 1051.9843717008023 514.0 388.97297297297297 0.0 0.0
234 RADIAL 1031 752 779.1267085462002 515.5 376.1756756756757 0.0 0.0
235 RADIAL 1028 778 1050.2247801084775 514.0 388.97297297297297 0.0 0.0
175 RADIAL 760 760 989.4628667831421 380.0 380.0 0.0 0.0
188 RADIAL 1057 687 1230.3185513019562 528.5 343.52500000000003 0.0 0.0
214 RADIAL 1028 778 1021.2677232896959 514.0 388.97297297297297 0.0 0.0
38 RADIAL 1018 770 1447.1782850317052 509.0 385.18918918918916 0.0 0.0
11 RADIAL 1014 767 1873.3422639176654 507.00000000000006 383.6756756756757 0.0 0.0
15 RADIAL 1024 775 1051.4382390202704 512.0 387.4594594594595 0.0 0.0
17 RADIAL 1019 771 1125.6251992406071 509.5 385.56756756756755 0.0 0.0
27 RADIAL 1018 770 1019.2730079857079 509.0 385.18918918918916 0.0 0.0
204 RADIAL 1021 773 1132.6954543654983 510.49999999999994 386.3243243243243 0.0 0.0
61 RADIAL 1039 693 1169.8005211658967 519.5 346.33333333333337 0.0 0.0
4 RADIAL 995 663 1650.545881222456 497.50000000000006 331.6666666666667 0.0 0.0
152 RADIAL 1021 681 1006.2501203585894 510.5 340.3333333333333 0.0 0.0
109 RADIAL 1026 776 1079.2193452989734 513.0 388.2162162162162 0.0 0.0
223 RADIAL 1198 568 861.2227215641989 599.0000015453749 284.1777787421834 0.0 0.0
98 RADIAL 1020 772 743.105445037017 510.0 385.94594594594594 0.0 0.0
232 RADIAL 1057 687 1087.4825878620147 528.5 343.52500000000003 0.0 0.0
172 RADIAL 1020 772 984.9274465200064 510.0 385.94594594594594 0.0 0.0
200 RADIAL 1064 692 799.7693489074708 532.0 345.8 0.0 0.0
77 RADIAL 1066 693 790.6753085136413 533.0 346.45 0.0 0.0
91 RADIAL 1024 775 1142.1326541385135 512.0 387.4594594594595 0.0 0.0
36 RADIAL 1021 773 820.1704913474417 510.49999999999994 386.3243243243243 0.0 0.0
128 RADIAL 1025 776 1009.9385893022692 512.5 387.8378378378378 0.0 0.0
135 RADIAL 760 1004 711.9681058611188 380.0 502.1428571428571 0.0 0.0
170 RADIAL 1030 752 1142.8240348197319 515.0 375.81081081081084 0.0 0.0
82 RADIAL 1026 684 1517.2542853722205 513.0 342.0 0.0 0.0
