# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 363, mean track length: 4.45
0 -0.2551615745293601 -0.2226274439506643 1.15136896332125 162 151 130 2.42
1 -0.221146004862956 -0.227013686332359 1.195667332531057 203 199 184 3.3
2 -0.2240384971568401 -0.1857667228480127 1.186656510947668 165 159 149 4.31
3 -0.2239711056411 -0.1833865955850084 1.1826522076342 168 164 146 4.23
4 -0.2623289599873618 -0.1708870088435588 1.165146498129628 175 167 154 4.67
5 -0.2089422178531845 -0.1667193213038527 1.164189615701923 136 129 113 3.57
6 -0.1862939625113052 -0.1673977505837674 1.191376708466567 166 152 138 4.45
7 -0.06535753765675001 -0.1625227989745987 1.226881571109763 117 109 102 4.17
8 -0.069331806301363 -0.1657501456385811 1.243953202651623 201 195 185 3.6
9 0.04146865870538613 -0.1631324335123703 1.288905193326234 171 166 152 3.92
10 0.001477479472024992 -0.02435911967771402 1.253923357342613 154 152 147 4.44
11 -0.009005406966716381 -0.02358172146497961 1.254885048815833 108 101 91 4.29
12 -0.02712808749454407 -0.01591408750516493 1.23976135180352 134 136 133 4.66
13 0.04306558532981553 -0.01000455786704347 1.270135283382186 119 123 120 4.13
14 -0.02221811080347712 -0.005749719997584377 1.241644915565824 117 118 113 4.77
15 -0.02154925697201676 -0.004017321943041698 1.239061510762401 122 119 111 6.47
16 0.04454169426170868 -0.006847348206100889 1.268551061046184 110 113 111 3.25
17 -0.02446767459141989 -0.004292557351578068 1.241254296471546 119 118 112 4.79
18 0.07487780092972299 -0.002299771919866501 1.279063341105989 103 102 99 4.97
19 0.04825220611692491 0.01647074600873643 1.265727364945755 101 101 96 2.25
20 0.01046024205105593 0.02795916967490354 1.251965208679009 135 136 130 4.88
21 0.06272677067161375 0.032080586548761 1.285664180395233 66 65 62 7.07
22 -0.2338931038116967 0.04409813477833664 1.167917057788363 105 101 85 6.18
23 -0.1334674574525575 0.04919079500356676 1.198044160951026 132 135 128 4.45
24 -0.2600943392482435 -0.2327767955916096 1.173845357929143 160 156 145 4.09
25 -0.2408602475897833 -0.2073433417373512 1.188680716740606 130 117 93 2.19
26 -0.2373197051316878 -0.1985210814791621 1.17101938953862 137 121 96 4.86
27 -0.2016264795923596 -0.2089564629998278 1.210190588345887 163 156 147 3.18
28 -0.2133566570445631 -0.1932411681480409 1.19148278162669 166 161 143 2.3
29 -0.2211577852825876 -0.1849792960697499 1.183987551529357 177 172 153 3.36
30 -0.1863860964684048 -0.1810758401255836 1.188273000687112 166 158 143 4.35
31 -0.3988304631509358 -0.160396918703723 1.107720780313421 139 129 111 3.43
32 -0.2565904495614972 -0.1678076363069738 1.170138531999998 170 164 150 4.26
