# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 108
0 RADIAL 1067 694 804.3076823961427 533.5 346.77500000000003 -0.01802948825446919 0.01984430933736065
16 RADIAL 1032 688 1460.618299346686 516.0 344.0 -0.00214015639136861 -0.001055493955060898
120 RADIAL 1022 773 1098.0784034580054 511.0 386.7027027027027 -0.03414062181714848 -0.014756846840878919
1 RADIAL 1059 688 798.6784533050936 529.5 344.175 -0.057457619822747524 0.09624740831761132
56 RADIAL 1028 685 688.7819012696613 514.0 342.66666666666663 0.00907166433223753 -0.01968150498841073
15 RADIAL 1024 775 1115.2068889967688 512.0 387.4594594594595 -0.013330164321769044 -0.0002466084485061246
128 RADIAL 1025 776 1017.7568955920387 512.5 387.8378378378378 -0.02433070922478281 0.02784478345314466
2 RADIAL 1024 572 1156.4966294017918 512.0 285.7674418604651 -0.023297520533106995 -0.004297948257599832
4 RADIAL 995 663 1697.0566258302358 497.50000000000006 331.6666666666667 -0.015337003066620919 0.009428783895187193
146 RADIAL 1031 752 1062.8163742248582 515.5 376.1756756756757 -0.007864208651829692 -0.0027047027302760512
147 RADIAL 1027 777 1033.3280775570313 513.5 388.5945945945946 -0.032321180781727694 0.051465624786747904
152 RADIAL 1021 681 1041.6678975283946 510.5 340.3333333333333 -0.04715997704549096 -0.004600934129380522
26 RADIAL 1027 777 1070.2567493755655 513.5 388.5945945945946 -0.03738173420438757 0.1044944906536935
29 RADIAL 1023 774 1074.3570405585847 511.5 387.0810810810811 -0.010918543023414268 0.029122476498321604
157 RADIAL 1018 770 1545.2027533327364 509.0 385.18918918918916 -0.025897011601709072 0.0030499966107712076
160 RADIAL 680 1020 951.2057269414659 340.0 510.0 -0.012742290342023581 -0.001718206228888269
44 RADIAL 1035 578 767.1227430182138 517.5 288.83720930232556 -0.010334163708098023 0.007318090259486195
50 RADIAL 1015 768 1131.2401073348035 507.5 384.05405405405406 -0.009170241962970041 0.0033173506846697807
61 RADIAL 1039 693 1180.5153360368463 519.5 346.33333333333337 0.012331716036598783 -0.0004932352885875169
69 RADIAL 1056 686 788.9920745379193 528.0 343.2 -0.015412977657757275 0.0022722028083952584
73 RADIAL 1067 694 800.903280001392 533.5 346.77500000000003 -0.05036407875682865 0.06693379992513483
77 RADIAL 1066 693 801.1995734865475 533.0 346.45 -0.036685241741255425 0.07293608427899083
111 RADIAL 1043 695 1178.1278542398243 521.5 347.6666666666667 -0.014609346103677992 -0.01365910529039744
118 RADIAL 1032 753 1117.8137936702435 516.0 376.5405405405405 -0.05997688179438789 0.00025210370229106335
11 RADIAL 1014 767 1823.7037963561138 507.00000000000006 383.6756756756757 -0.021000466077487786 -0.011069826192032024
17 RADIAL 1019 771 1138.9863847751178 509.5 385.56756756756755 -0.026877837505988756 -0.0022352370524337598
19 RADIAL 1050 700 999.319928096478 525.0 350.0 0.0006821709751858034 -0.004622261568650216
148 RADIAL 1015 768 1546.1931653360787 507.5 384.05405405405406 -0.02716967928977345 -0.0037545098407383657
27 RADIAL 1018 770 1035.4425486767025 509.0 385.18918918918916 0.01514541863508694 -0.026568394207760547
28 RADIAL 1049 699 812.7856417021565 524.5 349.6666666666667 -0.01624515837128389 0.02211923753195635
158 RADIAL 1013 767 981.5295164134026 506.5 383.2972972972973 -0.03195063567362227 -0.04804247833264589
33 RADIAL 1026 641 2264.9065584420687 513.0 320.625 0.008469100666441985 0.0003210786377550983
40 RADIAL 1023 774 927.3267570946844 511.5 387.0810810810811 -0.008210822987106726 -0.0010610682076441396
71 RADIAL 1033 754 1074.1353019800426 516.5 376.9054054054054 -0.025827715801743468 0.02790024770042633
92 RADIAL 1031 752 804.5207673185887 515.5 376.1756756756757 -0.0024753405253600566 0.00337863268554619
96 RADIAL 1024 775 1046.7293536342816 512.0 387.4594594594595 0.006921949978643754 -0.04798097406891754
66 RADIAL 1021 773 1092.2336826716003 510.49999999999994 386.3243243243243 -0.043274219075832884 -0.0180059848328327
67 RADIAL 1022 773 1069.096662706365 511.0 386.7027027027027 -0.013598469497228633 0.005336157389484538
36 RADIAL 1021 773 841.3391907549234 510.49999999999994 386.3243243243243 -0.015856613706184707 -0.0027632981147270356
89 RADIAL 1032 753 811.861292858062 516.0 376.5405405405405 -0.0308747236834145 0.04514965280893791
63 RADIAL 1023 774 1061.9892562951445 511.5 387.0810810810811 -0.017688892780208534 -0.010303362311552084
129 RADIAL 1032 688 725.622924931312 516.0 344.0 -0.034838634882936606 -0.004512172537983873
3 RADIAL 687 1030 1079.000648931088 343.5 515.25 -0.020419733404258743 -0.003596392371735505
12 RADIAL 1023 774 1222.3205173245326 511.5 387.0810810810811 -0.004070678149049848 0.007581603143127018
14 RADIAL 1028 778 1042.9046710220287 514.0 388.97297297297297 -0.01585080085005948 0.004961282364619691
25 RADIAL 1025 776 1137.2618140815403 512.5 387.8378378378378 -0.01927727636283054 0.049672481377467895
38 RADIAL 1018 770 1465.0160606569355 509.0 385.18918918918916 -0.009967088271630927 0.01313779164400467
43 RADIAL 1026 776 1023.0787564977458 513.0 388.2162162162162 0.004783020085478905 -0.0032635810004037432
179 RADIAL 1026 684 1363.9584082660604 513.0 342.0 -0.01941015188047768 -0.004558637079402202
60 RADIAL 1015 768 1690.302158063757 507.5 384.05405405405406 -0.015075368960455512 -0.006588594901903434
65 RADIAL 1041 760 1010.288951471558 520.5 379.8243243243243 0.029557537658279353 -0.000691062099317162
199 RADIAL 612 463 649.4963105595697 306.0 231.56756756756755 -0.02117950341360807 0.01598058644944044
97 RADIAL 1024 775 1087.5400336766857 512.0 387.4594594594595 -0.02279380321790319 -0.0014735505585475263
104 RADIAL 1030 687 532.5139083946966 515.0 343.3333333333333 0.032458391955672204 -0.03095522480137559
162 RADIAL 1033 754 997.0748133501979 516.5 376.9054054054054 0.011946558954964099 0.009787880411670133
163 RADIAL 1031 752 1038.1357688908195 515.5 376.1756756756757 0.0029139301491941483 0.018978902732063894
165 RADIAL 1028 778 1082.4176380164247 514.0 388.97297297297297 0.027608040712438418 0.016882581441501593
217 RADIAL 975 557 965.9869695743018 487.5 278.57142857142856 -0.09727919558056697 -0.031088891224233188
91 RADIAL 1024 775 1159.9042995143348 512.0 387.4594594594595 -0.00889395794907391 -0.027073967843067325
220 RADIAL 971 647 1253.9737637659844 485.5 323.6666666666667 -0.015384647501922992 -0.004475929375138942
227 RADIAL 1020 680 1022.1479347887905 510.0 340.0 -0.03651625186147894 0.06359991326637762
235 RADIAL 1028 778 1083.8927988047292 514.0 388.97297297297297 0.03694225550903696 0.016467820641670104
110 RADIAL 1015 768 1739.72206972386 507.5 384.05405405405406 -0.0211596679078648 -0.0021914413160181887
127 RADIAL 1014 767 1945.2194810109743 507.00000000000006 383.6756756756757 -0.011682064548618634 -0.001733890242086591
32 RADIAL 988 748 813.4128713210595 494.0 373.8378378378378 -0.019287526023878777 -0.014999206879794873
88 RADIAL 1024 775 704.740763096251 512.0 387.4594594594595 0.0026202340368354183 -0.010832330360017399
103 RADIAL 1026 776 1123.9134615622636 513.0 388.2162162162162 -0.010290411737888545 -0.01206163089401389
41 RADIAL 1022 681 1663.5789762925008 511.0 340.66666666666663 -0.009818044244518922 0.0003853794504523424
181 RADIAL 1010 764 1080.900396298684 505.0 382.1621621621622 0.016632566793980102 -0.10320593934126132
196 RADIAL 1051 701 1123.5686156498498 525.5 350.3333333333333 -0.0034000816301170684 -0.0031767830891009188
207 RADIAL 1033 689 575.4849267739976 516.5 344.3333333333333 0.04078903029822562 -0.044824278413756156
208 RADIAL 1070 696 791.769218360401 535.0 347.75 -0.07329872607990004 0.11409324395599914
53 RADIAL 1023 774 1086.761142847354 511.5 387.0810810810811 -0.028581397560079925 0.006064396437160148
21 RADIAL 1003 669 948.742917209462 501.5 334.33333333333337 -0.022022036645209943 0.015376975151906348
126 RADIAL 1037 757 1099.2703751478537 518.5 378.3648648648649 -0.030295003863307825 -0.0036709405134958597
213 RADIAL 1024 624 1940.0667067317231 512.0 312.1951219512195 -0.006255815010293528 0.0008631186570714843
232 RADIAL 1057 687 1090.65012803094 528.5 343.52500000000003 -0.016178206036962395 -0.004470618347485741
114 RADIAL 760 1004 754.3715091046047 380.0 502.1428571428571 -0.009538734891898897 -0.002279901920278463
54 RADIAL 1030 752 1070.6896051765232 515.0 375.81081081081084 -0.02347509579399489 -0.007748262424957674
64 RADIAL 1058 688 781.5673894942217 529.0 343.84999999999997 -0.00807757879881528 -0.0003153506051585675
100 RADIAL 1028 778 712.6829492056314 514.0 388.97297297297297 -0.0009383895537631665 0.005907690964639909
81 RADIAL 1026 776 702.0994278925738 513.0 388.2162162162162 -0.02013366660029723 0.006198470088856392
138 RADIAL 1057 687 779.819610438948 528.5 343.52500000000003 -0.015504674122201417 0.006154209978685517
198 RADIAL 613 464 649.201242039286 306.5 231.94594594594597 -0.01563246432661298 0.007036062294663094
76 RADIAL 1023 774 707.3125281430227 511.5 387.0810810810811 -0.005100407247262207 -0.008829838941290242
209 RADIAL 1069 695 869.1096569387946 534.5 347.425 -0.06043659554031386 0.12089048530846126
219 RADIAL 1024 775 1131.1252710234871 512.0 387.4594594594595 -0.00494171605846564 -0.0167396475672021
204 RADIAL 1021 773 1127.0114498310113 510.49999999999994 386.3243243243243 -0.020936313344909776 -0.0018498855837392305
221 RADIAL 1029 686 1017.8277529224049 514.5 343.0 -0.035225075659568776 0.040037710290310766
176 RADIAL 1022 773 1196.3201127132236 511.0 386.7027027027027 -0.017419835589682117 -0.06752143954636385
231 RADIAL 1019 771 1075.2959354332515 509.5 385.56756756756755 0.0057104847598031154 0.0026275023160853453
