# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2948, mean track length: 8.33
0 -0.3490741302082147 -0.2218448129159404 1.137731256322855 118 121 121 0.27
1 -0.4383655449437103 -0.2042737428141335 1.117896809163836 94 98 98 0.13
2 -0.3840589311677254 -0.211843157606524 1.166956722961846 95 107 122 0.21
3 -0.3458072200476445 -0.2082321409857077 1.140911363833806 141 142 140 0.33
4 -0.3365960993600842 -0.2064211667253569 1.139122572559211 156 158 154 0.26
5 -0.4722193751133183 -0.1938486739813622 1.104887711244061 141 147 148 0.28
6 -0.06997644458673125 -0.2251484733445513 1.254074389086401 133 156 170 0.94
7 -0.456808913981856 -0.1774261023901756 1.100926565077728 85 94 106 0.42
8 -0.04236271744233824 -0.2002572805117907 1.246554538575519 170 165 149 0.05
9 0.06394892292354454 -0.2050678041588286 1.288626622438416 135 146 155 0.14
10 -0.4836848538985275 -0.1560755505803723 1.098168567783169 127 120 110 0.33
11 0.02203811260654099 -0.1816155662606338 1.2701203192133 82 80 72 0.42
12 -0.1141616744937781 -0.1705055852626988 1.212289146335949 153 154 147 0.15
13 -0.223539064782969 -0.1581297399990486 1.16769747547946 167 168 159 0.15
14 -0.4353657474512636 -0.1461094742621212 1.109260308980286 137 120 90 0.36
15 -0.1808137879053627 -0.156457620267746 1.185951352296989 155 152 141 0.43
16 0.06854475129497073 -0.1628575895336336 1.285729786213436 93 96 99 0.23
17 -0.07296703528910516 -0.1519376245066231 1.22531330246442 96 91 81 0.44
18 -0.07579182572587576 -0.1483533452764984 1.224068821464773 124 126 126 0.16
19 -0.1420569980822158 -0.1381709206794387 1.197737133895852 151 136 94 0.09
20 -0.09777204868020557 -0.1343851979835744 1.215265318785525 79 78 73 0.28
21 0.08105687971673785 -0.1447744737671535 1.289874164219929 118 114 101 0.25
22 0.1007577423705405 -0.137127468028351 1.297096147091132 105 100 90 0.41
23 -0.08979056213496012 -0.1230565003483931 1.224851353071188 138 137 140 0.13
24 0.05264060999653156 -0.130122730711442 1.272890294753365 175 156 107 0.2
25 0.1397038956296282 -0.03065569328630152 1.305307372748014 72 69 68 0.36
26 -0.07061990834466617 -0.01439374118341905 1.20428499098939 122 124 116 0.32
27 -0.004291979476255472 -0.01453773051350548 1.235936043202982 113 108 95 0.39
28 0.1284106581099857 -0.009200522674634896 1.296255041520268 82 83 75 0.56
29 -0.01761524272011032 -0.002914175472846369 1.234607150171837 110 102 80 0.35
30 -0.1200265968063755 -0.0006426141972866841 1.213146357714117 142 139 124 0.28
31 0.1326246563169304 -0.004429849916063414 1.282344425665746 118 123 126 0.29
32 -0.109214962921823 -0.2505155873353398 1.279147671331731 121 136 144 0.36
33 -0.5057712527677813 -0.2102367486476699 1.122409633224259 96 119 131 0.31
34 -0.5099614864426756 -0.2038148258747373 1.102540665746226 199 223 232 0.21
35 -0.4532965320682401 -0.2064095629321634 1.109676986207867 153 156 156 0.22
36 -0.3592017148178224 -0.1991768624396022 1.136454846837708 131 133 135 0.37
37 -0.4310605595188659 -0.1948527685038208 1.121923673085228 84 90 95 0.49
38 -0.4569526997894116 -0.1899218618507186 1.110749210236987 110 114 122 0.18
39 0.001601352210769685 -0.1975050034381149 1.25913118100294 96 106 119 0.55
40 0.01835415219279206 -0.2012598263016767 1.294938211779766 94 103 108 0.27
41 -0.1177615591928693 -0.1802711167848929 1.210857131068827 129 128 122 0.55
42 -0.5115665336425133 -0.1562122133540151 1.091354855622524 118 114 102 0.35
43 0.1052422401335678 -0.1985371982871746 1.330376272897847 91 105 112 0.29
44 -0.005557864998511321 -0.1837332314889462 1.259874769382368 90 93 91 0.29
45 0.08973515682276553 -0.1871878219372519 1.298455191773934 117 119 119 0.38
46 0.05234093285499625 -0.1820624196766059 1.285938118561383 107 110 108 0.17
47 -0.514334602640012 -0.1426853530542219 1.087878092263205 109 92 66 0.3
48 -0.4066748943508594 -0.1406370052626508 1.115332520455397 69 65 64 0.35
49 -0.504417992184804 -0.1334967774969106 1.094471870127055 125 114 91 0.28
50 0.0784549180342896 -0.1639102871453615 1.295540905524625 103 108 111 0.96
51 -0.07405125401573544 -0.1419822485015095 1.223605603884913 127 121 112 0.29
52 -0.1524351564680663 -0.1357227429066629 1.193705703820361 70 66 57 0.32
53 -0.1584231280430039 -0.1319939286414173 1.206492974887359 116 122 124 0.33
54 -0.06833550776319057 -0.1339342741170358 1.225622963703211 115 102 78 0.35
55 -0.005632500164381448 -0.1235451133254921 1.249847324112995 133 111 69 0.33
56 0.01520456992799525 -0.1155372886493824 1.269074919512659 72 71 73 0.29
57 0.1115884601828992 -0.1035613029640435 1.306758305254663 90 92 92 0.31
58 -0.01661934489279504 -0.06895264702372697 1.244233665676901 61 64 67 0.41
59 -0.1109495179761096 -0.01811893524908974 1.195820554165728 143 140 130 0.35
60 -0.1260287519017319 -0.00948279729341432 1.192931837538731 95 89 75 0.19
61 -0.1203792802574195 -0.009605143077117472 1.192948944253593 129 115 85 0.42
62 -0.1152547495637151 -0.006421592709693676 1.193237773466908 84 81 71 0.3
63 0.06472731884745042 -0.01106643741278069 1.262364356702039 160 165 168 0.38
64 -0.2127387420187393 -0.2297440197195013 1.172528019457434 105 113 124 0.41
65 -0.2338951271872261 -0.2152934320737219 1.184220474435567 156 152 144 0.37
66 -0.1032097983656471 -0.2316380614787142 1.280616280320964 178 189 196 0.98
67 -0.3911669237181326 -0.1835951329463578 1.129477716094431 71 76 79 0.45
68 -0.2023207276283101 -0.1931983732818047 1.179013311573842 147 143 133 0.42
69 0.009946391381299352 -0.200907770673458 1.298140623962936 88 103 113 0.42
70 -0.1130538595854438 -0.1767398776095434 1.213535790826884 139 136 126 0.48
71 -0.1534339523128835 -0.1693341334953617 1.198019266678676 183 170 137 0.53
72 -0.226489351454124 -0.1631246473504675 1.169054444485439 171 166 153 0.44
73 -0.4982328105702465 -0.141282529660668 1.09303566072226 79 78 67 0.29
74 0.1215644783153817 -0.1711709089465351 1.311351109347206 139 143 147 0.38
75 -0.1934946157520127 -0.1430180225174416 1.177905274623545 154 149 135 0.21
76 -0.0892308442385616 -0.1403816134630481 1.218345767942211 129 126 115 0.38
77 -0.1751512182413475 -0.1325671087059167 1.18278823320394 130 104 59 0.28
78 -0.07111669021147199 -0.124623621735727 1.224792113650129 143 120 78 0.33
79 -0.1024375437154942 -0.07717719918159531 1.20834512602093 147 146 142 0.32
80 -0.05620335371781979 -0.06390709110901657 1.223931942229717 82 82 78 0.57
81 0.01115250554659181 -0.06187292712249108 1.244967719757564 84 88 87 0.61
82 -0.02691184980820076 -0.01764618871901692 1.227659458655876 86 88 82 0.26
83 -0.511979946619098 -0.2162384181831013 1.125211920341103 86 99 108 0.68
84 -0.4425968378054329 -0.2116872388645032 1.118721236361971 66 70 74 0.34
85 -0.4644646905416961 -0.1768370092068935 1.106699024771665 126 130 130 0.32
