# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 46
0 RADIAL 1067 694 805.4806684970856 533.5 346.77500000000003 0.0 0.0
100 RADIAL 1028 778 706.8225744092787 514.0 388.97297297297297 0.0 0.0
61 RADIAL 1039 693 1182.2635523967253 519.5 346.33333333333337 0.0 0.0
160 RADIAL 680 1020 957.1443293644832 340.0 510.0 0.0 0.0
104 RADIAL 1030 687 533.5370190938313 515.0 343.3333333333333 0.0 0.0
97 RADIAL 1024 775 1079.1976879222973 512.0 387.4594594594595 0.0 0.0
11 RADIAL 1014 767 1844.869052990063 507.00000000000006 383.6756756756757 0.0 0.0
17 RADIAL 1019 771 1133.093410852793 509.5 385.56756756756755 0.0 0.0
65 RADIAL 1041 760 1011.9139474404825 520.5 379.8243243243243 0.0 0.0
67 RADIAL 1022 773 1067.1751608977447 511.0 386.7027027027027 0.0 0.0
16 RADIAL 1032 688 1427.4385622464692 516.0 344.0 0.0 0.0
53 RADIAL 1023 774 1086.6841053833832 511.5 387.0810810810811 0.0 0.0
96 RADIAL 1024 775 1057.2739653716217 512.0 387.4594594594595 0.0 0.0
3 RADIAL 687 1030 1069.0466733345618 343.5 515.25 0.0 0.0
50 RADIAL 1015 768 1127.6416211514859 507.5 384.05405405405406 0.0 0.0
111 RADIAL 1043 695 1184.517533277854 521.5 347.6666666666667 0.0 0.0
41 RADIAL 1022 681 1641.9495519002278 511.0 340.66666666666663 0.0 0.0
15 RADIAL 1024 775 1067.1295924831081 512.0 387.4594594594595 0.0 0.0
89 RADIAL 1032 753 811.7700663386164 516.0 376.5405405405405 0.0 0.0
27 RADIAL 1018 770 1029.1371143444164 509.0 385.18918918918916 0.0 0.0
32 RADIAL 988 748 801.6255118911331 494.0 373.8378378378378 0.0 0.0
33 RADIAL 1026 641 2275.00580291748 513.0 320.625 0.0 0.0
4 RADIAL 995 663 1656.915521866236 497.50000000000006 331.6666666666667 0.0 0.0
38 RADIAL 1018 770 1447.9816686269398 509.0 385.18918918918916 0.0 0.0
71 RADIAL 1033 754 1075.8430222691716 516.5 376.9054054054054 0.0 0.0
43 RADIAL 1026 776 1022.5751968589989 513.0 388.2162162162162 0.0 0.0
77 RADIAL 1066 693 792.2902805805206 533.0 346.45 0.0 0.0
110 RADIAL 1015 768 1701.860205160605 507.5 384.05405405405406 0.0 0.0
25 RADIAL 1025 776 1146.4074031726734 512.5 387.8378378378378 0.0 0.0
60 RADIAL 1015 768 1696.1603760074925 507.5 384.05405405405406 0.0 0.0
29 RADIAL 1023 774 1054.9667460467365 511.5 387.0810810810811 0.0 0.0
2 RADIAL 1024 572 1147.1765534156978 512.0 285.7674418604651 0.0 0.0
9 RADIAL 1028 685 836.3149912907527 514.0 342.66666666666663 0.0 0.0
19 RADIAL 1050 700 1001.1086684006912 525.0 350.0 0.0 0.0
40 RADIAL 1023 774 930.3860870052029 511.5 387.0810810810811 0.0 0.0
44 RADIAL 1035 578 776.0246305687482 517.5 288.83720930232556 0.0 0.0
63 RADIAL 1023 774 1043.2676668940364 511.5 387.0810810810811 0.0 0.0
85 RADIAL 1068 694 845.8102000236511 534.0 347.09999999999997 0.0 0.0
92 RADIAL 1031 752 788.9349615509445 515.5 376.1756756756757 0.0 0.0
112 RADIAL 1016 769 2366.996103647593 508.0 384.43243243243245 0.0 0.0
56 RADIAL 1028 685 689.4153726039789 514.0 342.66666666666663 0.0 0.0
14 RADIAL 1028 778 1046.4522886533994 514.0 388.97297297297297 0.0 0.0
73 RADIAL 1067 694 804.7935285806656 533.5 346.77500000000003 0.0 0.0
12 RADIAL 1023 774 1207.469171472498 511.5 387.0810810810811 0.0 0.0
81 RADIAL 1026 776 702.7157305124643 513.0 388.2162162162162 0.0 0.0
88 RADIAL 1024 775 695.0192145270271 512.0 387.4594594594595 0.0 0.0
