# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 7186, mean track length: 8.34
0 -0.4627666414846539 -0.2664955450514004 0.8964784547065624 219 224 237 0.64
1 -0.461675927252593 -0.2603998188640894 0.8964865612289344 234 236 244 0.63
2 -0.2795153884835483 -0.2482531053980553 1.165367262440825 181 195 212 0.31
3 -0.3370651868652083 -0.2424200509350851 1.151891063449964 197 190 182 0.38
4 -0.4614330664335184 -0.2281184444408174 1.112074351905904 103 102 99 0.25
5 -0.464227537501805 -0.2252847966653248 1.116165686873604 131 135 143 0.33
6 -0.4406542503200992 -0.2240588114081492 1.118963364017107 111 117 115 0.32
7 -0.456980487010114 -0.2195523171924001 1.119077435141565 174 176 180 0.36
8 -0.3246529311517741 -0.2256431000695532 1.146592867591562 74 83 83 0.25
9 -0.3467512712438508 -0.2226776657702224 1.141919367029458 116 118 118 0.35
10 -0.09536262032526296 -0.251146601760505 1.278928503248461 166 172 181 0.54
11 -0.3439064719329817 -0.2197797707877711 1.144993037485492 119 117 111 0.25
12 -0.2156150930330853 -0.2272023513865186 1.179140623296419 195 200 214 0.26
13 -0.09245454293000301 -0.2470011142891235 1.276581980146854 224 226 230 0.13
14 -0.3465405766783384 -0.2161054618960643 1.146941150440647 154 154 158 0.29
15 -0.5527514222217703 -0.1987800242782063 1.093181124766604 187 195 210 0.32
16 -0.4362069992133494 -0.2054007090485312 1.121281185746313 93 97 97 0.32
17 -0.5484947621485734 -0.1975995797036253 1.09268657853126 136 147 165 0.37
18 -0.3568769879673137 -0.2083645584778672 1.141546962239208 134 133 130 0.36
19 -0.3434849795410843 -0.2088636514449063 1.144305253334923 154 154 151 0.38
20 -0.3339423992563855 -0.206766708717724 1.14149928304893 166 166 158 0.46
21 -0.3270881346779447 -0.2077349131124435 1.147738646834957 182 184 180 0.32
22 -0.5473047343916022 -0.1932018209661759 1.084078644844144 118 125 139 0.55
23 -0.456681881505149 -0.1978899158342306 1.111190205250227 98 99 99 0.42
24 -0.2189736764116748 -0.210853930841026 1.178164318095073 116 119 118 0.77
25 -0.5114558696706432 -0.1946242931860347 1.100664466941678 124 139 150 0.19
26 -0.01804753911882617 -0.2226902773793178 1.259063793403778 189 195 199 0.4
27 -0.3936236722198453 -0.1948868219427829 1.126601881121758 151 147 127 0.37
28 -0.5080631532350602 -0.1874575735560152 1.101110929457515 113 115 114 0.4
29 -0.4341692675030289 -0.1353040299278762 0.8033917555035511 62 65 63 0.35
30 -0.4446219661916015 -0.1404487881023566 0.8387424284789844 113 110 104 0.17
31 -0.2275520316580186 -0.1980044507427397 1.166134923608421 142 139 132 0.41
32 0.07459410623540477 -0.2188518773614635 1.298047362966508 142 150 161 0.16
33 -0.2413863411590824 -0.1912614108469473 1.160731773350709 134 131 124 0.44
34 -0.5267582000973006 -0.175500115213954 1.084926461541142 214 217 225 0.32
35 -0.2514186109085644 -0.1907089616202771 1.160965227598038 116 118 119 0.63
36 -0.4575479477306203 -0.1796726272212111 1.110519898686337 91 95 102 0.42
37 -0.08277089389667198 -0.2013814741646195 1.225150457083586 176 178 180 0.42
38 -0.3256897793673038 -0.183603987112255 1.146514166686443 124 120 121 0.33
39 -0.150605647063846 -0.1934118518977875 1.202405670496621 172 168 154 0.77
40 -0.4346018571739096 -0.1762573529036334 1.114635389964263 98 104 106 0.2
41 -0.2566588872577283 -0.1825134702725896 1.158164636262182 143 142 133 0.35
42 -0.4406198451515169 -0.1699640938571852 1.101313966212132 114 111 102 0.48
43 -0.1968541806237234 -0.1847537666048691 1.184803938121575 178 176 163 0.16
