# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 59
232 RADIAL 1057 687 1087.2969080448152 528.5 343.52500000000003 0.0 0.0
12 RADIAL 1023 774 1193.0786248799916 511.5 387.0810810810811 0.0 0.0
221 RADIAL 1029 686 1000.3235995952899 514.5 343.0 0.0 0.0
41 RADIAL 1022 681 1623.5021288945125 511.0 340.66666666666663 0.0 0.0
213 RADIAL 1024 624 1965.3891006097563 512.0 312.1951219512195 0.0 0.0
190 RADIAL 1030 752 1027.1673568519386 515.0 375.81081081081084 0.0 0.0
222 RADIAL 1023 774 1035.2513792192615 511.5 387.0810810810811 0.0 0.0
163 RADIAL 1031 752 1029.4023707621807 515.5 376.1756756756757 0.0 0.0
227 RADIAL 1020 680 1015.7391650860126 510.0 340.0 0.0 0.0
197 RADIAL 1029 779 1076.2916077794255 514.5 389.35135135135135 0.0 0.0
217 RADIAL 975 557 986.3568850925991 487.5 278.57142857142856 0.0 0.0
204 RADIAL 1021 773 1126.3829740060341 510.49999999999994 386.3243243243243 0.0 0.0
196 RADIAL 1051 701 1127.4580331949087 525.5 350.3333333333333 0.0 0.0
36 RADIAL 1021 773 836.7483116356102 510.49999999999994 386.3243243243243 0.0 0.0
159 RADIAL 1023 774 1045.7490356548412 511.5 387.0810810810811 0.0 0.0
214 RADIAL 1028 778 1041.5654527818833 514.0 388.97297297297297 0.0 0.0
162 RADIAL 1033 754 1003.4824294528446 516.5 376.9054054054054 0.0 0.0
172 RADIAL 1020 772 982.8638014922271 510.0 385.94594594594594 0.0 0.0
219 RADIAL 1024 775 1130.8479201858108 512.0 387.4594594594595 0.0 0.0
220 RADIAL 971 647 1279.2656141427847 485.5 323.6666666666667 0.0 0.0
231 RADIAL 1019 771 1071.3983514631116 509.5 385.56756756756755 0.0 0.0
157 RADIAL 1018 770 1536.8061183207744 509.0 385.18918918918916 0.0 0.0
158 RADIAL 1013 767 972.0416246878134 506.5 383.2972972972973 0.0 0.0
182 RADIAL 1007 762 969.655880386765 503.5 381.02702702702703 0.0 0.0
188 RADIAL 1057 687 1267.1449475765228 528.5 343.52500000000003 0.0 0.0
206 RADIAL 781 591 2090.678939819336 390.5 295.51351351351354 0.0 0.0
164 RADIAL 1033 754 1094.789288598138 516.5 376.9054054054054 0.0 0.0
207 RADIAL 1033 689 578.3421594424125 516.5 344.3333333333333 0.0 0.0
176 RADIAL 1022 773 1179.301491505391 511.0 386.7027027027027 0.0 0.0
185 RADIAL 1022 773 1057.56990803899 511.0 386.7027027027027 0.0 0.0
224 RADIAL 1019 771 1276.2708864985286 509.5 385.56756756756755 0.0 0.0
223 RADIAL 1198 568 862.7849350433503 599.0000015453749 284.1777787421834 0.0 0.0
235 RADIAL 1028 778 1069.9214588886982 514.0 388.97297297297297 0.0 0.0
165 RADIAL 1028 778 1071.1318802704682 514.0 388.97297297297297 0.0 0.0
199 RADIAL 612 463 642.8525526716902 306.0 231.56756756756755 0.0 0.0
184 RADIAL 1021 773 1293.3297239252038 510.49999999999994 386.3243243243243 0.0 0.0
175 RADIAL 760 760 979.3615698814392 380.0 380.0 0.0 0.0
200 RADIAL 1064 692 799.2484224319459 532.0 345.8 0.0 0.0
234 RADIAL 1031 752 787.0563387741913 515.5 376.1756756756757 0.0 0.0
198 RADIAL 613 464 639.5772239066459 306.5 231.94594594594597 0.0 0.0
124 RADIAL 1022 773 852.7806887240023 511.0 386.7027027027027 0.0 0.0
146 RADIAL 1031 752 1045.4397833540631 515.5 376.1756756756757 0.0 0.0
135 RADIAL 760 1004 720.6690842764718 380.0 502.1428571428571 0.0 0.0
118 RADIAL 1032 753 1104.2149472623257 516.0 376.5405405405405 0.0 0.0
113 RADIAL 1014 767 1505.5947047053157 507.00000000000006 383.6756756756757 0.0 0.0
123 RADIAL 1030 687 1489.7574757307002 515.0 343.3333333333333 0.0 0.0
194 RADIAL 1009 673 1412.0712617727427 504.5 336.3333333333333 0.0 0.0
112 RADIAL 1016 769 2315.1785039128486 508.0 384.43243243243245 0.0 0.0
148 RADIAL 1015 768 1551.3636292638005 507.5 384.05405405405406 0.0 0.0
128 RADIAL 1025 776 1004.0162679311392 512.5 387.8378378378378 0.0 0.0
127 RADIAL 1014 767 1946.019633525127 507.00000000000006 383.6756756756757 0.0 0.0
152 RADIAL 1021 681 1005.621408804869 510.5 340.3333333333333 0.0 0.0
120 RADIAL 1022 773 1079.8085356016416 511.0 386.7027027027027 0.0 0.0
147 RADIAL 1027 777 1032.3939765208477 513.5 388.5945945945946 0.0 0.0
138 RADIAL 1057 687 765.036581659317 528.5 343.52500000000003 0.0 0.0
129 RADIAL 1032 688 729.8727974524865 516.0 344.0 0.0 0.0
181 RADIAL 1010 764 1054.0895544516075 505.0 382.1621621621622 0.0 0.0
136 RADIAL 1021 681 2215.809109125382 510.5 340.3333333333333 0.0 0.0
114 RADIAL 760 1004 742.6691504887172 380.0 502.1428571428571 0.0 0.0
