# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1688, mean track length: 5.17
0 -0.410856993315222 -0.2914448378410157 0.7224034514328477 154 149 160 1.4
1 -0.2730554188020675 -0.247186840098774 1.256139068920185 159 170 186 4.69
2 -0.4720528969760877 -0.2146116652898243 0.8808753951945862 207 196 184 1.45
3 0.05600052048429477 -0.2050090520251065 1.29030851446066 118 117 111 4.89
4 -0.4718602373567866 -0.2201838247184195 1.101848474297644 95 94 92 5.11
5 -0.1148876318437151 -0.2071106425811213 1.211168654663671 145 140 131 4.03
6 -0.02391387551924617 -0.2029184919550557 1.246880403334667 167 159 151 3.85
7 0.06714901414784546 -0.1955371393061242 1.276223634592004 176 174 161 4.24
8 -0.2276410132301271 -0.2037661874021031 1.166144071954774 141 134 125 3.94
9 -0.2379616915782657 -0.1949050287665647 1.159442586231555 127 120 109 3.29
10 0.1433263531436884 -0.184971649290298 1.310081666053952 186 198 206 5.55
11 -0.03690526213251183 -0.1953825655671826 1.254947154282898 117 122 124 3.54
12 0.1312003092061009 -0.1803847632081029 1.316425144205406 225 227 233 2.5
13 -0.3849606856738769 -0.1594295052406051 0.6581704714784014 87 78 54 0.98
14 -0.3849330458032152 -0.1581849926712718 0.6529055354802569 158 149 134 1.08
15 -0.5718509060844555 -0.2075761442010019 1.077985406783063 218 218 223 1.9
16 -0.2468271639484372 -0.197381620372386 1.16358252801567 179 171 164 3.88
17 -0.08329390652431262 -0.1795254487184957 1.201154124917872 202 197 185 4.73
18 -0.5236285669076514 -0.1966029324711396 1.107383994825521 214 216 213 2.7
19 0.1907768759946424 -0.1698303950824207 1.368900506341055 179 192 199 4.71
20 0.1459922812332388 -0.1563379552727041 1.272872352097132 114 120 119 2.76
21 -0.02960839113419478 -0.1704848659680703 1.226076897452191 30 28 26 3.46
22 -0.385941690441452 -0.1439546386154525 0.6497557761371959 75 62 35 1.11
23 0.1512295336839102 -0.1599258932549144 1.322313391654691 193 199 203 4.5
24 -0.1952893816153572 -0.1659522570873217 1.169310558749382 147 139 129 4.27
25 0.1533690569461535 -0.1545644689429542 1.313876988471729 182 190 195 4.78
26 -0.03010191424273923 -0.1624287123320576 1.249748993496449 76 68 61 4.09
27 -0.2148088971897953 -0.1691035712035397 1.235609921755224 101 91 84 1.67
28 -0.2068705307124619 -0.1706714562987209 1.209696994830354 129 119 103 3.01
29 -0.5459560734568919 -0.1787212364337839 1.096209398879607 217 220 232 2.34
30 -0.4452608721373458 -0.1642907250964631 1.090801744014102 85 75 63 1.94
31 0.07777367873871321 -0.1430986443613798 1.286152141984165 106 97 82 5.15
32 -0.04972643236488566 -0.1429432139375152 1.226944230956687 116 109 94 5.72
33 -0.2986247642996239 -0.1548936228562069 1.142898040684474 110 104 94 4.2
34 -0.3067205796773074 -0.1491736476073751 1.144998857141996 109 99 89 4.08
35 0.0802094099219352 -0.1360934685459827 1.294399911991148 130 121 101 3.19
36 0.08419015333851512 -0.1298115202395436 1.277000658169648 122 110 92 5.43
37 -0.2099636126599174 -0.1464207534794369 1.179012725963262 142 133 119 2.53
38 -0.2368106001208174 -0.1482992787560468 1.174939819206634 159 149 131 3.57
39 -0.2687179659443667 -0.145074981263869 1.15439659548403 151 148 138 5.79
40 -0.2558192256372253 -0.1455786915095594 1.147251312902015 162 156 142 4.55
41 -0.3267874503684082 -0.1477721177571751 1.136717248339263 118 116 112 3.15
42 -0.08547242316152492 -0.1336036785363352 1.199539178932344 98 90 76 2.9
43 -0.09551299614844566 -0.1322085578672696 1.21875709948966 102 94 79 4.17
44 -0.5614374088994233 -0.1489753444947489 1.126370791442259 98 99 105 3.1
45 -0.1619883792386489 -0.1342928594421334 1.314229120461735 106 96 92 2.87
46 0.2117859442635938 -0.1245968070093947 1.417334735277273 215 218 232 5.35
47 -0.4944123463022592 -0.1288784401076225 0.9286841616920718 144 135 121 4.45
48 -0.3956655761437615 -0.1048454199562729 0.6893140645124092 78 78 67 1.42
49 0.1957706242112433 -0.09657964012045941 1.325325759385766 93 91 89 4.41
50 -0.5553200354193547 -0.13153961244076 1.091549527554512 107 107 101 2.8
51 0.162260993685009 -0.1048821838356043 1.400220028600568 137 130 116 6.18
52 -0.3967277282328738 -0.09913103140706545 0.6968973529442406 67 65 56 1.1
53 0.2007175884493628 -0.09533895070223802 1.355391039428872 108 104 98 3.79
54 0.1950640489936213 -0.09734689453006518 1.369310553557426 130 121 112 4.98
55 0.1487839970422366 -0.09261258551524534 1.298522527121049 42 37 33 6.18
56 -0.4903100681571395 -0.1013019965995523 0.9279038355816462 200 189 177 1.77
57 0.1455475129402072 -0.09262395079432995 1.307557443749554 109 104 98 4.5
58 0.1837463234955644 -0.0798699928537991 1.297074269468056 132 127 113 3.36
59 0.00691208995055087 -0.09408520619595112 1.255271965604844 20 24 20 3.41
60 -0.1421947686081048 -0.09250090258738206 1.248208155687033 105 97 95 1.47
61 0.1525458930896574 -0.08469917918462064 1.308502856352118 77 66 55 6.0
62 0.07022024414557959 -0.08853073613676471 1.272922643059141 62 57 55 4.26
63 0.1640322648136633 -0.07222709793579934 1.234562311815959 59 56 44 5.23
64 -0.06630136802810538 -0.08965421358110584 1.235580121732812 94 88 74 4.03
65 0.1652227070884223 -0.07561353134648018 1.325913678363233 164 160 146 5.78
66 -0.4330833579517815 -0.09444605999568556 1.129882374691999 106 92 80 4.16
67 0.1488971057844329 -0.07554607647562557 1.3026430374031 144 129 98 5.06
68 -0.03372020261631448 -0.07863788312366055 1.25201897505517 104 102 106 4.15
69 -0.4694857699736019 -0.07426518582566144 0.8675999603360396 107 95 93 1.47
70 -0.4933040883502682 -0.07597406433661916 0.9176898615206115 186 175 164 4.73
71 0.225644806104667 -0.04957225323926558 1.410996761617083 115 99 91 2.67
72 0.2193929257480516 -0.04802036151001943 1.39122099021042 150 141 125 5.95
73 0.2088632402738367 -0.04279842968760403 1.396558799041379 95 96 85 7.42
74 -0.5179191950341707 -0.05429628356096252 0.9605908908720455 143 133 119 5.05
75 -0.5179191950341707 -0.05429628356096252 0.9605908908720455 143 133 119 5.05
76 -0.5207050835167806 -0.05292210952385488 0.9785237512471214 151 138 125 4.94
77 0.1538048326489671 -0.02183971343543652 1.481657761762088 68 71 64 3.09
78 0.1265216801547055 -0.01420911109319166 1.278409045811096 130 121 101 5.51
79 0.1329651972432974 -0.01281278957179205 1.323550397192373 76 79 75 4.89
80 0.02943264248526023 -0.01758960799995762 1.25054430555138 51 51 45 6.28
81 0.08418592413856124 -0.01140306664911425 1.279453150982125 102 102 97 3.98
82 -0.3454738758091401 -0.02085154997051318 1.125308532777864 98 87 74 5.11
83 -0.03893910536020095 -0.01533935495650128 1.210057160722458 122 115 103 2.79
84 0.1126590697594948 -0.002310444984252112 1.365556201172828 113 108 102 4.73
85 0.05065373041704313 0.0002168487276310513 1.065439508134434 131 124 118 3.37
86 0.02789266413013114 -0.001625655112380907 1.20050004283969 138 136 120 5.32
87 -0.5238088403866812 -0.01693174695266109 0.9671547401522218 138 124 114 5.2
88 -0.03232176633525441 -0.003865525413832963 1.224865422018661 134 118 74 5.35
89 -0.5036233189858598 -0.01424205519404635 0.9554844160382927 173 157 139 3.61
90 0.1697197674336696 0.004495037208423199 1.347392103292758 126 123 112 6.04
91 0.2158792681060866 0.004236783044569044 1.351994529383583 114 113 99 5.87
92 0.1535748879483405 0.007575819436189693 1.292890160305216 91 90 79 6.89
