# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 62
96 RADIAL 1024 775 1029.7200696790542 512.0 387.4594594594595 0.0 0.0
43 RADIAL 1026 776 1006.1016255971548 513.0 388.2162162162162 0.0 0.0
221 RADIAL 1029 686 996.7282549051138 514.5 343.0 0.0 0.0
199 RADIAL 612 463 637.4577143901104 306.0 231.56756756756755 0.0 0.0
227 RADIAL 1020 680 1016.2521274273212 510.0 340.0 0.0 0.0
232 RADIAL 1057 687 1080.0508590221405 528.5 343.52500000000003 0.0 0.0
164 RADIAL 1033 754 1056.9545333965405 516.5 376.9054054054054 0.0 0.0
197 RADIAL 1029 779 1079.1116874797924 514.5 389.35135135135135 0.0 0.0
163 RADIAL 1031 752 1030.6525714461868 515.5 376.1756756756757 0.0 0.0
147 RADIAL 1027 777 1015.7860771385399 513.5 388.5945945945946 0.0 0.0
217 RADIAL 975 557 1007.5959409986224 487.5 278.57142857142856 0.0 0.0
219 RADIAL 1024 775 1126.230099239865 512.0 387.4594594594595 0.0 0.0
60 RADIAL 1015 768 1662.859162768802 507.5 384.05405405405406 0.0 0.0
222 RADIAL 1023 774 1028.110555442604 511.5 387.0810810810811 0.0 0.0
185 RADIAL 1022 773 1050.3537720345162 511.0 386.7027027027027 0.0 0.0
172 RADIAL 1020 772 987.140947290369 510.0 385.94594594594594 0.0 0.0
148 RADIAL 1015 768 1536.6283138378246 507.5 384.05405405405406 0.0 0.0
220 RADIAL 971 647 1262.123410787338 485.5 323.6666666666667 0.0 0.0
152 RADIAL 1021 681 1044.3186024396848 510.5 340.3333333333333 0.0 0.0
184 RADIAL 1021 773 1283.0172778980152 510.49999999999994 386.3243243243243 0.0 0.0
214 RADIAL 1028 778 1031.4015909143395 514.0 388.97297297297297 0.0 0.0
142 RADIAL 689 1060 831.9519443511963 344.5 530.0 0.0 0.0
176 RADIAL 1022 773 1187.3848071742702 511.0 386.7027027027027 0.0 0.0
196 RADIAL 1051 701 1118.5191603929568 525.5 350.3333333333333 0.0 0.0
213 RADIAL 1024 624 2001.9939977134147 512.0 312.1951219512195 0.0 0.0
188 RADIAL 1057 687 1226.7122601509095 528.5 343.52500000000003 0.0 0.0
157 RADIAL 1018 770 1527.1422150070603 509.0 385.18918918918916 0.0 0.0
204 RADIAL 1021 773 1116.2248991373422 510.49999999999994 386.3243243243243 0.0 0.0
159 RADIAL 1023 774 1036.2494534157418 511.5 387.0810810810811 0.0 0.0
224 RADIAL 1019 771 1257.4691915254334 509.5 385.56756756756755 0.0 0.0
162 RADIAL 1033 754 995.0811612928236 516.5 376.9054054054054 0.0 0.0
234 RADIAL 1031 752 784.9538831453065 515.5 376.1756756756757 0.0 0.0
206 RADIAL 781 591 1680.204326423439 390.5 295.51351351351354 0.0 0.0
158 RADIAL 1013 767 969.0260176272005 506.5 383.2972972972973 0.0 0.0
97 RADIAL 1024 775 1075.3054793074325 512.0 387.4594594594595 0.0 0.0
194 RADIAL 1009 673 1389.7012448922183 504.5 336.3333333333333 0.0 0.0
231 RADIAL 1019 771 1068.1555007212871 509.5 385.56756756756755 0.0 0.0
235 RADIAL 1028 778 1068.898210061563 514.0 388.97297297297297 0.0 0.0
207 RADIAL 1033 689 566.4437733430128 516.5 344.3333333333333 0.0 0.0
165 RADIAL 1028 778 1066.414305197226 514.0 388.97297297297297 0.0 0.0
146 RADIAL 1031 752 1047.6519099055108 515.5 376.1756756756757 0.0 0.0
182 RADIAL 1007 762 981.8419956001076 503.5 381.02702702702703 0.0 0.0
181 RADIAL 1010 764 1049.2579836458774 505.0 382.1621621621622 0.0 0.0
200 RADIAL 1064 692 790.951244544983 532.0 345.8 0.0 0.0
223 RADIAL 1198 568 835.0027982438803 599.0000015453749 284.1777787421834 0.0 0.0
175 RADIAL 760 760 964.8864674568176 380.0 380.0 0.0 0.0
190 RADIAL 1030 752 1019.9557953911859 515.0 375.81081081081084 0.0 0.0
198 RADIAL 613 464 640.5772731368606 306.5 231.94594594594597 0.0 0.0
136 RADIAL 1021 681 2199.1103784610063 510.5 340.3333333333333 0.0 0.0
128 RADIAL 1025 776 1005.4164938024572 512.5 387.8378378378378 0.0 0.0
127 RADIAL 1014 767 1918.187795896788 507.00000000000006 383.6756756756757 0.0 0.0
113 RADIAL 1014 767 1473.470527236526 507.00000000000006 383.6756756756757 0.0 0.0
124 RADIAL 1022 773 842.2906860660862 511.0 386.7027027027027 0.0 0.0
135 RADIAL 760 1004 733.6518001556396 380.0 502.1428571428571 0.0 0.0
112 RADIAL 1016 769 2375.4133564717063 508.0 384.43243243243245 0.0 0.0
118 RADIAL 1032 753 1099.2405222299935 516.0 376.5405405405405 0.0 0.0
126 RADIAL 1037 757 1088.3780895439354 518.5 378.3648648648649 0.0 0.0
120 RADIAL 1022 773 1098.5267614416173 511.0 386.7027027027027 0.0 0.0
123 RADIAL 1030 687 1475.2644969255496 515.0 343.3333333333333 0.0 0.0
114 RADIAL 760 1004 743.0976322719029 380.0 502.1428571428571 0.0 0.0
138 RADIAL 1057 687 761.5037005662919 528.5 343.52500000000003 0.0 0.0
129 RADIAL 1032 688 718.4474651630107 516.0 344.0 0.0 0.0
