# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 10967, mean track length: 9.79
0 -0.02822083949523121 -0.2110147827762885 1.247173012568026 120 119 116 0.4
1 -0.07911764349571496 -0.2127780016997192 1.229981983771467 160 161 155 0.16
2 0.077591592065705 -0.207829807001056 1.29096175702508 115 122 130 0.61
3 -0.207982303883312 -0.2089472989367678 1.174658196386127 135 141 140 0.34
4 -0.03366665752024925 -0.1947689072670322 1.243259433370417 93 97 104 0.36
5 -0.2131475470348046 -0.1824368611524186 1.173732120004324 143 138 128 0.43
6 -0.2477411903681817 -0.1790281322157388 1.156456504136169 130 113 85 0.38
7 -0.3900655473029402 -0.1871705092533413 1.123692226513647 120 130 139 0.31
8 -0.1171246385891602 -0.1749091026420033 1.209367577025664 124 122 114 0.4
9 -0.1845196334675706 -0.174106340213766 1.183188544407556 165 158 140 0.37
10 -0.3092713905213856 -0.1794783484624131 1.146784562881403 67 72 78 0.47
11 0.05288562273102504 -0.1662121421999292 1.280211401952692 56 63 66 0.23
12 -0.2131062268361276 -0.1719595025622397 1.172197784480572 165 161 148 0.29
13 -0.2332195029814655 -0.1711613682898527 1.164081140469266 139 132 117 0.27
14 0.0633605883159824 -0.1597791364648526 1.283494908713241 120 124 123 0.39
15 -0.2283331245769827 -0.1662409926200732 1.165597798971585 148 146 137 0.23
16 -0.07342710658963555 -0.1587759641010828 1.219701356846372 104 101 97 0.34
17 -0.07124003682437755 -0.1561454095676648 1.220637271931971 110 106 98 0.37
18 -0.2516639277779853 -0.1594309363118965 1.156308506590553 137 134 124 0.29
19 -0.2430202299736121 -0.1556552928796714 1.158430509356023 144 139 129 0.38
20 -0.1044859887268334 -0.1515209334885023 1.212497307628514 137 137 144 0.31
21 -0.5583603625468084 -0.1702300337016273 1.079979875467514 118 121 121 0.42
22 -0.2438887166878378 -0.1535676779534727 1.159461739479396 127 128 128 0.26
23 -0.2240059129160688 -0.1528264135789437 1.165985385299341 139 140 139 0.34
