# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3775, mean track length: 6.38
0 -0.03336280889003868 -0.2083509070309137 1.241155471998124 124 124 122 3.11
1 -0.08238620227359478 -0.2052812322836534 1.222066872034867 160 161 155 2.54
2 0.07116281774386143 -0.2055221798706651 1.287057940254013 116 124 132 4.96
3 -0.2113558612794153 -0.2003345271425483 1.169006317861106 113 125 128 2.9
4 -0.034112221831578 -0.1879380409444552 1.228434741375042 93 97 104 3.76
5 -0.2187156605121688 -0.1784060267864147 1.171192498983112 130 127 118 4.55
6 -0.2475406211802899 -0.1707003046245411 1.145907393009818 95 87 76 3.11
7 -0.383760731387468 -0.1773760013759298 1.101986763441477 120 130 139 3.7
8 -0.1252133354409192 -0.1721170264069916 1.212730252439322 105 103 98 5.03
9 -0.1915153289961318 -0.1723301291522514 1.182568312246113 164 158 141 4.22
10 -0.3056278026753771 -0.1718575881822134 1.123806329100426 47 57 70 2.76
11 0.04983707660237302 -0.1612445749468461 1.269214129083263 56 63 66 3.56
12 -0.2174900851732029 -0.1703473989237215 1.167673474986911 172 172 158 2.15
13 -0.238359684692677 -0.1671858375665266 1.16139319256954 131 120 100 3.88
14 0.05881875035360515 -0.156097242901307 1.27965979181134 123 127 127 3.95
15 -0.2331960405868955 -0.1628460997376101 1.162039393612684 134 131 124 4.09
16 -0.07727661470362229 -0.1547832924660672 1.211529145214196 95 97 97 4.62
17 -0.07662747572513756 -0.1570073103157895 1.220291660739292 99 98 93 3.12
18 -0.253200379738409 -0.1551651258576895 1.145174921851642 113 113 106 3.73
19 -0.2474361000139673 -0.154245822956057 1.154517818922401 150 148 138 2.73
20 -0.1097883375377974 -0.151677161928303 1.21098671878629 137 137 144 3.32
21 -0.5574508270975749 -0.1637827083273647 1.070770234954371 142 143 141 3.98
22 -0.2459232280799346 -0.1505813060503793 1.149641380708295 127 128 128 3.26
23 -0.2281541661664682 -0.151788088081825 1.161819245152041 128 131 132 2.95
24 -0.2368781569062853 -0.1486277765700972 1.160514020078975 152 144 128 3.78
25 -0.2041848557751245 -0.1474250742329533 1.172136340601092 129 127 115 4.07
26 -0.1376703528018393 -0.1462474595091931 1.195444503148878 149 145 134 2.93
27 -0.1366002984256645 -0.1457152789428544 1.194578538494389 158 155 145 2.82
28 -0.1297926881876812 -0.1459920307706302 1.199303698880549 155 153 142 3.11
29 -0.0868708576752828 -0.1442166143862896 1.214286932394028 138 142 142 4.81
30 -0.1241384281256808 -0.1450916502629995 1.204058126784586 144 145 149 3.07
