# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 15817, mean track length: 9.86
0 -0.4601228592314132 -0.2563608715592461 0.8941375275088024 204 206 210 0.64
1 -0.06768924255431236 -0.2598100235015593 1.242270552047854 199 218 224 0.53
2 -0.1400997653580922 -0.2504001731950366 1.22713570097141 162 164 147 0.97
3 -0.1001400982779778 -0.2525514834339064 1.277218092228577 163 170 176 0.62
4 0.07809137165509418 -0.2275936700683567 1.298915862887715 241 241 232 0.26
5 -0.02306818389886245 -0.2312529890699609 1.259599336801739 227 227 218 0.51
6 -0.3334079708842701 -0.238551042576342 1.148992059605476 168 165 163 0.27
7 -0.2111357258061899 -0.2307706331300468 1.185708092279038 246 248 253 0.38
8 0.08344573795565545 -0.2143653522627182 1.290967094418178 149 163 168 0.5
9 -0.09144649996982152 -0.231856698136219 1.279660498583403 135 135 146 0.27
10 0.07304626607617122 -0.2148310945421248 1.289640106823805 142 152 167 0.62
11 -0.06747570958913374 -0.2185403154944019 1.236729592285422 155 159 167 0.3
12 -0.2116446429129812 -0.2222680652842532 1.180785079512244 154 154 156 0.13
13 -0.3320403177456095 -0.2281003639125598 1.144276338920263 119 120 112 0.48
14 -0.1290260888667253 -0.2156118317086106 1.210418872173405 172 167 153 0.27
15 -0.1135044087818921 -0.21624681107925 1.222204768156063 108 105 90 1.06
16 0.1014414809793345 -0.2285448889595229 1.401532898464191 167 170 178 0.76
17 0.09276906126176662 -0.2212910795543749 1.378175030125199 228 233 239 1.07
18 -0.2108849096502697 -0.214635517501394 1.178633643863202 179 180 172 0.41
19 -0.2670408976624249 -0.2178449200304354 1.166838266117219 158 154 150 1.06
20 -0.08731340505910384 -0.2095540573396445 1.2234713883852 169 171 165 0.16
21 0.05923936376165709 -0.2017250101051482 1.2883071607535 166 164 154 0.2
22 0.09337878152666887 -0.1998833940188634 1.299426520607755 166 159 143 0.16
23 -0.3547386857189297 -0.2161275276849713 1.142261807030892 114 114 105 0.24
24 0.05686232816579317 -0.1986519517243849 1.289350869628765 96 94 83 0.29
25 -0.3101350150412245 -0.2116890152280761 1.152646702562639 95 89 75 0.13
26 -0.1674483496408208 -0.203810056529045 1.192161274610401 130 133 132 0.23
27 -0.3553248625849155 -0.2129452684426838 1.139410493772498 117 106 82 0.56
28 -0.4234441308769091 -0.2117724139828101 1.110467422031888 116 114 100 1.03
29 -0.2089239924792083 -0.200379634577529 1.174295620269588 120 118 113 0.39
30 0.1251248713647405 -0.1888823000805299 1.318049485228103 203 207 210 0.44
31 -0.4587496933354308 -0.2103073652642295 1.11333285737139 123 123 125 0.68
32 0.1254436117346892 -0.1854463377240671 1.312210339158249 147 143 133 0.36
33 -0.4451486764772647 -0.2073841214240773 1.113459360868547 94 92 84 0.52
34 -0.5624837689250108 -0.2134902590134821 1.0882371988718 146 151 155 0.68
35 -0.005649861461851952 -0.1858262646520514 1.257042447955581 112 112 105 0.43
36 -0.001919722718468242 -0.1853555532778249 1.258485676489115 75 77 79 0.17
37 -0.1207686081996479 -0.1885938716124981 1.209119432676413 116 114 106 0.53
38 -0.5563230943447365 -0.210726111243604 1.096866023256643 232 227 229 0.16
39 -0.3499119639537864 -0.1947379712918724 1.136473259260378 175 173 160 0.5
40 0.1259629631488119 -0.1764265824066145 1.309926570130802 118 117 106 0.34
41 -0.5443578203345887 -0.2028420899808354 1.093481416647543 238 239 241 0.21
42 -0.1033005186226848 -0.1795762730978473 1.215696595630612 106 103 96 0.27
43 0.05207800685456188 -0.1756142516331073 1.285176938180471 63 64 64 0.25
44 -0.3154507996015506 -0.1852898860310125 1.145519023649501 171 169 164 0.5
45 -0.5084566802751312 -0.1940499114155596 1.094882037036951 206 213 219 0.42
46 0.1416956465855591 -0.1699000817671869 1.324912600373304 135 142 149 0.49
47 0.008726301876892328 -0.1718626441409517 1.264745962595445 116 121 119 0.5
48 -0.1825852518937188 -0.175143788021617 1.185820837748224 168 160 143 0.42
49 0.05877396098461327 -0.1677649541968279 1.280622584503528 132 138 141 0.33
50 -0.2131473885513557 -0.1755032158546148 1.174624833696565 144 141 130 0.36
51 0.1387538504885506 -0.1636530619540265 1.311149508906535 96 98 91 0.21
52 -0.1963393508437847 -0.1726548452489183 1.17936234744382 136 132 126 0.6
53 0.1507422182540603 -0.1635830424604706 1.32709649631085 216 216 223 0.16
54 -0.03772313732240784 -0.166027206213671 1.240049784339195 128 130 129 0.29
55 0.03074061554401442 -0.1635822797654211 1.266834035295431 132 137 135 0.43
56 0.0119485445097185 -0.1643401935971818 1.264662205268491 102 105 106 0.22
57 0.03602221057622562 -0.1633554734902186 1.271930548287265 82 84 81 0.65
58 0.06226758962862081 -0.1622378424799312 1.279676133503903 123 128 132 0.27
59 0.1386052700284974 -0.1603504020304365 1.315063460853268 92 95 96 0.13
60 -0.2864355793516162 -0.1745067634685858 1.152842033660246 103 104 101 0.53
61 -0.05698561862734791 -0.164260960081576 1.23047601264019 128 127 126 0.11
62 -0.036738405150359 -0.1634346529479454 1.240703797280129 104 104 106 0.45
63 -0.04302738935441214 -0.1635448943296769 1.240135275570445 118 121 117 0.46
64 -0.4445495500243285 -0.1808153520454622 1.114942564530134 97 97 102 0.63
65 -0.3372633791917624 -0.1741466955628269 1.139321898813049 102 104 103 0.37
66 0.01170726301464733 -0.1608065155649494 1.259524260073237 92 92 91 0.15
