# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 70
232 RADIAL 1057 687 1087.0866826057434 528.5 343.52500000000003 0.0 0.0
17 RADIAL 1019 771 1127.5877506153004 509.5 385.56756756756755 0.0 0.0
2 RADIAL 1024 572 1144.5448310319766 512.0 285.7674418604651 0.0 0.0
227 RADIAL 1020 680 1017.4522487933818 510.0 340.0 0.0 0.0
196 RADIAL 1051 701 1132.5427347819011 525.5 350.3333333333333 0.0 0.0
164 RADIAL 1033 754 1066.8746297681655 516.5 376.9054054054054 0.0 0.0
157 RADIAL 1018 770 1540.484763996021 509.0 385.18918918918916 0.0 0.0
188 RADIAL 1057 687 1255.19364900589 528.5 343.52500000000003 0.0 0.0
206 RADIAL 781 591 1688.0764661221892 390.5 295.51351351351354 0.0 0.0
4 RADIAL 995 663 1689.5854289715107 497.50000000000006 331.6666666666667 0.0 0.0
197 RADIAL 1029 779 1069.652984000541 514.5 389.35135135135135 0.0 0.0
217 RADIAL 975 557 1010.9688418252128 487.5 278.57142857142856 0.0 0.0
16 RADIAL 1032 688 1443.6992293137769 516.0 344.0 0.0 0.0
213 RADIAL 1024 624 1976.2666730182927 512.0 312.1951219512195 0.0 0.0
25 RADIAL 1025 776 1129.909307892258 512.5 387.8378378378378 0.0 0.0
165 RADIAL 1028 778 1053.5459270992794 514.0 388.97297297297297 0.0 0.0
11 RADIAL 1014 767 1819.923552023398 507.00000000000006 383.6756756756757 0.0 0.0
235 RADIAL 1028 778 1055.0743086531354 514.0 388.97297297297297 0.0 0.0
148 RADIAL 1015 768 1544.7601259076916 507.5 384.05405405405406 0.0 0.0
200 RADIAL 1064 692 790.6723770141602 532.0 345.8 0.0 0.0
163 RADIAL 1031 752 1024.2888410929086 515.5 376.1756756756757 0.0 0.0
27 RADIAL 1018 770 1014.0084288313582 509.0 385.18918918918916 0.0 0.0
