# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 142
3 RADIAL 687 1030 1087.7961948780505 343.5 515.25 -0.006518556908032453 -0.008738980680041477
17 RADIAL 1019 771 1137.6619688301703 509.5 385.56756756756755 -0.02171655637148948 0.04193774735218491
53 RADIAL 1023 774 1084.2548332579245 511.5 387.0810810810811 -0.034896694136438894 0.0864993850323932
118 RADIAL 1032 753 1117.1003489199395 516.0 376.5405405405405 -0.07666038699663172 0.2640984552581164
219 RADIAL 1024 775 1137.9332872667712 512.0 387.4594594594595 0.030419759800997887 -0.1307951264887525
128 RADIAL 1025 776 1027.3747436393717 512.5 387.8378378378378 -0.034777632248519603 0.11028867272947215
0 RADIAL 1067 694 811.0584642722105 533.5 346.77500000000003 -0.07638822898370612 0.16130752372405152
2 RADIAL 1024 572 1173.1369840462432 512.0 285.7674418604651 -0.010507049341038927 0.046394178741855384
4 RADIAL 995 663 1731.9270254497765 497.50000000000006 331.6666666666667 -0.010234560518501306 0.1060017560658183
11 RADIAL 1014 767 1869.7260689910902 507.00000000000006 383.6756756756757 -0.004918414779698265 -0.08448795080818723
12 RADIAL 1023 774 1213.8890687043204 511.5 387.0810810810811 -0.06876776414931889 0.34241699174932444
16 RADIAL 1032 688 1495.050248743394 516.0 344.0 -0.00979715663064874 0.06594707221516405
152 RADIAL 1021 681 1040.5094860514005 510.5 340.3333333333333 -0.009822264628823402 0.007359932490044914
25 RADIAL 1025 776 1150.4325228062635 512.5 387.8378378378378 -0.025336195794443284 0.030948694908146997
27 RADIAL 1018 770 1044.9436250984068 509.0 385.18918918918916 0.015584087617945688 0.01605699659536848
29 RADIAL 1023 774 1101.975354511178 511.5 387.0810810810811 -0.06737870354302772 0.17121040049442107
158 RADIAL 1013 767 1009.4178859407502 506.5 383.2972972972973 0.027079430297006536 -0.1133114922248222
32 RADIAL 988 748 804.5254317610395 494.0 373.8378378378378 0.04144878787548871 -0.12667173477678806
33 RADIAL 1026 641 2327.6286443771223 513.0 320.625 0.0028093796871805983 -0.008561945145971599
162 RADIAL 1033 754 994.0524339687541 516.5 376.9054054054054 0.017290551487276134 0.03068073970208546
160 RADIAL 680 1020 965.5952475655034 340.0 510.0 -0.06064140438358222 0.175020345957865
164 RADIAL 1033 754 1068.8573493407978 516.5 376.9054054054054 -0.0038022302426763436 0.034271754327470316
38 RADIAL 1018 770 1502.1840222354156 509.0 385.18918918918916 -0.007718798980969719 0.13546746628821071
40 RADIAL 1023 774 921.4632735879159 511.5 387.0810810810811 0.0010002049060850874 0.015379276445013492
50 RADIAL 1015 768 1128.8818929564993 507.5 384.05405405405406 -0.004484962713175301 0.010907810594933436
179 RADIAL 1026 684 1360.5295084285015 513.0 342.0 -0.013976928252551039 0.01120299324156822
185 RADIAL 1022 773 1054.3632338754219 511.0 386.7027027027027 -0.013194619433426142 0.010798298097941948
60 RADIAL 1015 768 1768.4938277679976 507.5 384.05405405405406 -0.0013552229963292018 -0.018237271286147543
61 RADIAL 1039 693 1184.7214971648432 519.5 346.33333333333337 0.014543978510785184 -0.0958068298288231
