# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2761, mean track length: 5.04
0 0.1870420579574185 -0.1214721711430679 1.398251158840162 97 103 108 0.28
1 0.1693387960808335 -0.05285479574662475 1.37179668188336 108 106 99 0.27
2 0.1532869523889537 -0.04964556738737551 1.347295765851775 75 75 75 0.3
3 0.1979175688963255 -0.04462450702469689 1.401488958786967 97 95 89 0.36
4 0.1688545947256587 -0.02885692754230368 1.366751224893013 36 41 40 0.29
5 0.05909363199049436 -0.01553308866098368 1.298564054967563 116 106 85 0.25
6 0.1247630066560449 0.03882864457379949 1.318110824723958 72 73 66 0.64
7 0.04507296923285348 0.04532037995300688 1.289475783348817 68 66 60 0.44
8 0.03366044229931589 0.0544469556965755 1.279609504370168 80 77 65 0.29
9 0.05088359600468426 -0.1881432737464959 1.319949635743064 121 122 119 0.59
10 0.1534490989153572 -0.06949669067072513 1.35089863342548 91 87 78 0.27
11 0.1731641762723747 -0.04737148429199912 1.367820851938155 58 58 60 0.14
12 0.2223631039491119 -0.04130339971890972 1.426126364233601 117 114 108 0.6
13 0.1604552071032323 -0.02197629986149411 1.355732559440074 32 35 37 0.37
14 0.1822982609019567 -0.009464708514779431 1.382299438591537 36 39 40 0.09
15 0.01619176626096847 -0.01016971818671676 1.282294339958295 101 99 86 0.45
16 0.1524802278249164 0.03549653555192957 1.334804587468627 41 40 35 0.32
17 -0.02112119911635099 -0.1664741859418033 1.280959986255317 91 94 92 0.38
18 0.1764951172524706 -0.03957791884886903 1.376622029767842 77 78 74 0.3
19 0.1368019158868455 -0.1326765988854757 1.347478970620292 80 79 77 0.48
20 0.1481604155148821 -0.05557166322032089 1.347146056362055 155 154 147 0.31
21 0.1476314925866751 -0.04261531934764057 1.344893795619453 155 155 147 0.3
22 0.05280251927049448 -0.1027682761235057 1.310125472121423 114 116 113 0.36
23 0.1989264626750256 -0.08062651837311169 1.402116286887995 155 154 142 0.44
24 0.1189080154938089 0.0302690761765401 1.320209809998959 108 105 92 0.45
25 0.1178021479559075 -0.10264776938894 1.339271792735548 128 130 125 0.72
26 0.1991046003770175 -0.1468961332502902 1.41983185266015 81 84 88 0.32
27 0.4036281055365785 -0.2533586442289027 1.148299358236436 223 226 233 0.23
28 0.3406988451305398 -0.1709522170399316 1.222028466827605 233 237 242 0.53
29 0.3753662830110827 -0.1663451585853309 1.173224829000788 121 127 142 0.22
30 0.3764494202248896 -0.1243433413551536 1.155641436937128 96 95 94 0.42
31 0.2953204046187416 -0.10794390000488 1.271214780804738 217 224 229 0.33
32 0.289588532137333 -0.09428330837434926 1.245707954338193 105 112 118 0.2
33 0.04886175043914995 0.04942249018982611 1.286594736874771 119 114 106 0.39
34 0.4195065841497671 -0.1840705328994856 1.12614266557594 112 97 76 0.11
35 0.4583384414783209 -0.1659889872817707 1.064457947998575 98 92 86 0.16
36 0.3750609449380378 -0.1709743372868404 1.174194721798409 144 157 171 0.25
37 0.2822981087705028 -0.09455909948087655 1.281078884909966 112 119 131 0.52
38 0.09322754206852123 -0.008595193352554089 1.322644520891544 87 85 73 0.41
39 0.2683226414804536 0.01469265825397444 1.287419977772446 56 55 52 0.24
40 0.275387790886251 0.0214517206153189 1.276161291749383 57 54 52 0.63
41 0.2753219765030952 0.02956024654048078 1.275405448103338 55 54 55 0.4
42 -0.01153635163136463 0.04132704411118328 1.264758192660595 106 96 85 0.91
43 0.01635918422498056 0.04785003897217023 1.275348932668658 120 117 106 0.38
44 0.5655717868826584 -0.1851353841447102 0.9946680610619798 71 68 68 0.51
45 0.4149295208322101 -0.1867935006813377 1.127607758635533 169 159 131 0.37
46 0.4731500249128288 -0.1306770787302306 1.019864157218867 31 35 40 0.3
47 0.3777687355083107 -0.1168482491126278 1.153682970926719 119 121 121 0.45
48 0.4278189777702187 -0.1096882778206963 1.107374181359254 120 112 99 0.43
49 0.4693131729726279 -0.07064408239514282 1.019568962006414 89 80 68 0.42
50 0.1974264467607221 -0.03699506543575578 1.400189261595362 72 71 71 0.26
51 0.2982132959763883 -0.03495600072124049 1.256295934182222 74 70 57 0.37
52 0.2815271358362817 -0.03351947612454299 1.273345617025848 61 61 59 0.21
53 0.2673973385608009 -0.03142765688589948 1.292149943837178 90 86 74 0.2
54 0.2993455460970918 -0.02503996018044635 1.256801960172486 42 44 44 0.32
55 0.2495199880556832 -0.01182604990728396 1.307194577505265 49 46 46 0.38
56 0.269918589602984 0.01515423507102566 1.486217742819801 57 55 52 0.18
57 0.2993940453318749 0.0188092867501453 1.251632659908479 67 68 65 0.33
58 0.2964286082916706 0.03983434848088707 1.271037659818502 46 48 45 0.44
59 0.4315842349655333 -0.224974845886336 1.150253713268117 145 178 204 0.32
60 0.3825191655860241 -0.1408052000613565 1.186318081529263 126 124 122 0.52
61 0.3901946341754929 -0.1217129836989884 1.144990388029834 74 76 77 0.42
62 0.04321929976144054 -0.07554942181936225 1.304903482333098 40 42 47 0.18
63 0.291823123203212 -0.06826760887249224 1.266683755843872 71 74 77 0.5
64 0.1550692003072416 -0.06174836804790169 1.35214517394997 66 67 66 0.31
65 0.2861529437617037 -0.06330198800511126 1.273864937097789 107 110 114 0.33
