# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 601, mean track length: 6.2
0 0.1921602720495078 -0.1323793977828983 1.446452051054407 72 85 101 3.41
1 0.1724778013153448 -0.06286412451132205 1.389054009167946 110 108 102 4.94
2 0.1714318504267577 -0.05818921693036557 1.391036409692982 77 75 69 6.04
3 0.1594964096817387 -0.0561778846294433 1.411083491787858 75 75 75 4.66
4 0.2025294684108638 -0.05639956862215248 1.407215524479056 97 95 89 4.81
5 0.1698039675432426 -0.03357153466301419 1.38133686127757 36 41 40 3.47
6 0.06121393536164366 -0.02416098719921122 1.324421951620009 108 98 77 5.14
7 0.1278387912737037 0.03551661182713146 1.328570133163944 72 73 66 4.48
8 0.04723781173561187 0.03730618450862693 1.308668977478141 61 60 54 4.76
9 0.0356354417126615 0.04559277604284421 1.300470296341726 80 77 65 5.48
10 0.03610348850171943 0.04774978733626865 1.31039726330009 80 77 69 5.05
11 0.05345909215338329 -0.2015253221931523 1.343638144410384 108 111 110 4.01
12 0.1563401284453749 -0.07991785916512091 1.360177932680122 91 87 78 4.53
13 0.1798556225011249 -0.05087599734548883 1.417679024738982 58 58 60 4.13
14 0.2277486706903177 -0.05458219107155742 1.454442311877601 117 114 108 4.39
15 0.1642864801903813 -0.0336247408389118 1.37723073245607 32 35 37 4.92
16 0.1917924604230495 -0.01445246696758078 1.457650590477687 36 39 40 2.49
17 0.01610771255079937 -0.01840552790570187 1.318695428522232 101 99 86 4.48
18 0.1589247964045965 0.03256515697798315 1.359948588960433 41 40 35 5.82
19 -0.01591904072430977 -0.1661237828385361 1.263494917293568 72 75 76 6.34
20 -0.01564807919900407 -0.1660796876578959 1.2597983412729 91 94 92 5.66
21 0.1790317091510576 -0.04848208154063099 1.393611681666118 77 78 74 4.06
22 0.1406654473974222 -0.1423804807018458 1.370635533278235 80 79 77 4.65
23 0.1514799044768354 -0.06590005195960766 1.361676318243128 155 154 147 4.57
24 0.1508871341264242 -0.05328245318216637 1.356993240516717 155 155 147 4.94
25 0.0561925941436659 -0.1120014395673894 1.323781976761975 118 120 119 3.33
26 0.05519231796655161 -0.1125096457214787 1.333367041443794 100 100 98 3.32
27 0.2031229617112919 -0.0942536246638858 1.421552419081803 151 149 137 4.54
28 0.1223172502841217 0.02103401548635551 1.337190499599397 107 104 90 5.15
29 0.121188175999713 -0.1101061684819171 1.347011309698864 122 123 121 3.39
30 0.2063561193371923 -0.1625333513534483 1.458897467690198 81 84 88 4.62
31 0.4065881070331248 -0.2663186017672017 1.155267633771236 218 222 231 1.65
32 0.4063812737757678 -0.2678175579375023 1.154740106341744 223 226 233 2.61
33 0.3440049143911776 -0.1843917553585825 1.2344684559533 233 237 242 2.01
34 0.3777560461216426 -0.1781624607077729 1.178561298090737 121 127 142 1.92
35 0.3773144248750763 -0.1354715514589512 1.150659478442777 75 75 74 3.07
36 0.2974770510091526 -0.1207331198648497 1.280366256611738 217 224 229 1.63
37 0.2928988619065486 -0.1045292699634764 1.257572398728545 105 112 118 2.36
38 0.05057657827636935 0.03989442252241002 1.308269569202992 113 109 100 4.61
