# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 158
0 RADIAL 1067 694 811.5807534523507 533.5 346.77500000000003 -0.07312159524027574 0.15987221232774163
2 RADIAL 1024 572 1172.8391277319938 512.0 285.7674418604651 -0.011714884570954614 0.051357780779140036
3 RADIAL 687 1030 1081.7470589166057 343.5 515.25 -0.0066205187144792255 -0.023176967942480625
142 RADIAL 689 1060 840.5759017917015 344.5 530.0 -0.056908899838273797 0.08113164973127682
17 RADIAL 1019 771 1135.9310928891025 509.5 385.56756756756755 -0.022596010646485767 0.0467041108902824
26 RADIAL 1027 777 1065.8796005583122 513.5 388.5945945945946 -0.07346221596591504 0.216267898213997
157 RADIAL 1018 770 1540.9808348709416 509.0 385.18918918918916 -0.02069908340618532 0.10636655442467668
43 RADIAL 1026 776 1028.4904252092692 513.0 388.2162162162162 0.03344104222055262 -0.19496764238048953
172 RADIAL 1020 772 989.8771335345324 510.0 385.94594594594594 0.0016007513983185694 4.3874917696266275e-05
53 RADIAL 1023 774 1083.1429616102203 511.5 387.0810810810811 -0.03739883074954514 0.10829583713777273
61 RADIAL 1039 693 1183.314820693506 519.5 346.33333333333337 0.016765498782501147 -0.11016325528083391
65 RADIAL 1041 760 996.1821618121537 520.5 379.8243243243243 0.006087106222162103 -0.12304539819521436
67 RADIAL 1022 773 1067.113678102401 511.0 386.7027027027027 -0.04225127716315036 0.1150146759361197
71 RADIAL 1033 754 1073.9505240856458 516.5 376.9054054054054 -0.04154979012916749 0.10310183288602714
221 RADIAL 1029 686 1024.9933546431548 514.5 343.0 -0.06453404442280442 0.18418051380314332
96 RADIAL 1024 775 1041.80513394922 512.0 387.4594594594595 0.028909227122233788 -0.14115478895509037
227 RADIAL 1020 680 1033.413842506806 510.0 340.0 -0.07384625435693236 0.20590383415087252
232 RADIAL 1057 687 1101.1101023222288 528.5 343.52500000000003 -0.039079579674412994 0.118811495785278
118 RADIAL 1032 753 1115.2065799301854 516.0 376.5405405405405 -0.07543511473154761 0.25696084099609395
103 RADIAL 1026 776 1120.831772221032 513.0 388.2162162162162 0.005830258491912898 -0.06872774716717032
219 RADIAL 1024 775 1134.9546371965212 512.0 387.4594594594595 0.04074707726826475 -0.17226719523979311
190 RADIAL 1030 752 1037.451274004701 515.0 375.81081081081084 -0.014012451381120554 0.016906520885203245
111 RADIAL 1043 695 1179.3797826154107 521.5 347.6666666666667 -0.00498880743824071 -0.04024938170162687
4 RADIAL 995 663 1730.8332155452977 497.50000000000006 331.6666666666667 -0.015967079341584513 0.157827459752266
11 RADIAL 1014 767 1871.839362894248 507.00000000000006 383.6756756756757 -0.0035230703627224676 -0.12495088944335944
54 RADIAL 1030 752 1081.2131107973237 515.0 375.81081081081084 -0.01896259775565911 -0.005201728804099451
38 RADIAL 1018 770 1510.8076699067183 509.0 385.18918918918916 -0.015379184206981996 0.181203978191163
50 RADIAL 1015 768 1125.4020071191633 507.5 384.05405405405406 -0.002823226977418466 0.005632011920458108
147 RADIAL 1027 777 1016.1650666151089 513.5 388.5945945945946 -0.07571761009726914 0.14929839715632143
199 RADIAL 612 463 648.7963484441219 306.0 231.56756756756755 -0.041912555950358144 0.08126875470556748
12 RADIAL 1023 774 1212.930925205572 511.5 387.0810810810811 -0.07516894411004456 0.3599902491849637
128 RADIAL 1025 776 1026.725609182136 512.5 387.8378378378378 -0.03662300620049899 0.12098409755686429
1 RADIAL 1059 688 811.0407622969384 529.5 344.175 -0.10089296576078044 0.16736774137971855
14 RADIAL 1028 778 1020.574328084458 514.0 388.97297297297297 -0.047133722619083857 0.07540749530090099
15 RADIAL 1024 775 1048.5581860105408 512.0 387.4594594594595 -0.03563387831671129 -0.002306931400282649
152 RADIAL 1021 681 1018.5054042905201 510.5 340.3333333333333 -0.0031181100915154396 -0.04075782952059936
158 RADIAL 1013 767 1010.7543260293002 506.5 383.2972972972973 0.023544071744569132 -0.09872444391808505
179 RADIAL 1026 684 1359.073284356248 513.0 342.0 -0.01353080622220714 0.013148440343894424
56 RADIAL 1028 685 690.549148949948 514.0 342.66666666666663 0.004701701859637559 -0.012231679075335913
64 RADIAL 1058 688 781.4102251816681 529.0 343.84999999999997 -0.02950757949899602 0.0311430642843026
66 RADIAL 1021 773 1102.9094712528267 510.49999999999994 386.3243243243243 -0.0011947365317376386 -0.09056224616799297
69 RADIAL 1056 686 795.6230205928197 528.0 343.2 -0.02650782699961031 0.014878389866128662
197 RADIAL 1029 779 1046.631537400329 514.5 389.35135135135135 -0.0849482273979558 0.19336034489533166
204 RADIAL 1021 773 1138.5082168700606 510.49999999999994 386.3243243243243 0.000464388959599018 -0.05393826062716827
89 RADIAL 1032 753 806.0933005049885 516.0 376.5405405405405 -0.07825962477988006 0.1400191659296146
