# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 19828, mean track length: 9.91
0 -0.4602717351516495 -0.2629970799360201 0.8921793162119108 209 216 229 0.56
1 -0.4586146396095618 -0.2347045540023019 0.8825747676172292 146 138 130 0.56
2 -0.07339295150684957 -0.2588009126174234 1.237777280963703 155 157 159 0.17
3 -0.2066480374874745 -0.2574134236467727 1.179950796767629 140 142 125 0.37
4 -0.2785677485011183 -0.2565794708463253 1.158756120259069 245 244 233 0.34
5 -0.456317182010044 -0.2217263897270535 0.8735021800154998 152 147 144 0.73
6 -0.09659711771600868 -0.2541685982428359 1.275382515822929 167 175 183 0.54
7 -0.1361310196541151 -0.2453452937628174 1.210518841124537 220 223 224 0.48
8 -0.1025451826886981 -0.2504988417690579 1.274888467196207 161 162 164 0.49
9 -0.3357142811728953 -0.2452873844930853 1.14491824727777 159 161 160 0.43
10 -0.09856308936295402 -0.2473452270683654 1.280361680635971 148 152 159 0.51
11 -0.4644630838593843 -0.2148300723555753 0.8908262056992809 133 135 133 0.53
12 -0.4659581027970146 -0.2157636639448078 0.8989005418297648 136 136 145 0.25
13 -0.2545904582938654 -0.2494177689868097 1.230995034504706 160 174 189 0.83
14 0.06919137248725635 -0.2346879507692543 1.294292578679881 228 227 221 0.38
15 -0.4592121469906787 -0.2093713631235296 0.8874594787582087 140 137 139 0.27
16 -0.09019641933186748 -0.2303420006047492 1.223501146047432 153 159 171 0.38
17 -0.02837625645289804 -0.2280254391128955 1.254487733709136 176 182 182 0.69
18 -0.01506521862175875 -0.2347649238461585 1.327740048956858 85 94 101 0.56
19 -0.3353725674889905 -0.2268393577202545 1.14305596171425 132 131 124 0.55
20 -0.4517862292734571 -0.1950907585582664 0.8653579387517012 92 89 87 0.27
21 -0.3460542911563893 -0.2257439369620319 1.136209030348157 104 106 105 0.43
22 -0.2123431075256346 -0.2218692322167581 1.177492066955478 205 210 214 0.24
23 -0.201541858263751 -0.2213529273547894 1.181335009680449 210 214 215 0.4
24 -0.01360387068125507 -0.2173388027415459 1.252846623787979 95 98 103 0.59
25 -0.4622940782359947 -0.2286094660959605 1.109840788080284 109 110 109 0.58
26 -0.3355791181486343 -0.2228867956388505 1.139004851139135 118 118 114 0.4
27 0.08319434668973547 -0.213685308676605 1.29016220527232 130 136 136 0.54
28 0.09935958802594169 -0.2239579944789137 1.391081960434063 187 197 200 0.59
29 -0.4427328264888305 -0.2252246419553111 1.124828262827115 30 34 33 0.47
30 -0.4652004592021698 -0.1942968518442906 0.8957944446004079 96 98 98 0.21
31 -0.01699642565547682 -0.2112065680891543 1.252586610855527 105 104 101 0.38
32 -0.2094945598471314 -0.2121771130112697 1.175557453973984 144 150 147 0.38
33 0.07963427388278435 -0.208159191395578 1.293649924551108 141 145 148 0.06
34 -0.457824789572164 -0.2205191374596872 1.107552121548373 93 97 106 0.31
35 -0.1962772029730568 -0.2102943814491238 1.172817177207671 127 128 123 0.45
36 -0.2009291289273105 -0.2090428283959543 1.16897967582247 117 124 124 0.46
37 0.07052033667690402 -0.2054171647455549 1.288457218393075 149 149 143 0.51
38 -0.4548515622679382 -0.1859112703400719 0.8680895075968661 99 96 90 0.28
39 -0.2143909289877593 -0.2085951340139073 1.16336720514956 143 142 136 0.67
40 -0.03251094885430125 -0.2077629421045209 1.249643181375965 148 150 146 0.33
41 0.06434953973698448 -0.2051691431469233 1.286660782134631 130 132 130 0.42
42 0.07587811046577977 -0.2053131587832495 1.29120013515526 164 163 160 0.47
43 -0.1308006929997817 -0.2073624307520932 1.205220460174492 130 131 127 0.61
44 0.08111925052518532 -0.2040756180029501 1.292712380800638 114 116 118 0.43
45 -0.1370287353223365 -0.2060095556615366 1.193991951199441 117 120 116 0.51
46 -0.2121767016519705 -0.2061281810363692 1.165851839777263 119 117 109 0.51
47 -0.3555087524621571 -0.2114985632402598 1.134935288176769 154 147 128 0.3
48 -0.3339800725670301 -0.2102999448378766 1.137496872587308 155 156 151 0.43
49 -0.2651376444802293 -0.2041829807684779 1.154997545571538 166 167 163 1.1
50 -0.12035217734579 -0.1993884557704801 1.200645992355721 138 138 133 0.34
51 0.05562553027710784 -0.1979398154495002 1.283057054551844 146 142 129 0.3
52 -0.2272714951154789 -0.2008293906273874 1.159562099373892 120 119 112 0.38
53 -0.4398164276287608 -0.2090570651708533 1.112883851697153 107 111 111 0.46
54 -0.2675820321097204 -0.1999566602841378 1.153296078329923 181 178 170 0.21
55 -0.1399753693572062 -0.1967296734306282 1.201055461524072 105 101 96 0.67
56 -0.1351746792880101 -0.1948621722376776 1.201824207172554 110 106 99 0.46
57 -0.2366268629928221 -0.1961241986790743 1.155158962349572 134 132 126 0.56
58 -0.1078036397195024 -0.1936190284621507 1.208363425106152 114 115 111 0.31
59 -0.5651363580099661 -0.2087372649576296 1.082314874446595 154 160 161 0.52
60 0.09048223947717488 -0.1902400256777526 1.296479473914504 110 116 121 0.33
61 -0.4249160643844566 -0.2012122911720282 1.112131898422017 51 53 56 0.27
62 -0.3913692744999532 -0.2015031859163531 1.125935203068717 79 81 77 0.39
63 -0.2409552493791995 -0.1939722716168415 1.153828777464574 129 127 121 0.49
64 -0.02355260308379115 -0.1890764697741566 1.247631263899632 113 112 109 0.29
65 -0.5099625794920261 -0.2038238198009696 1.106381409745691 200 204 206 0.79
66 -0.393439585183176 -0.1989707227707461 1.123870925120046 139 138 125 0.46
67 -0.02829156446531358 -0.1880467897461646 1.244439555598669 89 89 88 0.96
68 0.02320577684838152 -0.1880871137427018 1.268347201782914 92 92 81 0.52
69 -0.01830649750467558 -0.1875790038833761 1.249902278802704 124 126 125 0.39
70 -0.5089349727066261 -0.20228379781959 1.094424385431698 181 187 188 0.54
71 -0.4525734063458268 -0.1992306526436606 1.106781697041492 103 103 108 0.38
72 -0.2021520812011116 -0.1901537825894715 1.176093850729005 133 130 120 0.29
73 0.09058320312979079 -0.1846153887044616 1.293364510974359 137 140 141 0.46
74 0.02532389023248877 -0.1854027603367492 1.268953062024913 142 137 119 0.32
75 -0.4386484205182026 -0.1955456934119132 1.110508138103948 139 141 140 0.44
76 -0.02041518004310319 -0.1853442877906888 1.260189070574622 92 98 102 1.17
77 -0.01423951475193899 -0.1828571959977798 1.252424043509243 125 128 128 0.5
78 0.1450980101190922 -0.1794973214546585 1.318534733120421 205 211 214 0.63
79 -0.5457672694368706 -0.1972014533645539 1.080803086695584 144 151 163 0.69
80 -0.1331760214791627 -0.1845203332043175 1.203226622795199 155 151 142 0.42
81 0.1180878529781225 -0.1790312083013147 1.305101166117193 118 123 121 0.13
82 -0.2557134429473913 -0.1844957335229732 1.14786656472718 122 122 117 0.38
83 -0.5585061860365617 -0.1951787185169378 1.079590007299345 122 121 119 0.4
84 -0.08867643408925782 -0.1812893772903901 1.215053255718119 131 131 122 0.83
85 -0.4459515955428339 -0.1598212608259036 0.847685231810493 119 111 104 0.38
86 -0.4415777178751762 -0.1896838756651801 1.110699342101594 82 83 84 0.59
87 -0.2153946452883906 -0.1827245896347158 1.173869094584309 151 147 137 0.62
88 -0.08337345567940815 -0.1767095671916656 1.218371274346002 131 132 126 1.31
89 0.1555904991168332 -0.1734638266158197 1.317490871299323 228 234 234 0.46
90 -0.06870445467331868 -0.1767144609140776 1.223691640848228 139 138 137 0.41
91 -0.03200761879746583 -0.1772694668188134 1.24414323567394 66 69 75 0.32
92 -0.2458587950578099 -0.1810349497346924 1.156513716846261 126 118 107 0.92
93 -0.2093546578167555 -0.1790138475280418 1.169798787987061 157 154 145 0.29
94 -0.009963595896123556 -0.1751470171991144 1.253127065020852 121 123 120 0.67
95 0.06488079001102398 -0.1741761107838728 1.282613478819561 78 80 82 0.63
96 0.09480739614568316 -0.1731537801420995 1.288698120619491 57 61 65 0.35
97 -0.1302489915371635 -0.1770532031255415 1.204225899908115 135 131 120 0.4
98 0.08644055508623408 -0.1695402678604803 1.290570369711935 125 128 128 1.29
99 -0.25102458507471 -0.1772739868211222 1.153781864829547 137 127 115 0.68
100 -0.3417338399011771 -0.1806478801608288 1.13610246260647 89 93 98 0.51
101 -0.1213505110303595 -0.1746131537992122 1.207879721622888 153 151 143 0.41
102 0.08303664122931791 -0.1696588485988511 1.290004093458599 134 136 135 0.66
103 -0.1912692723496991 -0.1741396364278057 1.179229795049544 139 135 125 0.38
104 -0.1617967859143431 -0.1733224707417883 1.190712261910665 144 136 119 0.31
105 -0.1284672385857959 -0.1728552364764732 1.204060430437303 158 155 148 0.54
106 -0.1846581262923372 -0.1736569873385259 1.182923102437312 138 134 125 0.81
107 -0.5118738064622742 -0.1835525207462801 1.093239101910726 105 111 114 0.64
108 -0.3752232394036439 -0.1762041227535846 1.120265142851768 96 94 88 0.28
109 -0.3390796561485504 -0.1759294201312668 1.13484366785972 97 100 101 0.3
110 0.0221700464592603 -0.1657747560850484 1.263135930264497 106 107 106 0.42
111 -0.3940693128256191 -0.1772402944989893 1.119942765303301 101 104 101 0.62
112 -0.2808925664108555 -0.1709399184927413 1.138929588304585 103 104 98 0.35
113 -0.2600862971219984 -0.1714520268576773 1.153243637492388 132 124 113 0.65
114 -0.325078107911645 -0.1732379378115956 1.137675135761314 100 100 95 0.89
115 -0.3062957766214479 -0.1712114037316994 1.134181230363081 94 94 89 0.27
116 -0.04690391932533958 -0.1657970994383217 1.236874331508469 120 123 120 0.36
117 -0.02835987460095579 -0.1661281420429771 1.24393214756646 76 76 77 0.42
118 0.1442245331969034 -0.1628279834207661 1.320455794042514 152 154 160 0.52
119 -0.3560002121503909 -0.1722929693507444 1.121137944418356 99 99 94 0.48
120 -0.3497120271816521 -0.1724518337504689 1.121895814316448 105 107 104 0.48
121 -0.3444144809550013 -0.1725774286264754 1.126917943082097 117 116 109 0.49
122 -0.376288760432694 -0.1729659812787333 1.117567216508021 70 68 62 0.23
123 -0.1920434089771078 -0.167394070955764 1.178303630570907 120 118 110 0.41
124 -0.06752963353467054 -0.1642181509123952 1.222253846169165 126 127 120 0.6
125 0.02542817911869014 -0.1628353868554415 1.260693232143564 125 128 126 0.53
126 -0.4099293554432764 -0.1726549780639304 1.101357739564701 90 87 80 0.64
127 -0.3694516416857516 -0.1723690617340108 1.118581924523516 82 80 75 0.82
128 -0.4711861119390612 -0.1748339615044037 1.094553075339381 101 100 96 0.73
129 -0.4553528312978791 -0.1746835154504033 1.096155561394493 72 71 65 0.45
130 -0.4412318715089569 -0.1742250275872687 1.100294450511081 108 106 101 0.47
131 -0.3035561685554061 -0.1689167380207978 1.136312395461462 119 114 106 0.19
132 -0.05839558273664605 -0.1627061970647503 1.22303435621947 128 128 120 0.32
