# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 47
65 RADIAL 1041 760 994.5588458293194 520.5 379.8243243243243 0.0 0.0
67 RADIAL 1022 773 1053.0114722380767 511.0 386.7027027027027 0.0 0.0
3 RADIAL 687 1030 1058.37625342149 343.5 515.25 0.0 0.0
71 RADIAL 1033 754 1055.0504333908493 516.5 376.9054054054054 0.0 0.0
53 RADIAL 1023 774 1083.3565937248436 511.5 387.0810810810811 0.0 0.0
118 RADIAL 1032 753 1113.1984912769215 516.0 376.5405405405405 0.0 0.0
103 RADIAL 1026 776 1118.1008810094886 513.0 388.2162162162162 0.0 0.0
190 RADIAL 1030 752 1031.8693140390758 515.0 375.81081081081084 0.0 0.0
111 RADIAL 1043 695 1165.9344702500564 521.5 347.6666666666667 0.0 0.0
54 RADIAL 1030 752 1062.0870414940086 515.0 375.81081081081084 0.0 0.0
50 RADIAL 1015 768 1126.7813752148602 507.5 384.05405405405406 0.0 0.0
100 RADIAL 1028 778 697.8896423546043 514.0 388.97297297297297 0.0 0.0
147 RADIAL 1027 777 1029.784951081147 513.5 388.5945945945946 0.0 0.0
15 RADIAL 1024 775 1045.0807643581081 512.0 387.4594594594595 0.0 0.0
89 RADIAL 1032 753 794.7553568659602 516.0 376.5405405405405 0.0 0.0
222 RADIAL 1023 774 1023.703176653063 511.5 387.0810810810811 0.0 0.0
227 RADIAL 1020 680 1029.4966624333308 510.0 340.0 0.0 0.0
217 RADIAL 975 557 970.9010771342687 487.5 278.57142857142856 0.0 0.0
197 RADIAL 1029 779 1066.4440850953797 514.5 389.35135135135135 0.0 0.0
204 RADIAL 1021 773 1137.2919569273251 510.49999999999994 386.3243243243243 0.0 0.0
152 RADIAL 1021 681 1011.0277988727275 510.5 340.3333333333333 0.0 0.0
64 RADIAL 1058 688 776.9364119529724 529.0 343.84999999999997 0.0 0.0
138 RADIAL 1057 687 768.2638773202897 528.5 343.52500000000003 0.0 0.0
128 RADIAL 1025 776 1011.936685201284 512.5 387.8378378378378 0.0 0.0
182 RADIAL 1007 762 959.7802116290943 503.5 381.02702702702703 0.0 0.0
162 RADIAL 1033 754 993.1478796778499 516.5 376.9054054054054 0.0 0.0
32 RADIAL 988 748 799.9092268041662 494.0 373.8378378378378 0.0 0.0
44 RADIAL 1035 578 765.959904471109 517.5 288.83720930232556 0.0 0.0
172 RADIAL 1020 772 993.9710039705844 510.0 385.94594594594594 0.0 0.0
92 RADIAL 1031 752 789.2390213270445 515.5 376.1756756756757 0.0 0.0
158 RADIAL 1013 767 980.0648272230819 506.5 383.2972972972973 0.0 0.0
163 RADIAL 1031 752 1023.7489635879929 515.5 376.1756756756757 0.0 0.0
69 RADIAL 1056 686 785.6085662841797 528.0 343.2 0.0 0.0
120 RADIAL 1022 773 1065.1038343068715 511.0 386.7027027027027 0.0 0.0
61 RADIAL 1039 693 1183.2472044626873 519.5 346.33333333333337 0.0 0.0
14 RADIAL 1028 778 1032.8547748874973 514.0 388.97297297297297 0.0 0.0
184 RADIAL 1021 773 1285.2900024104763 510.49999999999994 386.3243243243243 0.0 0.0
188 RADIAL 1057 687 1183.4768860816955 528.5 343.52500000000003 0.0 0.0
77 RADIAL 1066 693 787.9244704723358 533.0 346.45 0.0 0.0
235 RADIAL 1028 778 1067.5045906273094 514.0 388.97297297297297 0.0 0.0
181 RADIAL 1010 764 1033.7763703835979 505.0 382.1621621621622 0.0 0.0
165 RADIAL 1028 778 1067.6900144009976 514.0 388.97297297297297 0.0 0.0
123 RADIAL 1030 687 1474.0417289733887 515.0 343.3333333333333 0.0 0.0
114 RADIAL 760 1004 736.8819672720773 380.0 502.1428571428571 0.0 0.0
104 RADIAL 1030 687 528.6402046986115 515.0 343.3333333333333 0.0 0.0
81 RADIAL 1026 776 694.6223303820636 513.0 388.2162162162162 0.0 0.0
129 RADIAL 1032 688 718.8854053203876 516.0 344.0 0.0 0.0
