# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1380, mean track length: 7.0
0 -0.4750159624820436 -0.2652976471834791 0.9210317789509557 198 205 222 3.3
1 -0.4802923030794314 -0.2393333801583212 0.918785456335939 123 120 118 3.78
2 -0.07197835082885806 -0.2566991123026603 1.263900049601181 155 157 159 3.33
3 -0.2125779318056713 -0.2565516813351946 1.214544607736292 127 127 113 3.27
4 -0.291849239544562 -0.268560411939364 1.200436681871624 236 239 231 4.15
5 -0.4702905955540118 -0.2226886304160494 0.8991722815758978 111 107 111 4.12
6 -0.09296415390528667 -0.2519665554563277 1.279044627893196 177 182 188 5.44
7 -0.1426561786798828 -0.2492708095874749 1.251294169850194 194 203 212 4.86
8 -0.1067071664163514 -0.258334202293582 1.31319791883961 151 154 156 4.04
9 -0.3598009887528454 -0.2541132273041481 1.203623814059078 146 150 155 3.57
10 -0.1016729956705663 -0.2504533463766321 1.311896646127351 133 138 151 5.23
11 -0.476773507950946 -0.214754560248031 0.912693319545455 133 135 133 3.1
12 -0.4687598597179811 -0.2139079510710811 0.9081862072305396 126 128 142 4.07
13 -0.2628566915326408 -0.2527511783458488 1.272430633435003 148 160 176 5.0
14 0.06895161130538904 -0.2383928869134955 1.314751526018394 223 224 221 5.48
15 -0.4448476215897706 -0.2003219246142559 0.8688372198124987 119 124 134 3.6
16 -0.1281174873819417 -0.2634088892516382 1.418848465020502 153 159 171 3.33
17 -0.02575364843144809 -0.225764321174814 1.277955913416242 138 142 141 3.73
18 -0.01527755000983871 -0.2359550521410338 1.378835497135364 85 94 101 3.49
19 -0.3518200150225788 -0.2316586558264897 1.186994019196324 126 130 125 5.05
20 -0.4368878185961668 -0.1861631412739877 0.8460089001859106 99 98 99 3.52
21 -0.3539380647568905 -0.22531860780437 1.154476630547686 74 74 72 3.0
22 -0.3553412850330454 -0.2282829063867842 1.158648501490444 69 70 68 3.71
23 -0.2212930947115785 -0.226096883446557 1.221410334636911 171 175 183 2.37
24 -0.1855725094214983 -0.2111710464972877 1.167286511934157 150 154 151 3.1
25 -0.01342485981655533 -0.2215860445801683 1.285160245955174 110 114 115 7.33
26 -0.4704973162298123 -0.2298872132778201 1.123100462325855 71 71 73 3.6
27 -0.3421024251681212 -0.2270109392613426 1.154773473834341 119 119 113 2.75
28 0.09332567262814867 -0.2091784799506047 1.293358446021214 109 114 117 2.24
29 0.1070309962148681 -0.2187898439357768 1.363870384590922 190 204 210 3.78
30 -0.4484426021274206 -0.2247209686998243 1.138495572464222 30 34 33 3.07
31 -0.4495696949215906 -0.1850552646469749 0.8750701622732724 96 98 98 3.72
32 -0.02150138578427452 -0.2232217440328625 1.31014312457357 121 120 122 4.89
33 -0.2428838628700447 -0.2302171326517811 1.295739969382894 136 144 148 4.79
34 -0.135763890148014 -0.2193321815647739 1.253388595756441 142 141 128 3.9
35 0.08457680891880999 -0.2106685083923241 1.321452457949647 141 145 148 5.84
36 -0.4757670043694725 -0.2263227011509579 1.144062147196215 99 100 100 3.22
37 -0.2014664765917674 -0.21196570642865 1.200380322096215 117 120 116 3.58
38 -0.1994019561086905 -0.2084021378328253 1.184338753207584 98 99 92 4.5
39 0.07175465760568112 -0.2095635741987945 1.318362472351474 135 135 128 3.68
