# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 234
83 RADIAL 760 1041 1017.6783237633534 380.0 520.7407407407408 -0.01737304046610166 0.06315202007942845
75 RADIAL 760 1041 1121.6551010872442 380.0 520.7407407407408 -0.00222107661984466 0.002749307404822826
6 RADIAL 691 1063 1108.2569123861601 345.5 531.5384615384615 -0.03138865486707 0.1148520365500556
195 RADIAL 692 1065 960.6064908015055 346.0 532.3076923076924 -0.007728055428285392 0.008402567571046822
66 RADIAL 1021 773 1126.6609801138768 510.49999999999994 386.3243243243243 0.017555964394792994 -0.13086184058839273
70 RADIAL 1026 776 1052.982846978626 513.0 388.2162162162162 -0.03765479124518003 0.11372597406389263
108 RADIAL 760 1041 1045.9500692057813 380.0 520.7407407407408 -0.02226045712662158 0.04843522365324352
123 RADIAL 1030 687 1555.290781936929 515.0 343.3333333333333 -0.038969473108727774 -0.017625010726221947
22 RADIAL 1066 693 803.6398541071128 533.0 346.45 -0.063346136776583 0.11106642451638746
192 RADIAL 698 1074 852.7708560027461 349.0 536.9230769230769 0.0063556918499208795 -0.03287305633631986
101 RADIAL 1024 775 1124.9433352262265 512.0 387.4594594594595 0.018656414817030693 -0.08417271398762002
147 RADIAL 1027 777 1028.5698066131974 513.5 388.5945945945946 -0.06565066277191227 0.13595603357806793
100 RADIAL 1028 778 693.9004826006837 514.0 388.97297297297297 -0.04621447354505557 0.046609371476717884
54 RADIAL 1030 752 1096.110319286523 515.0 375.81081081081084 -0.016418819108531223 0.008695195250040902
120 RADIAL 1022 773 1125.92253969144 511.0 386.7027027027027 0.015963097289976528 -0.10312893109860397
87 RADIAL 1012 766 932.6317702340343 506.0 382.9189189189189 0.0518281663968493 -0.14602867940358347
89 RADIAL 1032 753 814.1559368708474 516.0 376.5405405405405 -0.07701800158923756 0.150079097524695
69 RADIAL 1056 686 799.3659152553157 528.0 343.2 -0.026860880878752696 0.020439466630037356
182 RADIAL 1007 762 961.3366146218563 503.5 381.02702702702703 0.08473161714947526 -0.2564879606552325
197 RADIAL 1029 779 1053.637962211976 514.5 389.35135135135135 -0.10100457388683723 0.29032919433827886
49 RADIAL 1062 708 911.696588065548 531.0 354.0 -0.05267927591406205 0.11691808668258369
169 RADIAL 1062 690 786.9217029579479 531.0 345.15000000000003 -0.0027325712753034402 0.0048457946166986406
