# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 40296, mean track length: 8.68
0 0.6750676319957999 -0.8901038082229464 0.4026001174672766 129 127 120 0.63
1 0.667727751871342 -0.8533169517850039 0.4470766710490363 208 213 222 0.56
2 0.6947105193264449 -0.7987711238794427 0.3634649144203937 85 80 76 0.5
3 0.6845451505897742 -0.8061428549013637 0.3974867309687276 98 94 90 0.39
4 0.6873459601427976 -0.8002752747591474 0.3853607937575365 68 66 67 0.5
5 0.6935187207064951 -0.698904052376583 0.355175573537027 91 89 85 0.3
6 0.6820032625011685 -0.6336790436592371 0.3077376193977477 141 134 131 0.31
7 0.6859334503860554 -0.6541736360289527 0.3604109933824293 105 98 91 0.39
8 0.6796346586702 -0.5699258037825338 0.2974359894813982 119 113 113 0.28
9 0.6727743153528893 -0.4565966074715463 0.2875085190484871 85 81 77 0.26
10 0.6470648345117067 -0.4602297130557333 0.3518827861562205 63 58 59 0.29
11 0.6328422771717461 -0.4695938140926177 0.4396150594670097 61 68 72 0.24
12 0.6324759245551292 -0.4460285200724409 0.405928615719079 84 83 81 0.39
13 0.6756102941805439 -0.4364933139203805 0.328711311012805 125 118 114 0.24
14 0.6348768654347239 -0.4424220739077816 0.4310022849736099 62 61 61 0.26
15 0.670457798894873 -0.3532232461823109 0.3190599510832987 36 32 30 0.15
16 0.6485819900800951 -0.3239387976394003 0.3796048061572369 115 107 101 0.52
17 0.6569995351563023 -0.3132745599274754 0.3729982296224151 92 86 74 0.51
18 0.6852757714332854 -0.3676824032353458 0.6605334206618736 60 64 70 0.47
19 0.6697456834442981 -0.3531149588525436 0.6864952423357444 70 77 82 0.48
20 0.6621350022499817 -0.2874751882360245 0.5092230411401023 67 68 72 0.36
21 0.6734640137343439 -0.2529083002570744 0.2754400066503359 123 122 122 0.25
22 0.6703671817640123 -0.2585698371502043 0.3291515183074408 66 61 58 0.16
23 0.6555177168596145 -0.2507303680927112 0.3581519715573166 81 75 68 0.04
24 0.6503263437007814 -0.2642780352102729 0.4655451271014956 52 56 60 0.19
25 0.6754944815906269 -0.2449927964418942 0.2915027033596509 109 104 100 0.32
26 0.7311109002906817 -0.2456258117369287 0.1856748186407369 130 128 131 0.44
27 0.7538547690534627 -0.2409616508316291 0.1227658559388369 86 80 77 0.27
28 0.6397775660717975 -0.2761151667385571 0.6172487379609157 83 84 89 0.29
29 0.6559051296267107 -0.2585954894675359 0.4545004912718199 59 64 73 0.33
30 0.6511504631363791 -0.2410091465831675 0.3714419814971996 124 120 111 0.26
31 0.6456366981567676 -0.2375027118569323 0.3828040148217862 117 115 112 0.34
32 0.6466544786732015 -0.2341360497712404 0.3793053087112147 100 94 92 0.17
33 0.7244457750841546 -0.233922586346177 0.2227985045172466 99 96 97 0.33
34 0.6528653564256965 -0.2265322450046796 0.3322377434606685 100 94 92 0.32
35 0.7242124316366227 -0.2321553258045043 0.2235590956737444 106 107 109 0.49
36 0.675524665452489 -0.2245220973593165 0.2684414148832109 93 90 91 0.55
37 0.6698155401863888 -0.2242426343476074 0.2963246866834761 94 86 81 0.11
38 0.7309377411321765 -0.2219408809252625 0.1772713284945798 108 110 115 0.91
39 0.6719996404876891 -0.2196007763503013 0.301775577160461 98 91 85 0.21
40 0.6756833489691234 -0.2169901425268438 0.2682501194962014 84 81 78 0.19
41 0.6308107729223678 -0.2319589987300174 0.5435698729334505 116 113 110 0.28
42 0.629845275403943 -0.2301279142561256 0.5465774197219366 59 58 56 0.19
43 0.6440283981941437 -0.2135808596309609 0.3720356558827008 114 108 104 0.34
44 0.6474447222588933 -0.2135851543223313 0.3729900606070672 112 108 106 0.18
45 0.6559082537869334 -0.2096721782497413 0.3276059546647818 119 115 107 0.41
46 0.639682894125464 -0.2221422999140061 0.5195005178718668 133 129 125 0.21
47 0.6444816751529339 -0.2177284439940527 0.4805464308729863 132 127 121 0.22
48 0.6279687128618682 -0.2201976404417889 0.5560163224568668 84 82 71 0.56
49 0.6371275717336595 -0.2194903499599996 0.5345316636461158 76 76 72 0.54
50 0.6720210339434511 -0.2017214524294539 0.2752312804059086 66 64 64 0.31
51 0.729988093297578 -0.2104050983691793 0.2153493947252839 52 48 43 0.13
52 0.7428820074863933 -0.2053871522265887 0.1469035051994708 134 132 134 0.19
53 0.6559480805867829 -0.2023083518644973 0.3491095850745013 108 102 97 0.17
54 0.6453663753393608 -0.2140616872558342 0.5020269713585067 84 84 78 0.31
55 0.6248962781059242 -0.2149327444852196 0.571208215443828 96 96 88 0.58
56 0.6433681556662345 -0.2127033268855668 0.5051980984420287 108 108 103 0.27
57 0.6714216121656128 -0.1980714288934456 0.2817352412832584 72 67 58 0.24
58 0.6371450972199456 -0.2136733262203641 0.5321105201952721 132 130 124 0.32
59 0.6581968193453323 -0.1986376794902323 0.3250126964936788 69 60 57 0.18
60 0.6404189064506746 -0.2075274458868814 0.5035087493950758 136 130 117 0.88
61 0.7538677757720227 -0.1981137780973433 0.1141268112881056 68 62 61 0.23
62 0.6172980599078864 -0.207760347183997 0.5903265438256473 137 136 129 0.26
63 0.6305806922993094 -0.2049755332598606 0.5424484762917847 143 138 128 0.33
64 0.6350736513794617 -0.1920696391642392 0.3897532752284223 116 107 105 0.17
65 0.6345864620184565 -0.1894647828368868 0.3887823219510594 108 103 102 0.14
66 0.6596372666680981 -0.1881494268499949 0.3198558105267649 103 99 95 0.28
67 0.636849002483321 -0.188864551563128 0.388187897990553 123 120 119 0.19
68 0.6399381478497528 -0.1863620010892498 0.378334149868592 139 133 116 0.1
69 0.6553687506000874 -0.1853029579849697 0.3209704095063743 143 138 137 0.1
70 0.6186638695847658 -0.1973463307599213 0.5855326651543233 129 123 116 0.3
71 0.6477467366409408 -0.1848715528679433 0.3704089052008499 115 112 100 0.3
72 0.6422968140324008 -0.1968731625823801 0.5331422228992106 104 98 89 0.17
73 0.6737599458999645 -0.1800983651901891 0.2675753183564396 79 76 71 0.17
74 0.6363340474113929 -0.1818279821714136 0.4008703128512988 119 113 107 0.09
75 0.6345819010917439 -0.1800014523078761 0.3865700013534706 140 140 142 0.15
76 0.6449274588419243 -0.1798330882161718 0.3715788412547475 112 106 94 0.35
77 0.6395346284180662 -0.1883397830728296 0.5130238988207675 82 81 74 0.29
78 0.6432823749656235 -0.1847861407374406 0.4769364008437463 109 106 102 0.28
79 0.7056407967027787 -0.1828416042015027 0.270100531786154 64 60 58 0.09
80 0.6489409961442434 -0.1776954580395554 0.3796169898732007 109 99 90 0.09
81 0.6509721281897811 -0.1845124110890423 0.4745791710206186 87 88 81 0.46
82 0.6524604233101152 -0.1740308487539876 0.3257198063519926 108 104 101 0.22
83 0.6444846360124854 -0.1830584852441032 0.4752165312828438 84 83 81 0.21
84 0.6458444463522817 -0.1802036308380563 0.4714884030696836 88 83 74 0.13
85 0.6187011618823391 -0.1813652286325681 0.5868292043388228 90 88 75 0.4
86 0.6336070835872907 -0.1707400430286188 0.3911948960099351 107 100 91 0.23
87 0.6586757319644003 -0.1715276819153637 0.3269026643843967 87 79 72 0.19
88 0.6456200445381726 -0.1771132960986352 0.4756022355705503 121 117 115 0.4
89 0.6479072182308141 -0.1704407354171625 0.3692647872728045 116 115 109 0.1
90 0.6418873123304877 -0.1742754840909555 0.4767992133333322 120 118 117 0.2
91 0.6536581805244318 -0.1723261114942054 0.5070528526376757 85 81 81 1.03
92 0.5776547165725965 -0.1221579773914833 0.7231104455207026 121 112 103 0.21
93 0.6748623348366334 -0.1600178318803886 0.3159392356371444 86 83 80 0.37
94 0.6457083976814959 -0.1620581222810078 0.4706803042472532 109 102 92 0.25
95 0.714619465436227 -0.1635487947374487 0.2581536891732262 142 140 133 0.25
96 0.6487858718589086 -0.1509557243048835 0.3656459883901214 143 142 141 0.17
97 0.6745107186436567 -0.1494593258352907 0.2629429598553643 124 124 126 0.24
98 0.619845465427854 -0.151513044945968 0.5540279379740037 93 90 82 0.35
99 0.6627925909552497 -0.153363691607443 0.4414721385568278 66 62 58 0.14
100 0.6471966278575827 -0.1454544557881018 0.3712029114919565 92 85 78 0.25
101 0.6586573835130916 -0.1480302581610255 0.3783824202739151 149 145 138 0.61
102 0.6366853563574321 -0.1435400222519377 0.3839746458107275 119 116 115 0.37
103 0.6493290067022832 -0.1422305402866994 0.3649684282777503 143 139 133 0.11
104 0.6696770331237631 -0.1414981751416426 0.2843008856690541 111 109 111 0.11
105 0.6550626810776682 -0.1454005986941951 0.457470602332879 85 84 81 0.11
106 0.6707285836706477 -0.1395378048520907 0.2697591015743035 93 89 86 0.23
107 0.6780590083646006 -0.1404650569293329 0.2586663500709288 47 43 40 0.24
