# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 13475, mean track length: 5.13
0 0.689876167802112 -0.8907873812484385 0.405449073524944 129 127 120 1.35
1 0.6834370094428786 -0.8554859184838223 0.4515519433216234 208 213 222 1.24
2 0.710938078133788 -0.8016051205968012 0.3688728918531858 85 80 76 1.09
3 0.7006778529636986 -0.8088831361785138 0.4027962221123657 98 94 90 1.08
4 0.7034659794066627 -0.8030083108197029 0.3906994044144517 68 66 67 1.19
5 0.7034659794066627 -0.8030083108197029 0.3906994044144517 68 66 67 1.19
6 0.7092388235650164 -0.7012536567606656 0.3608235176175636 91 89 85 1.04
7 0.7092388235650164 -0.7012536567606656 0.3608235176175636 91 89 85 1.04
8 0.6965782999709601 -0.6349896609138188 0.31265681296427 141 134 131 1.02
9 0.6992061313280331 -0.6551900551674915 0.363513999930147 105 98 91 2.25
10 0.6931862616087436 -0.5703919877317358 0.3017470128655923 119 113 113 1.1
11 0.6848526654308764 -0.4561602872085996 0.2911549282652491 85 81 77 0.84
12 0.6592783949951041 -0.4600792457562246 0.3556594011259698 63 58 59 0.88
13 0.6454115929510794 -0.4698101195967099 0.4436353332655648 61 68 72 0.91
14 0.6447004521938151 -0.4460305914546683 0.4097934502030435 84 83 81 1.0
15 0.6883736718234835 -0.4366295952318207 0.333285847516154 125 118 114 0.64
16 0.647453249778159 -0.4427077407586892 0.4353457788488335 62 61 61 0.89
17 0.6834002499094236 -0.3535089500653739 0.3246383272189663 36 32 30 0.53
18 0.6834002499094236 -0.3535089500653739 0.3246383272189663 36 32 30 0.53
19 0.6970903310776474 -0.3468640065054063 0.4348095858235921 115 107 101 3.44
20 0.6652067844640628 -0.3159423358387345 0.3741831121802611 92 86 74 4.77
21 0.7435847243251693 -0.398014760196332 0.7456713637206298 63 67 73 3.91
22 0.6888986979530307 -0.3580166945054579 0.701584838871155 70 77 82 3.85
23 0.7218132804759205 -0.312750292091888 0.5893090770923566 67 68 72 3.42
24 0.6821843645643162 -0.2550055706626798 0.2765137481098748 123 122 122 4.81
25 0.7161647565749361 -0.2740220925454534 0.375965789541448 66 61 58 2.7
26 0.7132020136602871 -0.271898343435094 0.4239956641310966 81 75 68 2.76
27 0.6991053919954301 -0.2822666423839159 0.5267406029615729 52 56 60 2.98
28 0.6887709260814652 -0.248323855663986 0.296911406645774 109 104 100 3.18
29 0.7384565351408074 -0.2445358486385984 0.1872853587187053 130 128 131 2.42
30 0.7470011634158279 -0.2357078910532262 0.1145352977452597 86 80 77 4.28
31 0.6897194631218166 -0.2968504786700647 0.6922287911175824 83 84 89 3.67
32 0.6646028262175906 -0.2616099850433509 0.4570416358960911 59 64 73 3.97
33 0.6610064319565505 -0.2429106390699335 0.3735838301134265 124 120 111 4.46
34 0.6591488862325984 -0.2420301114738735 0.3884997242952223 117 115 112 3.65
35 0.6588191582815643 -0.2387294707448578 0.3838751911550126 100 94 92 3.99
36 0.7301672401343368 -0.2338723461268889 0.2225006068219783 99 96 97 4.81
37 0.6622322757138599 -0.2287432790904291 0.3339864317064001 100 94 92 4.13
38 0.7319271980398157 -0.2333840380758264 0.2242147107881107 106 107 109 5.17
39 0.6841722501333568 -0.2264659935784922 0.2695362036099531 93 90 91 5.03
40 0.7248070313162738 -0.241381504282886 0.3524803178192965 94 86 81 2.53
41 0.5830746745895409 -0.2221578790838971 0.4874684321490347 79 73 68 3.19
42 0.7385935640727359 -0.2229329144053792 0.1779905491991877 108 110 115 5.04
43 0.7290271673597285 -0.2369989242244111 0.3605762896068809 98 91 85 2.42
44 0.6815593905847297 -0.2186784734530262 0.2657061725475552 84 81 78 5.17
45 0.628354343741243 -0.2257158047221412 0.5238087796705826 109 108 105 0.87
46 0.628354343741243 -0.2257158047221412 0.5238087796705826 109 108 105 0.87
47 0.6819886228059792 -0.2485293703372237 0.6225849812166762 43 39 37 3.41
48 0.7063692770557092 -0.2334995052704299 0.4473117502113195 114 108 104 3.01
49 0.6580940057235239 -0.2167422121747365 0.3762527947037048 104 101 100 4.13
50 0.6648436653562789 -0.212750228655078 0.3281135423391883 119 115 107 4.7
51 0.6569029831031364 -0.2263766849694546 0.5355617335647986 99 95 88 3.72
52 0.6547660306875698 -0.2203929368040073 0.4853069010153591 132 127 121 4.42
53 0.6392600903518006 -0.2231863958681845 0.5594667049089752 84 82 71 5.75
54 0.6490548947843537 -0.2217300756194455 0.5402897428730626 76 76 72 4.68
55 0.6791884579450687 -0.2032118858729425 0.275581599276108 66 64 64 4.76
56 0.742470219236727 -0.2097052560284998 0.2210616440241974 52 48 43 0.74
57 0.7379975367338674 -0.2012674218666195 0.1389696547243345 134 132 134 3.41
58 0.7090107404619678 -0.2168607614313708 0.4083637471047273 92 86 82 2.53
59 0.6599221143683022 -0.2160596985689265 0.5136928805426619 84 84 78 3.82
60 0.6364084321807038 -0.2191947406194096 0.5760145346177814 96 96 88 4.05
61 0.6491452787954691 -0.2139479765414676 0.503881709485438 108 108 103 2.77
62 0.7280647351280624 -0.213452806313095 0.3387015138332268 72 67 58 2.52
63 0.6446609917480166 -0.2141017704731595 0.5335778161220543 132 130 124 4.27
64 0.7212556138297589 -0.2166433444571274 0.3949946864556992 69 60 57 2.34
65 0.6541882366437467 -0.2110358965747233 0.5109233440809351 136 130 117 5.44
66 0.760431092484921 -0.1955393998022916 0.115395678638347 68 62 61 0.86
67 0.6507225042222062 -0.2190882777599688 0.6372557375487495 114 112 110 4.04
68 0.6324079849027687 -0.2105755576564773 0.6023894109211412 126 122 115 4.57
69 0.6410555197975881 -0.2077419886166063 0.5456771176755264 143 138 128 4.79
70 0.7413209808891226 -0.2272709602265901 0.534207556166806 90 83 81 1.06
71 0.6419633939910412 -0.192399634387066 0.3901746848624203 108 103 102 3.79
72 0.7188054817601359 -0.2039190861149167 0.3843912874767028 94 91 88 2.55
73 0.6442039099857297 -0.1917730952547608 0.3895669210764045 123 120 119 3.88
74 0.7498759104355458 -0.2212309514849244 0.5248911425326321 139 133 116 1.12
75 0.6681890294783224 -0.1882574405266956 0.3263098353495266 113 110 111 3.7
76 0.6371051546207143 -0.2036847652490791 0.6044983292870041 119 113 106 5.09
77 0.7260317505929005 -0.2079062919048708 0.46885519145764 103 101 91 3.03
78 0.7457179192272615 -0.232172424438769 0.6954987945080653 94 88 80 2.63
79 0.6808053762648739 -0.1814821534997533 0.2679066077798894 79 76 71 4.83
80 0.6949774930383962 -0.1985847881428413 0.4761993396499292 119 113 107 3.3
81 0.6419841503753931 -0.1829114976874013 0.3879995869537872 140 140 142 3.74
82 0.6518687944611852 -0.1815615736343545 0.3722160084303406 110 104 94 4.06
83 0.6501419860985269 -0.1896782989306342 0.5162196869079587 82 81 74 5.03
84 0.6546533464301829 -0.1832944185488179 0.4831260990740191 104 99 95 1.8
85 0.6550125973978884 -0.1852988411117197 0.4842422458157521 109 106 102 4.43
86 0.7225848455615476 -0.1835061444553848 0.2809976432950429 64 60 58 0.51
87 0.7118327074634798 -0.1947761262120155 0.457470828342232 109 99 90 3.3
88 0.6698031334711639 -0.1892176712094017 0.4946516586724006 87 88 81 4.1
89 0.6650804220251225 -0.1768703600363476 0.3309839281199803 108 104 101 3.77
