# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 38
48 RADIAL 818 619 862.9151486577215 409.0 309.51351351351354 0.0 0.0
153 RADIAL 1025 776 1125.3771201984302 512.5 387.8378378378378 0.0 0.0
167 RADIAL 1023 774 1060.923180709014 511.5 387.0810810810811 0.0 0.0
51 RADIAL 815 617 912.8640399108062 407.5 308.3783783783784 0.0 0.0
58 RADIAL 1013 767 1092.067255741841 506.5 383.2972972972973 0.0 0.0
165 RADIAL 1028 778 1078.694297996727 514.0 388.97297297297297 0.0 0.0
184 RADIAL 1021 773 1307.247128615508 510.49999999999994 386.3243243243243 0.0 0.0
235 RADIAL 1028 778 1079.2476016895191 514.0 388.97297297297297 0.0 0.0
170 RADIAL 1030 752 1144.625066808752 515.0 375.81081081081084 0.0 0.0
182 RADIAL 1007 762 975.4259229608484 503.5 381.02702702702703 0.0 0.0
197 RADIAL 1029 779 1078.685471612054 514.5 389.35135135135135 0.0 0.0
147 RADIAL 1027 777 1057.8719059196678 513.5 388.5945945945946 0.0 0.0
222 RADIAL 1023 774 1043.9733221208728 511.5 387.0810810810811 0.0 0.0
141 RADIAL 1065 649 908.5013705928152 532.5 324.6951219512195 0.0 0.0
227 RADIAL 1020 680 1045.1904267531174 510.0 340.0 0.0 0.0
152 RADIAL 1021 681 1071.6556459084536 510.5 340.3333333333333 0.0 0.0
158 RADIAL 1013 767 1006.391753634891 506.5 383.2972972972973 0.0 0.0
232 RADIAL 1057 687 1101.4316581249238 528.5 343.52500000000003 0.0 0.0
118 RADIAL 1032 753 1110.1446236275337 516.0 376.5405405405405 0.0 0.0
190 RADIAL 1030 752 1060.788461324331 515.0 375.81081081081084 0.0 0.0
105 RADIAL 1029 686 1424.763795705942 514.5 343.0 0.0 0.0
111 RADIAL 1043 695 1189.3919867002048 521.5 347.6666666666667 0.0 0.0
217 RADIAL 975 557 1009.3381370816912 487.5 278.57142857142856 0.0 0.0
123 RADIAL 1030 687 1565.4609367174978 515.0 343.3333333333333 0.0 0.0
120 RADIAL 1022 773 1123.6495779913826 511.0 386.7027027027027 0.0 0.0
163 RADIAL 1031 752 1037.4618947312638 515.5 376.1756756756757 0.0 0.0
162 RADIAL 1033 754 1005.3064930374558 516.5 376.9054054054054 0.0 0.0
138 RADIAL 1057 687 792.051457810402 528.5 343.52500000000003 0.0 0.0
188 RADIAL 1057 687 1207.664000749588 528.5 343.52500000000003 0.0 0.0
172 RADIAL 1020 772 1029.442331468737 510.0 385.94594594594594 0.0 0.0
204 RADIAL 1021 773 1166.644793226912 510.49999999999994 386.3243243243243 0.0 0.0
128 RADIAL 1025 776 1042.2207175074398 512.5 387.8378378378378 0.0 0.0
181 RADIAL 1010 764 1076.3781542391391 505.0 382.1621621621622 0.0 0.0
129 RADIAL 1032 688 736.2525311983549 516.0 344.0 0.0 0.0
108 RADIAL 760 1041 1044.4901219120732 380.0 520.7407407407408 0.0 0.0
192 RADIAL 698 1074 868.2564389155461 349.0 536.9230769230769 0.0 0.0
195 RADIAL 692 1065 976.0958078824557 346.0 532.3076923076924 0.0 0.0
114 RADIAL 760 1004 760.3967203412737 380.0 502.1428571428571 0.0 0.0
