# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 234
83 RADIAL 760 1041 1020.9969983255438 380.0 520.7407407407408 -0.020125461227134326 0.07959935459416231
75 RADIAL 760 1041 1124.9714860833133 380.0 520.7407407407408 -0.0033526553352581385 0.013976847041513533
6 RADIAL 691 1063 1111.5494808077417 345.5 531.5384615384615 -0.043317649631926185 0.16856372923735582
195 RADIAL 692 1065 963.4897970639286 346.0 532.3076923076924 -0.008448257931333879 0.014815771863053502
66 RADIAL 1021 773 1131.5691201994257 510.49999999999994 386.3243243243243 0.02292405523605578 -0.14418555103414998
70 RADIAL 1026 776 1052.4299509671685 513.0 388.2162162162162 -0.0459142077167748 0.1682346587009682
108 RADIAL 760 1041 1047.8679511506623 380.0 520.7407407407408 -0.029889439141460777 0.08396527216261293
123 RADIAL 1030 687 1563.8799236503585 515.0 343.3333333333333 -0.03181954619817403 -0.028055028205100335
22 RADIAL 1066 693 809.1171581668592 533.0 346.45 -0.0674752583855625 0.12207554757898023
192 RADIAL 698 1074 853.3456955971014 349.0 536.9230769230769 0.012618828625590101 -0.052054543468397885
101 RADIAL 1024 775 1130.5890165111769 512.0 387.4594594594595 0.01726907238348254 -0.07539791613606123
147 RADIAL 1027 777 1031.502753360218 513.5 388.5945945945946 -0.06903630504525282 0.15053775630991725
100 RADIAL 1028 778 695.6678284090756 514.0 388.97297297297297 -0.04596082999213024 0.04805538100379067
54 RADIAL 1030 752 1099.0901981899417 515.0 375.81081081081084 -0.019810875462865103 0.025205614793792575
120 RADIAL 1022 773 1130.611353745146 511.0 386.7027027027027 0.020397084098454216 -0.1100878842044631
87 RADIAL 1012 766 934.7437485912474 506.0 382.9189189189189 0.06079177805243742 -0.16669915595930038
89 RADIAL 1032 753 816.0040166776206 516.0 376.5405405405405 -0.08078197493929232 0.1609283248362442
69 RADIAL 1056 686 801.4083628064074 528.0 343.2 -0.026245872826263054 0.021117930784225178
182 RADIAL 1007 762 961.4364111711983 503.5 381.02702702702703 0.09105123979474321 -0.27382711840156343
197 RADIAL 1029 779 1055.5709685366467 514.5 389.35135135135135 -0.11567227190869371 0.3525009481723868
49 RADIAL 1062 708 904.655337483871 531.0 354.0 -0.061515995784195414 0.12692667360689444
169 RADIAL 1062 690 789.4985719536652 531.0 345.15000000000003 -0.003955649244859723 0.01255657928667982
84 RADIAL 1027 777 805.1225137285112 513.5 388.5945945945946 -0.02544244414047424 0.04369129994538686
230 RADIAL 760 760 822.1671132887444 380.0 380.0 -0.015376888426313204 -0.016846331139714517
130 RADIAL 506 383 553.6827391635934 253.0 191.45945945945945 0.023453319617172882 -0.1393763014207608
10 RADIAL 760 1004 1054.5617666744695 380.0 502.1428571428571 0.007421829471245251 -0.0059374269088483655
144 RADIAL 760 1041 810.3760229920781 380.0 520.7407407407408 -0.042247460635072585 0.17355885454728637
145 RADIAL 1022 773 1161.217466342391 511.0 386.7027027027027 0.03250290919464687 -0.16244935620060544
23 RADIAL 1027 777 1124.871478423538 513.5 388.5945945945946 -0.057545159958074805 0.20998886877704123
31 RADIAL 814 616 833.4796217075984 407.0 308.0 -0.0843566242510732 0.19601870838806934
34 RADIAL 607 802 847.6536720286534 303.5 401.0535714285714 -0.0579812001976425 0.21447652464285155
45 RADIAL 696 1071 850.7738125583564 348.0 535.3846153846154 -0.05720049240333383 0.1807597471041671
177 RADIAL 1030 752 1073.1449938621558 515.0 375.81081081081084 0.015725550356536097 0.0061535189435337435
180 RADIAL 1025 776 1119.2407340665416 512.5 387.8378378378378 -0.008322054227779348 0.06524281385508938
55 RADIAL 1046 697 850.8772407920476 523.0 348.6666666666667 -0.01784154872349004 0.025763540125269976
189 RADIAL 1032 688 744.1209526589213 516.0 344.0 -0.02408385201608401 0.04699545207368593
193 RADIAL 1047 698 1339.3374584824724 523.5 349.0 -0.01933279937135215 0.1327081841540989
72 RADIAL 1049 699 1124.4412418371 524.5 349.6666666666667 -0.0460750957464731 0.15305892369592186
218 RADIAL 760 1041 1066.3627475307737 380.0 520.7407407407408 -0.02445688980439121 0.132465539030555
99 RADIAL 1013 565 1110.2859854897938 506.5 282.69767441860466 0.13991181590348203 -0.5896584091637125
228 RADIAL 1028 778 1116.2740315180458 514.0 388.97297297297297 -0.0188539390728443 0.08006706613535054
233 RADIAL 1026 776 1065.1924059846824 513.0 388.2162162162162 -0.08608163386118078 0.27821836913895887
125 RADIAL 1014 767 1053.1983316729604 507.00000000000006 383.6756756756757 0.05342303622326451 -0.1983052432949485
139 RADIAL 1015 768 874.6598733320019 507.5 384.05405405405406 0.12544683587864805 -0.37917950424786906
140 RADIAL 1047 698 1344.2872727533393 523.5 349.0 -0.04862994518837243 0.2257956196559165
149 RADIAL 719 1078 999.8306204078287 359.5 539.25 -0.036255381193143955 0.1302201445550814
30 RADIAL 1018 770 1020.85969155876 509.0 385.18918918918916 0.10247945547502203 -0.3794550291653362
57 RADIAL 1016 769 823.0002381573985 508.0 384.43243243243245 0.007479758792402171 -0.01686558575134424
86 RADIAL 1023 774 1056.9736664650316 511.5 387.0810810810811 -0.05855348439984527 0.1869874206496453
216 RADIAL 1029 779 1022.7263775009429 514.5 389.35135135135135 -0.021622265406401966 0.0361518022782537
90 RADIAL 760 1041 1019.4974355647381 380.0 520.7407407407408 -0.0712921741912288 0.2213631510006706
102 RADIAL 1013 675 770.8135781456108 506.5 337.6666666666667 -0.04972230448685986 0.097941431586147
106 RADIAL 1022 773 1098.487222636426 511.0 386.7027027027027 -0.0388847474788877 0.08276881823430322
161 RADIAL 1025 776 1037.240986661519 512.5 387.8378378378378 -0.0021587565973353595 -0.002818978721042759
68 RADIAL 521 380 622.546749187594 260.5 190.09459459459458 -0.05340366747890058 0.22001158641848723
122 RADIAL 760 1004 796.9221769963451 380.0 502.1428571428571 -0.08558521415123588 0.12621714382652013
138 RADIAL 1057 687 788.1619802378261 528.5 343.52500000000003 -0.012017980541340364 0.014333538571208889
131 RADIAL 606 801 873.7876693133534 303.0 400.3928571428571 -0.025346100722116852 0.09999060088181232
133 RADIAL 374 494 432.6253680228753 187.0 247.10714285714286 -0.03589021173587002 0.13163212988700565
7 RADIAL 1030 752 1035.6091369897047 515.0 375.81081081081084 -0.08781456726343123 0.27388119697307195
8 RADIAL 1015 768 821.4017656077242 507.5 384.05405405405406 0.035342560183523365 -0.07174230007426356
137 RADIAL 692 1065 801.761643832997 346.0 532.3076923076924 0.024223604977209868 -0.13631200210629696
153 RADIAL 1025 776 1095.6347213328231 512.5 387.8378378378378 -0.061835568596300246 0.18107930391105262
154 RADIAL 1030 752 1102.2626117942164 515.0 375.81081081081084 0.011652491255882568 -0.03592450705921255
166 RADIAL 756 999 1075.5337833884423 378.0 499.5 0.08442964933902415 -0.3819530245897463
167 RADIAL 1023 774 1061.880941842111 511.5 387.0810810810811 -0.05980792259981627 0.1826258069730031
171 RADIAL 1075 699 802.7472147070137 537.5 349.375 -0.0723513263909372 0.1688758022136079
58 RADIAL 1013 767 1073.0110507513439 506.5 383.2972972972973 0.010760602903260828 -0.0024287517554834053
59 RADIAL 695 1069 809.4455545261131 347.5 534.6153846153846 0.0042205269666980285 -0.003766247644213413
202 RADIAL 760 1004 861.9337630613654 380.0 502.1428571428571 0.019807599114179675 -0.0819273231154001
212 RADIAL 696 1071 862.5669393062235 348.0 535.3846153846154 -0.038857839597496585 0.20021844090829338
211 RADIAL 756 999 992.3134133303178 378.0 499.5 0.07422181732172539 -0.3365705669473049
225 RADIAL 760 760 728.1097089806035 380.0 380.0 0.21913670352904416 -0.7437682401234399
115 RADIAL 857 756 629.7675443533133 428.5 378.0882352941177 -0.06585261602867032 0.13212809753223104
116 RADIAL 760 1004 1071.7425355860346 380.0 502.1428571428571 -0.035046175389321824 0.13532380375373612
173 RADIAL 760 1004 1084.4480758964576 380.0 502.1428571428571 -0.0023088327003429445 0.12346538783253916
191 RADIAL 1065 692 815.5989822900949 532.5 346.125 -0.08494146749690115 0.16633839608226544
205 RADIAL 760 1004 1051.631500306839 380.0 502.1428571428571 -0.03094147627727213 0.08431586448103678
132 RADIAL 760 861 873.0354787612104 380.0 430.66666666666663 0.04893327760848236 -0.05306193669106087
5 RADIAL 1028 685 568.2743516671284 514.0 342.66666666666663 -0.03038525049456277 0.028351827067212256
143 RADIAL 760 1004 901.6556937920905 380.0 502.1428571428571 -0.024446383614832333 0.014218570499832528
150 RADIAL 1034 755 1083.3769235851664 517.0 377.2702702702703 -0.003157812315547219 0.044719334928873374
24 RADIAL 1027 685 797.8984208573617 513.5 342.3333333333333 -0.04490170125721233 0.10673988233715258
46 RADIAL 760 1004 1024.503817877785 380.0 502.1428571428571 -0.022028390285214593 0.06353982382933233
174 RADIAL 760 1004 1029.4606995067147 380.0 502.1428571428571 -0.009251137176998341 0.1400660242689854
186 RADIAL 689 1034 927.5984999096813 344.5 516.75 -0.013946324068168339 -0.0015766631523751876
94 RADIAL 760 1004 1267.5225342754393 380.0 502.1428571428571 -0.04636278032480025 0.14837113782125866
226 RADIAL 689 1034 1132.1648943783414 344.5 516.75 -0.03213277112008881 0.0892682813186803
178 RADIAL 610 806 720.6352379603343 305.0 403.0357142857143 -0.04634664623840233 0.11610963624303428
215 RADIAL 644 1082 968.2498922454516 322.0 540.96 0.005677698751773752 -0.11335485056028986
14 RADIAL 1028 778 1019.7865479059299 514.0 388.97297297297297 -0.06603026177450784 0.13340431668742897
65 RADIAL 1041 760 1004.0285510519058 520.5 379.8243243243243 0.011642384087480154 -0.14314643877626504
67 RADIAL 1022 773 1080.8304259096255 511.0 386.7027027027027 -0.0483896098563254 0.16313059602700314
204 RADIAL 1021 773 1153.4182507983546 510.49999999999994 386.3243243243243 0.008693132728813177 -0.09926409770318155
56 RADIAL 1028 685 693.2784619113576 514.0 342.66666666666663 0.008330043873454573 -0.013368360133759753
219 RADIAL 1024 775 1138.0672813151457 512.0 387.4594594594595 0.04768427198310228 -0.19778868887910245
15 RADIAL 1024 775 1094.2897921984975 512.0 387.4594594594595 -0.05972776084025493 -0.0006340255202599859
17 RADIAL 1019 771 1143.1268131382144 509.5 385.56756756756755 -0.021472206617279655 0.06677189240225476
152 RADIAL 1021 681 1043.2464363085867 510.5 340.3333333333333 -0.02793957729781059 0.0861571645755603
160 RADIAL 680 1020 969.3994915221897 340.0 510.0 -0.06869462466789746 0.19254147418618617
38 RADIAL 1018 770 1522.6303734871165 509.0 385.18918918918916 -0.022398371331727167 0.255181512774571
41 RADIAL 1022 681 1664.892396572504 511.0 340.66666666666663 -0.004381201297201127 -0.014863779143655794
172 RADIAL 1020 772 997.2630434684222 510.0 385.94594594594594 -0.0035564884913219623 0.07090410331230235
179 RADIAL 1026 684 1359.895089678313 513.0 342.0 -0.011406807970678539 0.021161938458841935
53 RADIAL 1023 774 1092.7171953659886 511.5 387.0810810810811 -0.050844951543954735 0.22841502606825942
61 RADIAL 1039 693 1190.423472506419 519.5 346.33333333333337 0.026384786826619086 -0.137392624756016
190 RADIAL 1030 752 1047.6841119283874 515.0 375.81081081081084 -0.03200178138447725 0.14320216882616826
64 RADIAL 1058 688 788.1113353245066 529.0 343.84999999999997 -0.022097000998208126 0.02966771683120151
221 RADIAL 1029 686 1031.2470732466631 514.5 343.0 -0.06320609904658056 0.19568654835879837
