# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 40933, mean track length: 8.77
0 0.6770577183764099 -0.8906027175918605 0.4041580058736667 129 127 120 0.63
1 0.6690244500580458 -0.8529798711345778 0.44776698994477704 208 213 222 0.56
2 0.6959628234721975 -0.79852461998292 0.36419135887440207 85 80 76 0.5
3 0.6856982366320509 -0.8057606035107718 0.3980715954616054 98 94 90 0.39
4 0.688518189460756 -0.7999346492870291 0.385982412289477 68 66 67 0.5
5 0.6945553089262859 -0.6986728963221669 0.35574396344698045 91 89 85 0.29
6 0.6832153064122467 -0.6337767551993546 0.30852952028561914 141 134 131 0.3
7 0.6873207946284557 -0.6544425751626747 0.36147385682331556 105 98 91 0.36
8 0.6810066767513852 -0.5702644852147195 0.29846341210551025 119 113 113 0.28
9 0.67442632211918 -0.4572245958314438 0.28895016174547655 85 81 77 0.26
10 0.6485247282696043 -0.4607776486115025 0.3532220263689044 63 58 59 0.29
11 0.6340164758598549 -0.4699546952318896 0.4406879566933425 61 68 72 0.24
12 0.6337632018227785 -0.44648719029904793 0.40714992749335877 84 83 81 0.39
13 0.677183680383919 -0.4370629640102493 0.3301697536480382 125 118 114 0.25
14 0.6360898421576872 -0.4428265247649083 0.4321610068990002 62 61 61 0.26
15 0.6719390222797109 -0.3537223540593983 0.32047325358178663 36 32 30 0.15
16 0.649755878649085 -0.32432174458589197 0.38079928980443273 115 107 101 0.52
17 0.6582098443147539 -0.31367648296329803 0.37422022331207017 92 86 74 0.49
18 0.6851658768157936 -0.3673030920699616 0.6598851863415598 60 64 70 0.45
19 0.6693873267880087 -0.3526657281439208 0.6854192875222636 70 77 82 0.44
20 0.6624922020286284 -0.28746367543455387 0.5094485178123482 67 68 72 0.35
21 0.6748150876317592 -0.25327110030279715 0.27666408718344404 123 122 122 0.22
22 0.6715167504474778 -0.25887338874416765 0.330280467027153 66 61 58 0.15
23 0.6564331506195943 -0.2509561012281944 0.3590465782179197 81 75 68 0.05
24 0.6509035141053129 -0.2643900317882566 0.4661001451581311 52 56 60 0.19
25 0.676787773855378 -0.24532731252816958 0.29270559860217366 109 104 100 0.3
26 0.7327800155738495 -0.2459549517334356 0.18701840158739752 130 128 131 0.48
27 0.7553395089529896 -0.2411824666887856 0.12379526590407357 86 80 77 0.25
28 0.6399421238085479 -0.2760687683396358 0.617189418419879 83 84 89 0.29
29 0.6569532393006983 -0.2589112979062642 0.4557417674464068 59 64 73 0.32
30 0.6522934759795511 -0.24132762153805531 0.3726997817157051 124 120 111 0.24
31 0.6467752943089985 -0.23781554576844685 0.3840810147361643 117 115 112 0.33
32 0.6477821060390127 -0.23445600188197044 0.38057249809792804 100 94 92 0.17
33 0.725773233782011 -0.23415915169300666 0.22394077941752336 99 96 97 0.34
34 0.6540768293879565 -0.2268547404588815 0.33350441945384773 100 94 92 0.32
35 0.7255007383142703 -0.23237712152403753 0.22468810220294957 106 107 109 0.51
36 0.6768798233114363 -0.22484368164713264 0.2696790542062282 93 90 91 0.54
37 0.6710697987899439 -0.22455113978813915 0.29753733311008274 94 86 81 0.11
38 0.7325929149463482 -0.22223524814956233 0.17860524982681475 108 110 115 0.85
39 0.6731907268572218 -0.21988108043525284 0.30293168550894306 98 91 85 0.21
40 0.677084695961191 -0.2173239688029162 0.26954176161621074 84 81 78 0.2
41 0.631312926739748 -0.23210003902152232 0.5441589591950224 116 113 110 0.29
42 0.630815513146703 -0.2304516461491011 0.5480883687500134 59 58 56 0.18
43 0.6448148522536188 -0.2137637102454987 0.3728311839925622 114 108 104 0.34
44 0.6485779363325789 -0.21388346793353136 0.37427352944936687 112 108 106 0.18
45 0.6571366858102254 -0.209981567904481 0.3288989339985741 119 115 107 0.42
46 0.6404976866475729 -0.22238777790175565 0.5206238421281597 133 129 125 0.22
47 0.6454355771114384 -0.21800947724227798 0.4818043765881662 132 127 121 0.23
48 0.6287852819620786 -0.22047799505893162 0.5572803478296146 84 82 71 0.54
49 0.6379277314044244 -0.2197408881876215 0.5356725982474821 76 76 72 0.52
50 0.6733077863028573 -0.2019981710331114 0.2764649209587396 66 64 64 0.32
51 0.7314934391706511 -0.21067222128829977 0.21664726774161197 52 48 43 0.14
52 0.7443682671623739 -0.2055944187387956 0.14799489598474846 134 132 134 0.17
53 0.6567770460649897 -0.20248346337075146 0.34993382256790406 108 102 97 0.17
54 0.6461917914289483 -0.21430627720617101 0.5031481314332779 84 84 78 0.32
55 0.6255903851174723 -0.2151560250325208 0.5722508189970483 96 96 88 0.6
56 0.6441276879597313 -0.21292037804349087 0.5062016140674572 108 108 103 0.23
57 0.6727078034843386 -0.19835384968929606 0.2829740852111997 72 67 58 0.22
58 0.6379209109962245 -0.21391318269637827 0.5332312152357638 132 130 124 0.34
59 0.6591374742557703 -0.19883875881706875 0.32594171452852494 69 60 57 0.17
60 0.6412835373521525 -0.20778073827257254 0.5047029096836784 136 130 117 0.87
61 0.7557783667617044 -0.1983949643662703 0.11544272840994038 68 62 61 0.22
62 0.6180115440140679 -0.20800693196238315 0.5914295155141367 137 136 129 0.27
63 0.6311892900829095 -0.2051412946264091 0.5434048535980369 143 138 128 0.36
64 0.6358781592648616 -0.1922728240879325 0.3906340202808105 116 107 105 0.18
65 0.6357088690884173 -0.18976349945084187 0.39011757316173395 108 103 102 0.15
66 0.6605494820960409 -0.1883292424891132 0.3207385141296459 103 99 95 0.28
67 0.6379732807787404 -0.18915988797063335 0.3895219042818293 123 120 119 0.19
68 0.6407709667310237 -0.18656393584129322 0.3792381692774085 139 133 116 0.08
69 0.6565944695000943 -0.18557817805198057 0.32226294735767713 143 138 137 0.08
70 0.61944443169091 -0.19761484095390514 0.5867624883227462 129 123 116 0.32
71 0.6485637397105365 -0.18505332056142337 0.3712759998145157 115 112 100 0.31
72 0.6428230984993231 -0.19701551376291215 0.5338348786296544 104 98 89 0.18
73 0.6750529969719208 -0.1803445068409704 0.2688185206296271 79 76 71 0.17
74 0.6372697258867953 -0.1820663449523644 0.40198480174129525 119 113 107 0.08
75 0.6356960811714728 -0.18028591410671901 0.3879055490134871 140 140 142 0.14
76 0.6460630314274722 -0.18010386983761717 0.37290001493666874 112 106 94 0.34
77 0.6403435702963963 -0.18857252773786998 0.5141652611641203 82 81 74 0.29
78 0.6441565102073171 -0.18503136987395355 0.47814353488783906 109 106 102 0.27
79 0.7067183410220892 -0.18300486740677707 0.27111385203889665 64 60 58 0.08
80 0.6499186979042589 -0.17792279151144286 0.3807369524310635 109 99 90 0.09
81 0.651809213668131 -0.18473084880510188 0.4756961490118899 87 88 81 0.46
82 0.6536587502711485 -0.17429134660293877 0.327020321108185 108 104 101 0.21
83 0.6453424640937883 -0.18328880579180487 0.47638414044290295 84 83 81 0.22
84 0.6466940373723522 -0.1804287304256843 0.47263445634400736 88 83 74 0.13
85 0.6195081772860312 -0.18164020516259374 0.5881776311852435 90 88 75 0.42
86 0.6344519120695067 -0.170944246624911 0.39217756542534987 107 100 91 0.22
87 0.6595701769986668 -0.17169327580986277 0.32780447015657166 87 79 72 0.18
88 0.6464894422086725 -0.17733336451039136 0.4768014431951294 121 117 115 0.41
89 0.6490548586686413 -0.17070104880234274 0.3705973662512578 116 115 109 0.12
90 0.6427564759417445 -0.1745071479587336 0.4780027819128858 120 118 117 0.19
91 0.6539198527490035 -0.17237044890410738 0.507322535509489 85 81 81 1.03
92 0.5779690501731368 -0.12235030018730332 0.7238867421493618 121 112 103 0.18
93 0.6758357345658563 -0.16017540021950866 0.31693910568319744 86 83 80 0.36
94 0.646375702982591 -0.16221783457052114 0.47156770662112446 109 102 92 0.25
95 0.7159360859656195 -0.16372274231361006 0.25940535576962515 142 140 133 0.24
96 0.6498801674380531 -0.15117180515141992 0.36695208006811875 143 142 141 0.16
97 0.675855178631827 -0.149663593739813 0.2642203885714132 124 124 126 0.22
98 0.6205691494137254 -0.1517355064711141 0.5551936873534734 93 90 82 0.37
99 0.6634518302640404 -0.15349031880085143 0.44230607809325423 66 62 58 0.14
100 0.6480661925248223 -0.1456205253618388 0.3722125590917406 92 85 78 0.25
101 0.6596018838546239 -0.14820768710032184 0.37950048705211153 149 145 138 0.61
102 0.6377576854506758 -0.14376927520230928 0.38531434574706075 119 116 115 0.37
103 0.6503958468899815 -0.14242290301878102 0.3662493267375014 143 139 133 0.09
104 0.670934628468409 -0.14168989398867712 0.2855874372616073 111 109 111 0.12
105 0.6558375843202862 -0.14556684918462612 0.45853499278600646 85 84 81 0.1
106 0.6721065191317005 -0.13974304131359416 0.271132275199002 93 89 86 0.22
107 0.6794220177074729 -0.1406543826701541 0.2599794117929177 47 43 40 0.24
108 0.6225037390014322 -0.14006805158931507 0.5464740126492664 147 147 142 0.36
109 0.6236565579805885 -0.1392719949576081 0.5441633571624358 90 91 91 0.27
110 0.7452982810741773 -0.14681294779180973 0.14722168106357295 76 70 66 0.18
111 0.6555407646970857 -0.14065972913342992 0.4654625546730628 89 86 81 0.32
112 0.7157553656626282 -0.14372659600829432 0.25431518420135096 105 105 99 0.14
113 0.6412193155482437 -0.13408398375341618 0.4032088175505371 102 99 94 0.18
114 0.6695803916239619 -0.13573484061078486 0.30275906427260885 103 97 93 0.12
115 0.6713166565876253 -0.13564775935605144 0.29655755281400664 80 75 70 0.2
116 0.6275177571872094 -0.1349387220944957 0.5438022716467723 61 65 60 0.32
117 0.6778030570542054 -0.1343719660662153 0.25989820281057824 120 114 108 0.23
118 0.6746514313877037 -0.13298074654223732 0.25366497637938096 101 98 87 0.32
119 0.6489302568683735 -0.12920215945388053 0.36670301763895485 82 77 74 0.21
120 0.6747824050460077 -0.13194270258074495 0.308085318889161 81 76 67 0.39
121 0.7172562108443096 -0.13764118784497922 0.24438235078714926 96 95 96 0.2
122 0.644833651734587 -0.12642235248645195 0.3632168903112419 90 82 73 0.31
123 0.6741733977534302 -0.12846017166442195 0.2635103281070508 119 116 108 0.16
124 0.6328444603573328 -0.129184416143044 0.5430633859402921 96 97 92 0.26
125 0.6374746850779793 -0.12125508546682752 0.39181620600482486 89 87 82 0.1
126 0.650312538850831 -0.12250024730219924 0.35703490980385333 148 134 118 0.17
127 0.6888150010743733 -0.1235932507451449 0.25681691042947574 73 66 54 0.21
128 0.653732506912896 -0.12052787848343043 0.46001289089349523 62 58 48 0.19
129 0.6434480573975485 -0.11799904983969335 0.4968664833699554 114 110 108 0.23
130 0.678422485599817 -0.1187022643316483 0.25577113288225783 91 82 71 0.18
131 0.6690559701950561 -0.11759457480998978 0.30264824695619075 90 84 78 0.06
132 0.6543155780433494 -0.11545297990137972 0.34858115706553205 118 105 89 0.2
133 0.6325437232196642 -0.11324679765260663 0.532610308482153 64 63 53 0.13
134 0.6499145816441623 -0.11309690876890822 0.3711475598516985 108 100 86 0.21
135 0.6491878319826466 -0.11219970763318718 0.364527583947033 94 87 82 0.2
136 0.6553964834120263 -0.112146834497902 0.3396740546422001 97 90 78 0.22
137 0.6242848787886021 -0.10740624682017973 0.5419864825949644 88 93 89 0.25
138 0.6553763677494246 -0.10738463755775485 0.31968407367385926 106 102 97 0.41
139 0.6303285736534259 -0.10531786207719558 0.5304550555727734 120 118 103 0.46
