# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 10934, mean track length: 7.47
0 0.07140234231108862 0.04756572884526883 0.832612721120956 74 80 91 0.72
1 0.03598853528655663 0.051195561897541916 0.7153776442172303 214 218 221 0.72
2 0.0730204907887163 0.07408192040621604 0.814232055588984 100 103 114 0.52
3 0.49391234404633816 0.10082020563792135 1.0134013782243818 89 106 120 0.38
4 0.5916742883296479 0.10330904541094062 0.9413076384801392 153 158 156 0.37
5 0.5853800630958553 0.10949250819790207 0.9406016437424304 180 174 160 0.22
6 0.6156050703532552 0.11019969254284541 0.9332489563291665 62 67 77 0.76
7 0.5515220149531241 0.11669901804425367 0.9550426235744519 68 85 102 0.39
8 0.38668242831482424 0.13134263141597857 1.0425619564129607 103 105 110 0.61
9 0.5136576258183513 0.1213688522913078 0.9592433917153004 154 150 141 0.21
10 0.38701656188988764 0.12823617057815911 1.0007258005292214 191 204 224 0.14
11 0.46858602032032703 0.12683737174010987 0.9707448749616876 183 180 168 1.04
12 0.5610480949335913 0.12477100263074999 0.9418336748440553 53 55 51 0.26
13 0.385341550195197 0.1385259554510208 1.0382268531238203 101 104 108 0.66
14 0.4468354606403976 0.1323860341960443 0.9690855113684996 77 76 70 0.35
15 0.5339396525879193 0.12960375569217464 0.9489165517166546 139 147 150 0.57
16 0.5992130203129803 0.12870736676685846 0.9303702607695639 53 53 57 0.65
17 0.5070101072681346 0.13422633915786714 0.9673549741995114 64 73 86 0.13
18 0.47097836234899554 0.1350611848862902 0.968419352989295 119 126 138 0.35
19 0.5953984495791478 0.1305528657742293 0.9277950727812994 153 156 158 0.38
20 0.37609349349742077 0.141671484420486 0.9854076668738558 160 161 158 0.48
21 0.41821779960296923 0.14119101802040343 0.9796479698410738 152 144 127 0.75
22 0.5794253661077107 0.13343045070396203 0.9289533287718527 132 135 133 0.46
23 0.41331662066093805 0.14223186086028963 0.9845118962455147 150 153 149 0.45
24 0.29803970744788766 0.1499204993361764 1.0320752731802574 125 123 118 0.65
25 0.4323391399938782 0.14376863016473843 0.9749689468492667 130 123 112 0.58
26 0.5866789044893468 0.14414555457909675 0.9252264903302854 139 136 127 0.33
27 0.42729329357296625 0.15336804960101533 0.9730512142587734 132 123 103 0.51
28 0.42739952482912585 0.1534678297120207 0.9731221440639821 138 128 110 0.46
29 0.5524003606268533 0.1499765110126625 0.934467363505976 129 127 117 0.4
30 0.5392531808573353 0.15231263953255736 0.9380138704423389 133 129 117 0.27
31 0.3029640170729617 0.1656184284432794 1.0199647859677015 168 168 162 0.31
32 0.4794903238570999 0.1548630556855377 0.9547567474010206 147 146 142 0.83
33 0.2886463385574035 0.16868043234217608 1.027189876077001 123 127 132 0.4
34 0.2992176121088817 0.16745942851145112 1.0223279864742199 158 157 151 0.51
35 0.49038639625343733 0.15720535390541532 0.9489997492852468 67 63 55 0.41
36 0.20855196963037761 0.17862468103726326 1.0624659509101226 59 60 68 0.26
37 0.21997869390722136 0.17859872070567967 1.0566392589716664 146 149 149 0.3
38 0.3442244736497075 0.1717990423539643 0.9889313574667271 93 91 82 0.36
39 0.2227504008084468 0.18200572639630244 1.0536711042892148 74 74 70 0.36
40 0.5702058067498501 0.15985597746772517 0.9228889145584594 64 52 37 0.28
41 0.37932133290066533 0.17173074431578325 0.9823838074257204 167 164 152 0.38
42 0.4031859720889385 0.17124574701425804 0.975721980285122 159 156 145 0.68
43 0.40684265108174394 0.17053008742280248 0.9728781135587353 164 161 151 0.42
44 0.3410111254553417 0.1746003522819591 0.9910257918911447 80 77 71 0.27
45 0.3755591594287414 0.1737550902031884 0.9821419367352845 166 164 157 0.41
46 0.35434482887795765 0.17605990612702707 0.9892768534854222 154 150 140 0.31
47 0.48347037586987057 0.17094159073138282 0.9474175365175737 38 35 30 0.41
48 0.3682596161512361 0.17786938686941786 0.9836764302849068 157 150 134 0.28
49 0.4732116334011358 0.1725576620055295 0.949343847633712 40 38 36 0.39
50 0.49159445728342316 0.17188322939284711 0.9451757797677987 102 77 33 0.17
51 0.22016243243759884 0.19469487611699832 1.0529782531440164 47 51 55 0.38
52 0.1925876111438616 0.20255087164851215 1.067805059579248 60 64 70 0.43
53 0.3901217179466984 0.18699250097382622 0.9749130195351953 119 103 84 0.25
54 0.34690431307932523 0.1959661913314853 0.9845350721233703 129 98 58 0.33
55 0.4769918622040323 0.19035811184436519 0.9515262479723154 99 100 106 0.23
56 0.44606130520749476 0.1973190989958781 0.9513866651576467 163 156 148 1.07
57 0.5212063300203671 0.19347859198006578 0.927814878104977 160 157 155 0.35
58 0.3890844165602218 0.20270065444893182 0.9695934316145747 61 65 68 0.31
59 0.4369298865345222 0.19974745721332585 0.9547728877682488 44 45 45 0.13
60 0.26044788742061675 0.21302729335869877 1.019223440623439 137 114 81 0.36
61 0.17558743743548308 0.22475889899623658 1.0658171212873564 78 76 82 0.5
62 0.1611638476976702 0.22696215368293632 1.0670938265677192 53 53 50 0.29
63 0.2729411909529507 0.21746094850399528 1.0195308943945478 38 36 34 0.27
64 0.47171629779336244 0.20158337048409922 0.9424176414524165 160 163 162 0.31
65 0.4746855959447506 0.20178971181532446 0.9401057053358046 90 86 82 0.52
66 0.5135073907657598 0.20518285528296634 0.925518529603561 154 152 147 0.35
67 0.1671346924759531 0.23530934212484775 1.0618172994454684 130 134 131 0.39
68 0.3521711597996763 0.21997109677746776 0.9741080813011734 147 142 130 0.21
69 0.5746783322119734 0.21127698141639872 0.9039216758507368 43 40 38 0.67
70 0.34359024306254093 0.2301032575211385 0.9714786213850262 106 101 88 0.36
71 0.380118242035526 0.23125729124414887 0.9635820235341628 78 77 80 0.17
72 0.19506344818799728 0.2501846682592301 1.0424338739912706 119 120 120 0.35
73 0.48844244751479066 0.22441895272927495 0.9276964254963509 54 56 54 0.19
74 0.35277694709854207 0.23457060658156015 0.9668030889632099 148 147 139 0.31
