# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 615, mean track length: 6.98
0 0.2351257895829239 0.18156586529786764 1.0332779534735175 63 64 67 0.29
1 0.1610187931760895 0.22457850423814155 1.0573874159662793 56 56 52 0.23
2 0.1668350460174724 0.23293321403572417 1.0523632908599307 132 134 128 0.35
3 0.22290962126108213 0.2616638892279235 1.0130312938069694 32 33 27 0.23
4 0.245113007546444 0.2711037160236206 0.9956788867731259 121 110 81 0.4
5 0.18406065707684732 0.295465938230762 1.0170997784986184 113 108 98 0.26
6 0.17541938916417085 0.3298035466126249 1.0101874701536955 49 47 40 0.25
7 0.1809995406783827 0.3279213213094972 1.0040774574669629 46 46 40 0.28
8 0.2124946437141835 0.32990769087278277 0.9854498099039494 62 60 49 0.24
9 0.2203996209802871 0.3445968554874394 0.9776341946272032 80 78 72 0.25
10 0.25781249740061274 0.18404574736693743 1.0241597830576281 62 66 72 0.56
11 0.17759406620184395 0.22359662296229654 1.052456922422758 199 205 208 0.31
12 0.1776858236780833 0.223787947831616 1.0536479680646171 182 195 203 0.28
13 0.17021728276830525 0.226530090799047 1.0537744572990928 112 113 111 0.46
14 0.1796140050106435 0.2377308130418692 1.0435431785167548 132 134 131 0.26
15 0.20924923776073875 0.2511619395329381 1.0225086586443861 50 47 46 0.32
16 0.20080111948622242 0.2613142144263276 1.0230638459816925 115 94 65 0.14
17 0.1903696770170622 0.29263179308249715 1.0141376707219407 132 117 78 0.45
18 0.22088724970022866 0.29701301640401956 0.9958741112113425 100 100 98 0.35
19 0.23052354091278837 0.3030391184430386 0.9889000761783833 75 60 38 0.21
20 0.1839825583348911 0.3260988790379425 1.0033186125608036 106 104 93 0.3
21 0.23433533222066347 0.3328655820680194 0.9771525488922315 107 104 96 0.22
22 0.21686105346892467 0.3472747792615166 0.9774554185351355 75 76 63 0.17
23 0.17902700217310638 0.23198920505079831 1.0457458507880801 129 128 123 0.35
24 0.1834123145596386 0.24134770597210495 1.0376056516196877 42 39 37 0.28
25 0.18693003226909988 0.33404175694198224 0.9964644403599339 32 30 26 0.33
26 0.19970886928125334 0.21726731437405666 1.0365149591896856 105 100 91 0.42
27 0.17193256178647556 0.23498372117366947 1.048176182922249 35 35 38 0.36
28 0.17201418670293447 0.23513086544987502 1.0488185217448713 31 32 34 0.32
29 0.21555889507113507 0.2403659383059755 1.025509265081134 149 144 131 0.38
30 0.21546515972470615 0.24029135640180282 1.0250696688307184 146 141 128 0.37
31 0.19092538695484512 0.24457545486653862 1.0350036033679386 143 138 123 0.45
32 0.19445288886128492 0.32637395294375166 0.9981842079150987 112 109 98 0.51
33 0.22829504068544146 0.24078637457641763 1.0196155225186152 38 37 37 0.5
34 0.22815717471886773 0.2406628095190258 1.0188146263366964 45 43 43 0.51
35 0.20375151110726258 0.24688172682198675 1.0283983901421394 47 45 45 0.61
36 0.2037104601180519 0.24681124846349553 1.0275383544072352 46 43 41 0.66
37 0.22867763959294543 0.2582356514085349 1.0080509653898442 44 45 45 0.61
38 0.22883534254092322 0.2583099055462202 1.0086764180572543 41 40 38 0.64
39 0.23136465107118365 0.31671593658898894 0.9829496036265309 26 26 26 0.52
40 0.2079288469006917 0.3463336747033944 0.9841738798447506 21 24 23 0.43
41 0.19119748466476985 0.26135234975559163 1.0275602413046625 138 133 118 0.63
42 0.22146957519724156 0.330017344321202 0.9829482089970701 123 119 104 0.57
43 0.22130622811664702 0.33002488050657564 0.98290398341358 122 117 98 0.42
44 0.2227275897696929 0.1569247265593882 1.0532783281729143 135 130 122 0.37
45 0.23024593002053825 0.18971312869478268 1.0358517371800335 47 47 46 0.34
46 0.1493849848995087 0.19553620444135017 1.0750463498456824 205 210 210 0.23
47 0.2765937909224683 0.20168308908408966 1.0062190596942482 152 149 137 0.27
48 0.26581314237552434 0.202423336667548 1.0107369070694723 72 70 63 0.29
49 0.26624700210156116 0.20428726747937534 1.0104907460614811 145 141 132 0.23
50 0.2559665683386268 0.20494479955991143 1.0161110774534452 79 72 54 0.08
51 0.25314951770481087 0.20568588899359536 1.0168913106022444 77 74 64 0.26
52 0.24826702512724216 0.20661831757391855 1.018850919952934 91 88 81 0.18
53 0.2517662574302103 0.20760565759776303 1.0166249214001797 152 148 135 0.19
54 0.22716987623143817 0.21137951510599176 1.027113047297682 84 82 70 0.34
55 0.23438935222542737 0.21147692799093787 1.0221381840582462 114 109 94 0.22
56 0.22129870076185867 0.21277305904902985 1.0295371367283055 90 86 73 0.28
57 0.22881721776498806 0.21293234708145173 1.0262423134257268 132 127 115 0.23
58 0.225853793457154 0.21344286884475597 1.0273035458293207 133 127 110 0.23
59 0.2213710731032907 0.2148329897102252 1.0306982467040993 115 103 91 0.3
60 0.20865817514809976 0.21591536209039805 1.0350108396584345 82 76 62 0.2
61 0.2087073987440859 0.21595619613873235 1.0351487582436814 81 73 59 0.15
62 0.20997550744796742 0.2174782546568054 1.0348678036823902 131 123 106 0.38
