# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 63
221 RADIAL 1029 686 1009.3618162428356 514.5 343.0 0.014582888353176051 0.023005202598495145
232 RADIAL 1057 691 1099.9263234955663 528.5 345.5 -0.02697503242889835 -0.007056291666770792
21 RADIAL 1003 667 965.0215856772176 501.5 333.5 -0.01824862270656861 0.059443531266060834
85 RADIAL 1068 694 862.6022107253713 534.0 347.0 0.010736430216742693 0.017486213016888946
77 RADIAL 1066 693 813.609433159107 533.0 346.5 -0.03368357594521082 0.06513213553644043
159 RADIAL 1023 760 1051.7558659090162 511.5 380.0 0.002349734583300592 0.013016232569419382
32 RADIAL 988 741 831.6309697694126 494.0 370.5 -0.006216431785790743 -0.006098454689968314
36 RADIAL 1021 760 839.1375387190355 510.5 380.0 0.011785091531119994 0.012268698723199993
164 RADIAL 1033 760 1109.2404854217639 516.5 380.0 0.0011343070678795247 -0.0020601193535961576
38 RADIAL 1018 760 1562.2961545533046 509.0 380.0 -0.001413847869965555 -0.00012787615994255493
196 RADIAL 1051 690 1147.6251849593084 525.5 345.0 -0.0008977536660387839 0.006823733163659941
148 RADIAL 1015 760 1574.7594327625309 507.5 380.0 -0.001066946782298497 0.0025376011064027464
33 RADIAL 1026 650 2267.2793798871976 513.0 325.0 0.0031854312967679365 0.00012204446783991618
146 RADIAL 1031 760 1093.2408507415307 515.5 380.0 0.00762209296919988 0.0071652913597449325
162 RADIAL 1033 760 1036.898293562911 516.5 380.0 0.006250688750984812 0.0012034035068222363
113 RADIAL 1014 760 1625.797962922086 507.0 380.0 0.01198545718582304 0.0006598748484880216
172 RADIAL 1020 760 1009.117280011433 510.0 380.0 -0.0029739054382808003 0.000102903214761104
224 RADIAL 1019 760 1287.184810399341 509.5 380.0 -0.023763373131403327 -0.003579342771755389
44 RADIAL 1035 578 781.2197523452924 517.5 289.0 -0.009297907382104932 0.014812328105593228
110 RADIAL 1015 760 1772.8032626600004 507.5 380.0 -0.03377200045349024 -0.0033034465063597465
92 RADIAL 1031 760 805.4178699784301 515.5 380.0 0.01589148977315169 0.009760216003400348
50 RADIAL 1015 760 1152.8654082178994 507.5 380.0 -0.011165934328030347 0.005602006178904354
213 RADIAL 1024 628 1979.3977055653693 512.0 314.0 0.007515100575887457 0.0005505143168875586
27 RADIAL 1018 760 1001.6897667462796 509.0 380.0 0.005380445207699121 -0.0042972555712826425
60 RADIAL 1015 760 1769.9218309529106 507.5 380.0 -0.01211896224187501 -0.0008097078536143552
176 RADIAL 1022 760 1193.4230563194774 511.0 380.0 -0.032149543015364844 -0.030394582039491743
219 RADIAL 1024 760 1145.457261221986 512.0 380.0 0.013365685402971532 0.0029429668332885198
158 RADIAL 1013 757 1027.7581324986566 506.5 378.5 -0.010607997554401049 -0.0010754162806145935
103 RADIAL 1026 760 1129.7779694499422 513.0 380.0 0.002555595950175267 0.0004328115274988989
157 RADIAL 1018 760 1570.4527627917496 509.0 380.0 -0.012292423976117463 -0.0004027738379190781
128 RADIAL 1025 760 1040.2924454277083 512.5 380.0 -0.006733602270888409 0.0015875197963691396
52 RADIAL 1028 760 961.8551980649011 514.0 380.0 -0.005201701932981707 -0.0015330156088298823
127 RADIAL 1014 758 1954.405363119001 507.0 379.0 0.004918677834895509 0.0004215903780390552
179 RADIAL 1026 680 1367.6437698671837 513.0 340.0 0.0025093696258868953 0.00044213151974767465
61 RADIAL 1039 686 1205.4036964400757 519.5 343.0 0.007016015385528873 0.002224217695156378
96 RADIAL 1024 760 1040.6455191742884 512.0 380.0 0.0013894361176159462 0.0004186660557658733
111 RADIAL 1043 690 1174.8097411240753 521.5 345.0 -0.0029928599159063274 -8.080162463823558e-06
118 RADIAL 1032 760 1104.5230236674327 516.0 380.0 -0.0193635271716985 -0.0041984389294233235
220 RADIAL 971 643 1296.9022399721878 485.5 321.5 0.00023633197652282882 3.237532508390034e-05
53 RADIAL 1023 760 1083.2960734643023 511.5 380.0 -0.01054640194497867 0.0010203896160091458
229 RADIAL 1016 760 1120.0398452735744 508.0 380.0 -0.021885990376259455 -0.010563218961918846
71 RADIAL 1033 760 1076.1574832771034 516.5 380.0 -0.015297241975330672 -0.0035938956085978867
126 RADIAL 1037 760 1119.5675011440294 518.5 380.0 -0.005696967771434736 -0.0013203406416354012
63 RADIAL 1023 760 1035.2364207687183 511.5 380.0 0.018108561379666908 0.009302113025390584
142 RADIAL 689 1050 851.5233721044847 344.5 525.0 0.003379527254352402 0.012071042659618133
43 RADIAL 1026 760 1016.5749406609325 513.0 380.0 0.0029368468006732346 0.0005334438775882171
114 RADIAL 760 1021 767.7211382189594 380.0 510.5 -0.0038439713057296988 -0.001366102501819158
25 RADIAL 1025 760 1109.4748097679244 512.5 380.0 -0.00847213495037057 -0.0005495701891261825
67 RADIAL 1022 760 1058.8595914820391 511.0 380.0 -0.006193061875141341 -0.0010286501035365074
26 RADIAL 1027 760 1035.4327518201583 513.5 380.0 -0.010879342289544873 -0.0009797121551059513
73 RADIAL 1067 697 807.2961372608231 533.5 348.5 0.0030301425223983073 -0.0034986687300896484
181 RADIAL 1010 760 1048.490908861361 505.0 380.0 0.020595242510102075 0.0012031912376162888
88 RADIAL 1024 760 680.3460339866274 512.0 380.0 0.0006571709968158698 -0.0005666347578303735
81 RADIAL 1026 760 696.8063435547879 513.0 380.0 -0.02807413279575916 -0.009698938973276018
199 RADIAL 612 454 644.3526835061326 306.0 227.0 -0.023010277831361878 -0.0023430742665505023
194 RADIAL 1009 670 1507.3612059907023 504.5 335.0 0.0 0.0
227 RADIAL 1020 683 1035.1260546310184 510.0 341.5 0.0 0.0
135 RADIAL 760 1026 694.6021938895384 380.0 513.0 0.0 0.0
76 RADIAL 1023 760 675.2613224229345 511.5 380.0 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
214 RADIAL 1028 760 1085.7453800416451 514.0 380.0 0.0 0.0
188 RADIAL 1057 691 1659.3995261040154 528.5 345.5 0.0 0.0
223 RADIAL 1199 556 843.2726028935065 599.5 278.0 0.0 0.0
