# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2054, mean track length: 6.88
0 0.3735314148455593 -0.1184221712827374 1.0068317054993416 95 94 102 0.23
1 0.18443174117527092 -0.11281929558771446 1.0085344687433857 192 186 185 0.21
2 -0.003668796271237734 -0.10779905502691765 1.0148892994953282 179 174 158 0.26
3 -0.017916707962646095 -0.10418517270108626 1.014229668032625 173 166 153 0.35
4 0.10158915489375267 -0.101183268613226 1.0083368171563056 106 104 95 0.23
5 0.14227212129807032 -0.09641011878501365 1.0013963184906294 77 70 59 0.36
6 -0.043975853184755574 -0.09472122129615157 1.014873439599319 122 118 104 0.27
7 0.1371914783308096 -0.09023663881055181 1.0042585952839984 171 164 154 0.44
8 0.0016367681519652766 -0.09029288702116112 1.0117631910738265 138 132 117 0.28
9 0.01357849749942698 -0.08932323316720024 1.0093665816944086 148 140 124 0.25
10 -0.04379176859037804 -0.08914400266840215 1.0139267436628638 128 121 109 0.31
11 -0.03951151138487384 -0.08890857825121704 1.013159255520841 122 112 95 0.27
12 -0.0309897895866933 -0.08914981537466785 1.012595178715013 131 119 102 0.4
13 0.17609875763439972 -0.08782242893768677 1.005068510823997 137 126 96 0.2
14 0.0149745264290642 -0.08735180210813004 1.0095005364474887 184 175 160 0.25
15 0.04783835210958607 -0.08724866782308682 1.0081751606737965 182 177 163 0.26
16 -0.0227388216055948 -0.08735345536389205 1.0120913962328164 181 170 150 0.26
17 0.07909163712453508 -0.0870594877417373 1.0074465108541388 185 179 162 0.18
18 0.08761001358534236 -0.08685998508588638 1.0068427274474003 187 182 167 0.26
19 -0.13978647475167802 -0.08727217342599738 1.030630193760219 147 140 121 0.39
20 -0.06057047197372625 -0.08573159395230491 1.0142417951464024 146 141 129 0.39
21 -0.012788517535602546 -0.08487964424119249 1.0110508226708181 154 147 127 0.42
22 0.10893321045108667 -0.08413886931156787 1.0046587706964158 130 124 111 0.2
23 0.11316940764009488 -0.08410866808819449 1.0044056918302537 129 122 108 0.25
24 0.13778193704687533 -0.08379644919608631 1.0029451649389027 113 107 92 0.28
25 -0.10293739513235053 -0.08510147809279707 1.0219286511893124 112 106 93 0.46
26 0.07429086518155213 -0.08401935429297763 1.0055790008216734 116 103 79 0.23
27 0.12658832696677255 -0.08381357994817251 1.0034479619748262 93 88 82 0.24
28 0.14552616447078506 -0.0835883752459228 1.0023475449288355 98 90 73 0.37
29 -0.10803246989020365 -0.08476573953508904 1.0234952036914005 88 80 64 0.18
