# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 41
2 RADIAL 1024 575 1189.1484906427577 512.0 287.5 -0.0008946908811362554 0.004697662460168605
124 RADIAL 1022 760 863.6556626234116 511.0 380.0 -0.026495705422624496 0.05363853283404298
93 RADIAL 1047 579 679.8410395667648 523.5 289.5 0.011595649010352442 -0.027331519413359127
38 RADIAL 1018 760 1562.309191995412 509.0 380.0 -0.019144421430898003 -0.0007393009721023308
36 RADIAL 1021 760 839.0032080500849 510.5 380.0 -0.020746402113611784 0.001174475848836359
9 RADIAL 1028 685 836.1129026947024 514.0 342.5 0.003162596868841581 0.0008727875685539914
109 RADIAL 1026 760 1077.780208893974 513.0 380.0 -0.004855388931373463 0.01184566790267711
113 RADIAL 1014 760 1625.8572161659642 507.0 380.0 -0.004061896037597537 0.006094435698613636
92 RADIAL 1031 760 804.9923534905427 515.5 380.0 -0.014903609698350098 -0.0026876560990296942
33 RADIAL 1026 650 2267.601593780504 513.0 325.0 0.010639143526843562 0.0005769473953111047
11 RADIAL 1014 760 1827.7615296782972 507.0 380.0 -0.006356363532606787 -0.0008915685247528079
13 RADIAL 1027 760 1082.8097327677672 513.5 380.0 -0.010373489330965036 0.0031969629526560858
16 RADIAL 1032 684 1544.2490147600156 516.0 342.0 -0.0066649538070968194 -0.00019550707687033145
112 RADIAL 1016 760 2340.947317204359 508.0 380.0 0.0006581265369765275 -0.0007047550520660867
50 RADIAL 1015 760 1153.0919275178276 507.5 380.0 -0.009340378948059612 0.003955826167986768
28 RADIAL 1049 689 828.3312035457762 524.5 344.5 -0.02445528362084013 0.037102362086581624
4 RADIAL 995 666 1705.46152162522 497.5 333.0 -0.006485779524624511 -0.0002160854532228845
44 RADIAL 1035 578 781.036516770037 517.5 289.0 -0.01636824306059023 0.02215595570766087
110 RADIAL 1015 760 1772.7144250385375 507.5 380.0 -0.01283991927662897 -0.0003867117866544157
85 RADIAL 1068 694 862.4703244866644 534.0 347.0 -0.04618231984397337 -0.00839584952502174
32 RADIAL 988 741 831.3929588267499 494.0 370.5 0.013777391631236747 0.010032353983907914
41 RADIAL 1022 679 1655.649391893248 511.0 339.5 -0.011379445245331632 -0.0003806542965728858
77 RADIAL 1066 693 813.1683683938018 533.0 346.5 -0.024633264435113707 -0.002614226852775007
19 RADIAL 1050 692 1025.5890471475618 525.0 346.0 -0.014843316453554821 0.00036377976107686
61 RADIAL 1039 686 1205.416545512444 519.5 343.0 -0.003611587453430205 -3.2065056040836534e-05
17 RADIAL 1019 760 1139.3836372094188 509.5 380.0 -0.026769903612388613 -0.002595913413760785
3 RADIAL 687 1042 1078.7781182451051 343.5 521.0 -0.00565837339506774 1.57674829039713e-05
40 RADIAL 1023 760 938.3588416174971 511.5 380.0 0.020382342408450337 0.005861394615192062
91 RADIAL 1024 760 1143.044857140495 512.0 380.0 -0.01601127741238584 -0.010789339707535782
60 RADIAL 1015 760 1770.034995033342 507.5 380.0 -0.0074533384604927545 0.000550254179982146
105 RADIAL 1029 683 1398.4424521600931 514.5 341.5 0.010350921698324652 0.003172706265417755
29 RADIAL 1023 760 1101.7348543048251 511.5 380.0 -0.0060491159180051275 0.0024476802283700215
53 RADIAL 1023 760 1083.4369284999955 511.5 380.0 -0.023212012116595855 -0.0031992153477451496
111 RADIAL 1043 690 1174.8538223100413 521.5 345.0 -0.008695835207307824 -0.0005791936129905164
96 RADIAL 1024 760 1040.6266138646188 512.0 380.0 -0.01729645399737131 -0.02254645927591758
71 RADIAL 1033 760 1075.947437120822 516.5 380.0 0.005110380470711416 0.0026518328160364075
43 RADIAL 1026 760 1016.574676808922 513.0 380.0 0.002284644157954103 0.001246077012849964
97 RADIAL 1024 760 1057.182946220436 512.0 380.0 0.00625133008183293 0.0006741513937158799
81 RADIAL 1026 760 696.7540073511863 513.0 380.0 0.0029998943681909017 0.0007080065868038898
104 RADIAL 1030 684 1236.0 515.0 342.0 0.0 0.0
27 RADIAL 1018 760 1002.1311572235265 509.0 380.0 0.0 0.0
