# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 67
2 RADIAL 1024 575 1189.3129119699822 512.0 287.5 0.0146694285897566 0.0046789672236218
98 RADIAL 1020 760 757.2386907986836 510.0 380.0 -0.04141354632626042 0.0870972073209099
4 RADIAL 995 666 1705.506479514955 497.5 333.0 0.02473928754284674 0.0011312584382195123
39 RADIAL 1023 760 1222.3218902220317 511.5 380.0 -0.023535813582334263 0.09364174200351827
200 RADIAL 1064 696 809.3612203841328 532.0 348.0 -0.03339569578310999 0.012074058554309685
9 RADIAL 1028 685 836.5403115721407 514.0 342.5 0.004194028645585961 0.012284849910758686
13 RADIAL 1027 760 1085.1023138540713 513.5 380.0 -0.008059370982787086 0.016963706751239562
109 RADIAL 1026 760 1077.4860694893873 513.0 380.0 0.008088378345223449 0.007938551200480927
124 RADIAL 1022 760 866.2025754428498 511.0 380.0 -0.024156584594676903 0.06041581799985792
113 RADIAL 1014 760 1625.7889934606994 507.0 380.0 -0.0040904367740347385 0.0011630235778224336
146 RADIAL 1031 760 1091.080086774719 515.5 380.0 -0.0017059117060419923 0.05470032726701245
176 RADIAL 1022 760 1193.8936748394174 511.0 380.0 0.02045482188981269 -0.02824433965091997
85 RADIAL 1068 694 862.3135162425665 534.0 347.0 -0.017294101902901166 0.007388144302577868
157 RADIAL 1018 760 1570.360836221305 509.0 380.0 0.013347251924221006 0.007039097049556062
214 RADIAL 1028 760 1086.3408809955213 514.0 380.0 -0.010573167483738035 0.0027118015342932887
92 RADIAL 1031 760 807.5036097028297 515.5 380.0 -0.007601653545099034 0.006420733564959976
93 RADIAL 1047 579 678.0127389205203 523.5 289.5 0.017714117087441538 -0.021181191023442427
135 RADIAL 760 1026 694.4536230075934 380.0 513.0 -0.009572833548029984 0.0019395994823154245
44 RADIAL 1035 578 780.9103475405748 517.5 289.0 -0.002332923724148024 0.01618067769523323
112 RADIAL 1016 760 2340.9055279034305 508.0 380.0 0.021903157928981832 -0.0039752325107871005
28 RADIAL 1049 689 824.3215981317884 524.5 344.5 -0.018922541499807686 0.04905183294927896
38 RADIAL 1018 760 1562.4067547557418 509.0 380.0 0.013310636393177845 0.0012935523340928427
172 RADIAL 1020 760 1009.3684561282762 510.0 380.0 -0.027580400253203276 -0.0058094838850361145
32 RADIAL 988 741 831.5853258561458 494.0 370.5 0.03825043469031897 0.013258688145266845
36 RADIAL 1021 760 838.9512463547314 510.5 380.0 -0.018497153974891836 0.0005963287165158637
194 RADIAL 1009 670 1506.729119383081 504.5 335.0 -0.03282867783792549 -0.0017239856364758208
175 RADIAL 760 760 1032.8108582626726 380.0 380.0 0.03292332644657738 0.0049319547990178255
213 RADIAL 1024 628 1979.671538603131 512.0 314.0 0.029726567583543348 0.0007954918766613937
61 RADIAL 1039 686 1204.9964112460193 519.5 343.0 0.014248255498939818 0.006566284256555825
158 RADIAL 1013 757 1028.0622809235479 506.5 378.5 0.061945309386078284 0.0034879373824855476
136 RADIAL 1021 683 2224.7027374890195 510.5 341.5 0.013240325702559997 0.0012583499259213233
11 RADIAL 1014 760 1827.9397174374794 507.0 380.0 0.024751219395255084 0.0005802381338147274
16 RADIAL 1032 684 1544.4445315310306 516.0 342.0 0.008848513171647391 3.0043258697746873e-05
148 RADIAL 1015 760 1575.6875020255227 507.5 380.0 -0.022867604819557637 -0.0027965082401198225
164 RADIAL 1033 760 1108.7322431557739 516.5 380.0 0.023368148257230353 0.005970606487119011
50 RADIAL 1015 760 1152.938652398737 507.5 380.0 0.012393774276805986 0.0024383900802453632
185 RADIAL 1022 760 1067.0027380249091 511.0 380.0 -0.0015020746776682205 -0.0013702718902186396
77 RADIAL 1066 693 811.746961221103 533.0 346.5 -0.018176375815022787 0.060464464981172146
118 RADIAL 1032 760 1104.682432869871 516.0 380.0 -0.019684221355020962 0.001014428898086478
19 RADIAL 1050 692 1025.6063213475823 525.0 346.0 -0.017233373922451417 -0.0014656849123366575
159 RADIAL 1023 760 1052.201458332526 511.5 380.0 -0.003376848922996368 0.001228756116635325
33 RADIAL 1026 650 2267.3506326322213 513.0 325.0 -0.0026868681253458863 -7.673820588886791e-05
187 RADIAL 1031 760 811.626638341898 515.5 380.0 -0.04809924119948612 0.04985075918774128
196 RADIAL 1051 690 1147.8508642664403 525.5 345.0 -0.008503876242421238 -0.0005555981481507755
197 RADIAL 1029 760 1071.499048111817 514.5 380.0 -0.015414156211141845 0.008498410638724823
201 RADIAL 1022 760 1528.9203195701027 511.0 380.0 0.03533536742918518 0.014606126623160241
110 RADIAL 1015 760 1772.6433290291643 507.5 380.0 0.01228367325439972 0.001277886131829069
60 RADIAL 1015 760 1769.8910430285177 507.5 380.0 -0.010971736574974324 -0.00023141846301728928
204 RADIAL 1021 760 1163.9153339680072 510.5 380.0 0.028693952656766525 0.0021712749478082997
162 RADIAL 1033 760 1036.9484179111494 516.5 380.0 0.008151674243216766 0.001396516034121994
29 RADIAL 1023 760 1101.7457015443536 511.5 380.0 0.013620257038274724 0.007584959438916354
219 RADIAL 1024 760 1145.552025673877 512.0 380.0 -0.007676501292647996 -0.00091465304742454
232 RADIAL 1057 691 1099.997818996402 528.5 345.5 -0.021123246147681587 -0.0019029585645715336
231 RADIAL 1019 760 1141.3300143475255 509.5 380.0 0.03700532976229847 0.0038141895758218307
188 RADIAL 1057 691 1659.4001604445873 528.5 345.5 -2.8179105857913183e-05 -4.642041205780803e-08
53 RADIAL 1023 760 1083.6383372727078 511.5 380.0 -0.0018568826762966758 0.0010139894448222297
71 RADIAL 1033 760 1076.1065732630243 516.5 380.0 -0.031101699803491773 -0.005817320621562548
234 RADIAL 1031 760 826.3556042009334 515.5 380.0 -0.03643226053010476 -0.005457137174277174
97 RADIAL 1024 760 1057.2247871857828 512.0 380.0 -0.010545993790285016 -0.00031360869465242504
91 RADIAL 1024 760 1143.0899289275144 512.0 380.0 0.02608421856702995 -0.0564025343430742
17 RADIAL 1019 760 1139.4668068855178 509.5 380.0 0.007651965359672955 -0.0014209034060537128
128 RADIAL 1025 760 1040.2746683060363 512.5 380.0 0.02599645085781077 0.011974593752833851
15 RADIAL 1024 760 1061.35063125834 512.0 380.0 0.0068725942968769355 -2.5848754572314775e-05
152 RADIAL 1021 677 1026.1025815762364 510.5 338.5 -0.002120280071643378 6.89084777275216e-05
165 RADIAL 1028 760 1045.9202401894368 514.0 380.0 -0.007717578632269777 -0.0010481639531284084
235 RADIAL 1028 760 1042.7437512109816 514.0 380.0 -0.002620030293063709 -1.3205545692770162e-05
223 RADIAL 1199 556 843.2423759286626 599.5 278.0 0.0010485638673514044 3.2907876652800843e-05
