# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1353, mean track length: 6.74
0 -0.0023525566090877074 -0.1286793776247519 0.9944832740131577 153 146 132 0.34
1 0.09485298149894082 -0.11087456844211867 0.9900812867062001 84 80 72 0.22
2 0.1804626641671683 -0.110368344386625 0.9887898917954989 181 178 181 0.28
3 0.13497505285342634 -0.09583186946780703 0.9831641196328901 128 125 115 0.25
4 0.1390985422880427 -0.09437894344951524 0.9809700979951833 88 81 74 0.29
5 -0.08484188682149295 -0.08587263437318861 1.0001886137989375 144 139 126 0.36
6 0.11077595617188399 -0.08230653221542765 0.9840738070103686 129 124 111 0.23
7 -0.09990280218618423 -0.083579420778089 1.001626154152873 97 92 83 0.22
8 -0.0854241334808461 -0.08329659430797512 0.9998803395081783 86 80 68 0.2
9 0.1238429185571647 -0.08194876827529639 0.9830060746109427 112 105 96 0.28
10 0.14227692417218546 -0.08180945868732323 0.9821502973223101 95 88 75 0.32
11 -0.10491201299572603 -0.08320652717050739 1.0029961737478883 92 85 70 0.16
12 -0.14054461807844112 -0.08326169657311747 1.0093227545140804 98 91 75 0.32
13 -0.12387307952205073 -0.08335077853358161 1.0061175770105164 112 106 93 0.3
14 -0.12801077584266934 -0.08285389630002864 1.0069999278192703 79 74 62 0.19
15 0.2273991036476562 -0.08049815725378799 0.9810200711161295 101 94 80 0.25
16 0.23714719337616774 -0.08032152960874987 0.9807259249158982 106 95 82 0.28
17 -0.1498815285378182 -0.08279065278488776 1.0106443332709891 81 75 65 0.2
18 -0.08732948772285692 -0.08132792434283216 0.9996924995766541 172 166 154 0.23
19 -0.17391691653576904 -0.08258727760892753 1.0146182883915857 88 82 71 0.31
20 0.018073089674219646 -0.08030413399451508 0.9877240445903512 172 165 147 0.16
21 -0.19259051777813474 -0.08215348087884596 1.0178063334558052 91 85 72 0.36
22 -0.13313643203595074 -0.08088879890096459 1.0074945275490594 158 154 142 0.28
23 -0.12934386694695957 -0.08066838353320929 1.006532327125698 172 166 154 0.33
24 -0.012274189651446056 -0.06540692480121885 0.9943058176008748 48 46 48 0.36
25 -0.07440070104957239 -0.028825232804522895 0.9900003940347578 112 93 53 0.22
26 -0.08925010417082409 -0.02846979701903332 0.9929814703725444 120 100 64 0.14
27 0.09576367943011171 -0.02415638043429717 0.9779844172070634 44 51 61 0.2
28 0.08158018451488452 -0.023977648711939407 0.9801054712888632 65 60 64 0.31
29 0.09574096461276647 -0.020936916357608335 0.9771511241969456 68 65 60 0.14
