# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 60
2 RADIAL 1024 575 1189.2906088390002 512.0 287.5 0.004339354273747156 0.00043649019095008326
98 RADIAL 1020 760 766.3391046684795 510.0 380.0 -0.025836020793146328 0.0523735627814142
4 RADIAL 995 666 1705.3951694338202 497.5 333.0 -6.490643065978789e-05 -0.00011027042211894646
39 RADIAL 1023 760 1227.5080900374364 511.5 380.0 -0.01497072139642884 0.05398973948555617
200 RADIAL 1064 696 809.3467505014077 532.0 348.0 -0.02666147620235072 0.0017887732740991733
9 RADIAL 1028 685 836.4244244468648 514.0 342.5 0.005639964408585142 -0.0003487584793265639
13 RADIAL 1027 760 1082.0440432048572 513.5 380.0 -0.006910123755715736 -0.0013608415106477405
109 RADIAL 1026 760 1078.3963079432167 513.0 380.0 0.00421123617363678 0.004557330418089227
124 RADIAL 1022 760 866.9597766593646 511.0 380.0 -0.013768489943747705 0.04929296865600176
113 RADIAL 1014 760 1625.786897097393 507.0 380.0 -0.002582637968669042 0.0005237658003035921
146 RADIAL 1031 760 1093.2859415195765 515.5 380.0 -0.013511630135640698 -0.0009766964467642215
176 RADIAL 1022 760 1193.4687579249098 511.0 380.0 0.021806404732086247 0.00024939494700463997
85 RADIAL 1068 694 862.6019232777023 534.0 347.0 -0.03158511975697633 -0.004832083914680507
157 RADIAL 1018 760 1570.4585671426416 509.0 380.0 -0.011418676825666592 0.00016887709919541813
214 RADIAL 1028 760 1085.8587140595585 514.0 380.0 -0.007049435840368819 0.0016250322603442403
92 RADIAL 1031 760 805.3430505020572 515.5 380.0 -0.0013903176791104216 0.0016816378134798047
93 RADIAL 1047 579 687.8844719269719 523.5 289.5 0.015557061127599586 -0.011152756625809718
135 RADIAL 760 1026 694.605875080222 380.0 513.0 -0.003717813200936721 -0.0008157694789774972
44 RADIAL 1035 578 781.237089948506 517.5 289.0 -0.004941052895378771 0.0011651710450706599
112 RADIAL 1016 760 2341.1391962533444 508.0 380.0 0.02351937128086011 -8.019900141855971e-05
28 RADIAL 1049 689 829.6943996547705 524.5 344.5 -0.0026474351229134724 -0.0011294209543741861
38 RADIAL 1018 760 1562.2983218400882 509.0 380.0 -0.00930409456068961 -0.000326595784331227
172 RADIAL 1020 760 1009.1334815844149 510.0 380.0 -0.00467758294533075 -0.0002088332007805495
32 RADIAL 988 741 831.6662232852384 494.0 370.5 0.035245985290559854 0.009671988298676286
36 RADIAL 1021 760 839.2007207022662 510.5 380.0 -0.012972006380873065 -0.000963691431804968
194 RADIAL 1009 670 1507.3330622265587 504.5 335.0 -0.011693105334836034 -0.001529859383824175
175 RADIAL 760 760 1034.9653470155174 380.0 380.0 0.009580304119000788 0.001976731097473512
213 RADIAL 1024 628 1979.413010324757 512.0 314.0 0.00024639568238629125 7.875739715846359e-05
61 RADIAL 1039 686 1205.393695672343 519.5 343.0 -0.01221301348626743 -0.0004671299368430272
158 RADIAL 1013 757 1027.8419672730201 506.5 378.5 0.015845644120730897 0.0006849602400077142
136 RADIAL 1021 683 2224.675566298475 510.5 341.5 0.006313922548629295 0.0006555621171686147
11 RADIAL 1014 760 1827.6971295209967 507.0 380.0 0.0039046870686478396 2.775074041667082e-05
16 RADIAL 1032 684 1544.286201525212 516.0 342.0 0.00501243028802353 0.00019844734479518484
148 RADIAL 1015 760 1574.8406439201542 507.5 380.0 0.0012336371551329413 7.355442655849459e-05
164 RADIAL 1033 760 1109.413556322711 516.5 380.0 0.001340739958746364 -4.84302019988935e-05
50 RADIAL 1015 760 1152.8171611739003 507.5 380.0 -0.004407827863969048 7.629581724695377e-05
185 RADIAL 1022 760 1067.0018741782153 511.0 380.0 -0.0008991913298248648 -0.0006387390859538245
77 RADIAL 1066 693 813.3568999834444 533.0 346.5 -0.0025007396378469585 -0.0014021376345404312
118 RADIAL 1032 760 1104.530518215 516.0 380.0 -0.009040358313502306 -0.0004603609994194749
19 RADIAL 1050 692 1025.543555143143 525.0 346.0 -0.011239195291360776 -0.0009220572005095933
159 RADIAL 1023 760 1052.1447335327657 511.5 380.0 -0.0019798063342588643 0.0006673375147992715
33 RADIAL 1026 650 2267.28418804073 513.0 325.0 -0.004396090226641876 -0.00012807243267021833
187 RADIAL 1031 760 824.0209113409703 515.5 380.0 -0.017201843714071026 0.010934117740705473
