# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2439, mean track length: 7.1
0 0.11393303224866146 -0.2575772602584894 0.8881993300164392 102 92 75 0.25
1 0.09576266147053994 -0.28530183501305634 0.8901634559953437 168 158 133 0.81
2 0.22939425389693394 -0.20993154614116816 0.9156480020564278 84 68 63 0.33
3 0.20993178284020902 -0.21155780115770656 0.9040191512063981 161 163 150 0.48
4 -0.045362246490463026 -0.3068907114279634 0.8288767090462977 150 142 128 0.33
5 -0.025216710260893865 -0.28780855073488454 0.8363596784249118 109 104 93 0.18
6 -0.006642584363373605 -0.27601215136629975 0.8433483745499695 162 158 148 0.28
7 0.0557381952137673 -0.26975813973433066 0.8664652021934142 160 153 139 0.57
8 0.03717403069618908 -0.26100170093486635 0.8564422983177736 136 131 117 0.33
9 -0.04971233506028566 -0.2650684041114194 0.8199350456026704 102 99 89 0.18
10 0.04671087547366364 -0.25809196336590695 0.8584715067047922 126 123 116 0.14
11 -0.04597554466019822 -0.2606173889795392 0.8191017977616465 174 168 154 0.21
12 -0.07118260504350127 -0.2556519211781673 0.8050743080575838 171 165 156 0.49
13 0.14902100397546356 -0.2351124165010409 0.8951138203697895 105 101 92 0.28
14 0.22371257839334058 -0.22778873383917247 0.9147899353680051 95 89 81 0.29
15 0.22836316677897783 -0.2226674427435185 0.9154063094585217 85 79 70 0.3
16 -0.0631175487764234 -0.24105564509980518 0.8039221474144589 155 152 142 0.48
17 -0.11863509080905175 -0.24043761672230868 0.7807254755975825 123 120 113 0.21
18 0.21615078708948765 -0.2105305083844993 0.9140465833930764 171 167 154 0.38
19 0.20482244356983711 -0.2105665315837958 0.908383542995587 174 170 157 0.42
20 -0.010356527168062277 -0.22388291391865178 0.8181833343910608 134 129 113 0.26
21 -0.11712740355489187 -0.22971733280406859 0.7760861943113152 133 125 114 0.41
22 -0.09301948077830748 -0.2283596806704199 0.7857025190730776 122 114 100 0.28
23 -0.0644875306195884 -0.22629730080826999 0.7983188632221141 111 109 100 0.24
24 0.12555909488828668 -0.20957556497240093 0.8751648852737474 187 183 167 0.23
25 0.16572891757303806 -0.2019235084764907 0.8885559608699756 133 127 114 0.19
26 0.17354536105729876 -0.20138000973037298 0.8914992174522206 128 124 111 0.2
27 -0.11703539801887373 -0.2185926987842832 0.7711196818582007 185 180 164 0.23
28 0.39157205484677093 -0.1825285102006592 0.9871249128731414 100 94 81 0.25
29 -0.05799000553217998 -0.21325293019284133 0.794103558327681 193 189 178 0.16
30 -0.02643692222106698 -0.2115369434736735 0.8065642227976544 179 175 165 0.38
31 0.23631760200048962 -0.19133811350213017 0.9151235371711155 160 153 142 0.23
32 0.27472933863295096 -0.17858276783789165 0.9332577113719716 113 104 83 0.26
33 0.09355493974885795 -0.1451166472767823 0.8361800482635641 187 186 167 0.33
34 -0.1258330382627217 -0.10910194945918548 0.7283099405562489 110 87 46 0.21
35 0.0142903605801697 -0.0972600154900334 0.7859017563685907 116 85 54 0.25
36 -0.09618782033309975 -0.09348120435062449 0.7375321467808256 148 143 132 0.26
37 0.18420843077989543 -0.07421965341478974 0.8527513989510914 157 158 151 0.31
38 0.168318359260921 -0.06187180882969272 0.8381552327398573 154 152 135 0.37
39 -0.19812641828115762 0.012087266291507985 0.659089251560144 36 35 39 0.15
40 -0.1162185328389052 0.01537700259280918 0.6841919680171155 146 146 146 0.39
41 -0.09096474832096776 0.016898027664557443 0.6931773113590732 120 120 122 0.51
42 -0.2068635441384204 0.016867878755590367 0.6492386892277827 95 91 81 0.17
43 -0.05751610127339559 0.025051142888501608 0.7069668592579883 103 84 50 0.26
44 -0.13616081931525184 0.017800303133888504 0.6589948317141594 99 95 81 0.25
45 -0.1182144170897113 0.034636457349256786 0.6656627475024514 144 142 132 0.19
46 0.05314386636644948 0.04745924054679397 0.7330417966826287 166 166 162 0.25
47 -0.13455908894488022 0.04866383241986164 0.6531217515561532 166 162 146 0.21
48 0.18233650910804813 0.07304403066138591 0.785413201721959 145 142 131 0.2
49 0.41411156030935337 0.09489438201868639 0.8971054900696167 78 77 79 0.36
50 0.49295750898015694 0.09735744922607875 0.9213095734651218 115 115 105 0.36
51 -0.2091648104111797 0.06638897693402397 0.6342160686113971 133 128 108 0.25
52 0.38175085032339756 0.11972320989708851 0.8612028360929609 138 140 133 0.3
53 0.03699897970917826 0.10948321068739257 0.7206990746798169 43 38 29 0.29
54 -0.1931438675499833 0.11136831446368956 0.6262754037634577 115 109 92 0.21
55 0.02278915734449665 0.12576353245066915 0.708571250898203 80 66 45 0.33
56 -0.08413387258437006 0.1224222840147013 0.6571947614648076 91 91 89 0.4
57 0.6252012007633684 0.1685869854180397 0.9606528548798039 114 114 106 0.33
58 0.39223801676997694 0.17792261372043128 0.8423836779600268 46 31 25 0.32
59 -0.06631182079331234 0.17043412726637194 0.6405221843524478 105 98 78 0.32
60 -0.05138639707604113 -0.31012968151447834 0.8258299899153244 82 77 65 0.35
61 -0.04555477174945783 -0.301986197193898 0.8314003951914029 93 87 77 0.27
62 0.1867655103381636 -0.25863146835374995 0.9104080059461048 87 81 65 0.26
63 -0.04782218658174278 -0.2742009384957759 0.8237625427403169 157 153 143 0.48
64 0.19305610063020734 -0.2541171702868813 0.9110171837115092 93 87 72 0.25
65 0.19852418511054548 -0.24958459878570674 0.9125205982104134 82 77 67 0.29
66 -0.0024408291578779592 -0.2572938078094892 0.8369967259650976 125 120 108 0.24
67 -0.009174157561361319 -0.24758314346671692 0.8299960126235114 176 170 155 0.31
68 0.18621069599181242 -0.23222990926081177 0.9112768026758361 156 150 135 0.3
69 -0.18522378090329641 -0.24949235368389563 0.7536888871515783 73 67 55 0.23
70 -0.14670112788827866 -0.24549460910498194 0.766745474774128 104 94 80 0.19
71 -0.03432331813668624 -0.23174173167614906 0.8129689464711265 172 167 155 0.39
72 0.11466998345737824 -0.21968304197947444 0.8745151475472595 179 173 154 0.49
73 0.2233703741803317 -0.20400506693288709 0.9156839289660555 173 168 153 0.22
74 -0.22379003941128003 -0.2326344397590964 0.7468519035366038 159 152 138 0.26
75 -0.23470654032033716 -0.23254619244304425 0.7446142761943381 145 137 121 0.33
76 0.10702350957265583 -0.20575611251418838 0.8633360120200009 105 100 85 0.31
77 0.18433908882343214 -0.20075182373634512 0.8958524570000527 112 105 90 0.25
78 -0.04243629939373033 -0.2126117051956545 0.8011415189316285 176 171 158 0.32
79 0.391382321071964 -0.17768340093667723 0.9853847601885052 162 161 154 0.41
80 0.5196144550311018 -0.16758061645808042 1.0401477687569631 134 127 111 0.37
81 -0.17681848953630455 -0.21186648149169715 0.7511235892628523 107 101 87 0.39
82 0.2654752675646244 -0.17951361450336195 0.9301800583061185 110 108 95 0.49
83 -0.22904812916378015 -0.11598291228513033 0.7056715040290087 188 180 166 0.17
84 -0.17967951045275266 -0.10881415009789468 0.7167754949986612 101 83 53 0.29
85 0.08749364753017369 -0.07971367336619462 0.8133313266169421 143 143 138 0.3
86 0.2946184243983628 -0.062229089591594705 0.896667233791994 161 162 156 0.55
87 -0.21036558623241486 0.012647808295077615 0.6465662732583007 162 158 149 0.18
88 -0.010844905280007821 0.024701813296320152 0.7176461893635199 143 145 139 0.31
89 -0.1368661445841173 0.04327849872426256 0.6512770803519612 95 90 75 0.27
90 -0.06871778273515054 0.04972649324048845 0.6834421667299253 88 85 75 0.26
91 -0.1948632738226821 0.04459183489458794 0.6460342609490307 67 63 54 0.26
92 0.056907609880339834 0.05876464147698024 0.734962919635187 87 82 72 0.2
93 0.03622322887694605 0.05951813492763014 0.7304975913434516 48 46 32 0.28
94 0.1802209639667257 0.06708289608965008 0.784420949877821 99 95 85 0.27
95 0.6125553942595373 0.10258272630076795 0.9754329800926494 68 68 62 0.51
96 -0.001452246265715512 0.10753319495623885 0.6943126985349392 169 164 149 0.3
97 0.12228549272174337 0.13155611647018495 0.7383068019818347 100 96 83 0.25
98 0.1271495634147052 0.13515493355844976 0.7388989906470482 157 157 146 0.25
99 0.19066887070749663 0.18147969275747494 0.7486544702050641 104 98 85 0.33
100 0.6286651311805483 0.21315828059084513 0.9434346546706314 118 114 100 0.31
101 0.18591264982087924 0.19137153306743593 0.7441176410990229 98 90 75 0.38
102 0.12770852270103142 0.1884600918451669 0.7186690996267363 75 67 49 0.2
103 0.6295097805263059 0.22320774455712905 0.9409367492050392 40 38 31 0.31
104 0.07439466226973268 -0.2850731187699975 0.8815330695923094 135 129 118 0.34
105 0.1315215846508516 -0.25195491951744725 0.8969362284059799 166 163 155 0.39
106 -0.09170067657456976 -0.2625435287400443 0.8000520108646486 161 156 142 0.37
107 0.19289149836963748 -0.23886826327158212 0.9140288684089252 102 96 86 0.45
108 -0.1520912495172921 -0.23183104205053987 0.7620688716220044 176 168 152 0.25
109 0.33759968066404306 -0.19346963820616322 0.9679651197553937 141 135 119 0.34
110 0.3601138941578981 -0.19228448187223054 0.9792231517030308 133 127 111 0.27
111 0.3737984420050674 -0.19090088818754516 0.9831412929185077 142 136 122 0.35
112 0.20150496879860996 -0.0844155003497575 0.8616023481764442 195 167 107 0.21
113 0.21962124734038418 -0.07076053992652141 0.8660884005669854 142 142 138 0.29
114 -0.010530155172182091 0.01830766678659792 0.720932966936394 88 86 84 0.27
115 -0.12279453162592369 0.031192522375823654 0.6615092804316326 119 116 105 0.32
116 0.03632524568860945 0.09815865810809062 0.7217895904559938 42 39 36 0.17
117 0.09983651940190032 0.1300319804048311 0.7422635760853834 104 100 90 0.45
118 0.0033123304047765973 0.1594232727716831 0.6734142861710719 46 44 38 0.31
119 0.1850433628124787 0.1712020840696956 0.7504082520630607 98 91 76 0.36
120 -0.19953526631281415 0.16737300527584478 0.596966025801535 147 141 126 0.32
121 0.13839681196333325 -0.26662242407774045 0.9030820437477535 158 154 148 0.47
122 -0.1306708536414614 -0.2494356440570772 0.7777182574051962 172 167 154 0.33
123 -0.002570163240828168 -0.23091215459962003 0.8273753658252938 155 156 153 0.21
124 -0.16409652150881834 -0.23898124320486017 0.7611403464833496 59 52 37 0.35
125 -0.08721425174393639 -0.09599790164575062 0.7378460687064156 176 172 161 0.32
126 -0.07404020051216387 -0.09547796212644763 0.7460324257706267 189 185 172 0.36
127 -0.21535087984099635 0.004510148242354245 0.6466718229993361 90 88 78 0.2
128 -0.21326229989025242 0.05411873570671809 0.6332706220989744 124 114 94 0.13
129 0.3087671444077416 0.1367188601072923 0.8185499325317249 141 143 134 0.52
130 0.202149969705667 0.19542929852393018 0.7487414014280666 119 114 99 0.05
131 -0.021676259575837017 -0.2983967985040296 0.8395710248274083 170 166 154 0.39
132 0.008582064902369561 -0.28131631667446455 0.85153525081558 205 189 143 0.28
133 0.11273056935876231 0.13374907080923662 0.7340161477194549 133 129 116 0.46
134 -0.03604084455664984 -0.2938727751060117 0.8327312625215939 174 169 157 0.49
135 -0.11764446542231043 -0.19482150057269468 0.7614039865740648 50 50 51 0.73
136 -0.1305392887931807 0.0697871919207903 0.6491055180442765 171 166 150 0.29
137 -0.06708790657024057 0.07552386289164217 0.6766118144361091 154 148 132 0.38
138 0.05362008226733898 0.08905479169833633 0.726879939356796 136 127 112 0.38
139 0.15713757430525305 0.15405030068983636 0.7419379642280619 59 66 63 0.49
140 0.054152355552847704 -0.28238028035753204 0.8721439986275512 116 112 106 0.13
141 0.05576667667357294 -0.27731060520661904 0.8694721723721679 145 143 134 0.5
142 0.11479158588618746 -0.2641375579917528 0.8921220495748485 148 143 132 0.24
143 0.14412266407708618 -0.246377709534203 0.8984781069679203 162 154 142 0.45
144 -0.042090357679194126 -0.25267972718298587 0.8181942685512833 116 110 97 0.22
145 0.005818347510635 -0.24558086125677484 0.8368248331392284 110 104 90 0.34
146 -0.07443173818712806 -0.25128323159198157 0.8031120008641465 97 93 88 0.14
147 -0.04824731097672934 -0.24451339644686096 0.8139589855275968 159 151 142 0.28
148 -0.048188480212499114 -0.2401060196624953 0.8111628673334358 117 113 99 0.2
149 -0.049024105977454935 -0.23569176322195753 0.8089962593258204 175 171 162 0.3
150 -0.1287371534133796 -0.23957863874086657 0.7752875282024909 126 120 106 0.25
151 -0.2037591649258753 -0.2361922980888476 0.7549456739005082 100 93 81 0.11
152 -0.12683604175827892 -0.22991622179143795 0.7719647974778401 124 117 106 0.18
153 0.13875858694493767 -0.20461469700227508 0.8781135585167608 153 148 132 0.3
154 0.23339137230445225 -0.19667238745299487 0.9153018487234158 95 89 77 0.34
