# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8449, mean track length: 8.38
0 -0.18430771520061945 -0.17931686580761216 1.1638872109167235 207 224 234 0.23
1 -0.06287970018795384 -0.10310228995806717 1.0861566116042733 154 146 135 0.3
2 -0.049550248692408864 -0.07168533895520078 1.0668012900449877 74 67 54 0.17
3 -0.1447479891726003 -0.07158351691906457 1.1118437643718222 163 163 169 0.59
4 0.17673954550446802 -0.00018585969483434525 0.9563013722314264 42 46 45 0.19
5 0.045634373783669406 0.03368987739815147 0.9947672264717126 195 186 176 0.21
6 -0.450041286964286 0.050243606721374706 1.259709245978252 87 83 85 0.15
7 -0.19105857493201583 0.044358819239225036 1.0933660079552416 164 160 148 0.26
8 -0.3202147363145504 0.058378547524288574 1.1779445782154898 98 95 91 0.16
9 -0.38105712980439 0.07905420319076108 1.2076139365464553 120 119 108 0.35
10 0.18570193631082826 0.08163584947825281 0.9163183190678305 140 137 134 0.32
11 -0.04772178191984975 0.09674309281902518 1.0128386796747277 105 100 84 0.26
12 -0.14592806115773094 0.10698330044750881 1.0529762659301263 83 80 71 0.32
13 0.08641605157822689 0.10085994276157718 0.9479126356577249 92 91 84 0.32
14 -0.2824369484609644 0.12455891182393582 1.135943693309344 110 108 109 0.14
15 -0.39437311239080663 0.1470638468635006 1.1845825576445395 75 78 87 0.09
16 -0.3944690677145312 0.1506222244202915 1.1804326610931948 133 133 129 0.31
17 -0.1179847533933876 0.14036180482806473 1.035253790438092 86 81 69 0.37
18 -0.0490955200443585 0.15670475418907726 0.9954800224111042 131 125 107 0.49
19 -0.008646353684032507 0.16701857635090794 0.9744104742005023 141 135 122 0.3
20 -0.052073837153862705 0.17021390742661946 0.9928584673976022 115 112 99 0.37
21 -0.35630021245630894 0.19912973626941152 1.146274362671541 125 120 104 0.51
22 -0.0021048067565601963 0.16947302753088417 0.9705165719899198 149 147 137 0.48
23 -0.34161438529679605 0.20186538652222638 1.1347001759742614 120 116 108 0.24
24 -0.19940173255828186 0.18992667429615429 1.0518297965954768 120 108 100 0.26
25 -0.2677686421153998 0.20246132932370994 1.1000007370874472 98 91 75 0.33
26 -0.09765869749317355 0.18601757908928004 1.0080711204566508 164 158 143 0.28
27 0.012900905410108392 0.1782297485647664 0.9677882300839973 96 92 88 0.4
28 0.03664214589931593 0.18055367481445947 0.949683173955847 88 84 72 0.2
29 -0.14477221590830375 0.21612055249524545 1.0189123083477025 109 102 84 0.31
30 -0.14713794345570597 0.2225405289562507 1.0180112438635571 139 131 112 0.14
31 -0.30251347158739894 0.2444811837138037 1.0993796684921233 104 100 93 0.25
32 -0.14979659036632723 0.22643204331640474 1.0181032094915294 101 94 79 0.34
33 0.18358578768905034 -0.1904682823909321 1.0030539690564289 141 139 132 0.38
34 0.32648955031758203 -0.15496759823192774 0.9450702927772624 74 78 86 0.75
