# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1363, mean track length: 8.49
0 -0.4166191084469443 -0.24184386783097098 0.7880230369241048 165 189 194 0.68
1 -0.40430755150463393 -0.2315313341755573 0.7766896182916914 223 231 244 0.67
2 -0.4096527872935962 -0.22145362421605075 0.7874170816525362 112 123 149 0.54
3 -0.4011620378420499 -0.2040132866581536 0.759905103263375 150 149 161 0.46
4 -0.3333033605604669 -0.13350411746701046 0.566837335936509 63 52 36 0.08
5 0.390104579777934 -0.21136036166985772 0.8733921625287905 64 95 129 0.39
6 -0.3392903030969081 -0.13450534241802548 0.5943297428662195 71 52 33 0.36
7 0.3408030206165854 -0.21630547790551116 0.9657324884802189 236 232 218 0.39
8 -0.3443464588097545 -0.12871606822389886 0.5962391798079654 140 137 132 0.44
9 -0.24688748997129012 -0.2211085604678778 1.007125624375094 205 218 224 0.24
10 -0.18049415187182777 -0.2248071131494021 1.0312199522186118 241 249 251 0.57
11 0.3390730717263383 -0.21323934091544203 0.9664804997730597 112 106 93 0.14
12 -0.2957485463911035 -0.21634110162256204 0.9942782861338352 155 151 145 0.28
13 -0.36824863503448574 -0.22392724031631955 1.0331358025330255 85 108 119 0.26
14 -0.2994449356363696 -0.21447383918459106 0.9971549545824749 220 230 235 0.42
15 -0.29324638966705746 -0.21358799739993792 0.9960361910357503 226 230 231 0.76
16 -0.4044277469915802 -0.20592609647723606 0.966232615077565 86 88 90 0.29
17 -0.3842887502502741 -0.20120385572506838 0.9661695749683955 118 124 122 0.28
18 -0.24609780077818236 -0.2093425911687075 1.0077495957319993 64 72 82 0.34
19 0.35166910025282544 -0.19987090697331067 0.9661630104263955 133 130 120 0.16
20 -0.39608955349146974 -0.19649159642469877 0.9614578653739696 129 133 142 0.47
21 -0.2852323917601485 -0.2017696494760952 0.9884969580225984 71 81 82 0.21
22 -0.38771563870737336 -0.19661396051166183 0.9690595415511255 140 148 151 0.18
23 -0.3043189610917672 -0.19946019838210083 0.9855115234090822 145 148 148 0.27
24 -0.30443718810857456 -0.19933812980658877 0.9859052479170919 112 114 116 0.33
25 -0.08922257279604164 -0.22362053139148275 1.1067136192675493 113 123 133 0.36
26 -0.0895314040023692 -0.22462159035780355 1.111253385762018 107 110 112 0.28
27 -0.30173102110080985 -0.19689701469572055 0.988450453529851 88 88 87 0.25
28 -0.19635355758142117 -0.20704829509818032 1.0427472548447785 200 217 229 0.41
29 -0.0868139732353407 -0.2201188383769849 1.105148730683331 233 237 240 0.18
30 -0.4117220322249656 -0.19023651842615255 0.96263389790979 174 174 168 0.21
31 -0.3033971653503007 -0.19360054977233176 0.9881736541042406 134 134 138 0.21
32 -0.3786216708910036 -0.1888740458454733 0.9693847818696406 204 206 197 0.22
33 -0.2857694271479398 -0.19307006496579415 0.9901459776745527 170 183 180 0.15
34 -0.47976911107049947 -0.18008979549294374 0.9437219521465832 197 207 223 0.34
35 -0.3818753814318494 -0.18577820930784153 0.9709526990728885 87 95 101 0.46
36 -0.38313156694923645 -0.18618469411015187 0.9733641388673341 88 96 108 0.08
37 -0.3963042634819754 -0.18301159479538903 0.961098755909423 92 91 94 0.24
38 -0.47702155458686457 -0.1794200318988409 0.9448042384485031 101 114 136 0.33
39 -0.3128856532429169 -0.1873115285073029 0.9858215118556759 135 136 128 0.19
40 -0.3130701795099516 -0.18734140760980988 0.986141701727607 155 155 145 0.24
41 -0.30216028438363896 -0.1876935545910565 0.9890116611503785 178 180 178 0.25
42 -0.29460771307550715 -0.18629973989377901 0.9884254835234978 149 152 149 0.27
43 -0.2889340825400114 -0.1874304384751266 0.9950741876810681 175 181 179 0.29
44 -0.2773675117807895 -0.18648368680992986 0.9957793705709171 219 223 215 0.1
45 -0.4809104542877242 -0.17654356067947394 0.9458600497653585 188 194 204 0.07
46 -0.4743201046940258 -0.17482381288541538 0.934615584014525 188 192 203 0.49
47 -0.3804874549121472 -0.18036546116676394 0.9652746018066377 92 95 94 0.34
48 -0.3991164606995213 -0.17927969663769344 0.9616782012069708 125 128 127 0.27
49 -0.32866299887129274 -0.10139799500759798 0.5585556713653993 37 34 35 0.24
50 -0.19532952259500583 -0.18850994767472298 1.0165922034552668 115 112 107 0.52
51 -0.4451450071174321 -0.17633302576725549 0.9507097565932259 64 80 88 0.16
52 -0.3756737609146033 -0.12281131266657319 0.6803588568283895 130 134 135 0.46
53 -0.3453432057582527 -0.17642711754155704 0.975092604428562 171 169 157 0.24
54 -0.4430042434782568 -0.170676306561638 0.9530214269657827 118 130 140 0.28
55 -0.20182057505689946 -0.18105484782157558 1.0083590387864363 169 172 174 1.21
56 -0.38264266735436175 -0.12269460435204729 0.6962944172520944 62 64 63 0.29
57 -0.19542355518039597 -0.18047285645663658 1.0106185017913318 90 88 80 0.36
58 -0.38923988589974545 -0.1268032529681941 0.7232530494930826 141 135 126 0.3
59 -0.2026614693647035 -0.177674805820302 1.0073310689235 98 98 91 0.36
60 0.042070158879927 -0.2038729568297134 1.1645808137327198 204 218 227 0.4
61 0.05590209728431966 -0.19375048317258792 1.1182923261225601 88 89 89 0.39
62 0.05610451585283615 -0.19388308851170763 1.119090978589554 90 91 93 0.22
63 -0.3923635521816912 -0.12369582547601696 0.7289879196612202 72 72 71 0.4
64 -0.21461491311926925 -0.17183401691007727 1.0025688762154032 111 108 101 0.31
65 -0.4612287016812733 -0.1616493523650623 0.9436267789292704 187 200 216 0.49
66 -0.22278180680871545 -0.17117140292720232 1.001794032606067 168 170 171 0.42
67 -0.38755712558336897 -0.12012812401520527 0.7122562886805426 74 74 71 0.24
68 -0.43638121909000877 -0.16275155753649007 0.9514336080740587 62 66 70 0.39
69 -0.2514316801614713 -0.1705495362641663 1.0023008328805627 131 135 143 0.12
70 -0.3421704525350189 -0.09752721597183804 0.588446337508882 33 35 31 0.62
71 -0.4082211091900972 -0.1669643980210917 0.9840420455902308 73 85 95 0.29
72 -0.146277557102627 -0.1751139216641617 1.0346550647317714 145 140 133 0.36
73 -0.07982495126113623 -0.18100648494981053 1.0654017600449044 166 169 162 0.8
74 -0.19142699732146684 -0.17152161308515637 1.018057333980188 147 146 139 0.55
75 -0.28649125908916157 -0.16575103260103732 0.9904956475251653 83 79 82 0.31
76 -0.10245668069741591 -0.17579967031711555 1.0497565597012208 183 189 186 1.02
77 -0.02058650610551604 -0.18293203619770376 1.0904011190732845 139 142 140 0.21
78 -0.1370119366729417 -0.1731960311823044 1.036114443675989 149 158 169 0.7
79 -0.3802218153086563 -0.16052846394654502 0.9637787408511688 93 102 108 0.36
80 -0.20020549127573173 -0.16817131950046538 1.0147813246556179 136 134 130 0.39
81 0.3452023597999985 -0.15828796225531946 0.943449320012515 107 96 65 0.09
82 -0.22786581408596165 -0.1646061263660946 1.0008179624561904 130 131 121 0.28
83 -0.40722119395777445 -0.1253272442712583 0.7684820945285403 116 118 118 0.17
84 -0.04208673461459428 -0.17729065939545746 1.078383869404188 192 190 178 0.04
85 -0.34070095109474724 -0.09347463090170363 0.5833591705241254 39 40 44 0.43
86 -0.13665002179852892 -0.16933246869916918 1.0391038444985157 135 129 116 0.46
87 -0.42169886279483615 -0.13012735454017008 0.8079330444185794 153 156 155 0.31
88 -0.3003239374418441 -0.15983788155503004 0.9875878494323244 77 91 111 0.21
89 -0.1764115756392142 -0.16607533353094522 1.0230201435285584 153 154 156 0.19
90 -0.012677980201924397 -0.17602024902844818 1.0887565794101137 162 163 158 0.19
91 0.04882732576664323 -0.18033448538149252 1.1142267117949225 139 144 147 0.27
92 0.3479866536652932 -0.15339002319099923 0.943569947289327 133 121 101 0.33
93 -0.28278478966534076 -0.15670646313620898 0.9882877137826919 141 145 147 0.35
94 -0.029392816998974475 -0.17015379179648216 1.0824259479902572 60 65 66 0.2
