# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1366, mean track length: 7.83
0 0.06674315200081217 0.07934226616227329 1.0341005961568701 91 89 84 0.36
1 0.12059483816431092 0.12432673186554001 1.029410846957819 70 66 62 0.63
2 -0.25897085541729176 0.05892506476406073 1.0202381671553729 110 111 105 0.35
3 -0.0676111319126091 0.06117151241573706 1.0189766212724323 132 125 116 0.28
4 0.07550798346154891 0.07149084987154498 1.0316320089791988 81 79 70 0.28
5 -0.0027836613333080636 0.08377286000808191 1.0202726488838982 103 102 98 0.12
6 0.03307258856089313 0.08493318137745746 1.0267096378147962 178 171 150 0.25
7 0.08531083764034292 0.09554135086051538 1.0337278092322615 120 115 106 0.15
8 -0.029826321131193562 0.10334768268598826 1.0084746535025932 132 125 113 0.25
9 0.24191675219982495 0.1285114810327117 1.0511706205833018 96 95 89 0.18
10 0.09335234294231505 0.24648503220993592 0.9721604651690551 76 70 63 0.2
11 -0.2608340675914113 0.08733207258505218 1.0075979394077452 77 85 88 0.61
12 0.12281965503294362 0.09610393227096556 1.0291940930836083 106 106 100 0.41
13 0.022416014033583752 0.11292387646863901 1.0135738895226785 175 170 158 0.39
14 0.10924120726489311 0.116364121034981 1.0284786775181833 174 163 140 0.24
15 0.11904418363243205 0.14058982129437478 1.0328055056163299 111 116 118 0.23
16 0.36255462360708474 0.19037933528276393 1.0535348875009587 65 64 60 0.31
17 0.26719010066076987 0.29497463521477907 0.9868779173740899 44 44 38 0.38
18 -0.14311185988595537 0.07207438006716396 1.0159738427204574 83 81 78 0.4
19 -0.13627107185873144 0.07167362019854859 1.0139340376222892 83 82 76 0.32
20 0.03210797905786946 0.07563563619545402 1.029215067946551 146 140 126 0.72
21 -0.0012011030781974804 0.07841105369197791 1.0215011651571235 162 159 149 0.43
22 -0.2379900311547522 0.07900676003298808 1.010392155995461 127 131 134 0.25
23 -0.23394715954488665 0.08335934985621044 1.0129980377464816 58 61 59 0.42
24 -0.19907484972625875 0.09271185151916143 1.0038947636684588 134 135 134 0.32
25 0.04349919904109873 0.09460724840077309 1.0256062138706763 140 130 106 0.34
26 -0.052449541213871465 0.09970618241525817 1.005157432565218 147 144 135 0.7
27 0.12262620644764868 0.13455117034098374 1.024664595355707 43 41 34 0.35
28 0.19523209705427072 0.1959725483498388 1.0171969542754007 50 51 52 0.27
29 0.2074828156259983 0.24402518960209008 0.9916852797320856 78 78 73 0.4
30 0.08220146457156062 0.2487100224176621 0.970937257709084 71 62 42 0.29
31 -0.19288792474199604 0.09197696496122107 1.0076747432321063 75 78 81 0.47
32 -0.23224180926873259 0.09281984204495149 1.0058700924777537 60 60 59 0.39
33 -0.20502854558852196 0.09186828175976353 1.0016357654124266 68 71 74 0.44
34 0.2361561399515784 0.10033703429146146 1.0609039917011425 142 143 140 0.27
35 -0.16798359970828372 0.09847357874874225 1.0026445191644178 117 118 113 0.96
36 -0.18172460110511088 0.12414766931275831 0.9899913829614962 115 108 96 0.34
37 0.05165394064989182 0.13223290594458245 1.0110858347908183 44 41 32 0.33
38 0.09826884043025767 0.1356331266499257 1.0155496844988336 103 79 39 0.37
39 -0.3278859285158942 0.14351126005660556 0.9784822072127772 135 135 133 0.27
40 0.3613396688795226 0.1727793253856951 1.06168874356545 40 40 36 0.36
41 0.21823791900145503 0.24226398257913773 0.9962741645294936 16 16 12 0.26
42 0.17275055773877734 0.24774828060747003 0.9830867176406299 82 81 77 0.39
43 0.15835104257970772 0.08567348357979607 1.0532366297225504 45 51 58 0.72
44 -0.04040814391277182 0.09365826798839122 1.0096120686125052 148 144 132 0.53
45 0.15982447502878344 0.09829786626131268 1.0532711418938376 76 75 75 0.08
46 0.11237162411926993 0.13356180900356576 1.0159965997468487 43 43 44 0.64
47 -0.32084345410079534 0.14992566533207188 0.9732908750333061 49 44 41 0.45
48 0.17362642235790202 0.25347439597001137 0.9774168244396412 130 127 119 0.26
49 -0.24098133586817735 0.09286986183980517 1.0019876457632022 144 145 141 0.4
50 0.30058574245614217 0.10494575905723325 1.0766189032946811 121 122 120 0.53
51 -0.2375722822440809 0.10724420268121528 0.9947751449138799 93 88 80 0.83
52 0.16693804701373446 0.11489099781588731 1.0421990453941132 74 69 61 0.91
53 0.1385393193356613 0.11529581318954672 1.0318707354923469 87 82 73 0.5
54 0.2753443196088258 0.27916387028322937 0.9943782944410983 136 134 122 0.38
55 0.11867765654749582 0.09961988289207138 1.0327594260799873 94 91 83 0.85
56 0.23858768923097623 0.13192788426394217 1.0453550301813126 142 138 120 0.41
57 0.11598255773173029 0.16536616984654773 1.010772734466585 85 88 89 0.65
58 0.11784069603700599 0.1931541522253193 1.0014893485232028 59 60 58 0.66
59 0.25871503843507343 0.27658992889224954 0.9910623952531302 30 32 33 0.43
60 0.12117526449967846 0.09062209314471421 1.0388122310285801 169 169 162 0.8
61 0.049866851625800714 0.1254425135880498 1.0059198585585867 113 106 90 0.69
62 0.0739943527488892 0.1916691500699497 0.9960835864647234 41 43 49 0.2
63 0.08927801624354897 0.19204256631293423 0.9971881053511743 48 50 51 0.27
64 0.01581644627448738 0.08642385112342944 1.0230945479470852 183 170 134 0.28
65 0.1413570363429093 0.09710924586001099 1.0434152806825345 77 81 83 0.44
66 0.2619451986336009 0.10105776295216545 1.0684664564614192 98 104 112 0.36
67 0.11738148371047687 0.12807491792404183 1.0238588505225539 114 111 100 0.39
68 0.18505431789210292 0.1305337109997041 1.0363140787847502 133 127 116 0.51
69 0.29249018525353754 0.3010799181675295 0.9841534898372847 143 142 135 0.48
70 0.14132170709700753 0.0838319227908413 1.04768868609218 69 75 82 0.61
71 0.21861919602841026 0.11560822234790297 1.0467850839077024 77 70 58 0.49
