# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 46
232 RADIAL 1057 691 1102.011221176476 528.5 345.5 -0.033472164766480544 -0.011571643792761602
43 RADIAL 1026 760 1024.8662106683523 513.0 380.0 0.13496381715795866 -0.9675833198615884
221 RADIAL 1029 686 1013.7904537149005 514.5 343.0 -0.01510386169372218 -0.05256033419404001
227 RADIAL 1020 683 1037.0044091271936 510.0 341.5 -0.04175924726948785 0.06316720404886085
197 RADIAL 1029 760 1071.1960436427921 514.5 380.0 -0.02340519027830432 0.01495110625051554
217 RADIAL 975 563 978.708021590496 487.5 281.5 -0.08861832129938882 -0.016189288558833958
222 RADIAL 1023 760 1030.7429161632415 511.5 380.0 -0.0489180652302264 0.07335571435581938
204 RADIAL 1021 760 1163.0992701762088 510.5 380.0 -0.017869432798578697 -0.019792264379329995
219 RADIAL 1024 760 1145.6390158194906 512.0 380.0 0.004595956179368342 -0.051366929849310745
224 RADIAL 1019 760 1286.5733097060279 509.5 380.0 -0.027268489467049177 0.020740618789002394
213 RADIAL 1024 628 1980.117559516867 512.0 314.0 -0.007002374669713411 -0.0013586449727523184
214 RADIAL 1028 760 1086.0736354827077 514.0 380.0 -0.0232834320982232 -0.0037712390304966334
196 RADIAL 1051 690 1146.8116245310146 525.5 345.0 0.005024852387138095 0.019750013704724387
234 RADIAL 1031 760 824.5029621389463 515.5 380.0 -0.016168397141148566 -0.005441646549244637
220 RADIAL 971 643 1297.2642079449543 485.5 321.5 -0.025527355667214084 -0.00013562696911665855
235 RADIAL 1028 760 1042.7892497981513 514.0 380.0 -0.0033671422728093954 -0.003018945785123802
50 RADIAL 1015 760 1149.6729995879123 507.5 380.0 -0.015546686929339953 0.021131328033281473
200 RADIAL 1064 696 808.6942114788167 532.0 348.0 -0.06405525624383455 0.1134020613140762
231 RADIAL 1019 760 1141.2181293752674 509.5 380.0 0.0053696165933424375 -0.0018489937068519018
223 RADIAL 1199 556 843.278390007854 599.5 278.0 0.0037030293497785386 0.00011819311141805464
198 RADIAL 613 454 642.0737426873113 306.5 227.0 -0.023684263634250264 0.0017443864627232765
179 RADIAL 1026 680 1367.666771486894 513.0 340.0 -0.0317938614795408 -0.003054662555793045
157 RADIAL 1018 760 1570.453685130263 509.0 380.0 -0.02714411916140777 0.021463248717149143
146 RADIAL 1031 760 1089.8023123771638 515.5 380.0 -0.03376002120452654 0.08675421220773803
164 RADIAL 1033 760 1105.7290904618942 516.5 380.0 0.0047555395143031535 -0.009803926594664647
185 RADIAL 1022 760 1066.740822270708 511.0 380.0 0.00048512120072067807 -0.01357692850024401
176 RADIAL 1022 760 1193.523367639967 511.0 380.0 0.01623068054590012 -0.1535390964665657
158 RADIAL 1013 757 1029.8380799540498 506.5 378.5 0.008598943727371305 -0.10562921193322805
159 RADIAL 1023 760 1051.7638186729 511.5 380.0 -0.007054313220812319 0.0017740054383796524
182 RADIAL 1007 756 977.4678588849794 503.5 378.0 0.014792409076553135 -0.1003548509851316
148 RADIAL 1015 760 1575.6564786276429 507.5 380.0 -0.02065692400006306 -0.00529308535760467
184 RADIAL 1021 760 1270.382309030501 510.5 380.0 0.004353404361522175 -0.0018231759356167401
162 RADIAL 1033 760 1036.2946185841681 516.5 380.0 0.007160212562362343 0.01864764033421974
152 RADIAL 1021 677 1026.1148425151764 510.5 338.5 -0.018102593046252335 -0.0031306692000651563
165 RADIAL 1028 760 1045.9115627760443 514.0 380.0 -0.002977029821588463 -0.0024622596990071057
141 RADIAL 1065 651 929.1926679987778 532.5 325.5 0.012178249214721297 0.018995214116367436
194 RADIAL 1009 670 1507.2925775040687 504.5 335.0 -0.020563939855002527 -0.00023673433263783
175 RADIAL 760 760 1031.3703349166708 380.0 380.0 0.04717502547480457 0.011424104388118833
172 RADIAL 1020 760 1009.0947345876563 510.0 380.0 -0.004942003765388701 0.010922473767250552
163 RADIAL 1031 760 1057.1348286963332 515.5 380.0 0.01154135712995364 0.026772498530467585
147 RADIAL 1027 760 1015.6324277630112 513.5 380.0 -0.05297547906846199 0.08571609778444425
190 RADIAL 1030 760 1014.3310679003345 515.0 380.0 -0.007153266126695212 -0.003212912693522235
138 RADIAL 1057 689 775.2159168873463 528.5 344.5 -0.010523303143137097 0.004591655129767631
181 RADIAL 1010 760 1048.453003639492 505.0 380.0 0.04150459214520442 0.002537162388658941
206 RADIAL 781 595 850.7802961611849 390.5 297.5 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
