# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 59
232 RADIAL 1057 691 1106.5621969343736 528.5 345.5 -0.04385165445727265 0.1270079234777525
179 RADIAL 1026 680 1368.8552084677558 513.0 340.0 -0.027936860205148784 0.004870369346279559
53 RADIAL 1023 760 1089.3782632384384 511.5 380.0 -0.037125149742351995 0.13720556499261485
128 RADIAL 1025 760 1035.8163699003458 512.5 380.0 -0.052568890845600146 0.17061395949705116
126 RADIAL 1037 760 1123.258087435458 518.5 380.0 -0.01941372811328837 0.06958126527294921
63 RADIAL 1023 760 1034.0323797546441 511.5 380.0 -0.03391610184343984 0.04740679448965997
221 RADIAL 1029 686 1033.3173918536831 514.5 343.0 -0.06527040095104147 0.20726540958059123
96 RADIAL 1024 760 1044.323305539272 512.0 380.0 0.027728326777605335 -0.11813776814643975
172 RADIAL 1020 760 1003.0590160625211 510.0 380.0 -0.0028110388349717567 0.07599852066807372
148 RADIAL 1015 760 1579.0393706494274 507.5 380.0 -0.016645763400103607 0.04608776515899186
159 RADIAL 1023 760 1050.0354423356196 511.5 380.0 -0.030194818693117288 0.08413696518860711
157 RADIAL 1018 760 1567.6252840892514 509.0 380.0 -0.018037282735335468 0.07588304696280677
138 RADIAL 1057 689 775.7166754445562 528.5 344.5 -0.006258951483849402 -0.01491051345705029
219 RADIAL 1024 760 1144.6999176252152 512.0 380.0 0.023407514672675926 -0.10683860080968026
190 RADIAL 1030 760 1064.0976804284746 515.0 380.0 -0.008551561004730543 -0.00537101049074005
163 RADIAL 1031 760 1055.182231874581 515.5 380.0 -0.03594542104128129 0.12842832470247542
165 RADIAL 1028 760 1045.2820402179636 514.0 380.0 -0.021766720138052843 0.04918880879409024
197 RADIAL 1029 760 1071.8764864395396 514.5 380.0 -0.05175382013611093 0.11846473373089109
184 RADIAL 1021 760 1272.224088459553 510.5 380.0 -0.010613891478656807 0.020246152289217834
141 RADIAL 1065 651 928.717281813908 532.5 325.5 -0.029813383798645038 0.07894109078034434
235 RADIAL 1028 760 1043.1746063917672 514.0 380.0 -0.02647835539304138 0.08644229924076072
227 RADIAL 1020 683 1041.841596882898 510.0 341.5 -0.04797447950316586 0.10005645418159523
234 RADIAL 1031 760 818.5459420670321 515.5 380.0 -0.05583357137735753 0.1357195220556574
222 RADIAL 1023 760 1033.1414243364893 511.5 380.0 -0.020637681279034013 0.05006218173515578
224 RADIAL 1019 760 1286.1055494794875 509.5 380.0 -0.03091501422308444 0.05778558958114078
162 RADIAL 1033 760 1030.7696151314974 516.5 380.0 0.007517242457251109 0.02809864502746752
204 RADIAL 1021 760 1163.4530137934844 510.5 380.0 -0.0020232870962452326 -0.04230762038069368
127 RADIAL 1014 758 1958.7918092178832 507.0 379.0 -0.012970765365783234 -0.005732522053997521
147 RADIAL 1027 760 1017.4260192814984 513.5 380.0 -0.06433062627630907 0.13356892257036698
213 RADIAL 1024 628 1982.1933668313889 512.0 314.0 0.0034670552917414397 -0.009770037723762406
152 RADIAL 1021 677 1025.9464427746684 510.5 338.5 -0.029196601322796317 -0.007272640994428723
110 RADIAL 1015 760 1773.8167079082377 507.5 380.0 0.008690841357686845 -0.008062750959735243
146 RADIAL 1031 760 1088.7330734835664 515.5 380.0 -0.03444518233145954 0.11145980330411576
176 RADIAL 1022 760 1193.3842484276258 511.0 380.0 0.04081902604861488 -0.22470331953136896
158 RADIAL 1013 757 1016.3711181049123 506.5 378.5 0.0008588961198043214 0.10901246146469323
196 RADIAL 1051 690 1145.444796672339 525.5 345.0 -0.00461227882770516 -0.016745248989199473
164 RADIAL 1033 760 1098.3508782449396 516.5 380.0 -0.003547512048479742 0.01948589085121629
185 RADIAL 1022 760 1066.9781742850437 511.0 380.0 -0.008198541473207224 0.0033801363806629
85 RADIAL 1068 694 864.1199695224526 534.0 347.0 -0.04064257609843433 0.10282677457239128
214 RADIAL 1028 760 1087.0207441378116 514.0 380.0 -0.024876232288462134 0.015732410002451687
92 RADIAL 1031 760 801.2226052773012 515.5 380.0 -0.030173292938467107 0.06305571457563527
182 RADIAL 1007 756 976.8241330331663 503.5 378.0 0.06611403338435387 -0.2144186767485927
217 RADIAL 975 563 979.1434578752421 487.5 281.5 -0.05914934584121561 -0.0067409201344949
200 RADIAL 1064 696 809.0521361907765 532.0 348.0 -0.06895896624881177 0.13407912314532655
220 RADIAL 971 643 1297.9490540718448 485.5 321.5 -0.05892679697818619 -0.0025910042551457266
113 RADIAL 1014 760 1626.0873126045033 507.0 380.0 -0.02729067302974534 -0.0006398965335273916
135 RADIAL 760 1026 694.4650572108915 380.0 513.0 -0.02676995014533638 -0.006539069943955764
136 RADIAL 1021 683 2225.4376705281675 510.5 341.5 0.025415438874482443 0.009273966939773509
194 RADIAL 1009 670 1507.2418654110431 504.5 335.0 -0.042590099913220894 0.0032436560151462715
175 RADIAL 760 760 1027.3392826618651 380.0 380.0 0.035201271231890034 -0.004238174638659212
231 RADIAL 1019 760 1141.8265766927884 509.5 380.0 0.021390538824492485 -0.007858189811410614
188 RADIAL 1057 691 1659.397447903113 528.5 345.5 -0.0005474446478578105 -1.5297504162205238e-06
223 RADIAL 1199 556 843.4599272321464 599.5 278.0 -0.00874068800961615 -0.000918109206121049
198 RADIAL 613 454 644.0911200123004 306.5 227.0 -0.013919393868482935 0.02532348712994068
181 RADIAL 1010 760 1077.1026313233706 505.0 380.0 0.1993373887595029 -1.1539598831092117
170 RADIAL 1030 760 1154.5335912676749 515.0 380.0 0.0 0.0
88 RADIAL 1024 760 682.7731179974965 512.0 380.0 -0.004322976299034586 -0.03772899064531814
206 RADIAL 781 595 850.7802961611849 390.5 297.5 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
