# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 61
97 RADIAL 1024 760 1057.8415280375093 512.0 380.0 -0.0239402753795895 -0.021347965898005215
164 RADIAL 1033 760 1060.1748179681756 516.5 380.0 0.004678662244042598 0.015691035012851323
73 RADIAL 1067 697 807.7723247208761 533.5 348.5 -0.07713027876383505 0.1167280039279788
89 RADIAL 1032 760 814.2973174837522 516.0 380.0 -0.06531897231906444 0.12227181208436746
221 RADIAL 1029 686 1017.9687819736397 514.5 343.0 -0.03821380211428789 0.08746147983988646
1 RADIAL 1059 695 786.956935099374 529.5 347.5 -0.09931562753011462 0.13989391401863124
25 RADIAL 1025 760 1114.7747652826522 512.5 380.0 -0.04944310773766266 0.005340739445528671
158 RADIAL 1013 757 1029.4624325589648 506.5 378.5 0.016704241511622735 -0.08761517655817955
159 RADIAL 1023 760 1052.2759264872993 511.5 380.0 -0.021554760695416834 0.0642977030573148
172 RADIAL 1020 760 981.7015654975512 510.0 380.0 0.11144252191693554 -0.7953561550107524
176 RADIAL 1022 760 1193.5212306368478 511.0 380.0 0.033289889870526286 -0.20335842807595353
52 RADIAL 1028 760 957.9677082702073 514.0 380.0 -0.013667006088006889 0.05868972264611047
54 RADIAL 1030 760 1092.4495608133336 515.0 380.0 -0.02696577276166923 0.007712392552049453
185 RADIAL 1022 760 1066.5665462002983 511.0 380.0 -0.01442348563667504 0.02234677855315065
196 RADIAL 1051 690 1146.4522523524743 525.5 345.0 0.006021543190406662 -0.01915628228403822
69 RADIAL 1056 689 807.5812888094283 528.0 344.5 -0.013579841084117108 0.014349833610773797
71 RADIAL 1033 760 1076.2254573417033 516.5 380.0 -0.049060169478242814 0.10478866734972604
204 RADIAL 1021 760 1164.0173518173196 510.5 380.0 -0.011100604070626581 -0.03181710533729615
214 RADIAL 1028 760 1086.3902792007439 514.0 380.0 -0.02384851429698896 0.07998068432549346
220 RADIAL 971 643 1298.1666701227182 485.5 321.5 -0.005318268151736248 0.05517971969255441
231 RADIAL 1019 760 1142.9691331411823 509.5 380.0 0.013192696688442036 -0.066531202026393
111 RADIAL 1043 690 1175.2711054194033 521.5 345.0 -0.012203765068938763 0.005090750452182091
124 RADIAL 1022 760 862.1475291650912 511.0 380.0 -0.027592929024338082 0.06963628880097607
136 RADIAL 1021 683 2224.9793165464766 510.5 341.5 0.022696412011349244 0.007334902713941116
14 RADIAL 1028 760 1028.909419985292 514.0 380.0 -0.02095902087801573 0.045497777716832576
28 RADIAL 1049 689 824.0010870677492 524.5 344.5 -0.030799497509740384 0.05711728404484179
61 RADIAL 1039 686 1202.4447671705495 519.5 343.0 -0.002115608850467695 0.004132695517632765
93 RADIAL 1047 579 660.057998443166 523.5 289.5 0.018551393574095548 -0.015541187190891264
223 RADIAL 1199 556 840.2222734895166 599.5 278.0 -0.03916345392038171 0.03369255769114089
103 RADIAL 1026 760 1124.541778908463 513.0 380.0 -0.01180629556550943 0.05951598698310326
62 RADIAL 1015 760 1427.1876913577596 507.5 380.0 0.0336968487300088 0.011219652054068104
194 RADIAL 1009 670 1507.221861365571 504.5 335.0 -0.04652788540639389 -0.0007321652122453887
67 RADIAL 1022 760 1059.2852501947943 511.0 380.0 -0.020144381544356483 0.062083893853725654
91 RADIAL 1024 760 1142.7725314805048 512.0 380.0 0.03521848348033764 -0.11226202952352611
87 RADIAL 1012 759 942.8595177264701 506.0 379.5 -0.01986162567016543 -0.02632932337290531
105 RADIAL 1029 683 1395.84914622088 514.5 341.5 0.0010043123670498717 0.01618489836862783
107 RADIAL 1016 571 742.255540616363 508.0 285.5 -0.009657224165777231 0.024665013998160457
213 RADIAL 1024 628 1980.2436083879327 512.0 314.0 -0.0067719609725662416 0.0038027858494791354
129 RADIAL 1032 684 719.6774223594355 516.0 342.0 -0.036914734973361917 -0.003742360141694133
141 RADIAL 1065 651 928.6198370364167 532.5 325.5 -0.044875818885216356 0.11626701065095518
138 RADIAL 1057 689 775.6286743668344 528.5 344.5 -0.021091816971731053 -0.011678844744924671
26 RADIAL 1027 760 1037.261896617684 513.5 380.0 -0.05762355913618535 0.010697641340880748
65 RADIAL 1041 760 991.0996088829736 520.5 380.0 0.004269264333428776 -0.022006787762484256
81 RADIAL 1026 760 697.1873877099354 513.0 380.0 -0.004337567383888845 -0.027803087006922234
224 RADIAL 1019 760 1285.7080427429967 509.5 380.0 -0.03166447260167866 0.05972286697696759
64 RADIAL 1058 689 775.4867223683923 529.0 344.5 -0.057234328734867536 -0.007265531147538502
100 RADIAL 1028 760 693.1617896684228 514.0 380.0 -0.024680106101669902 0.02719451108854971
35 RADIAL 986 660 1422.584103279181 493.0 330.0 0.04242601606589013 0.0026619833662089587
112 RADIAL 1016 760 2340.6271323401957 508.0 380.0 0.03344697546695267 0.001132518115043535
88 RADIAL 1024 760 681.3485683554829 512.0 380.0 -0.012760105386843482 -0.016576199785258254
123 RADIAL 1030 693 1428.1177210739356 515.0 346.5 -0.0246226764265305 -0.003366953707226119
120 RADIAL 1022 760 1062.2723653824985 511.0 380.0 -0.02959102092326448 -0.013726346086983872
134 RADIAL 1009 760 1077.8053218255222 504.5 380.0 -0.01935425035315244 -0.001585858658959986
188 RADIAL 1057 691 1659.586042543548 528.5 345.5 0.00010710795130815103 2.8745748910468105e-07
82 RADIAL 1026 676 1576.3874210682682 513.0 338.0 -0.04599307621756044 -0.010837154338651941
74 RADIAL 1057 580 1065.2709829388207 528.5 290.0 -0.0029185223546077006 -0.00091872502620852
58 RADIAL 1013 760 1060.9841128422263 506.5 380.0 0.014789102384379344 0.006693297881163843
104 RADIAL 1030 684 1236.0 515.0 342.0 0.0 0.0
66 RADIAL 1021 760 1060.8517852624507 510.5 380.0 0.0 0.0
76 RADIAL 1023 760 675.2929749558436 511.5 380.0 0.0 0.0
206 RADIAL 781 595 850.7966929944968 390.5 297.5 0.0 0.0
