# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 3772, mean track length: 6.69
0 0.08502127211162158 0.052408180953910685 1.0284006122022227 64 77 98 0.48
1 0.04579383422337892 0.053252842410871616 0.9094136044484634 146 172 196 0.73
2 0.0873131123016684 0.08558135417427097 1.013118675641073 87 93 110 0.6
3 0.5436765948063332 0.1284019915234898 1.2192263626634918 71 75 75 0.42
4 0.7339762130375047 0.12259685041507358 1.158544396381532 144 149 147 0.38
5 0.4353212637352323 0.15155591062558904 1.283353209300923 73 80 78 0.22
6 0.5540336689843515 0.15838167389203592 1.1948006671770919 71 71 65 0.36
7 0.14547270021730885 0.15687762282459825 1.1724438572292786 116 115 122 1.88
8 0.6027403619416999 0.16545294838916305 1.184654991505297 135 135 129 0.55
9 0.5554916025758295 0.18085195254602082 1.1934602479136698 112 107 95 0.34
10 0.5293121466135796 0.18441091302058973 1.1996124164004383 121 114 92 0.52
11 0.529909187148912 0.1843891524141654 1.201090455724961 121 117 102 0.85
12 0.3948659986896798 0.1956102876425024 1.2556559572354913 104 109 110 0.33
13 0.6731842498798548 0.18237951078334017 1.1541074231461077 119 115 104 0.38
14 0.37602906645560114 0.19938611851035845 1.2603895007655488 167 167 164 0.31
15 0.37108903165998924 0.2016226243286507 1.262671347243438 136 135 132 0.37
16 0.27330824412808696 0.21537755232049774 1.3075996881521317 127 130 134 0.3
17 0.27649459704805796 0.21937147802036858 1.3029972610198277 74 73 76 0.44
18 0.29654914956879785 0.2182600071045245 1.296101959669231 114 119 120 0.42
19 0.603664571870428 0.20107387740201169 1.1664814838962974 99 92 73 0.38
20 0.4393510506708006 0.21246594667604893 1.2214919287725177 144 142 133 0.34
21 0.5969099996140537 0.20709903022831025 1.1696081291404872 22 24 22 0.21
22 0.599813470975442 0.20663278624914927 1.1687135575665344 38 34 24 0.34
23 0.14683609758068142 0.20140182615031846 1.1456872184668638 116 118 115 0.28
24 0.5556946272703421 0.21355852877712445 1.1782635024819685 37 37 31 0.39
25 0.5251860581330762 0.21877526987619944 1.1879503020927906 37 38 36 0.4
26 0.4272529941626473 0.22943944390067145 1.221676367071613 144 142 132 0.3
27 0.22339827439992 0.25845946146171017 1.3142133245183887 58 64 74 0.15
28 0.21328616941261153 0.2617920184200073 1.3264633850477672 60 64 80 0.68
29 0.11597684999652363 0.2107007821901226 1.0521394610490324 58 47 37 0.43
30 0.32272976835754186 0.25850140174897696 1.2604362170765504 149 128 97 0.18
31 0.3185676967089182 0.26010878673391835 1.2629020048194575 46 44 37 0.13
32 0.1618152050828961 0.24898141054976672 1.1749621257454002 162 161 154 0.31
33 0.6359971393392928 0.24921787893302236 1.13950022217324 146 147 143 0.35
34 0.20744139860140529 0.2855397752258409 1.3138643959747522 118 121 120 0.37
35 0.23509827681093398 0.2825054082108031 1.2963493976759666 95 69 36 0.4
36 0.42554106750616016 0.27989053004439757 1.1998616841276286 114 108 98 0.35
37 0.45774371185702784 0.27787973573652397 1.1878749016055887 165 164 151 0.45
38 0.2419590060988709 0.30440798643865524 1.2905458170151756 130 135 132 0.25
39 0.43306288347771815 0.2890851528775104 1.1917607505129113 104 104 97 0.43
40 0.24577382107495374 0.313033682281767 1.2829141909503234 60 57 48 0.38
41 0.34428546304952323 0.30269222999453727 1.2362276255800877 117 106 84 0.55
42 0.277455212779453 0.3117300797114158 1.2678451271488291 74 78 87 0.27
43 0.15105754178828737 0.27510101741975657 1.1191759300620956 54 54 53 0.35
44 0.31606197641934203 0.3127627973724683 1.2473155593021106 28 30 28 0.24
45 0.10598869689657563 0.24371093348754916 0.9681292039458881 135 130 127 0.15
46 0.24347589943145345 0.32611222960338926 1.2785612784266147 120 114 97 0.22
47 0.10119092008379266 0.24221590024938747 0.9494870387515384 16 14 15 0.49
48 0.6380414244593393 0.2981100800530251 1.1220542694951643 32 38 41 0.39
49 0.6665183452890289 0.304938377120998 1.103752054934089 66 60 46 0.42
50 0.39748061488084074 0.33873311445142484 1.1883488392099957 82 82 80 0.31
51 0.22844407080881446 0.3642749895466368 1.2681182225204504 105 103 92 0.42
52 0.6529900004001227 0.3295605345136858 1.0984242677896092 42 43 44 0.51
53 0.08192859829604392 0.2643807636079821 0.8783587213959748 55 46 37 0.66
54 0.1068660305014519 0.27835857651372803 0.9141768936373758 75 75 71 0.64
55 0.5681878732484469 0.34823102231109143 1.1278381894321723 88 89 82 0.33
56 0.5446921892074845 0.3585620628746865 1.124422601738167 80 80 70 0.52
57 0.5661652325532441 0.3582269768934637 1.1177086552170337 123 123 120 0.33
58 0.08278126256658468 0.27198811434977305 0.8570437084486009 120 120 108 0.75
59 0.5368476422475496 0.36325520811335804 1.1263373025724968 106 106 103 0.38
60 0.5428406423652068 0.36244727576364594 1.124780606539754 98 99 99 0.29
61 0.5783189908519729 0.3596371577633005 1.1093848117008178 126 125 115 0.43
62 0.22396243056287557 0.40467514245434116 1.2495295638200856 45 46 42 0.5
63 0.5150097631889748 0.36965598876142025 1.1305453513267127 25 29 28 0.4
64 0.5097737812492793 0.37217264707575726 1.1363800876413064 26 32 35 0.23
65 0.3149713731728801 0.3965765988765847 1.2119880607198261 116 108 91 0.34
66 0.413808733373081 0.38633854393407724 1.1685491974909372 119 119 117 0.32
67 0.44523262130588726 0.3810976618295481 1.1498227012583446 33 32 32 0.49
68 0.5150123543849792 0.3762860987750282 1.1378368663548644 55 57 57 0.3
69 0.3504004345576538 0.39605688602690514 1.1958847023522736 67 59 41 0.38
70 0.263707560835614 0.4083116787784146 1.229251250491661 69 69 62 0.42
71 0.37838781660114096 0.3934070509661691 1.1797478688135026 120 120 114 0.4
72 0.3591129670857122 0.39728720695373954 1.1856741833285398 53 56 56 0.37
73 0.3780933505258034 0.3994118271144318 1.1864066540346736 28 30 28 0.22
74 0.29840694202441786 0.4083183472480939 1.2117557705612292 110 108 97 0.32
75 0.3633684575220657 0.39906412910668654 1.1796308343073245 50 49 44 0.39
